business_id,categories,name,address,post_code,city,state,latitude,longitude,url,attributes,avg_rating,num_of_reviews,source
0x52c82f3ba0b99601:0xe676305bab7e1520,resort hotel,Little Toad Lake Campground,40335 Little Toad Rd,56544,Frazee,MN,46.840222,-95.555123,https://www.google.com/maps/place//data=!4m2!3m1!1s0x52c82f3ba0b99601:0xe676305bab7e1520?authuser=-1&hl=en&gl=us,,4.8,4,google_maps
0x80caedc8da20dd67:0xa177dd1f135bac3a,hotel,Zions Tiny Oasis,1901 Kolob Terrace Rd,84779,Virgin,UT,37.2365446,-113.1520492,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80caedc8da20dd67:0xa177dd1f135bac3a?authuser=-1&hl=en&gl=us,,5.0,5,google_maps
0x878eb5863a708a57:0xc6b8e92846a4e35d,lodge,Copper Arms Apartments,1401 E 7th St,57103,Sioux Falls,SD,43.5501633,-96.7085556,https://www.google.com/maps/place//data=!4m2!3m1!1s0x878eb5863a708a57:0xc6b8e92846a4e35d?authuser=-1&hl=en&gl=us,,4.0,1,google_maps
0x8838896615bc75e1:0xbb2cef2cdd13aab,boutique,edin birkin,78 Parsons Ave,43215,Columbus,OH,39.9626236,-82.9815538,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8838896615bc75e1:0xbb2cef2cdd13aab?authuser=-1&hl=en&gl=us,"In-store shopping, Quick visit, NFC mobile payments",4.8,6,google_maps
0x882d51f79d7bef95:0x8b446bb36c19b6f9,lodge,Bellinger Hall,77 Hedding Ave,14722,Chautauqua,NY,42.2124983,-79.4736757,https://www.google.com/maps/place//data=!4m2!3m1!1s0x882d51f79d7bef95:0x8b446bb36c19b6f9?authuser=-1&hl=en&gl=us,,4.1,18,google_maps
0x872b15450e3b496b:0xf6dea03076338125,hotel,Nina Escobar,4449 W Avalon Dr,85031,Phoenix,AZ,33.483771,-112.155145,https://www.google.com/maps/place//data=!4m2!3m1!1s0x872b15450e3b496b:0xf6dea03076338125?authuser=-1&hl=en&gl=us,,3.5,2,google_maps
0x88d91c8063ae4057:0xb2bdbb25a0f059ab, boutique,Designer Trends,3522 N Powerline Rd,33064,Pompano Beach,FL,26.2735263,-80.1519569,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d91c8063ae4057:0xb2bdbb25a0f059ab?authuser=-1&hl=en&gl=us,,3.9,8,google_maps
0x8857766689ca8c0f:0xe7e3681388831abf,hotel,Extended Stay America,130 Mobile Dr,29303,Spartanburg,SC,34.9847976,-81.9698736,https://www.google.com/maps/place//data=!4m2!3m1!1s0x8857766689ca8c0f:0xe7e3681388831abf?authuser=-1&hl=en&gl=us,,3.0,1,google_maps
0x535459b61d7f97f5:0x1df34d142e0763e6, boutique,Red Thread Holistics,635 S Woodruff Ave,83401,Idaho Falls,ID,43.4919281,-111.9980163,https://www.google.com/maps/place//data=!4m2!3m1!1s0x535459b61d7f97f5:0x1df34d142e0763e6?authuser=-1&hl=en&gl=us,"Appointments recommended, Gender-neutral restroom, Restroom, Identifies as women-led",5.0,27,google_maps
0x808421e8ac173c63:0x288d1e3cedc68c65,lodge,Russian river inn,Orchard Ave,95446,Guerneville,CA,38.4872506,-123.012925,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808421e8ac173c63:0x288d1e3cedc68c65?authuser=-1&hl=en&gl=us,,4.5,2,google_maps
