state,city,name,avg_score,price,reviews_url
CA,Los Angeles,Cityscape Luxury Rental Homes in the Heart of Los Angeles,89.0,379.251,https://www.booking.com/hotel/us/santa-monica-dreaming-luxurious-2-bedrooms-condo-walk-to-beach-limited-time-free.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=894222702_363427941_4_0_0&highlighted_blocks=894222702_363427941_4_0_0&matching_block_id=894222702_363427941_4_0_0&sr_pri_blocks=894222702_363427941_4_0_0__105180&from=searchresults#hotelTmpl
CA,Los Angeles,The Biltmore Los Angeles,74.0,541.538,https://www.booking.com/hotel/us/millennium-biltmore.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=4636601_372968048_0_2_0&highlighted_blocks=4636601_372968048_0_2_0&matching_block_id=4636601_372968048_0_2_0&sr_pri_blocks=4636601_372968048_0_2_0__150188&nad_id=6637d0e2-94a8-42e4-ad60-8a8bb2fce979_4&nad_cpc=0.98&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IktFV0FEWTdpSHdiSFVIVVpSK3hZNEgybzV0M0hhd0c1VEt2SER1NWNnSi94NEpKUk1zODNWZkdMWU5oeW5pcnRMR2QxSGhGa0RqUWJwUjBMcEJGMTdaVExzZjh0bXIyL043YTVSSGhIaE9IOEhzTHNZdkdnYWJBTzhSMkdXYnQvYlQvTFBHdGRZaFJQRXdmRmFraHVuU3R1M0ExY1NjR0FKMExqYjRITGFwSkg5T1psbGVOVnIvbGI4bDNSN2xPNTFMOTNyb3FEVnBBQis4MUVHVGNueUlVRUI4dXFXQTRKMmZjUGRwbVJHNG12K1k3TWZ6aG5KRDNWNnI2OWU1eU9CVCtPcEI2MmZJM1Naa1VRT09Ob1pmbWVNZkl6cnRIWnEvMytPK2F6NzgxRzZySG83Q0pzSUg0S0IwZGdTcFdPVjFNWWJkaTBTdjk0N241bDhjSE9CMmJ6eHJWZXo5d0tKeFAxT1JMWDdWWHJHbFdqVFdHZ2w0T3ozdVN1NGNTLy9QSmZkNXk3TDdtZmNmQW1ZYkZHUlkyV3BiOVp5YUpaSXY5MW5EeGY1R01TTWlDY08rOXJscjN6aGU2M3Npb3NRdThjTVJSM2YxbzgzS213ZmMyTmQ5U2JLU3dpV0tIWTFJbU9FUzFHelNBZXlaUDQrM0U3a2pIYktzZDRFeTJpVnJNdHhPQjVWOEVLbitBNXFyZjI2M3MxeW4wZSs1WnphcjRuMDNHSXZRUGw1aUhXVElLSVpKd0xtK05GSFA3OUlZWVVVQnB3KzFJMm91amNqcEpJOS9KSS8yQ0hGSkROZHpjZnY0b2tnRFQ4ZEtvTlExcGZQTFFaQ2ZLUkF5SngyWW5oSnRxZ0t2dDEvUElqbkYrakt6RWJxSFNrejY4N3pBWGt3VTdVZFZib1RXRXl2cWhZWlpob01FSlc0VEpaaVdtQnF3SURpM1FheG1VcVNXbC83Wll1c2xhajY1MDFXdzUxTDhEOGR3TmgxZG40eHhoVmdKbEtoUzlMcUgwZHJFVUE3VGtJbzdLYjlNVldyQVZ1RExMVUdvVmpZZGRMRWtmbXF4akNQZXVIcG5nV0RwSVdFaUN2ampsbTZjY0dnRXBQcEY3TFIrYXJNbjJVdW85MmEvSm5rTGliVVp3RUVGQWo4dW16STJIVmRlY0E3c1kybFVQSGdLeVRNcUZ6Qk1NTGVyTXIrMW91bit2cFNYWlRwQ1psVnc1QVd1NTBqRE9rWE1nSy9KU3dhNEN6WjA1cDV1Yis1Sy9pWEdHQS9nVWNsdDdhREhsZU1ySEZEUFN0RVZsT2RUUG1CR01oK09VRVhlc1EyQ1hJRnVQazNzcGkwRjhOMTBaNU1hZ1ZOc2ZiUlJYUUo2YmFBUlhwKzQzUE9iN0kvaWpCcFpaRzV4RHNXRk5ZVHpoNXNBMWdQWG5xbjFPd29qVlVTNTVvZnlyTHlMWFpFcXVCMURNZDBUd21UM1pwTEtRRHgvYVpYcG8wSG1wa3I1Y2puY3dmRUxxdjByNWpmNUJUTGw0M0NwTjYrYXFFSE5aMHduSnBiRlhkZXJWT0ZMM0s4MzFha01lckg0a1A3SXY4T0tNQTg0OHpGQ0pVRkdlZkYvVWxKQTI3alFHdGpGbDN3NWJTYitwNXgzMEl2SGluOGJTcURjbE5yb3pkMDZOYXpkOGN0emxkZVFTSnJCa0RkWFVSV1ZXYUhIU1gyOWpkRStLNXVvdE1YeFBPeHpNVUM1dVhRS3p3MXhid2M2VVlJLzV1OGxEN1BmYmpXOUM1KzlJd1kyeW9jZ1VkUTd6UExxbm1SMnNvb1JRSlgxS1JkNjdhS3Y0bnVIQllYU3o1cnVSVGt4b255N3h2N3l2V1NDTDVPUjJIYlpGSVhQQjl2Z3E4MXJ5QXEvT1pVNFZOckVBUGdQNWNka3VNQXNqdFRPN3kwdElEZXVmQUFmSlo2cXhiMnQ2VERDdC9wSjFqTmVjUU5HWGl6a1VNaFdTQllkdkFVT1JJVTVDZlYyMDNYd0J4aWgvYlFEUm5CWmVkY215QXhOL3h6OFhncS8yWi8wckt1djJpdklna28yaytldURBUEVrWnE4bVRpdDRUOVh6b2FtdWtLR3dFMWRRSTJRQ0tZcHZnTHNkSEo1dklyQ2ExRFpjRTI1RkFvTm15VlcyK3pkODRTYUZqMkk1dUkvZHF2YzZSRlYybE0xcDJmSWYvb0I2V3pWcVdqWElWeE9iL3g4RkhaU1JubUIraGJ0UHhEejZJZW5EcWE1eGVvUXlvTG50Wm05WnJwWkZxaFp2ZzFPMHBvUnpKMEZSdDg4cDlRK0F1b0drRGdZa3RnemlQZnVwcVNzd05qeDBOVVRhOEFraXltalZ5ay9sOVFWbE1PeldiandPbkpaUndrMzc5K2xjeE9JdFNWQm1WRHZ1bXc5VXIxL29wZy92ejZVVU11Q2tyV1lMWnhxN3ptdFgzRTVja2JpMVpRbFc3ZkQyRXUxajRySHAvbEYyNHZaS3YwSVFkSUlRQlpCYVM1d0pGYS9vYWt1Q0xNeVhMMGhaTzBMWkpUNmEzOHJHelB5YU1YZTRTQlNTTEJBK25yc05kSkFPT1pyL2ZCdmNGSXZFeFBzYXo3VjVOL2JnNVpsQ1pxRXpRbnRGRzM0MCtnNmt1dVBXeG9hSVZVYW5DVWtCc1VhYysvVnNFTjRxbUZBTGdkTkxUbE82dk93VnhEd2E3OE9BLzM3SVFYNDB1c3daaldNZ1l3NjQveEJuZ1BSd0hrakN0YlMrdDNtQlc1TjNvSkFxN05oazBPS3VlUHMwVSt0OUh3Nk9RQTEyQ20vZUtKRDZRTHZ6cmM5cE0wSlpvcGpScWhkVnpTcWowS0Z2bHJBMzZYdkRqK1FrUzh3M0sweVFxSzZLQjhPRFJ5dldWREszT283c2kyQ01pUHFhdmNNQ1hpQlFjcytaUmxUT3NwSWlpR0tKUWQ2cHlCaG9FSWZjV0RFU3p5VUhtMUlrVTNxV0tQTDBibmpvU3lRUnFvaVlqWFdobGlVSXpZYSt5TE1nZ0ZQYko4VWtkUStvbmJtWmpTdU5JcDhTY2xGcnZxdUY0N1ZuaGNyTXAvek9FMjJGN0QzTndIR3BpR0Q0anFsN0tVb3JOVWhiMzVYSHhqd0J4OUhEYmxEMGJjc0lTMkxWMDB1aEVnaFoxY3dtdUZ5SHRRcDlseVNUN3hxS25MZkxMTTBWWlpKREJvL0huc0YxQVg1MExZRkp5a01jSHA0bGhhaUhzSmsvZFF3TnF0ODlKdldscjNtOE9oTnZvZjNvcXE3UlB5T3VBdGV6WEtEZmRhK2ZmQWNBRGJpRFdjYkJWY3BUMHNwMFFYaHhLTmhVaW40azVBdVYxajlEMnJkQ0w3emQ1TDBUajVPbEZGajFoRzFzb2ErdE9LTEt1WGV2UmJVaXFKM0UzVjB6eUZZVXZRK056M3F5NjliMm9FVlNqK1lWb0VQWHg4TTFNdUtFRmlWbjRJQnNOSElvRy9sbitqMngzd0Rib0YrUW12MEcveWZMdjVvT0FaeXI4MFZuZVZibzBVTzNYMUpEbTh6MDRvck1pcC9lOXdQcnNaeHhYT0taY0JvMTF6OG9uWjF0cWtFQjFOYlIvOHJ2TFpTSTZOMGpqMytjTy9vRDVhN2xWUlhjRzV0QnBROUg1N0JDVXRUUXJ6ZTMveWFCcnhDWFEyc2hYZGFwZjJndC8waXFFaDBYazcxa2kzQ3I2YUlMQWk4RGx3SExZOURkUXJzVFY2cmNNL1VRcE5JeFlGYnprcmM2UURkTHNrdz09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CA,Los Angeles,Park Plaza Lodge,86.0,462.436,https://www.booking.com/hotel/us/park-plaza-lodge.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=2170015_99841145_0_0_0&highlighted_blocks=2170015_99841145_0_0_0&matching_block_id=2170015_99841145_0_0_0&sr_pri_blocks=2170015_99841145_0_0_0__128250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CA,Los Angeles,"InterContinental - Los Angeles Downtown, an IHG Hotel",87.0,1029.622,https://www.booking.com/hotel/us/intercontinental-los-angeles-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=206433411_97455462_2_42_0&highlighted_blocks=206433411_97455462_2_42_0&matching_block_id=206433411_97455462_2_42_0&sr_pri_blocks=206433411_97455462_2_42_0__285551&nad_id=6637d0e2-94a8-42e4-ad60-8a8bb2fce979_11&nad_cpc=1.17&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6IktFV0FEWTdpSHdiSFVIVVpSK3hZNEgybzV0M0hhd0c1VEt2SER1NWNnSi94NEpKUk1zODNWZkdMWU5oeW5pcnRMR2QxSGhGa0RqUWJwUjBMcEJGMTdaVExzZjh0bXIyL043YTVSSGhIaE9IOEhzTHNZdkdnYWJBTzhSMkdXYnQvYlQvTFBHdGRZaFJQRXdmRmFraHVuU3R1M0ExY1NjR0FKMExqYjRITGFwSkg5T1psbGVOVnIvbGI4bDNSN2xPNTFMOTNyb3FEVnBBQis4MUVHVGNueUlVRUI4dXFXQTRKMmZjUGRwbVJHNG12K1k3SWZ6OXNKRDNWNnI2OWU1eU9CVCtPcEI2MmZZdlNiazRRT09Ob1pmbWVNZkl6cnRIWnEvTDBPZUs4NzgxRzZySG83Q0pzSUg0S0IwZGdTcEdPVUZnWWJkZStTUHQzN241bDhjSE9CMmJ6eHJWZXo5d0tKeFAxT1JMWDdWWHJHbFdqVFdHZ2w0T3ozdVN1NGNTLy9QSmZkNXk3TDdtZmNmQW1ZYkZHUlkyV3BiOVp5YUpaSVB0MW5EeGY1R01TTWlDY08rOXJscjN6aGU2M3Npb3NRdThjTVJSM2YxbzgzS213ZmMyTmQ5U2JLU3dpV0tIWTFJbU9FUzFHelNBZXlaUDQrM0U3a2pIYktzZDRFeTJpVnJNdHhPQjVWOEVLbitBNXFyZjI2M3MxeW4wZSs1WnphcjRuMDNHSXZRUGw1aUhXVElLT1lwa0pudkpkSExPN0tJMElXZ0poK0ZJNHV2bkNsNE5FdHExYjYyS2JDWVNBTVNNWHZwVnl5U1RxWk9kYVFWdFZKN01FQnU2YlQzTm16NXF4WTV5MUp2Wmw4ZTltemhxdkpTd1graXJ0anFjNngwUzFpaERIWUVUcFUzODd2N2RMY0lvN2Vnc1g2VFZKbmlEVS9FWVFubVlZMkhzalMzWnMrSVIvOUJqMDdwNHlXZzFnSmNIcmJBZzJuNEN3eDBFTnhkZE5ueU5KN2pWSTdrVlpzWHhQcnFxYjlZa1k5RkI3R3FHR1dNVTFkOUJDUkFpMnEwbmFNNnlRNFRoZEhKSUlIaks0blRKcHVaeGR4MG9SK2dHR0RPem1aVDZLbzlwaUsrcC9qUCtYV2QwTUZsTm04S2k1SURYYmJhQk10TVo4eFE2TTBMMk1OS0lqWDROVE1yTjN2d2QyMlAvbFFXQlB0eTVrV3g1Vlh1NXB4MzJyV05kYm85N3piNSszT3dWeTcvWDQ2SzZsRkRYSG9BVkgwSldTRENJTWJPWFFBZnEyQndNZlBuNmdHbkE4NlBRU1hQb0V5V0tCVTdhdzBOSStnUmREbkU5NUpLVUpQTktVRUZHUVo2akNYVmU1b2NhQ1BiYUxxSCtDN3B3QnBWU2lFMWxaVWo1cXFrcythQ2U1bkJEdDkzY1hWcG90SUdiTHhyT1VSZVNQMHpFRzFUNG5CV1I0SkxrT2dkcU9XcHNpR2tGbGxZYy9oY0ZPWS91Mng2QWtQY2RPTFZ3Z1J0d210KzJHWDVndGh6UTdOd3lFUC9NY1cvS1h0aXhDZ05leUJaOFY3b3pnTCtSSXRxd0lLRmhhVEhXTGYrTmtPWDJleVQyWnVTUndrdGJWYzhVdnNCZ0J5bG5ZMDdtQWNMOWx2SXo4MU5scDdxZDAxd040VzBuWDZ3a2NjWFVLV0JiTVNEZmN6bytHVEtmdnNvMU9YQWpmbkhwR1NNdUFBL2lxMlE2M1B1a0JicXN5czE3amZyV3VSZGY2cG9ZK2V6THRQMEFNRStlQmRPeXFWSDQ4cXh0Q0N4ZkZaNkxkYS9NdzVXdGFYeWVzNWVsSmxrOHp4YUJ0dXpmWEEzV3NPRXZJUHBVY1d2QTY5QkNxbE9EQzZLclBUcE5HcWtnWmxlSmNmQjNmQjhqMVd1Lzh5c0VSYytiQ1g3OVo2YUpNeEk3R1NIYzJvSUEzYXFSSWYzZmp5a2thMHpmRE5aR2JBLzVMVG9QTUJ5MWlIMWc2bUI3ZlRTbG5DWWlSWkNiVmhJeXVrSmZ1czYzQXJSK2E2cXppKzVnc3MyY3ZjT0dPWXd0VS9jU0loOXRTdXlXeUxTdjNmU0ZGek5nVDNrZkNOTVd0TnRKWkxJcmZvakQ0UXNVQXhaSUxxOUwvQkNhbjNZWjFSS011bjhWcks3MXR1OGJkVFJhNkpWZDJOOWlqNWtQU2dnVEFtM0FTMnZDbWc2Z1VKM1FNMjB1dGIvNzdHem15ZXlTMWY0OWJ0ZzNoWWpBUW90UjN1NnNwMFpmaCtlYzlxQ2JJaEF0NTRNOXFRcWxpOGlZSGpJd3RqbkhmWi9zcUhKUkd5MW9MV1RIcVVScnAzblpvblA5bFFWNE5hV1had3dTdUxaTTl4eXlqdlZRZ1BJeGNUaC9GVWJqZ2xvTjVqcTQ1bE9ud2pVY0dyeWdoVG9mWnZLYnlrTkg1R3BJc2VVOURYa0xpUEd2UCtHdSs1U3AxazAydnZJKy8zSnNkYzh0R0oxTFd2MElRZU8wSWs0U0xNakxMMHdGTzBiaGJVNzdqcC8zcWJCbmFDTHdUUW1qQVJVYnh0dDlVYVU3SlBPT1lGZklFS09nZ0o4Sy84RmtDb3JBc2ExZVY2d0NmeTlOQzM1QTZ3dTVoN2JQMjRlNEFXYitVSGdjOER1d2w5Z3BLR3JMNFJSNzhmNEtBcTVHNU8xSXVTQUdoOGJCbWlPSk9HSlkrcjFZNkQvczQ5ZUp3bjArN2JUb3d0WHZ2S0huMjF5VlM5TUhxTjF1amR3bDVmcjJhTDkxZG40UUZ3L3JhVkE3YjhMUFVNeW1ETHU3MVpaUVVnTmd5eTM4bytOSjZWcFR3RVczOGxnendCWld1ekNNTDhnblkweklxRzcrSzkrcjNoNnpEVGYrSjh1QlBnM3RtS2JHOGV0S0pubHBFNzZjRTMzVHVwTkg2WGV4UVlMbDFSMFZyWXFaUVV4Q2V6MWZTejVWR3hxdnNQYXNHZ3pZSHRGd3h0aVozRGlsRXMwVWhaYVhnTk1aR0Z2Zk44RlpQVytSTEt6Z3VVL3dadjl6a21sUy9xZUZtdkVIdGI3MTU0eldkeldGN0hDZ2xHQzEwRW5OeTRVZmFDOGZBVUZ1d3Jtdmt3QlY3OVEyQTN5Y05mTU5WanRzMWlLb0NtQkl5TzJmMFMyNnVRNFZ2MVZtdGk2QzBlK2FJZnhRUEtZWEE0UHFxKzBKTlVvVWRJeDRoMVlrRnNKZDJMWFc5Y3dUYUZFc3Avb05Ib1dSbW5TVlR5WmZzZmp4NStQQVZrTERSL2V5QWYyYUVNcXlZWDRNYWJpUEdlYWNET3NlMDRjSlJEbFJLYjBaanl0Wm5SS0F5bjVPNHBzS0k4WEkrTEJTdzZmbDJISDBzQkZ0ak1yNC9lL0xqUXV1YU5CM2JkREY2U0V6RUFwa0FRSzBtazcySjZLRzJBQ242cnBSMkhQNzgvYzFDcEwwb2psNy9lMmhDRUp3cCtVTHp5QzQyd0JIeEZyUjE2eDd3anMvdjV2N09MMnUxckZMVEU5OXhCYi9kL1p6d28yNXQ2ODR1b2ZIdGlLT2tJQ3hDTGJjTVZkazhzc1loYndzaXlRZ3lCYVZtK1BDZk5HSkhPMHJwbXJSUXM4N0plcUJSRGlOWHBxMWxRZFc4djA3Wit3bzd6dVdwZ0xKOWlESFB4WUVCWk9FQjBCdGg0Vy9DeHhhaXZ3cGp0WFc4WnBxVzJLK2dnRE9LdEhBYjlaS09sK1lGYVduRkEwWVlRU21Na3E2NHpFaitKUzZBUHhtZUhzRVZzb0JyIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CA,Los Angeles,"Flora (parking, 24/7 security, gym)",87.0,492.183,https://www.booking.com/hotel/us/flora-parking-24-7-security-gym.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=1104063601_383229931_2_0_0&highlighted_blocks=1104063601_383229931_2_0_0&matching_block_id=1104063601_383229931_2_0_0&sr_pri_blocks=1104063601_383229931_2_0_0__136500&from=searchresults#hotelTmpl
CA,Los Angeles,Hollywood Homes minutes to everything SPACIOUS AND FREE PARKING,88.0,477.039,https://www.booking.com/hotel/us/hollywood-cosmopolitan-apartments.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=723037207_360678117_3_0_0&highlighted_blocks=723037207_360678117_3_0_0&matching_block_id=723037207_360678117_3_0_0&sr_pri_blocks=723037207_360678117_3_0_0__132300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CA,Los Angeles,The Hotel Hollywood,75.0,229.426,https://www.booking.com/hotel/us/hollywood-guest-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=18262401_309311088_0_0_0&highlighted_blocks=18262401_309311088_0_0_0&matching_block_id=18262401_309311088_0_0_0&sr_pri_blocks=18262401_309311088_0_0_0__63628&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CA,Los Angeles,The Godfrey Hotel Hollywood,80.0,437.376,https://www.booking.com/hotel/us/the-godfrey-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=449549901_135707195_0_0_0&highlighted_blocks=449549901_135707195_0_0_0&matching_block_id=449549901_135707195_0_0_0&sr_pri_blocks=449549901_135707195_0_0_0__121300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CA,Los Angeles,Hollywood Historic Hotel,80.0,505.045,https://www.booking.com/hotel/us/hollywood-historic.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=24064802_91468411_0_0_0&highlighted_blocks=24064802_91468411_0_0_0&matching_block_id=24064802_91468411_0_0_0&sr_pri_blocks=24064802_91468411_0_0_0__140067&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
CA,Los Angeles,Best Western Hollywood Plaza Inn Hotel - Hollywood Walk of Fame LA,72.0,386.513,https://www.booking.com/hotel/us/best-western-hollywood-plaza-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2f4040514b29008b&srepoch=1701421735&all_sr_blocks=5646614_346789571_4_0_0&highlighted_blocks=5646614_346789571_4_0_0&matching_block_id=5646614_346789571_4_0_0&sr_pri_blocks=5646614_346789571_4_0_0__107194&from=searchresults#hotelTmpl
