state,city,name,avg_score,price,reviews_url
Alabama,Birmingham,Campanile Hotel - Birmingham,77,204.378,https://www.booking.com/hotel/gb/campa-bham.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=8739_94348816_2_2_0&highlighted_blocks=8739_94348816_2_2_0&matching_block_id=8739_94348816_2_2_0&sr_pri_blocks=8739_94348816_2_2_0__44700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Alabama,Birmingham,Delta Hotels by Marriott Birmingham,81,440.396,https://www.booking.com/hotel/gb/birmingham-marriott.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=3697822_246419062_0_2_0&highlighted_blocks=3697822_246419062_0_2_0&matching_block_id=3697822_246419062_0_2_0&sr_pri_blocks=3697822_246419062_0_2_0__96320&nad_id=5726ec8c-1db1-46c2-a371-0b7c366e0abc_0&nad_cpc=0.45&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoyeVVTTlNzQnZCcTE2aUw0V1phdEFQV1lBbGNOaFE2aEY0MDZkY0dUUmQxaXUzeE5hVHlBU2RSZFZUdjQ3Yll6NTZiU3RIQ1prOVh4WVFYOE9aU3k3UkVCTzN2T0UxbkJkVE1LRlNmWE9UdWZablBlQWlkVGdlcERYczRiU3lYYW5IWDdXbnMvMWVuVUtOeCtkWHo4TzBqRUpEc1ViYmNnOUI2OHB6OWtPbUdMZHBpQzMwR3BPY0ZiTWEvakhJckV1WXRUQThtdWdNU0VmemdtTUxMTmc4OS9ZVTVzeHRSbHAyODhGanJZMlNJY2dpTVY4aHZKWmE0Q1AzOFJGdVh6YnRNTTM5c3JON2l4M3UzWGp5UVhkYkZaR3JMYjZ0a3QxSTdUSW1JRXFqSDdnNis1TXZ3V3J6ZXAvTExXZ0Z4RWw1TUUxdVpSMGZSbjZPd05XZlJrRCtjc0lIYitXZVRKRjVRc2ZhMjU5cWdKeGpjV0x0TjE2Y2o2Vkp3QWxtZGpWNktDVDcxVmRBUG9pZCtJYXNLb1BkOUdvWjAvY3ZoRERzaTlPZDhiMmlEVDZGN0E1UHd4ZGt0em1ZWmlqRkM3dU8vUnpNOWlnbWViMTU1M0xZVS91SStOR2FnTTdwbjFqejkvemowc3dxY0RCM2FoY2NvZ2R5T1pLMmFYVTRSdUNtajcvYzVvTDhRblZCM0xzMXpTcWEydm9Nd3RzWTFwVi9tQkNOUkJodFVsQ1Ava3dZTVRZNFErZHdGejVPYlczV3VZeGNzbXNpOUFvTDIvK3JVTVgzQzRzaEt4NnJXYWpMS3F1bGtBYzMvaURBRjNhaEJFcVlVOFdxZGV1bTlRRTNYWXV6UmZvdzFoZm5yWExXSG5YZktmbmIrUmlaVVJKak5ibDNJWDRjUVlDRkU2NktjdUF0TSt5NTlTeGw3eFVNQ29MZmRxY0RWNTlReG9GOU9PYWdmUTVHb2VWNC95RmtCS0FvY214QWVIamJXZXlORVRsYUh3cHhQNFFxUEpvVEtpVXNZZkpzWHp0MXEzN2NFM004OU5SckRqZjM0a1lZNnh6TDJtejhoMzFGbmRIZnVSLzZGZVppSDFLSEhnTVkzT1VXbC9lMGhHb1FQK2lMdHpEL0p5OG8xQjZySVFtWEZCZjlwRUtneXZtVW5kQkxnZUhVS2JkOU1Obm1YNGhPN1BRUCsvdmZ4ZGc2NFFBKzB3aEpxNUUzay9aRVNoRkRzU0VoUFF2a2wxWk5jMzkzQnpxbmxKcE0rVklxWk00SitTdW11eTBvKzh5SXhVbHA1dkx5WmN5L1ZiWndkWmNzMldkamxhRlFQTmpLNU1ENVpqTVF5WUd6Tjh2Qi9zcUdGUWdYWkNpMUhNTmdFZ3JwbEcyUXg1NDhpSU1sRWhhaGNiblY0SnhCbjFWOHdvdTlEU1RmRG9aeStGMWRTNHVRV3FzZ2I0QTJzeFhYVVFjWjV3akhJcGx1bVgyNGc1NENtVUQrNmdTbW5Pckhhdm1yUU9FZTExYTgweHdsbjlDZU5tR2g4WFZYeGI3UEVXREFjT2NzRy81di8zbGVlM2NkOXFwdnlra2lUcE1BdmVRdXB4cmRSYnpTQlIxUWNGRnEzc3NvV2dxUFZOQjJSUGYzV212S2dwa1d3TGZUNFdITWlLck4xWVFXZWM4ZGRZMVhMRUxNLzFMMTN6Z090Q0RjQjl5M3dKQmFOV3dta2pZMWNnb3ZkQVhqK0ZwaEMxL2dHdnhVckxpSU80QXJRaUNZc3FRMFVWbjB3cCtPMjN1bEMxWjl4dS9pbXpIeHZTVHRzYjk0RUxOMzdHTTIra29tRng0N1Rod2xJSzdDVjNncmo4NDlKL3k4SUNCRkNpY2V4eW9ZOGJqYmJXREZ6V1M4N0o0MENpdHJ6R0tlTDR1d3JPaDZMemUyY0RyYkowYUhXVWVueFdWZUk5eUFnQll6WmNYa1VBZ3hmeTRkUS9ncHNZbS92YmJRT0FRMWpVNE50NzVyU0Nlb0U4UWh3NWRabTExcXpEZDJRblh5VXZYRjhySjY1VGd0Q3VURVJXUWVZNEdrWWhKQUpUdkp1U1duL2J0L0hMRUMwVVZ5OTkxcnlreGlvUHFYbWJ3MlVVMU05dHJaUTNEMUlSV3FsOEI1Vll2MzVPTlFWRXRCR2RTVEJENUZVY0lJT2pGNG5Kd1g0bGNpUHZoK29RdnFJRnBMeEh3STBCR1NNR0xXNnk1YzgzR1JmL2pxZllVc01IaUFjUTBsbXRiTW5JaHlqSk42dDhMUUg4S09VZEhSZ3BSVGR5Q2tFdEEyWEpRMGRyQnJDMks2QWR1K3BvRUN2TVJHWW1pY3ljMXFreXJIeFdkNkhBYi9aMVdSMFljYlNMVnhRVWRhVGEySjhoakgxU2hOd2QyM1pEbDBNV2xjZVhRbUlCSCtiK1FRUzhaRitmK1BGZWVUZWFZNDhKMG9CL3FQUVMxVEtqclBHb0NxV0Z0VUdpOUw5Y3Z5YndPUEpEdk0yYnIyWHE2elVMMmV6dmdqMEcxZ2xLSXcvSXdSMlBVbnlWMFlwNVRTWDZ4d0xHcS94KzM2bCtXdnNmMDFzZ1Fud1FwWUJqVC9tYW5YNmJYOHpTT1Y5eE9qNTZLek82SDVMTVJVeUV6NUlwOVY2ZzZKV2NPYzl3Wkt5b2lueEFxL2FHbWk4bS8zUnRaSEc1QXVJc0VKMHJPK0NTYTBEaTYvWlp0ZGxUZzY3TENrSWZkSmp4MmxkZ0MwSjVrcWhSdWJXdXpsNkZyNzkrMVNDcTltcTJGZm1Ld0JZRnZDektBT1hVQ3lZSCtmak9VZFNsWE9rNS91T0c3TGlHOG82K3hKeUUrZUdKM3kydElUUGswcUY3NnpPdlErZDFVMGxrUnlMNzNlZWJXSkZHa2tCdTVXc29QN2NLR1ZrZG04T2hqWldUZFo3STVvTU5pZ3RpOStidmFZWDdxVUtaV0E1Uk5qWGNTeG8za3VwTEljTGpocGp0TU1aNktYbSs5anRkcDFhdjlDdlZsZlJEaTJJK1Exa1JIVG8xaDZSNVA5bFV2cFdDQ016eCtNMkI5NkVwaGZnNmR3NVdWM01VWk82ZDVZQXpHSnRFQ2gwck40cWZJMUhlUFdWRXArelNwaWdZVUhBRFJJSDJ2eU9Ycjg0WFJjYXBUMW9YZUsyT054Z1VMQXA4azlPMUFYdGFSU3JiSHlvdW5URE5VQU9BOVJ6OVVCNmlkQWFLblhJSFliVVV1WGFWQW9NQkxUTEZHb2ZGQ0w5dFNkZHFZdHdxSjFTOE8veEZkL1U0VkVCdnFsclQwM2k2WExSR0dZKzJIRHU1UTR0M3RGVVI1bFYvNTJQakxEbTk4NVhmUWxBSVpra25tQzZ0NTBQSWo1SGtqYmVhWk50c3ZibzJiaHo3TFVlU0JBdkNtTFh0Z2dFOVIyS21iY0h5NXhpRDJ4NllJa3F5N2FPRG9ZKzg4SWt3TiJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Alabama,Birmingham,ibis Birmingham Centre New Street Station Hotel,74,286.769,https://www.booking.com/hotel/gb/ibis-birmingham-centre.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=3528102_95156445_2_2_0&highlighted_blocks=3528102_95156445_2_2_0&matching_block_id=3528102_95156445_2_2_0&sr_pri_blocks=3528102_95156445_2_2_0__62720&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Alabama,Birmingham,ibis budget Birmingham Centre,67,247.412,https://www.booking.com/hotel/gb/etap-birmingham-centre.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=3390005_95154712_2_2_0&highlighted_blocks=3390005_95154712_2_2_0&matching_block_id=3390005_95154712_2_2_0&sr_pri_blocks=3390005_95154712_2_2_0__54112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Alabama,Birmingham,Hampton by Hilton Birmingham Jewellery Quarter,77,326.621,https://www.booking.com/hotel/gb/hampton-by-hilton-birmingham-city-north.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=50422504_91475321_2_1_0&highlighted_blocks=50422504_91475321_2_1_0&matching_block_id=50422504_91475321_2_1_0&sr_pri_blocks=50422504_91475321_2_1_0__71436&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Alabama,Birmingham,The Blue Piano Guesthouse,74,274.333,https://www.booking.com/hotel/gb/the-blue-piano-guesthouse.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=90684604_330824180_2_0_0&highlighted_blocks=90684604_330824180_2_0_0&matching_block_id=90684604_330824180_2_0_0&sr_pri_blocks=90684604_330824180_2_0_0__60000&from=searchresults#hotelTmpl
Alabama,Birmingham,"Holiday Inn Express Birmingham - Snow Hill, an IHG Hotel",76,304.071,https://www.booking.com/hotel/gb/holiday-inn-express-birmingham-snow-hill.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=54537307_91475861_2_41_0&highlighted_blocks=54537307_91475861_2_41_0&matching_block_id=54537307_91475861_2_41_0&sr_pri_blocks=54537307_91475861_2_41_0__66504&from=searchresults#hotelTmpl
Alabama,Birmingham,The Saltley Inn,62,96.017,https://www.booking.com/hotel/gb/the-saltley-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=562307101_384240414_0_0_0&highlighted_blocks=562307101_384240414_0_0_0&matching_block_id=562307101_384240414_0_0_0&sr_pri_blocks=562307101_384240414_0_0_0__21000&from=searchresults#hotelTmpl
Alabama,Birmingham,"Staybridge Suites Birmingham, an IHG Hotel",89,495.857,https://www.booking.com/hotel/gb/staybridge-birmingham.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=73587302_91476305_2_1_0&highlighted_blocks=73587302_91476305_2_1_0&matching_block_id=73587302_91476305_2_1_0&sr_pri_blocks=73587302_91476305_2_1_0__108450&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Alabama,Birmingham,Aparthotel Adagio Birmingham City Centre,88,290.793,https://www.booking.com/hotel/gb/aparthotel-adagio-birmingham-city-centre-birmingham.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=efa47456e553004f&srepoch=1701793973&all_sr_blocks=136326101_93780433_2_2_0&highlighted_blocks=136326101_93780433_2_2_0&matching_block_id=136326101_93780433_2_2_0&sr_pri_blocks=136326101_93780433_2_2_0__63600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
