hotel_id,direction,description,attributes,latitude,longitude,scores
108,"25 Via del Giardino Serristori, 50125 Florencia, Italia","El S2 - Tower se encuentra en el centro de Florencia, a poca distancia del Ponte Vecchio y la Galería de los Uffizi, y ofrece WiFi gratuita, aire acondicionado, nevera y cafetera. El establecimiento tiene vistas al jardín y a la ciudad y está a menos de 1 km del Palazzo Vecchio.

Este apartamento cuenta con cocina, zona de estar, zona de comedor y TV de pantalla plana. Se proporcionan toallas y ropa de cama.

Cerca del apartamento hay varios lugares de interés, como la Piazza della Signoria, la catedral de Santa Maria del Fiore y la Piazza del Duomo di Firenze. El aeropuerto más cercano es el de Florencia, ubicado a 12 km del S2 - Tower.",,43.7647605,11.2611136,[{'Estudio con vistas al jardín': '1 cama doble grande'}]
114,"5 Borgo San Jacopo, Santo Spirito, 50125 Florencia, Italia","L'Angolo di Ponte Vecchio se encuentra en el centro de Florencia, a poca distancia del Ponte Vecchio y la Galería de los Uffizi, y ofrece WiFi gratuita, aire acondicionado, nevera y cafetera. Se encuentra a 500 metros del Palazzo Vecchio y dispone de ascensor.

El apartamento tiene 1 dormitorio, TV de pantalla plana, lavadora, baño con bidet y cocina equipada con microondas y tostadora. Se proporcionan toallas y ropa de cama.

Cerca del apartamento hay varios lugares de interés, como la Piazza della Signoria, la catedral de Santa Maria del Fiore y la Piazza del Duomo di Firenze. El aeropuerto más cercano es el de Florencia, ubicado a 12 km de L'Angolo di Ponte Vecchio.","['Aire acondicionado', 'Calefacción', 'Mesa de comedor', 'WiFi gratis', 'Ascensor', 'Cafetera']",43.7676221,11.2521442,[{'Apartamento de 1 dormitorio': '1 cama doble extragrande'}]
119,"via dei Rustici 1A, Uffizi, 50122 Florencia, Italia","La Casa S a f e r ofrece alojamiento a 500 metros del centro de Florencia, con conexión WiFi gratuita y cocina con horno, tostadora y nevera. Este apartamento recientemente reformado se encuentra a 400 metros de la Piazza della Signoria y a 700 metros de la catedral de Santa Maria del Fiore. Los huéspedes pueden acceder al apartamento a través de una entrada privada.

Los alojamientos del complejo de apartamentos están equipados con cafetera. Todos los alojamientos del complejo de apartamentos disponen de baño privado con ducha y secador de pelo, TV de pantalla plana y aire acondicionado. Algunas habitaciones también tienen zona de estar. Los alojamientos del complejo de apartamentos incluyen ropa de cama y toallas.

El apartamento ofrece clases de yoga. Los huéspedes de la Casa S a f e r podrán disfrutar de actividades en Florencia y sus alrededores, como ciclismo.

En las inmediaciones hay varios lugares de interés, como la Piazza del Duomo di Firenze, la Galería de los Uffizi y la Galería de la Academia. El aeropuerto más cercano es el de Florencia, ubicado a 11 km de la Casa S a f e r.",,43.7685536,11.2587702,
346,"9 Via Vincenzo Borghini, Campo di Marte, 50133 Florencia, Italia","El The Place to Be! In Florence close to the centre ofrece vistas a la ciudad y se encuentra en Florencia, a 1,5 km de la iglesia de San Marcos de Florencia y a 1,7 km de la Galería de la Academia. Cuenta con terraza, vistas al río y conexión Wi-Fi gratuita en todo el establecimiento.

Este apartamento cuenta con aire acondicionado, 2 dormitorios, TV de pantalla plana vía satélite, zona de comedor y cocina con lavavajillas y horno. Se proporcionan toallas y ropa de cama.

El apartamento está a 2,7 km del centro de convenciones Fortezza da Basso y a 3 km de la Piazza del Duomo di Firenze. El aeropuerto más cercano es el de Florencia, ubicado a 9 km del The Place to Be! In Florence close to the centre.",,43.78823341,11.26823133,[]
354,"7 Piazza della Signoria, Uffizi, 50122 Florencia, Italia",El Signoria Deluxe Studio-2 people in Signoria Square se encuentra en Florencia.,"['¿Puedo llevar a mi mascota?', '¿Cuál es el horario de check-in y check-out?', '¿Se sirven desayunos?', '¿Hay habitaciones con bañera de hidromasaje?', '¿Hay habitaciones con balcón?', '¿Puedo aparcar aquí?', '¿Hay piscina?', '¿Hay spa?', '¿Hay restaurante?', '¿Hay habitaciones con vistas al mar?']",43.76991442,11.25645172,[{'Apartamento de 1 dormitorio': '1 cama doble'}]
684,"25 Via della Scala, Santa María Novella, 50123 Florencia, Italia","El Appartamento caratteristico Santa Maria Novella ofrece WiFi gratuita y se encuentra en el centro de Florencia, a 500 metros del palacio Strozzi y a 400 metros de Santa Maria Novella. Este apartamento está a menos de 1 km de la Piazza della Signoria y a 10 minutos a pie de la catedral de Santa Maria del Fiore.

El apartamento cuenta con aire acondicionado, 2 dormitorios, sala de estar, zona de cocina totalmente equipada con nevera y cafetera y 2 baños con bidet y ducha. Se proporcionan toallas y ropa de cama.

Cerca del apartamento hay varios lugares de interés, como el centro de convenciones Fortezza da Basso, la Galería de la Academia y la Piazza del Duomo di Firenze. El aeropuerto más cercano es el de Florencia, ubicado a 9 km del Appartamento caratteristico Santa Maria Novella.","['Aire acondicionado', '¿Puedo llevar a mi mascota?', '¿Cuál es el horario de check-in y check-out?', '¿Se sirven desayunos?', 'Calefacción', '¿Puedo aparcar aquí?', 'WiFi gratis', '¿Hay piscina?', '¿Hay spa?', '¿Hay restaurante?']",43.774017,11.24758,[]
727,"3 Via dei Pecori, Duomo, 50123 Florencia, Italia",,"['Aire acondicionado', '¿Puedo llevar a mi mascota?', '¿Cuál es el horario de check-in y check-out?', '¿Se sirven desayunos?', 'Calefacción', '¿Puedo aparcar aquí?', 'WiFi gratis', 'Ascensor', '¿Hay piscina?', '¿Hay spa?']",43.7726917,11.2532731,"[{'Personal': '9.5'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '10'}, {'Ubicación': '10'}]"
1048,"Auburn, 36832, Estados Unidos","El Auburn Condo with 2 Pools Less Than 2 Mi to University ofrece alojamiento con aire acondicionado y patio. se encuentra en Auburn. Este apartamento se encuentra a 3,6 km del estadio Jordan Hare y a 3,8 km de la Universidad de Auburn.

Este apartamento de 1 dormitorio cuenta con WiFi gratuita, TV de pantalla plana, lavadora y cocina con lavavajillas y horno. Se proporcionan toallas y ropa de cama.

El Museo de los Aeronáuticos de Tuskegee se encuentra a 25 km del apartamento, mientras que la Universidad de Tuskegee está a 30 km. El aeropuerto más cercano es el de Columbus, ubicado a 70 km del Auburn Condo with 2 Pools Less Than 2 Mi to University!.","['Parking adaptado para personas de movilidad reducida', 'Habitaciones sin humo', 'WiFi gratis', 'Piscina al aire libre', 'Parking en el alojamiento', 'Parking en la calle']",32.58542303,-85.5150572,
1062,"Auburn, 36832, Estados Unidos","El Auburn Condo with 2 Pools Less Than 2 Mi to University ofrece alojamiento con aire acondicionado y patio. se encuentra en Auburn. Este apartamento se encuentra a 3,6 km del estadio Jordan Hare y a 3,8 km de la Universidad de Auburn.

Este apartamento de 1 dormitorio cuenta con WiFi gratuita, TV de pantalla plana, lavadora y cocina con lavavajillas y horno. Se proporcionan toallas y ropa de cama.

El Museo de los Aeronáuticos de Tuskegee se encuentra a 25 km del apartamento, mientras que la Universidad de Tuskegee está a 30 km. El aeropuerto más cercano es el de Columbus, ubicado a 70 km del Auburn Condo with 2 Pools Less Than 2 Mi to University!.",,32.58542303,-85.5150572,
1121,"1 Via de' Barbadori, Santo Spirito, 50125 Florencia, Italia","El Acacia Firenze - Kiwi ofrece WiFi gratuita y se encuentra en el centro de Florencia, a 90 metros del Ponte Vecchio y a 300 metros de la Galería Uffizi. Se encuentra a 500 metros del Palazzo Vecchio y dispone de ascensor.

El apartamento dispone de aire acondicionado, 1 dormitorio, sala de estar, zona de cocina totalmente equipada con horno y cafetera y baño con bidet y secador de pelo. Se proporcionan toallas y ropa de cama.

Cerca del apartamento hay varios lugares de interés, como la Piazza della Signoria, la catedral de Santa Maria del Fiore y la Piazza del Duomo di Firenze. El aeropuerto más cercano es el de Florencia, ubicado a 12 km del Acacia Firenze - Kiwi.",,43.7674,11.25248,[{'Apartamento de 1 dormitorio': '1 cama doble grande'}]
1138,"VIA ARETINA, 45, Lungarno del Tempio, 50136 Florencia, Italia","El B&B IL TABERNACOLO es un bed and breakfast con salón compartido y vistas al jardín situado en un edificio histórico de Florencia, a 2,8 km de la Piazza della Signoria. Hay cocina compartida, consigna de equipaje y WiFi gratuita en todas las instalaciones. El alojamiento ofrece servicio de limpieza y registros de entrada y salida privados.

La catedral de Santa Maria del Fiore se encuentra a 2,9 km del bed and breakfast, mientras que la galería Uffizi está a 3,1 km. El aeropuerto más cercano es el de Florencia, ubicado a 12 km del B&B IL TABERNACOLO. Se proporciona servicio de enlace con el aeropuerto por un suplemento.","['Guardaequipaje', 'Aire acondicionado', 'Desayuno fantástico', 'Servicio de lavandería', 'Traslado aeropuerto', 'Habitaciones sin humo', 'Calefacción', 'Servicio de limpieza diario', '¿Se sirven desayunos?', 'WiFi gratis']",43.76929742,11.28472247,"[{'Habitación Doble con baño privado - 1 o 2 camas': '2 camas individualeso1 cama doble grande'}, {'Habitación Doble con baño privado - 1 o 2 camas': '2 camas individualeso1 cama doble grande'}, {'Habitación Cuádruple Estándar': '3 camas individualeso1 cama individualy1 cama doble grande'}, {'Habitación Doble Grande': '2 camas individualeso1 cama doble grande'}, {'Personal': '10.0'}, {'Instalaciones y servicios': '9.7'}, {'Limpieza': '9.9'}, {'Confort': '9.9'}, {'Relación calidad-precio': '9.8'}, {'Ubicación': '9.4'}, {'WiFi gratis': '9.8'}]"
