,hotel_id,direction,description,attributes,latitude,longitude,scores
0,16,"24232 Tahoe Court, Laguna Niguel, CA 92677, Estados Unidos","Breathtaking views, close to the ocean and canyon, que tiene piscina al aire libre, jardín y terraza, dispone de alojamiento en Laguna Niguel con wifi gratis y vistas a la ciudad. Esta villa tiene piscina privada, zona de barbacoa y parking privado gratis.

La villa se encuentra en la planta baja y dispone de 4 dormitorios, TV de pantalla plana y cocina totalmente equipada con nevera, lavavajillas, lavadora, horno y microondas. Hay toallas y ropa de cama en la villa.

En la villa, la clientela puede disfrutar de bañera de hidromasaje. Se puede descubrir la zona practicando senderismo en los alrededores y Breathtaking views, close to the ocean and canyon ofrece servicio de alquiler de bicicletas.

Fashion Island está a 24 km del alojamiento, y Centro comercial South Coast Plaza está a 28 km. El aeropuerto (Aeropuerto John Wayne) está a 24 km.","['Habitaciones familiares', '¿Hay spa?', 'Parking gratis', '¿Cómo y cuándo pago?', '¿Se sirven desayunos?', '¿Puedo aparcar aquí?', '¿Está abierta la piscina?', 'Piscina al aire libre', 'Habitaciones sin humo', 'WiFi gratis']",33.5521289,-117.7067532,[]
1,27,"220 20th Street, Newport Beach, CA 92663, Estados Unidos","Surf Casita está en Newport Beach, a 3 min a pie de Newport Beach y a 2,7 km de Santa Ana River Beach, y ofrece wifi gratis y aire acondicionado. La casa o chalet, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo y ciclismo.

La casa o chalet dispone de 2 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales vía satélite, zona de comedor, cocina totalmente equipada y patio con vistas al mar.

Fashion Island está a 8,1 km del alojamiento, y Centro comercial South Coast Plaza está a 11 km. El aeropuerto (Aeropuerto John Wayne) está a 11 km.","['Habitaciones familiares', 'Parking gratis', 'Veterans Memorial Park\n600 m', 'Las Arenas Park\n500 m', 'Newport Beach Pier\n250 m', '38th Street Park\n1,3 km', 'Habitaciones sin humo', 'WiFi gratis', 'Kings Road Park\n1,3 km', 'Marina Park\n400 m']",33.6091549,-117.9265016,[]
2,35,"Pacific Beach, San Diego, 92109-5890, Estados Unidos","Upscale Beach Rowhome with Rooftop and Bay Views! se encuentra en el barrio de Pacific Beach, en San Diego, a 5 min a pie de Sail Bay Beach y a 1,6 km de Crown Point Beach, y ofrece alojamiento equipado con balcón y wifi gratis. Esta casa o chalet ofrece alojamiento con patio.

Esta casa o chalet con aire acondicionado consta de 3 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y 3 baños con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en la casa o chalet.

Pacific Beach está a 1,9 km del alojamiento, y Mission Beach está a 1,9 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 8 km del alojamiento.","['Parking en el alojamiento', '¿Hay piscina?', '¿Hay spa?', '¿Cómo y cuándo pago?', '¿Se sirven desayunos?', '¿Puedo aparcar aquí?', '¿Hay restaurante?', '¿Puedo llevar a mi mascota?', 'Habitaciones sin humo', 'WiFi gratis']",32.7906811,-117.2402833,[]
3,39,"Julian Avenue 2054, San Diego, 92113, Estados Unidos","Victorian Retreat in Barrio Logan 1mi to Downtown se encuentra en San Diego, a 2,5 km de Centro de Convenciones de San Diego y a 4,4 km de Estación de Amtrak San Diego – Santa Fe Depot, y ofrece alojamiento con aire acondicionado, patio y wifi gratis. Esta casa o chalet está a 4,7 km de Museo USS Midway y a 5,1 km de Museo Marítimo de San Diego.

La casa o chalet tiene 3 dormitorios, una cocina con nevera y lavavajillas, y 3 baños con bañera, secador de pelo y lavadora. Hay toallas y ropa de cama en la casa o chalet.

Parque Balboa está a 5,2 km del alojamiento, y Zoo de San Diego está a 5,3 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 7 km.","['¿Hay spa?', '¿Hay piscina?', 'Parking gratis', '¿Cómo y cuándo pago?', '¿Se sirven desayunos?', '¿Puedo aparcar aquí?', '¿Hay restaurante?', '¿Puedo llevar a mi mascota?', '¿Cuáles son las condiciones del WiFi?', 'WiFi gratis']",32.701546,-117.1399437,[]
4,44,"4050 Albatross Street, Unit 4048, Hillcrest, San Diego, 92103, Estados Unidos","4048 Stylish condo in Hillcrest Mission Hills se encuentra en San Diego, a 3,2 km de Zoo de San Diego y a 3,7 km de Parque Balboa, y ofrece alojamiento con equipamiento como wifi gratis y TV. Ofrece balcón y terraza.

Esta casa o chalet con aire acondicionado se compone de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada con nevera y lavavajillas, y 3 baños.

Parque estatal del Centro Histórico de San Diego está a 3,8 km del alojamiento, y Museo Marítimo de San Diego está a 3,9 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 3 km del alojamiento.","['Habitaciones familiares', '¿Hay spa?', '¿Hay piscina?', 'Terraza', '¿Cómo y cuándo pago?', '¿Se sirven desayunos?', '¿Puedo aparcar aquí?', '¿Hay restaurante?', 'Habitaciones sin humo', 'WiFi gratis']",32.74663925,-117.16612244,[]
5,50,"1601 West 68th Street, Los Angeles Sur, Los Ángeles, CA 90047, Estados Unidos","Cozy Mid Century Modern Home, que cuenta con jardín, salón de uso común y terraza, ofrece alojamiento en Los Ángeles con wifi gratis y vistas al jardín. Se encuentra a 5,4 km de LA Memorial Coliseum y dispone de cocina compartida.

Esta habitación en casa particular tiene aire acondicionado y incluye zona de estar, cocina con nevera y TV. Hay toallas y ropa de cama en la habitación en casa particular.

Museo de Historia Natural de Los Ángeles está a 6 km del alojamiento, y Museo de Ciencia de California está a 7,2 km.","['Habitaciones familiares', 'Parking gratis', 'Terraza', 'Calefacción', 'Jardín', 'Aire acondicionado', 'Harvard Recreation Center\n600 m', 'Barbacoa', 'Habitaciones sin humo', 'Wifi rápida gratis (76 Mbps)']",33.97795478,-118.30478217,[]
6,164,"Mission Beach, San Diego, 92109, Estados Unidos","Beach-2-Bay 2br - In the Heart of Mission Beach está en el barrio de Mission Beach, en San Diego, a pocos pasos de Mission Beach y a menos de 1 km de Sail Bay Beach, y ofrece alojamiento equipado con patio y wifi gratis. Esta casa o chalet está a 17 min a pie de Pacific Beach y a 4,3 km de SeaWorld de San Diego.

Esta casa o chalet con aire acondicionado se compone de 2 dormitorios independientes, una cocina totalmente equipada con nevera y lavavajillas, y 1 baño. Hay toallas y ropa de cama en la casa o chalet.

Parque estatal del Centro Histórico de San Diego está a 7 km del alojamiento, y Sunset Cliffs está a 7,1 km. El aeropuerto (Aeropuerto internacional de San Diego) está a 7 km.","['Lavadora', 'Parking en la calle', 'Cocina', 'Parking gratis', 'Fogones', 'Utensilios de cocina', 'WiFi gratis', 'Horno']",32.77608871,-117.25215149,[]
7,227,"535 University Place, Hillcrest, San Diego, CA 92103, Estados Unidos","Fabulous New 4BR/3BA House in Mission Hills se encuentra en el barrio de Hillcrest, en San Diego, a 3,6 km de Zoo de San Diego y a 4,2 km de Parque Balboa, y ofrece alojamiento equipado con balcón y wifi gratis. El alojamiento, que está a 3,4 km de Parque estatal del Centro Histórico de San Diego, dispone de terraza y parking privado gratis.

Esta casa o chalet con aire acondicionado consta de 4 dormitorios y 3 baños con ducha, bañera y secador de pelo. La cocina está equipada con nevera, lavavajillas y horno, además de cafetera.

Museo Marítimo de San Diego está a 4,2 km del alojamiento, y Estación de Amtrak San Diego – Santa Fe Depot está a 4,4 km. El aeropuerto (Aeropuerto internacional de San Diego) está a 3 km.","['Habitaciones familiares', 'Sixth Avenue Playground - Balboa Park\n1,3 km', 'Maple Canyon Trail\n1,4 km', 'Parking gratis', 'Terraza', 'Mission Hills Park\n950 m', 'Wally Park\n1,5 km', 'Pioneer Park\n850 m', 'Habitaciones sin humo', 'WiFi gratis']",32.7481803,-117.1683354,[]
8,232,"1871 Julio Vilamajó, 70000 Colonia del Sacramento, Uruguay","Magnolio, que tiene vistas al jardín, dispone de alojamiento con jardín, terraza y zona de barbacoa a unos 15 min a pie de Playa urbana Real de San Carlos. Este alojamiento con aire acondicionado está a menos de 1 km de Playa Balneario Municipal y ofrece wifi gratis y parking privado en el propio alojamiento.

Este apartamento dispone de 1 dormitorio, cocina con nevera y horno, TV de pantalla plana, zona de estar y 1 baño con bidet. Hay toallas y ropa de cama en el apartamento.

Se puede descubrir la zona practicando pesca o ciclismo en los alrededores.

Playa El Álamo está a 2,1 km del alojamiento, y Puerta de la Ciudadela de Colonia está a 4,3 km. El aeropuerto (Aeroparque Jorge Newbery) está a 64 km.","['Habitaciones familiares', 'Parking gratis', 'Jardín', 'Barbacoa', 'Habitaciones sin humo', 'WiFi gratis']",-34.4410149,-57.8552667,"[{'Personal': '9.8'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '9.6'}, {'Ubicación': '9.4'}, {'WiFi gratis': '10'}]"
9,234,"215 Ituzaingó, 70000 Colonia del Sacramento, Uruguay","Casa, Ituzaingó 215 se encuentra en el barrio de Colonia del Sacramento Historic Quarter, en Colonia del Sacramento, a 3 min a pie de Playa de Rowing, a 1,5 km de Playa El Álamo y a 1,8 km de Playa Ferrando. Este apartamento está a 4 min a pie de Puerta de la Ciudadela de Colonia y a 400 metros de Calle de los Suspiros.

Este apartamento tiene aire acondicionado y dispone de 3 dormitorios y 3 baños con ducha y bañera. Hay wifi gratis en el apartamento, que también tiene una cocina y 3 baños.

El aeropuerto más cercano (Aeroparque Jorge Newbery) está a 61 km del alojamiento.","['Habitaciones familiares', 'Cocina', 'Ducha', 'Baño privado', 'Baño compartido', 'Aire acondicionado', 'Bañera', 'WiFi gratis']",-34.4702087,-57.8495838,"[{'Personal': '9.6'}, {'Instalaciones y servicios': '9.6'}, {'Limpieza': '9.6'}, {'Confort': '9.6'}, {'Relación calidad-precio': '9.6'}, {'Ubicación': '10'}]"
