hotel_id,direction,description,attributes,latitude,longitude,scores
39,"9204 Maybury Court, Tampa, FL 33615, Estados Unidos","El Summertime Oasis - Tampa se encuentra en Tampa, a 21 km de Adventure Island, a 22 km del Amalie Arena y de la Universidad del Sur de Florida. Ofrece aparcamiento privado gratuito y se encuentra a 15 km del estadio Raymond James y a 20 km de los jardines Busch.

La casa está a 29 km del anfiteatro 1 800 Ask Gary y a 31 km del muelle 60. El aeropuerto más cercano es el aeropuerto internacional de Tampa, ubicado a 11 km del Summertime Oasis - Tampa.","['Inglés', 'Preguntas frecuentes sobre el coronavirus (COVID-19)', 'Prohibido fumar en todo el alojamiento', 'Parking gratis', 'Programa de fidelización Genius', 'Gestiona tus viajes', 'Español', 'Atención al cliente', 'Centro de recursos sobre seguridad']",28.0204407,-82.5896479,[]
78,"3077 Tom Sawyer Drive, Kissimmee, 34746, Estados Unidos","El Thematic House w Pool in Resort w Clubhouse se encuentra en Kissimmee y ofrece alojamiento con aire acondicionado y balcón. Esta casa también tiene piscina privada.

Casa con conexión WiFi gratuita, TV, lavadora y cocina con lavavajillas y horno. Se proporcionan toallas y ropa de cama.

La casa también cuenta con un equipo de juegos al aire libre.

Gatorland y Disney Springs se encuentran a 10 km del Thematic House w Pool in Resort w Clubhouse. El aeropuerto internacional de Orlando, el más cercano, queda a 30 km.","['Parking gratis', 'Servicio de lavandería', 'Barbacoa', 'WiFi gratis', '2 piscinas']",28.340769,-81.477745,[]
79,"4373 Quote Street, Kissimmee, FL 34746, Estados Unidos","El 4BD Encanto home w/Free water park at Storey lake se encuentra en Kissimmee, Florida, y ofrece un patio. El establecimiento cuenta con piscina privada y aparcamiento privado gratuito.

Esta casa de 4 dormitorios cuenta con aire acondicionado, zona de estar, TV por cable y cocina con nevera.

La casa cuenta con sala de fitness. El 4BD Encanto home cuenta con parque acuático gratuito en el lago Storey.

Gatorland y Disney Springs se encuentran a 12 km. El aeropuerto más cercano es el aeropuerto internacional de Orlando, ubicado a 32 km del 4BD Encanto home w/Free water park at Storey lake.","['Parque acuático', 'Parking gratis', 'Bar', 'Barbacoa', 'Habitaciones familiares', 'Piscina al aire libre']",28.329329,-81.455821,
221,"3107 Sun Lake Court, Celebration, Orlando, FL 34747, Estados Unidos","El Mejor ubicacion y confort Best location & comfort se encuentra en Orlando, a 7 km del Disney's Animal Kingdom y a 7,9 km del parque acuático Disney's Blizzard Beach, y ofrece alojamiento con WiFi gratuita, aire acondicionado, centro de fitness y terraza. El establecimiento cuenta con mesa de billar, pista de tenis y aparcamiento privado gratuito.

El apartamento cuenta con balcón, 2 dormitorios, sala de estar y cocina bien equipada con nevera y lavavajillas. Hay TV de pantalla plana.

El apartamento cuenta con bañera de hidromasaje.

El ESPN Wide World of Sports se encuentra a 8,6 km del Mejor ubicacion y confort Best location & comfort, mientras que el paseo marítimo de Disney está a 9,3 km. El aeropuerto internacional de Orlando, el más cercano, queda a 33 km.","['Aire acondicionado', 'Gimnasio', 'Parking gratis', 'Terraza', 'WiFi gratis', 'Piscina al aire libre']",28.3409086,-81.6021414,[]
226,"Orlando, 32819, Estados Unidos",,"['Aire acondicionado', 'Parking gratis', 'Barbacoa', 'Habitaciones sin humo', 'WiFi gratis', 'Ascensor', 'Piscina']",28.428467,-81.450258,[]
231,"2616 Roadster Lane, Celebration, Orlando, FL 34746, Estados Unidos","El AMAZING vacation house.Mins to Disney Regal oasks ofrece vistas al lago y alojamiento con bañera al aire libre y patio a unos 7,5 km del ESPN Wide World of Sports. También cuenta con recepción 24 horas, seguridad de día completo y WiFi gratuita en todas las instalaciones. Piscina con vistas, salas para reuniones y banquetes, gimnasio, chimenea al aire libre, baño termal, bañera de hidromasaje y parque acuático están a disposición de nuestros huéspedes.

La villa cuenta con reproductor de Blu-ray, cocina totalmente equipada con lavavajillas, horno y microondas, sala de estar con zona de estar y zona de comedor, 2 dormitorios y 2 baños con ducha a ras de suelo y bañera de hidromasaje. El alojamiento dispone de aire acondicionado, terraza con zona de comedor al aire libre y TV de pantalla plana con servicios de streaming. La villa ofrece ropa de cama, toallas y servicio de lavandería.

En la villa, el restaurante familiar está abierto para la cena, el almuerzo y los cócteles y sirve cocina americana.

En la sala de fitness se imparten clases de yoga y fitness. Para los huéspedes con niños, INCREÍBLE casa de vacaciones.El Mins to Disney Regal oasks cuenta con piscina infantil, zona de juegos cubierta y equipo de juegos al aire libre. También hay una puerta de seguridad para bebés y un jardín.

Disney's Hollywood Studios está a 7,8 km del AMAZING vacation house.Mins to Disney Regal oasks, mientras que el parque acuático Disney's Blizzard Beach está a 8,1 km. El aeropuerto más cercano es el aeropuerto internacional de Orlando, ubicado a 32 km de la villa.",,28.322658,-81.516447,[]
234,"Celebration, Orlando, FL 34747, Estados Unidos","El Modern Home With Private Pool Near Disney By Encore Resort cuenta con piscina al aire libre, centro de fitness, salón compartido y terraza. El At Reunion by Rentyl - 7738F se encuentra en el distrito Celebration de Orlando, a solo 11 km del parque temático Disney's Animal Kingdom. El alojamiento está a 13 km del parque acuático Disney's Blizzard Beach y cuenta con aire acondicionado, aparcamiento privado y WiFi gratuita.

La casa cuenta con 6 dormitorios, cocina con nevera y lavavajillas y 6 baños con ducha, secador de pelo y lavadora. Se proporcionan toallas y ropa de cama.

El personal de la recepción habla inglés, español y portugués.

La casa cuenta con parque infantil. El Modern Home With Private Pool Near Disney By Encore Resort alberga un parque acuático y un club infantil. Reunion by Rentyl - 7738F.

El ESPN Wide World of Sports se encuentra a 14 km del alojamiento, mientras que el paseo marítimo de Disney está a 15 km. El aeropuerto más cercano es el aeropuerto internacional de Orlando, ubicado a 41 km del Modern Home With Private Pool Near Disney By Encore Resort At Reunion by Rentyl - 7738F.","['Gimnasio', 'Parking gratis', 'Parque acuático', 'Servicio de habitaciones', 'Bar', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', '2 restaurantes', 'Piscina al aire libre']",28.2948037,-81.5974893,[]
259,"615 Wildwood Parkway, Cabo Coral, FL 33904, Estados Unidos","El The Max se encuentra en Cape Coral y ofrece bicicletas de uso gratuito, piscina al aire libre, jardín, WiFi gratuita y vistas a la piscina. Se encuentra a 48 km de Fishermen's Village y ofrece salón compartido y aparcamiento privado gratuito.

La casa cuenta con aire acondicionado, 3 dormitorios, sala de estar, cocina totalmente equipada con nevera y hervidor de agua y 2 baños con ducha y secador de pelo. Se proporcionan toallas y ropa de cama.

El establecimiento cuenta con solárium. En las inmediaciones se puede practicar ciclismo.

El The Max está a 27 km de la Cámara de Comercio de Sanibel y a 30 km del faro de Sanibel. El aeropuerto más cercano es el aeropuerto internacional Southwest Florida, ubicado a 28 km.","['Parking gratis', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', 'Piscina al aire libre']",26.5851316,-81.9605774,"[{'Personal': '10'}, {'Instalaciones y servicios': '9.6'}, {'Limpieza': '10'}, {'Confort': '9.6'}, {'Relación calidad-precio': '9.6'}, {'Ubicación': '9.6'}]"
267,"Orlando, 32819, Estados Unidos","El Vista Cay Casa Bonita se encuentra en el distrito Universal Orlando Resort Area de Orlando, a 1,4 km del centro de convenciones de Orange County, a 3,3 km del The Wheel at ICON Park Orlando y a 4,1 km del SeaWorld Orlando. Ofrece piscina privada, WiFi gratuita y aparcamiento privado gratuito.

Esta casa cuenta con aire acondicionado, 3 dormitorios, TV y cocina con lavavajillas y microondas.

El SeaWorld's Discovery Cove se encuentra a 5 km de la casa, mientras que Universal Studios Orlando está a 7 km. El aeropuerto más cercano es el aeropuerto internacional de Orlando, ubicado a 14 km del Vista Cay Casa Bonita townhouse.",,28.430791,-81.451235,[]
272,"5406 Riverhills Drive, Tampa, FL 33617, Estados Unidos","El Tampa/T.T. Pool Home near Bush Gardens & Hard Rock se encuentra en Tampa y ofrece alojamiento con aire acondicionado, piscina privada, vistas a la piscina y patio. Ofrece terraza, aparcamiento privado gratuito y WiFi gratuita. Este establecimiento para no fumadores se encuentra a 3,7 km de los jardines Busch.

La villa es amplia y cuenta con 4 dormitorios, TV de pantalla plana con servicios de streaming y cocina totalmente equipada con lavavajillas, microondas, lavadora, tostadora y nevera. La villa proporciona toallas y ropa de cama. El establecimiento cuenta con zona de comedor al aire libre.

También hay un jardín.

La villa está a 3,9 km de Adventure Island y a 5,5 km de la Universidad del Sur de Florida. El aeropuerto más cercano es el aeropuerto internacional de Tampa, ubicado a 18 km del Tampa/T.T. Pool Home near Bush Gardens & Hard Rock.",,28.0258572,-82.3966896,"[{'Personal': '10'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '10'}, {'Ubicación': '10'}]"
281,"East 4th Avenue 1804, Tampa, 33605, Estados Unidos","Boasting air-conditioned accommodation with a patio, Casa Romeo - Luxury Ybor Apt, Steps to 7th Ave is situated in Tampa. Both free WiFi and parking on-site are accessible at the apartment free of charge. The property is non-smoking and is set 3.6 km from Amalie Arena.

The apartment has 1 bedroom, a TV with cable channels, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 1 bathroom with a bath. Towels and bed linen are available in the apartment. For added privacy, the accommodation features a private entrance.

Raymond James Stadium is 8.2 km from Casa Romeo - Luxury Ybor Apt, Steps to 7th Ave, while 1 800 Ask Gary Amphitheatre is 11 km from the property. The nearest airport is Tampa International Airport, 8 km from the accommodation.",,27.9579807,-82.4393407,[{'Apartamento': '1 sofá camay1 cama doble grande'}]
