,hotel_id,direction,description,attributes,latitude,longitude,scores
0,16,"24232 Tahoe Court, Laguna Niguel, CA 92677, Estados Unidos","El Breathtaking views, close to the ocean and canyon se encuentra en Laguna Niguel y ofrece piscina al aire libre, jardín, terraza, WiFi gratuita y vistas a la ciudad. Esta villa cuenta con piscina privada, zona de barbacoa y aparcamiento privado gratuito.

La villa está situada en la planta baja y cuenta con 4 dormitorios, TV de pantalla plana y cocina totalmente equipada con nevera, lavavajillas, lavadora, horno y microondas. La villa proporciona toallas y ropa de cama.

La villa cuenta con bañera de hidromasaje. En los alrededores se puede practicar senderismo. El establecimiento ofrece servicio de alquiler de bicicletas y goza de vistas impresionantes, cerca del océano y del cañón.

Fashion Island se encuentra a 24 km del alojamiento, mientras que South Coast Plaza está a 28 km. El aeropuerto más cercano es el aeropuerto John Wayne, a 24 km del Breathtaking views, close to the ocean and canyon.","['Parking gratis', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', 'Piscina al aire libre']",33.5521289,-117.7067532,[]
1,27,"220 20th Street, Newport Beach, CA 92663, Estados Unidos","Set 8.1 km from Fashion Island, 11 km from South Coast Plaza and 30 km from Anaheim Convention Center, Surf Casita features accommodation located in Newport Beach. The air-conditioned accommodation is 300 metres from Newport Beach, and guests can benefit from complimentary WiFi and private parking available on site. The property is non-smoking and is situated 2.7 km from Santa Ana River Beach.

The holiday home features 2 bedrooms, 1 bathroom, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a patio with sea views. Guests can enjoy a meal on an outdoor dining area while overlooking the quiet street views. For added privacy, the accommodation features a private entrance.

Guests at the holiday home will be able to enjoy activities in and around Newport Beach, like cycling and hiking.

Knotts Berry Farm is 31 km from Surf Casita, while Queen Mary is 35 km from the property. The nearest airport is John Wayne Airport, 11 km from the accommodation.",,33.6091549,-117.9265016,[]
2,35,"Pacific Beach, San Diego, 92109-5890, Estados Unidos","El Upscale Beach Rowhome with Rooftop and Bay Views está situado en San Diego, a 400 metros de la playa de Sail Bay y a 1,6 km de la playa de Crown Point. Ofrece alojamiento con aire acondicionado, balcón y WiFi gratuita. Esta casa cuenta con patio.

Esta casa de 3 dormitorios cuenta con sala de estar con TV de pantalla plana por cable, cocina totalmente equipada con lavavajillas y horno y 3 baños con secador de pelo. Se proporcionan toallas y ropa de cama.

La playa Pacific y la playa Mission se encuentran a 1,9 km de la casa. El aeropuerto más cercano es el aeropuerto internacional de San Diego, ubicado a 8 km del Upscale Beach Rowhome with Rooftop and Bay Views!.","['Tostadora', 'Parking adaptado para personas de movilidad reducida', 'Habitaciones sin humo', 'Fogones', 'Horno', 'WiFi gratis', 'Parking en el alojamiento']",32.7906811,-117.2402833,[]
3,39,"Julian Avenue 2054, San Diego, 92113, Estados Unidos","El Victorian Retreat in Barrio Logan 1mi to Downtown se encuentra en San Diego, a 2,5 km del centro de convenciones de San Diego y a 4,4 km de la estación de Amtrak de San Diego - Santa Fe Depot, y ofrece alojamiento con aire acondicionado, patio y WiFi gratuita. El establecimiento está a unos 5,1 km del Museo Marítimo de San Diego, a 5,2 km del parque Balboa y a 5,3 km del zoológico de San Diego. Este establecimiento para no fumadores se encuentra a 4,7 km del Museo USS Midway.

La casa es amplia y cuenta con 3 dormitorios, TV y cocina totalmente equipada con lavavajillas, horno, lavadora, microondas y nevera. Se proporcionan toallas y ropa de cama. El alojamiento cuenta con entrada privada.

La casa está a 10 km del parque histórico estatal del centro histórico de San Diego y a 12 km de la Universidad de San Diego. El aeropuerto más cercano es el aeropuerto internacional de San Diego, ubicado a 7 km del Victorian Retreat in Barrio Logan 1mi to Downtown.","['Parking gratis', 'Cocina', 'Utensilios de cocina', 'Fogones', 'Horno', 'WiFi gratis', 'Lavadora', 'Parking en la calle']",32.701546,-117.1399437,[]
4,44,"4050 Albatross Street, Unit 4048, Hillcrest, San Diego, 92103, Estados Unidos","El 4048 Stylish condo in Hillcrest Mission Hills ofrece alojamiento amplio con aire acondicionado, balcón y WiFi gratuita en San Diego, a 3,2 km del zoológico de San Diego y a 3,7 km del parque Balboa. Se encuentra a 3,9 km del Museo Marítimo de San Diego y ofrece consigna de equipaje. Este establecimiento para no fumadores se encuentra a 3,8 km del parque histórico estatal del centro histórico de San Diego.

La casa dispone de 2 dormitorios, sala de estar con TV, cocina totalmente equipada con lavavajillas y horno y 3 baños con secador de pelo. El alojamiento cuenta con entrada privada.

La estación de Amtrak de San Diego - Santa Fe Depot se encuentra a 4,1 km de la casa, mientras que el Museo USS Midway está a 5 km. El aeropuerto más cercano es el aeropuerto internacional de San Diego, ubicado a 3 km del 4048 Stylish condo in Hillcrest Mission Hills.",,32.74663925,-117.16612244,[]
5,50,"1601 West 68th Street, Los Angeles Sur, Los Ángeles, CA 90047, Estados Unidos","El Cozy Mid Century Modern Home se encuentra en el distrito Sur de Los Ángeles y ofrece aire acondicionado, terraza y vistas al jardín. Cuenta con patio y chimenea al aire libre.

Este alojamiento familiar cuenta con conexión WiFi gratuita, TV, lavadora y cocina con horno y nevera. Se proporcionan toallas y ropa de cama.

El establecimiento alberga una zona de picnic. Los huéspedes también pueden relajarse en el jardín o en la zona de salón compartida.

El Cozy Mid Century Modern Home está a 5,4 km del LA Memorial Coliseum y a 6 km del Museo de Historia Natural del Condado de Los Ángeles.","['Wifi rápida gratis (76 Mbps)', 'Aire acondicionado', 'Parking gratis', 'Jardín', 'Barbacoa', 'Habitaciones sin humo', 'Calefacción', 'Terraza', 'Habitaciones familiares']",33.97795478,-118.30478217,[{'Habitación Triple con baño privado': '1 cama individualy1 cama dobley1 cama doble grande'}]
6,164,"Mission Beach, San Diego, 92109, Estados Unidos","El Beach-2-Bay 2br - In the Heart of Mission Beach tiene patio y se encuentra en San Diego, a menos de 1 km de la playa de Sail Bay y a 17 minutos a pie de la playa Pacific. Hay WiFi y aparcamiento gratuitos. Este establecimiento para no fumadores se encuentra a 100 metros de la playa Mission.

La casa cuenta con aire acondicionado, 2 dormitorios independientes, baño y cocina totalmente equipada con lavavajillas y horno. Se proporcionan toallas y ropa de cama. El alojamiento cuenta con entrada privada.

El Beach-2-Bay 2br - In the Heart of Mission Beach se encuentra a 4,3 km del SeaWorld San Diego y a 7 km del parque histórico estatal Old Town San Diego. El aeropuerto internacional de San Diego es el más cercano y queda a 7 km.","['Parking gratis', 'Cocina', 'Utensilios de cocina', 'Fogones', 'Horno', 'WiFi gratis', 'Lavadora', 'Parking en la calle']",32.77608871,-117.25215149,[]
7,227,"535 University Place, Hillcrest, San Diego, CA 92103, Estados Unidos","El Fabulous New 4BR/3BA House in Mission Hills se encuentra en San Diego y ofrece alojamiento con aire acondicionado y balcón. Ofrece terraza, aparcamiento privado gratuito y WiFi gratuita.

La casa tiene 4 dormitorios, TV de pantalla plana con servicios de streaming, cocina equipada con lavavajillas y horno, lavadora y 3 baños con bañera. Se proporcionan toallas y ropa de cama.

La casa está a 3,4 km del parque histórico estatal del centro histórico de San Diego y a 3,6 km del zoológico de San Diego. El aeropuerto más cercano es el aeropuerto internacional de San Diego, ubicado a 3 km del Fabulous New 4BR/3BA House in Mission Hills.","['Parking gratis', 'Habitaciones sin humo', 'Terraza', 'Habitaciones familiares', 'WiFi gratis']",32.7481803,-117.1683354,[]
8,232,"1871 Julio Vilamajó, 70000 Colonia del Sacramento, Uruguay","El Magnolio se encuentra en Colonia del Sacramento, cerca de la playa municipal Balneario y a 15 minutos a pie de la playa urbana Real de San Carlos, y ofrece patio con vistas al jardín, jardín y zona de barbacoa. Ofrece terraza, aparcamiento privado gratuito y WiFi gratuita. Este establecimiento para no fumadores se encuentra a 2,1 km de la playa El Álamo.

El apartamento es amplio y cuenta con 1 dormitorio, TV de pantalla plana con servicios de streaming y cocina totalmente equipada con horno, microondas, lavadora, nevera y fogones. Alojamiento con aire acondicionado, vestidor y chimenea. El establecimiento cuenta con zona de comedor al aire libre.

En Colonia del Sacramento y sus alrededores se pueden practicar diversas actividades, como ciclismo y pesca.

El Magnolio se encuentra a 4,3 km de la Puerta de la Ciudadela de Colonia y a 4,5 km de la calle de los Suspiros. El aeropuerto Jorge Newbery es el más cercano y queda a 64 km.","['Parking gratis', 'Jardín', 'Barbacoa', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis']",-34.4410149,-57.8552667,
9,234,"215 Ituzaingó, 70000 Colonia del Sacramento, Uruguay","La Casa, Ituzaingó 215 ofrece alojamiento con WiFi gratuita en Colonia del Sacramento, a 300 metros de la playa de Rowing, a 1,5 km de la playa El Álamo y a 1,8 km de la playa Ferrando. Este apartamento está bien situado en el barrio histórico de Colonia del Sacramento, a 400 metros de la calle de los Suspiros. Este establecimiento para no fumadores se encuentra a 400 metros de la puerta de entrada a la ciudadela de Colonia.

El apartamento cuenta con aire acondicionado, 3 dormitorios, cocina totalmente equipada y 3 baños. El apartamento también cuenta con 3 baños con bañera y ducha.

El aeropuerto más cercano es el aeropuerto Jorge Newbery Airfield, ubicado a 61 km del apartamento.","['Ducha', 'Aire acondicionado', 'Baño compartido', 'Cocina', 'Habitaciones familiares', 'Baño privado', 'WiFi gratis', 'Bañera']",-34.4702087,-57.8495838,"[{'Personal': '9.6'}, {'Instalaciones y servicios': '9.6'}, {'Limpieza': '9.6'}, {'Confort': '9.6'}, {'Relación calidad-precio': '9.6'}, {'Ubicación': '10'}]"
