hotel_id,direction,description,attributes,latitude,longitude,scores
3,"Peachtree Street Northeast, Atlanta, GA 30308, Estados Unidos","El Modern Midtown Oasis se encuentra en Atlanta y ofrece alojamiento con piscina en la azotea, WiFi gratuita y aparcamiento privado gratuito. El apartamento tiene patio. Este establecimiento para no fumadores se encuentra a 200 metros del teatro FOX.

El apartamento es amplio y cuenta con 1 dormitorio, 1 baño, ropa de cama, toallas, TV de pantalla plana con servicios de streaming, zona de comedor, cocina totalmente equipada y balcón con vistas a la piscina. El alojamiento cuenta con aire acondicionado, bañera y vestidor. El alojamiento cuenta con entrada privada.

El establecimiento alberga un bar.

Cerca del apartamento hay varios lugares de interés, como el parque Piedmont, el NEW World of Coca-Cola y el Centro Nacional de Derechos Civiles y Humanos. El aeropuerto más cercano es el aeropuerto internacional Hartsfield-Jackson de Atlanta, ubicado a 16 km del Modern Midtown Oasis.","['Gimnasio', 'Parking gratis', 'Barbacoa', 'Habitaciones sin humo', 'WiFi gratis', 'Piscina al aire libre']",33.7734516,-84.3844208,[]
29,"3205 Cumberland Boulevard Southeast 537, Atlanta, GA 30339, Estados Unidos","El Beautiful 2 Bedroom 1 mile from Braves Stadium ofrece vistas a la piscina y alojamiento con piscina al aire libre, centro de fitness y zona de barbacoa a 1,2 km del centro de energía Cobb. Hay WiFi y aparcamiento gratuitos. En los días despejados, los huéspedes pueden salir a disfrutar de la chimenea al aire libre del apartamento o relajarse.

El apartamento es amplio y cuenta con 2 dormitorios, TV de pantalla plana con servicios de streaming, cocina totalmente equipada con lavavajillas y horno, lavadora y 2 baños con bañera. Alojamiento con aire acondicionado, vestidor y chimenea. Para mayor privacidad, el alojamiento tiene una entrada privada y está protegido por seguridad de día completo.

El restaurante familiar del Beautiful 2 Bedroom 1 mile from Braves Stadium está especializado en cocina americana y abre para el almuerzo y el brunch.

El complejo de apartamentos tiene una zona de picnic donde podrá pasar un día al aire libre.

El parque Truist se encuentra a 2,1 km del alojamiento, mientras que el centro histórico de Atlanta está a 10 km. El aeropuerto más cercano es el de DeKalb-Peachtree, ubicado a 20 km del Beautiful 2 Bedroom 1 mile from Braves Stadium.","['Tipo de cocina\nAmericana', 'Gimnasio', 'Parking gratis', 'Restaurante', 'Barbacoa', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis', 'Abierto para\nDesayuno • Brunch • Almuerzo', 'Piscina al aire libre']",33.877835,-84.4620583,[]
137,"1700 Southwest 16 Court, Gainesville, 32608, Estados Unidos","El ConCrete Suite 5 Min Walk to Shands UF se encuentra en Gainesville, a 1,3 km de la Universidad de Florida y a 3,1 km del estadio Ben Hill Griffin, y ofrece aire acondicionado. Esta casa se encuentra a 50 km de Ginnie Springs y a 1,3 km del Museo de Arte Harn.

Esta casa de 2 dormitorios cuenta con conexión WiFi gratuita, TV y cocina con horno y microondas. Se proporcionan toallas y ropa de cama.

La casa cuenta con piscina al aire libre.

El ConCrete Suite 5 Min Walk to Shands UF se encuentra a 7 km del estadio Regal Cinemas Royal Park y a 18 km del circuito de carreras de Gainesville. El aeropuerto regional de Gainesville, el más cercano, queda a 10 km.","['Parking gratis', 'Utensilios de cocina', 'Fogones', 'Horno', 'WiFi gratis', 'Piscina al aire libre', 'Parking en la calle']",29.63468361,-82.34216309,
182,"1429 Johns Road, Augusta, GA 30904, Estados Unidos",,"['Parking gratis', 'Secadora de ropa', 'Cocina', 'Habitaciones sin humo', 'Fogones', 'Horno', 'WiFi gratis']",33.4690628,-82.0206879,[]
190,"2132 Drew Valley Road Northeast, Atlanta, GA 30319, Estados Unidos","El Haven, recientemente renovado, se encuentra en Brookhaven y ofrece alojamiento con aire acondicionado y patio. Se encuentra en Atlanta. El establecimiento cuenta con balcón, aparcamiento privado gratuito y WiFi gratuita.

Esta casa de 3 dormitorios cuenta con sala de estar con TV de pantalla plana con servicios de streaming, cocina totalmente equipada con lavavajillas y horno y 2 baños con ducha a ras de suelo. Se proporcionan toallas y ropa de cama.

El establecimiento alberga un jardín.

La casa se encuentra a 7,8 km del centro histórico de Atlanta y a 11 km del jardín botánico de Atlanta. El aeropuerto más cercano es el de DeKalb-Peachtree, ubicado a 2 km del Recently renovated Haven in Brookhaven.",,33.8520542,-84.3217241,[]
191,"825 Erin Avenue Southwest, Atlanta, GA 30310, Estados Unidos","El Cozy 2BR House in vibrante ATL se encuentra en Atlanta, a 4,1 km del estadio Georgia State y a 4,7 km del estadio Mercedes-Benz, y ofrece jardín y aire acondicionado. Esta casa se encuentra a 5,9 km del centro de congresos Georgia World y a 5,9 km del College Football Hall of Fame.

Esta casa de 2 dormitorios cuenta con conexión WiFi gratuita, TV de pantalla plana, lavadora y cocina con horno y nevera. Se proporcionan toallas y ropa de cama.

La casa está a 5,7 km del estadio State Farm Arena y a 5,9 km del zoológico de Atlanta. El aeropuerto más cercano es el aeropuerto internacional Hartsfield-Jackson de Atlanta, ubicado a 8 km del Cozy 2BR House in vibrante ATL.",,33.7194748,-84.4149937,[]
197,"Savannah, 31401, Estados Unidos","In the heart of Savannah, set within a short distance of Cathedral of St John the Baptist and Lafayette Square, Radiant Estate in Savannah offers free WiFi, air conditioning and household amenities such as a dishwasher and coffee machine. This holiday home offers free private parking and a 24-hour front desk. The property is non-smoking and is situated 600 metres from Oglethorpe Square.

The spacious holiday home is fitted with 5 bedrooms, 5 bathrooms, bed linen, towels, a flat-screen TV with streaming services, a dining area, a fully equipped kitchen, and a balcony with inner courtyard views. Guests can take in the ambience of the surroundings from an outdoor dining area or keep themselves warm by the fireplace on colder days. For added privacy, the accommodation features a private entrance.

A baby safety gate is also available at the holiday home, while guests can also relax in the garden.

Popular points of interest near Radiant Estate in Savannah include Washington Square, Owens-Thomas Museum and Madison Square. The nearest airport is Savannah/Hilton Head International Airport, 15 km from the accommodation.","['Parking gratis', 'Recepción 24 horas', 'Habitaciones sin humo', 'Habitaciones familiares', 'WiFi gratis']",32.07294464,-81.08789825,[]
203,"Savannah, 31401, Estados Unidos","In the heart of Savannah, set within a short distance of Cathedral of St John the Baptist and Lafayette Square, 3 Bedroom Liberty House in Downtown with Parking offers free WiFi, air conditioning and household amenities such as a microwave and kettle. Guests staying at this holiday home have access to a balcony. The accommodation offers a 24-hour front desk, and luggage storage for guests.

The spacious holiday home has 3 bedrooms, a TV, a fully equipped kitchen with a dishwasher and an oven, a washing machine, and 3 bathrooms with a bath. Towels and bed linen are offered in the holiday home. The property has an outdoor dining area.

Guests can relax in the garden at the property.

Popular points of interest near the holiday home include Oglethorpe Square, Washington Square and Owens-Thomas Museum. The nearest airport is Savannah/Hilton Head International Airport, 15 km from 3 Bedroom Liberty House in Downtown with Parking.","['Trona', 'Tostadora', 'Recepción 24 horas', 'Habitaciones sin humo', 'Mesa de comedor', 'Fogones', 'WiFi gratis']",32.07294464,-81.08789825,[]
424,"2389 Heritage Park Circle, Kennesaw, GA 30144, Estados Unidos","Featuring a spa bath, Villa Arcadia Great Townhome near KSU is located in Kennesaw. The air-conditioned accommodation is 19 km from Truist Park, and guests can benefit from complimentary WiFi and private parking available on site. Atlantic Station is 33 km from the villa and High Museum of Art is 34 km away.

This villa is equipped with 3 bedrooms, a kitchen with a dishwasher and an oven, a flat-screen TV, a seating area and 3 bathrooms equipped with a walk-in shower. Towels and bed linen are provided in the villa. This villa is allergy-free and non-smoking.

Guests can also relax in the garden.

Cobb Energy Centre is 21 km from the villa, while Atlanta History Center is 28 km away. The nearest airport is DeKalb-Peachtree Airport, 35 km from Villa Arcadia Great Townhome near KSU.","['Tostadora', 'Parking gratis', 'Secadora de ropa', 'Mesa de comedor', 'Fogones', 'Horno', 'WiFi gratis', 'Cafetera']",34.01058194,-84.5612636,[]
435,"68 Markou Mpotsari 1, Atenas, 11743, Grecia","El Luxury apartment close to metro & Akropolis se encuentra en el centro de Atenas, a 700 metros de la estación de metro Neos Kosmos y a 1,1 km del templo de Zeus Olímpico, y ofrece WiFi gratuita, terraza y aire acondicionado. Este alojamiento tiene balcón y vistas a la ciudad.

Este apartamento tiene 2 dormitorios, cocina con nevera y horno, TV de pantalla plana, zona de estar y baño con bañera. Se proporcionan toallas y ropa de cama.

Cerca del apartamento hay varios lugares de interés, como el Museo de la Acrópolis, la estación de metro Akropolis y la estación de metro Syngrou/Fix. El aeropuerto Eleftherios Venizelos es el más cercano y está a 32 km del Luxury apartment close to metro & Akropolis.","['Museum of Contemporary Art\n300 m', 'Museo de Joyería Ilias Lalaounis\n750 m', 'Aire acondicionado', 'Calefacción', 'Habitaciones sin humo', 'Terraza', 'Museo de la Acrópolis\n650 m', 'Museo Nacional de Arte Contemporáneo\n300 m', 'WiFi gratis', 'Ascensor']",37.9624134,23.7285701,[]
