state,city,name,avg_score,price,reviews_url
California,Los Angeles,Executive Santa Monica Suites,82,439.512,https://www.booking.com/hotel/us/executive-santa-monica-suites.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=770152403_372512744_4_0_0&highlighted_blocks=770152403_372512744_4_0_0&matching_block_id=770152403_372512744_4_0_0&sr_pri_blocks=770152403_372512744_4_0_0__121740&from=searchresults#hotelTmpl
California,Los Angeles,Sheraton Gateway Los Angeles Hotel,76,434.674,https://www.booking.com/hotel/us/sharaton-gateway-los-angeles-los-angesles-california.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=5650932_91822643_2_2_0&highlighted_blocks=5650932_91822643_2_2_0&matching_block_id=5650932_91822643_2_2_0&sr_pri_blocks=5650932_91822643_2_2_0__120400&nad_id=e9bc727e-755f-42aa-aa04-9091ca3162c6_29&nad_cpc=0.89&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZLM0dTVVk4c2IzcHlxd1RpbHhpOE9xSUZEeXN3bTd6VVF0NVB1ZTJVQ3ZqZ2Y0ZEhsZG43N2VSeHVPc20zdWd4cEprVlAyUFdGL09mMTBOOW1SekE2cEt2VU5yS0pJMEpRajVoN2NJS0VWeVBFd01sS0ZockNlWStrekVCY0crZjZLM1o1MGh4cDNPQ0xkTW1tSWNiME4zRmg5OTZDMGFyeTZNZjJGQ0d5MGlRdEZkSjA2cGRxK1U5U2hmemR5aXBzZWJGUnVTaXBhODZKTjNKdWFwdjFqNGt2ZWR5WnpaKzRPRzVhUXlKQU1lVWdyUjNOa0ZsOXJFekdlVHBYMTdITFRSVjQvU1JENXF1OUpmSXk2TFV0SEVvSDhzR0VZdEpudG1xQXRPWE5hRWtyRzhDTEZHTnlPTUUrKzNwNm5WUG1tRFAzL0hsMnl5c1Zuck1DUjR5TU02bFB5b05QNURyTFBzWWxJVmwrWjdMeC9aNllkRXBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83Uy9wVUpyRmsxTlNVZW1rR25vSlVCUUkvS1c1RExzMTA3Umkrb0ZHZFJRNld1RFRNWkNxS1ByTS9TcC9jRlhPak02bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V3E0bEFFRkJWa01PNElyZXRPZHRQWGc0T2htYVR5L3RoVXFETUs0VGtDdGRhMTd3M1lEaE5ORmZtY1NMT2p3cmlYRlJQczQrUmVNSnpheDJONlB3OFJ4cXJpRENXQ0VkM1lzR3ZYR09xOHEwZGo2SXlxV2lOdzlSNHo0VkkzNzNtMDIrdGdZQzEveUhBdkpmcm10R3lCOGJnSkpiRm5XcnM5dFliVDlCcitYamtFUmZmQkJqMVM0dTVBV09Id09Ec2o5RjVwSExYWENJVTJaUk1ZdTNYaFlYbVltTmVOWDRTR1hJT2lTM2Ryc3c2WS82QnU2bDc0dUlDYllCVWpnaDdIVW4vdStWVHl0eW9LZWZZQ3BRcFdpa3plUGZnT3N0MU5hVUYyazA1QnhiYVJ3SURYQllFQmF5bFBLY0xCVDkvYStHejg0TDVUSmZ4YUVNSmFIRGc1RStHenVtU004TUMyajh4MnhZQndyYUdhSTZsTnZwczRJTVlKOTZFMDU4VkZhOXMvUFkwTkc2Sk0vS0Rtc2o3emVIR29PMk5zdWJuRGdqZlJEb1VEZTMrNHRmQTdGVG9wbGlmUVhzclBpNjRRVVRZVytUdUI4bndBTWdhRzF2eUdFRDNKN1ZCYkI4U2luM1lXaFhscFRKMjV4TTA4YjVWYXhTY1Z6UVNiRkpGVTdyUDRuVmxRTmVYNW51aVhXREovUldNM1R0UjloaloydkRCcjNuY1A0Zjh1Yjl4VkVZZjRpUWg5dnRYeEhyM2JEM0VlYXgzcXQyd1I5Sm5JS1JFcFZuSkpBTEpFc2RPekF3WklIT0pvc3RSY0Q4SEs1OGRFcnJNZy9jNUw2VXhZMGVOdW05TWlvdVpwVDR5YWtWS3NEbjl4bTA2bDVFQnU3TWlnb2ZOWEhYQXhPK1E2OFFMTVVXbmxTUk8xZ09RQmJ5TW9lQ0IvdGkva3Y3djgzTk9MeXBUNks0Q3Z5eU5PVmlQeFptVVVZU2ZVakROOVJ5UzEvRHIxWGJTZHVPcld0bmU2MzJQVmNVaFhkWmpHR0NOOWNkTUhHbmlsSUhpbUNkWWl2MnU3djF6OWZyME1Na3dWVlZJMGcyNXZiYVdqMC9SdnQ3bEt0K3FUdEI5MmtFa2hyMEdiMS9weHVFL1l6aVh6eEtidXVTN1YrbzZjSmJhNG92V2lIRVY3Q3Z1aVVYaG5FZmdGUEZOUVZsaktNM2o2TGZTSEF3UlJvdGwwdnhUOWl1d1pZb1BsTDZyeE5vc29idUVsTVJNMVQ4SzIvcjJVdTZJM3k1VmJseU5qQ0FSZ1A1RUVQdWhMT3daeHBBNG1Md2p6ZEY2cjAyK3k2V0JhekNkdXBYYm1ZcVp1YTArWVg4bTNOMXpzQjkrT1ZiOXZ0OEZKRTl6YW1CbnF5TngwUmxoeWRjMDluenBJSlh1VHozczhtcm5mVTF5MU9UTW51cUhZSDBEcUJ4TGFxMVpsMm5ibmR3eGlmeWZheTBmMzJjTVdJL3BmSE0zdExGMFZURlN3YnlJRW9ua3ZleFY1bXN1dWQxdVJaSEJvb1BBblkrWXl0UitXaFUvQ0k0VEVIdGRQVzhqRGtkR1Bva2duRTVsVHZOcjNobEx1ODlacmsyKzBnMFR3eERQVUI2NjhvMDJmbEZNNytDS2JiTTk1aDdmR1lZVVZiUmZaRHAzdjlsNmJ4MXhKd0Fxb0V5RTdTVjc0NzZ6b1FvTE9VZnJqQU9pTVM5T3k1bTZlLzRwc0tSUU80b1FLS0YzajRFYlFwVHZORHQ5cnRLWERucUs4RWZ5bjc2UXp5NGVwVWlpU2hTbHpMZmU1YWoxSWVtK1RKTFhYVGVkeWZqMFJXaWJrWFJPVi9zNmdtM29kTGl0ZjA4YkJVTzlybXJXZ2NEN0Y4Sk9WNXNBUjMzSi93UVhhTnZmT2YwTk1LajlteVRyQ0VvT1I4UEFZMGc1VnFmTVcrZFh2bmtEUDBlaXFCeGNXTE1IR1c3aGxGYkZDaTRGRTUwN2ZVUEpaZy9tUksrZzdxY3NVR2s1T2FXcTZWZ05ITHM5K285eDhRUGV3ejk4ZG5XQVFQV0JQcVBQSVJSeG52empmVmNWUVIxUjZjdDRMMStjWGI0cXNWc3JBVE9NekhtMEkwbU5Ic0VqanhqZG12NDFmV0ZwLzN5b3JUdi9pNC9RM0QvaU1PNkMvS0JVTGF0cHVDQmdYSjJRemFyQTBWdVZuTDNESzVhQlI3VU12bVZaT1Arc1IxUEJWU3VQOCtVRWZ6SXlpMXFvUm5UbC91bzlhTW0rOWJKYkwwaFhvVjZ4VVEzSFNvSU9xVFFReUxqVTBUVFdldG5PQmJnVkdZNHB1dnAwOGVSZ0F0bkNEZEJ3ZlRCa0JRZHdrOGVHWC9iM0twQm1zVEdtc00zSmc5M3grUG91T2pQbEZJdFFnUUNsOGd1TUZUaFJVcENPa2thRGNyYXNIcVlGQ2lxeExhN3Q3Ym5MbEpFaW8zUzBxbFJMT2dlMFNDQmRZdkNDU1dNWm5WMnNKLzd0b241N0hSQ3QydjVEYzFlOVVyZDJEeVRSM3VjMllvQVZhRXp2YlVXUlBEaXFrM1cxdVhvdjhmaEZ1dGRFSFJrRlVqWDRxZGlzNm11TmZaRzZVWEFJSG9MVU9HOXQwS1FMYVFqM0xQNUQyTE5XNDFEQ1prQ0pvMzR3dXZHRXcxbUNnbkhNQT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Best Western Hollywood Plaza Inn Hotel - Hollywood Walk of Fame LA,72,386.997,https://www.booking.com/hotel/us/best-western-hollywood-plaza-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=5646614_346789571_4_0_0&highlighted_blocks=5646614_346789571_4_0_0&matching_block_id=5646614_346789571_4_0_0&sr_pri_blocks=5646614_346789571_4_0_0__107194&from=searchresults#hotelTmpl
California,Los Angeles,"tommie Hollywood, part of Jdv by Hyatt",80,421.641,https://www.booking.com/hotel/us/tommie-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=762428008_333406640_2_2_0&highlighted_blocks=762428008_333406640_2_2_0&matching_block_id=762428008_333406640_2_2_0&sr_pri_blocks=762428008_333406640_2_2_0__116790&nad_id=e9bc727e-755f-42aa-aa04-9091ca3162c6_39&nad_cpc=0.99&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZLM0dTVVk4c2IzcHlxd1RpbHhpOE9xSUZEeXN3bTd6VVF0NVB1ZTJBRHZ6b2Q0ZEhsZG43N2VSeHVPc20zdWd4cEpVdEcwditGL09mMTBOOW1SekE2cEt2VU5yZUlLazVXajVoN2NJS0VWeVBFd01sS0ZockNmSTZsemtKY0crTDdJbnAvMGh4cDNPQ0xkTW1tSWNiME4zRmg5OTZDMGFyeTZNZjJGQ0d5MGlRdEZkSjA2cGRxK1U5U2hmemR5aXBzZWJGUnVTaXBhODZKTjNKdWFwdjFqNGd2Y04yWnpaKzRPRzVhUXlKQU1lVWdyUjNOa0ZsOXJFekdlVHBYMTdITFRSVjQvU1JENXF1OUpmSXk2TFV0SEVvSDhzR0VZdEpudG1xQXRPWE5hRWtyRzhDTEZHTnlPTUUrKzNwNm5WUG1tRFAzL0hsMnl5c1Zuck1DUjR5TU02bFB5b05QNURyTFBzWWxJVmwrWjdMei9abWNmMUJmY3Nyem5JWC9wU0NYUHRaczA1OWx1NDNIcHFIQjZwVVJ1VXg0Y3pFV20xN3g2WVVYVU1LZFdaSEJxRm9tU1RPaVdEWkFTYjI4UTNnZkZLT1JyczdCN2JrV1NPalUvMFFtclI5dmJwY1ZOa0NvRkVCQUZNT1FvZzN1QnBHSGg2bFFCbXFCMGNBVjAwaGJLWjFKMmEvUlNhenZhMW9zRlpQUGdGYUxKZ3Y1RXY1SnZkM1RrUGtIbnRFOS9uYlVSWE9WQmdQVjlyeFhqbEQyTnlUYm1RUVZ4OGN3NWdoT1FoeThOTk5CMG1sYVpneHAyeWppZnlWYkJ3ME5LVHZrTlZiaCtnbGZuSHV5akJOTlNGQUNQNDFnTHRQUTRmVzU5YWxyYlRxNnVGVXVUY3oxRDBEa09iNDNqM1liaXRNWkxuZ0hNZTd2cGl5T0d2UXorQVRHYkR5czBkaVAxY05zcWF5SENteWVkMmMyWGJ5Q1lhVTQySWU5WjJTZmxOUStTNDNyUTRtOGxtMHU5TmhWVFZmeVYxWGVkNzJpR1NwZ2ZFTUtlVm5Ldk5sN1lxVHBBSzZCbmdaUGJ2cEFrMGI1K0lVVktYb0dCOGJsRnBzTFkyYldJVldNWG9kZzBYaGVYV2d0ZnIxRjl6UFZaLzZEeDhmcXpxY3AvQnJwM3F3NE1ucWJFa3pwZzdMUTBLUytEbjJ2eG95Y2Y0bW5VcDI1bEhhU05SRzd0VWxtU21lbHc0OXdjbzlnRmlMUk5oVmFsaERkZExsRDlPRzJDM2h3UElMYUkxV0FPWXVMUlZCTDgyMzl4WFF1S1NhODhndXJjQjA3YVdTUDVFSWsrTTVaZG9FcDZVOEM5MHdaNzQzY1B6SmptNmNkQlR1WG03enNRVk5QMk1rdktqdUgzSTVIdkJXNWo4RWJlUjJVWnBFbWlhbEdvSy96NFpjZFM0YXdSYXNpamhZZDNQYWxwaW1jSDNWaFNBZkxvWGUweTViL0hVWlphejlnT1ZjSnV4dXNTOWs4Q0RYVE53cHR2dTBqRXdzQ2NuOTA0blhESFpYYlhjUGFweEZ3eHNPdlVGM3d5TVd2TGNTT28xdENPN2R3Vms4Ni9YZFNveTNZMmd2SmtuejdpZ1F1SkhOV1ZWZFZ4Y05RTFpVcllmSFJ4NE1BTDVJN3NRZEVyamJpKzhNaTg0OW1Jb0w3VVJZOGY4UzQ0ZHJ2K29sRjhHdmlRNm9IanNkaDM2aDFCbERsSVNNcmVkSERXaEJZdEVpclFiY0ZRWDVlUmVCOUpRcER4TUpWVmdqaGlmOGs5dTl0YmFxeHBEU0w3UzNqek11ZmlQUkoxQTFCQWZWN1ZaY1N5REJ5R2JzQlBtQW5PdUw1M0s2L3ovOU1XQkxLWnplSEhjVlJJcDZOalh3RkVqeWFiYzJrMithcTNUNVZvd3hCbFVnZEVvOHEwWXZiZUgvcDhFMnV0UVMzOGFEcENkK3JFMUorakNHR3Y0VitFL28xajFIc05ycTRYTEk0L2FRR0krY3I4Q2FkQnkyRHAvYVVVaC9NVXh4UUZjSUNrWFRTM1RIRk5DS05qeGQ0K0JNMnd6VnJvQnhVNTdFVHRySlY1NU5VN2xST1JORmIvYUN5b21Ja3I5dXFyVmE5bkpXRERCTU45VXNBclFYUHdaeHBSZExkbFM3VkJyWDEyL0tuWEhDdUROVEpXcmFRcTRLVDErQVA4MmpNMHpkczdKV1ZMSS9uOUVWZjRUcXdCbm1pSXhzQWtRR0Vmd0E0enBnYlh1WHUzOU03cjJ1dzFrbEVUTVBrcUh4dHdreUJqUEc0Mll4NmlxWFozMHJBeWU2ODBiQzRmY2FUOUpqU0xubEhDRWxRQkNNYndKb3YweCthbmxSMHU3VGFsNmxRRmhJak1RcmN0dE90WCt1aEM3ZVA4RFFXc2NYTjdqZXBJQnFQNVhhZHQwVHVPcXVxeXJ1ays1cTlpdjBoMXpzZ0MrSWQ3Ymhwa0dlZVpOeU9kNmFEY05obit1S1VlMHNYR0s5YnZUM3BuNmZ1Z1Z0Z0ZMcExna2paV1lJNTJuRkVvTHVHZnJ6ZlBqc1A4UE9xaGFmd3FKMEJTeis2a0RTQUtXWEdCNDBaWDhsUnVaMjhLUm13bGI0TFltcXU2VU80NStGYXRpQ0xVUXVGZmVaSWoxWUJuL3pVS1dEQWJkelF4VTVTaEtjV1dLSXJvYjQwbHNCWmhzTDR6YnA0ZHBQbTB5OHJBYlo0SUtnbHNFd3d6cFBsVFVxY20vZURnb3dLOFo2RlFMZUFwS2tnUEUxa2k1SjFLNCsrQVh1RmtITzVaV2ZJMGRPZmJqeUw3QVVLSlVPMDh3NXkxTHVDWTVZdHEyUVQ3MC9uZHNNRG5kT2VHNkRZd2RHVDQ4cXM4d1VxSnRvcStzWjBGVWtjVnh2eko2dEFWeGpWMEFmYWYwTVp6aG5SNDRLdXFZYlU3UFJLL0t3TEpObkNtMTA1a04vaEZYYXVuYysvckFESEVZanJ6SjNab3JQbTdodlF2MlFINUNyVENGUFl2cEhKV0JiRDBBM2FxQlFBK0I3QzBEZWpmUlZ1VnMvMVNaMlNzWnBtTmh4UnQvVWhTd2l3TkN5bW9KRmhXVVdwNnByRG1mWWJhKzZrbkdzWjF4WWoxWGUxYmFLQlZRbUptaEZEVkhhaG9PTm9pRktGMHAySm8xTk1HUUIwMGlyVUFCYmlFV3BCY0I0Z2ZuTERlMFNxTUdjbEhDQkUzTkZueWdLTnJ2U2tPRnAwdVROYlZFd3JwZElkemhNZkdNOGdkQmduVVlxMGMwYXg2RWJRNnNuQWlyVnlGQVUzR1JPM1VxSGpMMDZHRXMwNUJCK1FIcGVIamRCcC9KbDM0YVRSQTlXdDJqZ2FlNGR5WlhiZ0RrM29abVloQ1ZTNndkbmFDMFRSbkx0NkNrbUJwZWxKelJmaWRsaVIzaHRvV1llY25QUzlnNXlIRzZvREFvZmpPMTJjc3A1NUViYURzWFhlOFNYZGFpdHVVejNNbGJuTGd2anBrZHY3RnhEUUgxMlFScFgyIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,The Godfrey Hotel Hollywood,80,464.278,https://www.booking.com/hotel/us/the-godfrey-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=449549901_135707195_0_0_0&highlighted_blocks=449549901_135707195_0_0_0&matching_block_id=449549901_135707195_0_0_0&sr_pri_blocks=449549901_135707195_0_0_0__128600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,"Amazing Marina King Bed Suite, Tennis Court&Sauna",95,736.491,https://www.booking.com/hotel/us/amazing-marina-king-bed-suite-tennis-court-amp-sauna.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=1104298201_384347139_4_0_0&highlighted_blocks=1104298201_384347139_4_0_0&matching_block_id=1104298201_384347139_4_0_0&sr_pri_blocks=1104298201_384347139_4_0_0__204000&from=searchresults#hotelTmpl
California,Los Angeles,The Hotel Hollywood,75,229.713,https://www.booking.com/hotel/us/hollywood-guest-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=18262401_309311088_0_0_0&highlighted_blocks=18262401_309311088_0_0_0&matching_block_id=18262401_309311088_0_0_0&sr_pri_blocks=18262401_309311088_0_0_0__63628&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
California,Los Angeles,Ultimate Tokyo Vibes,10,252.718,https://www.booking.com/hotel/us/ultimate-tokyo-vibes.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=1101870501_383261307_2_0_0&highlighted_blocks=1101870501_383261307_2_0_0&matching_block_id=1101870501_383261307_2_0_0&sr_pri_blocks=1101870501_383261307_2_0_0__70000&from=searchresults#hotelTmpl
California,Los Angeles,Samesun Hollywood,77,383.409,https://www.booking.com/hotel/us/samesun-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=137891601_106124203_0_1_0&highlighted_blocks=137891601_106124203_0_1_0&matching_block_id=137891601_106124203_0_1_0&sr_pri_blocks=137891601_106124203_0_1_0__106200&from=searchresults#hotelTmpl
California,Los Angeles,Venice Beach Apartments Monthly rents,89,278.784,https://www.booking.com/hotel/us/venice-beach-apartments-los-angeles.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=1d5228b6528400f2&srepoch=1701755250&all_sr_blocks=597405606_315247027_0_0_0&highlighted_blocks=597405606_315247027_0_0_0&matching_block_id=597405606_315247027_0_0_0&sr_pri_blocks=597405606_315247027_0_0_0__77220&from=searchresults#hotelTmpl
