,Dirección,Descripción,Atributos,Latitud,Longitud,Scores
0,"1418 Butler Avenue, Los Ángeles, CA 90025, Estados Unidos","El Executive Santa Monica Suites se encuentra en el distrito oeste de Los Ángeles, a 6,1 km del paseo de Third Street, a 7,1 km del muelle de Santa Mónica y a 7,1 km del parque Pacific. El establecimiento se encuentra a unos 7,9 km del Getty Center y a 10 km del Museo del Automóvil Petersen y del Museo de Arte del Condado de Los Ángeles (LACMA). Hay WiFi gratuita y aparcamiento privado por un suplemento.

Todos los alojamientos del aparthotel tienen aire acondicionado, zona de estar y TV de pantalla plana con servicios de streaming. Dispone de cocina, zona de comedor y baño privado con secador de pelo, bañera y artículos de aseo gratuitos. Los alojamientos del aparthotel incluyen ropa de cama y toallas.

El aparthotel cuenta con solárium y piscina al aire libre abierta todo el año.

El Executive Santa Monica Suites se encuentra a 12 km del paseo marítimo de Venice Beach y a 14 km del teatro Dolby. El aeropuerto internacional de Los Ángeles es el más cercano y queda a 14 km.","['WiFi gratis', 'Piscina al aire libre', 'Aire acondicionado', 'Habitaciones familiares', 'Servicio de lavandería', 'Parking privado', 'Habitaciones sin humo', 'Gimnasio']",34.048501,-118.453747,"[{'Personal': '8.8'}, {'Instalaciones y servicios': '8.5'}, {'Limpieza': '8.5'}, {'Confort': '8.4'}, {'Relación calidad-precio': '8.0'}, {'Ubicación': '8.8'}, {'WiFi gratis': '9.8'}]"
1,"6101 West Century Boulevard, Los Ángeles, CA 90045, Estados Unidos","Este hotel moderno proporciona un servicio exclusivo de traslado gratuito las 24 horas al aeropuerto internacional de Los Ángeles, situado a solo 3 minutos en coche. Tiene piscina climatizada al aire libre. Hay varios sitios para comer. Cada habitación dispone de TV LCD con pantalla de 50 pulgadas.

Las habitaciones del Sheraton Gateway Los Angeles Hotel presentan una decoración moderna y están equipadas con escritorio grande, cafetera y nevera. El baño privado incluye secador de pelo y artículos de aseo gratuitos.

El Costero California Bar and Bistro está especializado en tapas de la zona y abre para el almuerzo y la cena. El restaurante Brasserie sirve un desayuno buffet con tortillas a gusto de los huéspedes y especialidades como tostadas francesas con pan brioche.

Alberga un gimnasio con pesas libres y máquinas de ejercicio cardiovascular con TV individual. Hay ventanales con vistas a la piscina paisajista al aire libre y a la bañera de hidromasaje.

La Universidad Loyola Marymount queda a 5 km. El Sheraton Gateway Los Angeles Hotel se halla a 20 minutos en coche de Marina del Rey.","['WiFi gratis', 'Tetera/cafetera en todas las habitaciones', 'Desayuno', 'Piscina al aire libre', 'Traslado aeropuerto (gratis)', 'Parking privado', 'Habitaciones sin humo', '3 restaurantes', 'Bar', 'Gimnasio']",33.94596331,-118.39082569,"[{'Habitación esquinera con cama extragrande - Planta principal': '1 cama doble extragrande'}, {'Habitación con 2 camas grandes - Planta principal': '2 camas dobles grandes'}, {'Habitación con 2 camas dobles': '2 camas dobles grandes'}, {'Habitación Deluxe. habitación para huéspedes. cama extragrande': '1 cama doble extragrande'}, {'Habitación Deluxe - 2 camas grandes': '2 camas dobles grandes'}, {'Suite Executive - cama extragrande': '1 cama doble extragrandey1 sofá cama'}, {'Habitación Tradicional - 1 cama extragrande': '1 cama doble extragrande'}, {'Suite con sofá cama': '1 cama doble grande'}, {'Habitación Tradicional - 2 camas grandes': '2 camas dobles grandes'}, {'Suite - 1 cama extragrande': '1 cama doble extragrande'}, {'Suite con cama extragrande': '1 cama doble extragrande'}, {'Personal': '8.1'}, {'Instalaciones y servicios': '8.0'}, {'Limpieza': '8.3'}, {'Confort': '8.3'}, {'Relación calidad-precio': '7.5'}, {'Ubicación': '8.6'}, {'WiFi gratis': '8.0'}]"
2,"2011 North Highland Avenue, Hollywood, Los Ángeles, CA 90068, Estados Unidos","Este hotel, situado a solo 2 calles de la avenida Hollywood Boulevard y su famoso Paseo de la Fama, ofrece habitaciones con una decoración acogedora, TV por cable y wifi gratuita. Cuenta con restaurante y piscina al aire libre.

Las habitaciones del Best Western Hollywood Plaza Inn Hotel - Hollywood Walk of Fame LA son amplias y disponen de cafetera, microondas y nevera. Todas las habitaciones presentan una decoración acogedora y tienen zona de estar.

El Spice Café sirve platos estadounidenses para el desayuno y la cena.

El Best Western Hollywood Plaza Inn Hotel - Hollywood Walk of Fame LA se encuentra a solo 5 minutos en coche del parque temático Universal Studios y a 14 minutos en coche del Centro de Convenciones de Los Ángeles. El aeropuerto internacional Bob Hope queda a 16,4 km del hotel.

Hay una bañera de hidromasaje exterior de uso gratuito para todos los huéspedes y terraza solárium con tumbonas junto a la piscina. El personal de la recepción (abierta todos los días, las 24 horas) ofrece un servicio de conserjería y de alquiler de coches.","['WiFi gratis', 'Recepción 24 horas', 'Tetera/cafetera en todas las habitaciones', 'Piscina al aire libre', 'Restaurante', 'Habitaciones familiares', 'Servicio de lavandería', 'Parking privado', 'Habitaciones sin humo', 'Adaptado personas de movilidad reducida']",34.10718089,-118.33763748,"[{'Habitación - 1 cama extragrande - No fumadores': '1 cama doble extragrande'}, {'Habitación con 2 camas dobles - No fumadores': '2 camas dobles'}, {'Habitación - No fumadores - Cama grande': '1 cama doble grande'}, {'Habitación con cama extragrande - Adaptada para personas de movilidad reducida': '1 cama doble extragrande'}, {'Habitación con cama extragrande y sofá cama - No fumadores': '1 cama doble extragrandey1 sofá cama'}, {'Habitación con cama extragrande y bañera de hidromasaje - No fumadores': '1 cama doble extragrande'}, {'Habitación - 2 camas dobles - Planta superior': '2 camas dobles'}, {'Habitación adaptada para personas con movilidad reducida - 2 camas dobles - No fumadores': '2 camas dobles'}, {'Habitación Deluxe con 2 camas dobles - No fumadores': '2 camas dobles'}, {'Personal': '8.1'}, {'Instalaciones y servicios': '7.2'}, {'Limpieza': '7.7'}, {'Confort': '7.7'}, {'Relación calidad-precio': '7.0'}, {'Ubicación': '8.4'}, {'WiFi gratis': '8.3'}]"
3,"6516 W Selma Ave, Hollywood, Los Ángeles, 90028, Estados Unidos","El tommie Hollywood, part of Jdv by Hyatt se encuentra en Los Ángeles, a 1,5 km del edificio Capitol Records, y ofrece alojamiento con piscina al aire libre, aparcamiento privado, centro de fitness y terraza. Este hotel de 4 estrellas alberga un restaurante y ofrece habitaciones con aire acondicionado, WiFi gratuita y baño privado. También hay un bar.

Las habitaciones incluyen escritorio. Todas las habitaciones cuentan con TV de pantalla plana y algunas habitaciones del tommie Hollywood, part of Jdv by Hyatt tienen vistas a la ciudad.

El personal de la recepción habla inglés y español y proporciona información práctica sobre la zona.

El teatro Dolby se encuentra a 2,6 km del alojamiento, mientras que el Hollywood Bowl está a 3,1 km. El aeropuerto más cercano es el de Hollywood Burbank, ubicado a 12 km del tommie Hollywood, part of Jdv by Hyatt.","['WiFi gratis', 'Recepción 24 horas', 'Desayuno', 'Piscina al aire libre', 'Restaurante', 'Parking privado', 'Habitaciones sin humo', 'Bar', 'Gimnasio', 'Adaptado personas de movilidad reducida']",34.092859,-118.32934,"[{'Habitación con cama extragrande y vistas a Hollywood Hills': '1 cama doble extragrande'}, {'Habitación Doble Deluxe con vistas - 1 cama grande': '1 cama doble extragrande'}, {'Habitación Doble con ducha - Acceso para personas de movilidad reducida - 2 camas': '2 camas individuales'}, {'Habitación Deluxe con cama extragrande': '1 cama doble extragrande'}, {'Habitación con cama extragrande y vistas a la ciudad': '1 cama doble extragrande'}, {'Habitación con cama extragrande.': '1 cama doble extragrande'}, {'Habitación con 2 camas individuales y vistas al atrio': '2 camas individuales'}, {'Habitación - Cama extragrande - Atrio': '1 cama doble extragrande'}, {'Suite de 1 dormitorio': '1 cama doble extragrande'}, {'Habitación Doble con terraza - 1 cama doble grande': '1 cama doble extragrande'}, {'Habitación Doble - 2 camas': '2 camas individuales'}, {'Habitación con bañera accesible - 1 cama grande': '1 cama doble grande'}, {'Personal': '8.5'}, {'Instalaciones y servicios': '8.4'}, {'Limpieza': '8.7'}, {'Confort': '8.7'}, {'Relación calidad-precio': '7.5'}, {'Ubicación': '8.4'}, {'WiFi gratis': '8.9'}]"
4,"1400 Cahuenga Boulevard, Hollywood, Los Ángeles, CA 90028, Estados Unidos","El The Godfrey Hotel Hollywood se encuentra en Los Ángeles y cuenta con una piscina en la azotea y un restaurante. El edificio Capitol Records y el Paseo de la Fama de Hollywood se encuentran a 1 km del hotel.

Las habitaciones disponen de WiFi gratuita, TV HD, altavoces Bluetooth y artículos de aseo de lujo.

El The Godfrey Hotel Hollywood cuenta con centro de fitness y recepción 24 horas. El About Last Knife, situado en el lugar, fusiona la experiencia culinaria de gastropub con la clásica churrasquería estadounidense.

El teatro Dolby se encuentra a 1,5 km, mientras que Melrose Avenue está a 2,4 km del The Godfrey Hotel Hollywood. El aeropuerto más cercano es el de Hollywood Burbank, ubicado a 14 km del alojamiento.","['WiFi gratis', 'Recepción 24 horas', 'Piscina al aire libre', 'Parking en el alojamiento', 'Habitaciones sin humo', 'Bar', 'Servicio de habitaciones', 'Gimnasio', '2 restaurantes', 'Adaptado personas de movilidad reducida']",34.096443,-118.329141,"[{'Habitación con cama extragrande.': '1 cama doble extragrande'}, {'Habitación Doble con cama grande': '2 camas dobles grandes'}, {'Habitación Courtyard con cama extragrande': '1 cama doble extragrande'}, {'Habitación Doble con patio - 1 cama grande': '2 camas dobles grandes'}, {'Habitación adaptada para personas de movilidad reducida con ducha - 1 cama extragrande': '1 cama doble extragrande'}, {'Habitación con bañera - 1 cama extragrande - Adaptada para personas de movilidad reducida': '1 cama doble extragrande'}, {'Alojamiento Hollywood con cama extragrande': '1 cama doble extragrande'}, {'Alojamiento Hollywood con 2 camas grandes': '2 camas dobles grandes'}, {'Habitación City - Cama extragrande': '1 cama doble extragrande'}, {'Alojamiento City con 2 camas grandes': '2 camas dobles grandes'}, {'Alojamiento con 2 camas dobles y ducha accesible en silla de ruedas - Adaptado para personas con discapacidad': '2 camas dobles'}, {'Alojamiento con 2 camas dobles y bañera - Adaptado para personas con discapacidad': '2 camas dobles'}, {'Element Lounge Access. King Room': '1 cama doble extragrande'}, {'Element Lounge Access. Double Queen Room': '2 camas dobles grandes'}, {'Element Lounge Access. Garden Terrace King': '1 cama doble extragrande'}, {'Element Lounge Access. Garden Terrace Double Queen': '2 camas dobles grandes'}, {'Personal': '8.3'}, {'Instalaciones y servicios': '8.4'}, {'Limpieza': '8.7'}, {'Confort': '8.8'}, {'Relación calidad-precio': '7.6'}, {'Ubicación': '8.5'}, {'WiFi gratis': '8.6'}]"
5,"13816 Bora Bora Way 130, Los Ángeles, CA 90292, Estados Unidos","Set in Los Angeles, Amazing Marina King Bed Suite, Tennis Court&Sauna offers a balcony with sea and lake views, as well as a year-round outdoor pool, sauna and hot tub. Situated on the beachfront, this property features a private beach area, a spa and wellness centre and a fitness centre. There is a sun terrace and guests can make use of free WiFi, free private parking and an electric vehicle charging station.

The spacious apartment is located on the ground floor and is fitted with 2 bedrooms, a flat-screen TV with streaming services and a fully equipped kitchen that provides guests with a dishwasher, an oven, a washing machine, a microwave and a toaster. The air-conditioned unit at the property features a walk-in shower and a dressing room. This apartment is allergy-free and non-smoking.

You can play tennis at the apartment. Guests can also warm themselves near outdoor fireplace after a day of hiking.

Venice Beach is 1.6 km from Amazing Marina King Bed Suite, Tennis Court&Sauna, while Marina Del Rey Beach is 1.8 km away. The nearest airport is Los Angeles International Airport, 9 km from the accommodation.","['WiFi gratis', 'Parking gratis', 'Piscina al aire libre', 'Zona privada de playa', 'Terraza', 'Habitaciones familiares', 'Situado frente a la playa', 'Habitaciones sin humo', 'Gimnasio', 'Spa y centro de bienestar']",33.9709997,-118.4505604,[]
6,"6364 Yucca Street, Hollywood, Los Ángeles, CA 90028, Estados Unidos","Este hotel está ubicado en Hollywood, a poca distancia a pie del Paseo de la Fama de Hollywood, y ofrece habitaciones amplias con WiFi gratuita y TV de pantalla plana. Se han alojado celebridades como Marilyn Monroe o James Dean.

Las habitaciones presentan una decoración acogedora y están equipadas con mesa y sillas. Cada habitación cuenta con nevera.

Se presta un servicio de lavandería.

El The Hotel Hollywood se encuentra a solo 1 calle de la avenida Hollywood Boulevard. Se halla en una zona céntrica, cerca de varios de los lugares de interés de la zona, entre ellos el parque temático Universal Studios y el famoso letrero de Hollywood, ambos lugares situados a unos 10 minutos en coche del hotel. El aeropuerto Bob Hope queda a 17,22 km.","['WiFi gratis', 'Aire acondicionado', 'Servicio de lavandería', 'Habitaciones sin humo', 'Parking', 'Calefacción', 'Servicio de limpieza diario', 'Adaptado personas de movilidad reducida']",34.10385067,-118.32882777,"[{'Habitación con cama grande': '1 cama doble grande'}, {'Habitación Superior - 1 cama grande': '1 cama doble grande'}, {'Estudio con cocina': '1 cama doble grande'}, {'Habitación con cama grande - Adaptada para personas con discapacidad': '1 cama doble grande'}, {'Personal': '8.5'}, {'Instalaciones y servicios': '7.3'}, {'Limpieza': '7.8'}, {'Confort': '7.8'}, {'Relación calidad-precio': '7.6'}, {'Ubicación': '8.4'}, {'WiFi gratis': '8.0'}]"
7,"120 South Los Angeles Street, Centro de Los Ángeles, Los Ángeles, CA 90012, Estados Unidos","El Ultimate Tokyo Vibes se encuentra en Los Ángeles y ofrece alojamiento con aire acondicionado, piscina privada, vistas al jardín y balcón. Se encuentra a 1,3 km de la estación LA Union y dispone de ascensor. Esta villa para no fumadores cuenta con bañera de hidromasaje y WiFi gratuita en todas las instalaciones.

Esta villa está equipada con 1 dormitorio y cocina con lavavajillas y horno. TV de pantalla plana, zona de estar y 2 baños con bañera de hidromasaje. La villa proporciona toallas y ropa de cama. El establecimiento cuenta con zona de comedor al aire libre.

El establecimiento alberga un bar.

También hay un jardín.

La villa se encuentra a 3 km del teatro Microsoft y del Staples Center. El aeropuerto más cercano es el de Hollywood Burbank, ubicado a 23 km del Ultimate Tokyo Vibes.","['WiFi gratis', 'Piscina al aire libre', 'Parking en el alojamiento', 'Aire acondicionado', 'Terraza', 'Habitaciones familiares', 'Habitaciones sin humo', 'Ascensor', 'Bar', 'Jardín']",34.04934699,-118.24348653,"[{'Villa de 1 dormitorio': '2 camas dobles grandes'}, {'Personal': '5.0'}, {'Instalaciones y servicios': '6.3'}, {'Limpieza': '7.5'}, {'Confort': '6.3'}, {'Relación calidad-precio': '7.5'}, {'Ubicación': '5.0'}]"
8,"6820 Hollywood Boulevard, Hollywood, Los Ángeles, CA 90028, Estados Unidos","El Samesun Hollywood está situado en el paseo de la Fama de Hollywood y ofrece alojamiento con WiFi gratuita y servicio de recepción las 24 horas. Los huéspedes tienen acceso a una cocina compartida y pueden tomar un desayuno continental gratuito. El albergue está justo frente a la estación de metro de Hollywood/Highland.

Las habitaciones del Samesun Hollywood tienen suelo de madera, ventilador de techo, toallas y taquillas gratuitas. Hay una zona para dejar el equipaje.

La cocina compartida está equipada con neveras de acero inoxidable, microondas y arrocera. Además, hay máquinas expendedoras de aperitivos y bebidas frías.

En el establecimiento se puede jugar al billar y al futbolín. También hay servicio de lavandería.

El albergue goza de una ubicación céntrica, a 1 parada de metro del Universal Studios Hollywood y a aproximadamente 1 minuto a pie de los teatros Dolby y TCL. El aeropuerto internacional de Los Ángeles se halla a 20 km.","['WiFi gratis', 'Recepción 24 horas', 'Desayuno', 'Aire acondicionado', 'Servicio de lavandería', 'Habitaciones sin humo', 'Calefacción', 'Servicio de limpieza diario']",34.1012861,-118.3393593,"[{'Habitación Doble con baño compartido': '1 cama doble grande'}, {'Cama en habitación compartida mixta para 6 personas - Baño compartido': '1 litera'}, {'Cama en habitación compartida mixta con 4 camas. aire acondicionado y baño compartido': '1 litera'}, {'Cama en habitación compartida con 4 camas. aire acondicionado y baño compartido - Solo mujeres': '1 litera'}, {'Cama en habitación compartida mixta con 6 camas. aire acondicionado y baño compartido': '1 litera'}, {'Cama en habitación compartida mixta con 8 camas. aire acondicionado y baño compartido': '1 litera'}, {'Habitación Compartida Mixta - 4 camas': '4 literas'}, {'Habitación Compartida Mixta de 6 camas': '6 literas'}, {'Habitación Compartida Mixta de 6 camas': '6 literas'}, {'Habitación Compartida Mixta de 8 camas': '8 literas'}, {'Personal': '8.6'}, {'Instalaciones y servicios': '7.8'}, {'Limpieza': '7.9'}, {'Confort': '7.8'}, {'Relación calidad-precio': '8.1'}, {'Ubicación': '9.2'}, {'WiFi gratis': '8.4'}]"
9,"440 South Venice Boulevard, Venice Beach, Los Ángeles, CA 90291, Estados Unidos","El Venice Beach Apartments Monthly rents se encuentra en el distrito de Venice Beach de Los Ángeles, cerca de Venice Beach, y ofrece terraza y lavadora. Este apartamento ofrece aparcamiento privado gratuito y consigna de equipaje. Los huéspedes del apartamento pueden utilizar la entrada privada.

Los alojamientos están equipados con aire acondicionado, TV de pantalla plana con servicios de streaming, microondas, cafetera, ducha, secador de pelo y escritorio. Todos los alojamientos están equipados con hervidor de agua, baño privado y WiFi gratuita. Algunas habitaciones tienen patio y otras ofrecen vistas a la ciudad. Todos los alojamientos del complejo de apartamentos incluyen ropa de cama y toallas.

El Venice Beach Apartments Monthly rents se encuentra a 1,1 km de la playa Marina Del Rey y a 2,1 km de la playa de Santa Mónica. El aeropuerto internacional de Los Ángeles es el más cercano y queda a 8 km.","['WiFi gratis', 'Parking gratis', 'Aire acondicionado', 'Terraza', 'Habitaciones sin humo', 'Calefacción']",33.9862735,-118.4663334,"[{'Suite de 1 dormitorio': '1 cama doble extragrande'}, {'Estudio': '1 cama doble extragrande'}, {'Estudio Superior': '1 cama doble extragrande'}, {'Estudio': '1 cama doble extragrande'}, {'Personal': '8.8'}, {'Instalaciones y servicios': '8.9'}, {'Limpieza': '9.3'}, {'Confort': '9.2'}, {'Relación calidad-precio': '8.5'}, {'Ubicación': '9.4'}, {'WiFi gratis': '9.4'}]"
