,nationality,acommodation,stay,company,review_title,good_review,bad_review,url,hotel_id,date,complete_date
0,Argentina,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En grupo,buen hotel de 3 estrellas,"el hotel era cómodo para familias, el gimnasio y el desayuno fueron excelentes",es caro para un 4 estrellas,,11042.0,diciembre de 2022,Comentó en: 5 de enero de 2023
1,España,Den Room with King Bed,11 noches,Persona que viaja sola,sitio caro,cerca de mis sitios de interés,"limpieza, desayuno,personal",,11042.0,noviembre de 2021,Comentó en: 19 de diciembre de 2021
2,Corea del Sur,Suite Estudio con cocina y sofá cama - Cama extragrande,27 noches,Persona que viaja sola,Excepcional,"what a great honor to stay here.
Thank you so much!",no worries.,,11042.0,noviembre de 2023,Comentó en: 20 de noviembre de 2023
3,Taiwán,Den Room with King Bed,4 noches,Persona que viaja sola,Would go again if I had to travel for work,"Everything works and fairly new, I loved the water fountain, fresh water and always ice cold",Small swimming pools,,11042.0,noviembre de 2023,Comentó en: 15 de noviembre de 2023
4,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En familia,Excepcional,"Weather was ideal
Loved the swimming pool.",,,11042.0,noviembre de 2023,Comentó en: 14 de noviembre de 2023
5,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",6 noches,En pareja,Muy bien,"I'm here for a couple weeks....So, a little tired of the same breakfast each and every day but If I was only here for a few days then I would say it was perfect.",,,11042.0,noviembre de 2023,Comentó en: 8 de noviembre de 2023
6,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1 noche,En familia,Muy bien,"The property was nice but expensive for one night and parking $20 per car was expensive and an added cost that wasn’t necessary.
Good breakfast","Paying to park, especially for each car.
Also, hair on the bathroom towels and bed sheets.",,11042.0,octubre de 2023,Comentó en: 26 de octubre de 2023
7,Estados Unidos,Den Room with King Bed,3 noches,En pareja,This is the best Hyatt House we’ve stayed at.,"Location was great and perfectly clean and comfortable. Excellent breakfast. Staff was friendly, helpful and competent.",Nothing.,,11042.0,octubre de 2023,Comentó en: 26 de octubre de 2023
8,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1 noche,En pareja,Excepcional,Clean comfortable and close to work,,,11042.0,octubre de 2023,Comentó en: 24 de octubre de 2023
9,Estados Unidos,Den Room with King Bed,2 noches,En pareja,Great location and very clean !,Very Clean and quiet,,,11042.0,septiembre de 2023,Comentó en: 14 de septiembre de 2023
10,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4 noches,En pareja,"Overall, it was a great stay.","Comfortable, spacious and clean. Great location.",,,11042.0,septiembre de 2023,Comentó en: 4 de septiembre de 2023
