state,city,name,avg_score,price,reviews_url
Connecticut,Hartford,"The Capitol Hotel, Ascend Hotel Collection",70,268.47,https://www.booking.com/hotel/us/capitol-hotel-ascend-hotel-collection-member.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=19109522_91466681_2_1_0&highlighted_blocks=19109522_91466681_2_1_0&matching_block_id=19109522_91466681_2_1_0&sr_pri_blocks=19109522_91466681_2_1_0__73954&from=searchresults#hotelTmpl
Connecticut,Hartford,Hartford Marriott Downtown,83,788.196,https://www.booking.com/hotel/us/hartford-marriott-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=26566004_94375244_0_0_0&highlighted_blocks=26566004_94375244_0_0_0&matching_block_id=26566004_94375244_0_0_0&sr_pri_blocks=26566004_94375244_0_0_0__217120&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Connecticut,Hartford,Residence Inn by Marriott Hartford Downtown,81,654.531,https://www.booking.com/hotel/us/residence-inn-hartford-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=26566308_94375268_0_2_0&highlighted_blocks=26566308_94375268_0_2_0&matching_block_id=26566308_94375268_0_2_0&sr_pri_blocks=26566308_94375268_0_2_0__180300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Connecticut,Hartford,The Goodwin,83,958.599,https://www.booking.com/hotel/us/goodwin.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=222375102_98295341_2_0_0&highlighted_blocks=222375102_98295341_2_0_0&matching_block_id=222375102_98295341_2_0_0&sr_pri_blocks=222375102_98295341_2_0_0__264060&from=searchresults#hotelTmpl
Connecticut,Hartford,Best Western Hartford Hotel and Suites,66,368.955,https://www.booking.com/hotel/us/hiehartford.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=5763116_286436562_2_1_0&highlighted_blocks=5763116_286436562_2_1_0&matching_block_id=5763116_286436562_2_1_0&sr_pri_blocks=5763116_286436562_2_1_0__101634&from=searchresults#hotelTmpl
Connecticut,Hartford,Hilton Hartford,71,538.679,https://www.booking.com/hotel/us/hilton-hartford.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=18125823_94322413_2_2_0&highlighted_blocks=18125823_94322413_2_2_0&matching_block_id=18125823_94322413_2_2_0&sr_pri_blocks=18125823_94322413_2_2_0__148387&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Connecticut,Hartford,West End Haven,55,91.155,https://www.booking.com/hotel/us/west-end-haven.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=1078547416_381388907_2_0_0&highlighted_blocks=1078547416_381388907_2_0_0&matching_block_id=1078547416_381388907_2_0_0&sr_pri_blocks=1078547416_381388907_2_0_0__25110&from=searchresults#hotelTmpl
Connecticut,Hartford,Super 8 by Wyndham Hartford,42,198.937,https://www.booking.com/hotel/us/super-8-hartford.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=29419209_246076316_2_1_0&highlighted_blocks=29419209_246076316_2_1_0&matching_block_id=29419209_246076316_2_1_0&sr_pri_blocks=29419209_246076316_2_1_0__54800&from=searchresults#hotelTmpl
Connecticut,Hartford,2 Bedroom Apartment,90,294.049,https://www.booking.com/hotel/us/the-twins.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=915024503_362917296_2_0_0&highlighted_blocks=915024503_362917296_2_0_0&matching_block_id=915024503_362917296_2_0_0&sr_pri_blocks=915024503_362917296_2_0_0__81000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Connecticut,Hartford,One room for rent shared bathroom and kitchen,55,264.644,https://www.booking.com/hotel/us/rooms-112.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=cc2f90a21e410129&srepoch=1701894860&all_sr_blocks=925420001_364346416_1_0_0%2C925420002_364346416_1_0_0&highlighted_blocks=925420001_364346416_1_0_0%2C925420002_364346416_1_0_0&matching_block_id=925420001_364346416_1_0_0&sr_pri_blocks=925420001_364346416_1_0_0__35100%2C925420002_364346416_1_0_0__37800&from=searchresults#hotelTmpl
