state,city,name,avg_score,price,reviews_url
Arkansas,Little Rock,Wyndham Riverfront Hotel,84,389.403,https://www.booking.com/hotel/us/wyndham-riverfront-north-little-rock.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=35459404_246090459_2_1_0&highlighted_blocks=35459404_246090459_2_1_0&matching_block_id=35459404_246090459_2_1_0&sr_pri_blocks=35459404_246090459_2_1_0__107400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Arkansas,Little Rock,Residence Inn by Marriott Little Rock Downtown,85,343.936,https://www.booking.com/hotel/us/residence-inn-by-marriott-little-rock-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=53809901_94488009_0_0_0&highlighted_blocks=53809901_94488009_0_0_0&matching_block_id=53809901_94488009_0_0_0&sr_pri_blocks=53809901_94488009_0_0_0__94860&nad_id=b375cf0f-a59b-422a-9b4a-09463acb3ca4_2&nad_cpc=0.64&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZkc0RHR6TUI3NS9nY1hYM1pBMW1Qc1R4b2dkb0lreEgwZXFMditMMnhjSjhRaWszNHJQYk1ibUpMVU5MZ2Roc1lZR0dSanpLM0pKU0RnM0ZjbzZ0eDE5RUhPejZKWGRzM0JJcTJmYWNZTTIyTjhIcE9qZDU3OHFDMGEzeDRKR2lYMi9oM1M4ekRONGw0WTErckUxU20rbllrU3R1THIwQ3ZTSDVZTnVIT1ROOWVkcnRoWlkwZU1hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZYMzg1dVJkRXBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83VC9wQU9yRmsxTlNVZW1rR25vSlVCUUkvS1c1RExzMTA3Umkrb0ZHZFJYNnZ1Qmo0S0dLNkJvOU9Fdi8wYVJlRFc1QjlpNmg5c1lwcGNaUXk2SDAxQUZNT1JxaEx2SFkyVnh1MFhCbW1MeDk5WW5CNUpJcEJKMnEvUVFyUHVjRVkrVnR1UGxGYU9OaHY1QmVWYnY5dkN3cXBUa01sdXVqM2JTV2ljREZPS3FMSlAzUkM5TVNiR2xRNURsSklqNnhWZEZrWHlJOU5md3o0U0lVc2cyMkd6T1d3VkNoNEVNaWpsTlZMcjQwb0x4SFdxM0V3TUMxMERjTllyTjRhZDdlQ2g3ZXhnYkRML3NsUWtRWU80Qnd5K09lRjcyM2dEMklOYWEzb1VNK0Q1NVh2S1Qvb3JzMXlHT2orMzJNaUkzc2RscnJ1UEUyQ1ZiVEZsWHE3TUtLWjFscHkwS2phZWk5QThWSnY4RThYN3htTTJ0NTRRQ3hTc0N3UEVmYml0QlRBOUxSZEpjRXZBdU14OWRiTHNFSy9RMEZJYmZPeFR6aGV0dUlFUU1IVUFGc244VzlSVk9YUFVQVm5ZQ3NvdTIzdFdWUzE0Si9WRm8yYUJNZktQMjlmdDFiSSt1MUtvZ2F4eVl6SGNERXpqZy82TG42RC9WekNqeUlDWGM1Q2hXWkxqam55ZGFRRzJpMGxnVVUyNzBvOWFmWkpuTUdPVVlCd1ozVmZEWUxORS8rYjVVeXd1UE1pS2V4K1pQTjNaQVFWRjZ6QzVpem8zTHl5MTZRMndjQjBwYjJpWm9RMXZ4b0l1WjQwOTJ5b0VpSGgveHBpK2NTZG55WjRwTWovenBhYW5kbDh2NGR0dUlUaWEzSUlROHh5dTlLRlZOamlQUXNjN3p1UUl0clA1NnNkQ0djYjFXN2Nud0VWYWlhZTN2RHFWVkRzcEYwYldzbno5MDUzZ0V4WkthanN2Y0VFRHBoWDhWOEl3SEhMTFBBdCs0YnMyQmc5REl6c3JxVERDQnBDYURJaUc4VVUweThUckRsTHptY1A0Wk1lUHBFNWZPK1J3UWxZOXJIWWFyeVdMM1VUTXducnJ3a1JyWmk1QkJ4TURnWVJMS3BrNllmREF5OFJVUFpvMG94WU42R0dyK05BcDhvVS9jSnp0VFVaaFBJZnY4Tlg4NXRrTHFEU2xVS2NWeVk4a2gra2tRZ214THp0N0xKV1NIbFFGNncrNFRhNFVWbVplVXFjMWVGWVBrWmNGSGdpNTE2MTNvYjR3TWVQaHB5bUEvaWZraTUzSzFyZGYwaHRKQnFNb0U5NFNrR2c2V3JVUU9uUW5hcis2bi9taTJmdGFXQW5KTjJMUUdzRlBlSm1MaGpWV1hpekRlWXlybHFYajN6OVc2UVpMbGg1WVJKMHMwYzJJTHlPa3FBbmk2RldtKzc3NVdKM0NSaFFxNW5yYytKNS9KZjBoaVdDaGVybXJRcWc1dGVNQmNvSXU0U2V4RFhmRXZQZWlWUXZFWWxFY0Z0RWNpM1dhbWkrU2JDaUZrQXg0cGxnaWxHMDI4VU1lOXFJWnB2a010Y01ab2s1S1M4eFd2UG5yN3k0b3I5YWdwaHJrMzl6QUdoTUk5MUFMN0UySWt0ZytFcDZZd2lIZkVkUDMydnU0WDNpeURjK3NXYkdacllhZTBPQjc0bkxlajNrK3A3M2VaTWo2NTFGWTlpQ2dGMktxTjB4ZndFWEFKbHh3M0pNVVh1U0szczR4cm5hNjF5MHVYdFgyL0NNcm0zWEcxS3FzMmRncHkrS0JoRnZKaDd2cGx1VHFlZGlXOW9yWkltaFdFMDlUUTNjSndJSTEyVjJheVYxeHNxdlIydVpZVzB4a2YwaWZyOVA4RWIvbVZlYVMraWxBL2Z2aXNYeXpQVjNIMTArVHJ4Ty9jL3UyM2Z6c3VzM2oydTA4MFRCaFJMSXUyb1VveFdmUUorKzdRZkRHUE1za3N2N1Ria1lNRS9rUzVDVzYxL0RoblUwaFJkY096Z21MSHROaXR5d0hzclNKZmI3UEpqUmNyYnY0M05xMTVLRU5UeVdPb0R1eEFXVENGZkJNRzhWVHNweTJjZ0crNUtnTlkyaThsQUR2OEtzRjkzbmtERXJjYitsSGpGNFJoL09IZENTZE1ZeVppUThBM2VkUVRxSXo2dWRoNVkxT3dZNno2cnBVY3BTcm1TOURScUYySXE0Mjl6OW0wNGIyQmhQYmdPYUptWjFIdTU3dEI2T1p2N01nUEZ0a29zSTJmSlB6U0h2eGhITzVlMmZVbnBxTGVDL1ZvUmtPSWdTcytBQW4wS1hZWk50NDRub0svMC9tZHNGSzJKK05SNkxCeVovZ3R0ZXc5aHc0YUw5c3BwRThXRXROQ0ZpWmN1Z0JReC9aelRhVUtnSVp5RkxEb1lMbjU0alN2ZWdRdjdZTEtzL2Rud2xpeTUraUZHKzV6WkRqNDF2TkFOaWptTitZdHIvbXBVQ1IveWNFNkNxWVV4S0U2OHlXRFJqYmpGdUo4VUJFb0U3T3dUYXRaUTkrQnBTd0hNN2E0TTVvTGs0RDlhbDFIVmI3TWo3dy81aDdSMERndThpTG51QVNXS1RxZzNZQ2xrbE1uUzcySUtEUkJsckM4RnNOUzJ1Nm5QSk9ubHZJaDgyMXUwTlpFbFlSa3p6S0d4YmlCa3g5YUFVOFJIN0paam5yZTJ3Q0RpeFNsNWdyekIraW91THZad1VtOEU1UVdRcE80SnBCaVM0ZkdMSnVQRVJnWVpXMUl3N3BvQUhnLzl6UjJ1WW1YWGc3SHhYbkd2aXJhSDZUQjlKcFYwdlpZNXVGaVpVNm90UTUwYlhJQjU3NWkzaG5kNFY0SUNXK1F3UFlkMzhyUWdEcmdhVFlDRnFXMHZoMEVrYUh1dUFSbkZleGZFbVl3R2dqWDh6QzJxVDg1TVhhQUxJTkY4V3dVQnpROE4waFZxV2J6RHlJb1RtS3Z6ZlFNUjlmRlJPVFQ4YmNFOEJmIn0%3D&from=searchresults#hotelTmpl
Arkansas,Little Rock,Comfort Inn & Suites Little Rock Airport,80,226.644,https://www.booking.com/hotel/us/c-inn-suites-airport-little-rock-arkansas.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=5884404_94278154_2_33_0&highlighted_blocks=5884404_94278154_2_33_0&matching_block_id=5884404_94278154_2_33_0&sr_pri_blocks=5884404_94278154_2_33_0__62510&from=searchresults#hotelTmpl
Arkansas,Little Rock,Comfort Inn & Suites Presidential,82,293.593,https://www.booking.com/hotel/us/c-inn-suites-downtown-little-rock-arkansas.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=5904306_332273218_2_33_0&highlighted_blocks=5904306_332273218_2_33_0&matching_block_id=5904306_332273218_2_33_0&sr_pri_blocks=5904306_332273218_2_33_0__80975&from=searchresults#hotelTmpl
Arkansas,Little Rock,Relax Inn,50,91.738,https://www.booking.com/hotel/us/inn-little-rock-west.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=46542409_376062991_2_0_0&highlighted_blocks=46542409_376062991_2_0_0&matching_block_id=46542409_376062991_2_0_0&sr_pri_blocks=46542409_376062991_2_0_0__25302&from=searchresults#hotelTmpl
Arkansas,Little Rock,Markham House Suites Little Rock Medical Center,73,182.736,https://www.booking.com/hotel/us/markham-house-suites.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=43018902_190281287_0_1_0&highlighted_blocks=43018902_190281287_0_1_0&matching_block_id=43018902_190281287_0_1_0&sr_pri_blocks=43018902_190281287_0_1_0__50400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Arkansas,Little Rock,Guest Inn & Suites - Midtown Medical Center,79,163.031,https://www.booking.com/hotel/us/guesthouse-inn-little-rock.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=51165006_98305366_0_0_0&highlighted_blocks=51165006_98305366_0_0_0&matching_block_id=51165006_98305366_0_0_0&sr_pri_blocks=51165006_98305366_0_0_0__44965&from=searchresults#hotelTmpl
Arkansas,Little Rock,DoubleTree by Hilton Little Rock,77,289.478,https://www.booking.com/hotel/us/doubletree-little-rock.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=4386021_94263992_2_2_0&highlighted_blocks=4386021_94263992_2_2_0&matching_block_id=4386021_94263992_2_2_0&sr_pri_blocks=4386021_94263992_2_2_0__79840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Arkansas,Little Rock,Fairfield Inn & Suites by Marriott Little Rock Airport,85,264.678,https://www.booking.com/hotel/us/fairfield-inn-suites-by-marriott-little-rock-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=530226305_187396092_0_0_0&highlighted_blocks=530226305_187396092_0_0_0&matching_block_id=530226305_187396092_0_0_0&sr_pri_blocks=530226305_187396092_0_0_0__73000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Arkansas,Little Rock,Little Rock Marriott,84,467.936,https://www.booking.com/hotel/us/the-peabody-little-rock.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=9803a45101db00d9&srepoch=1701818538&all_sr_blocks=31178209_94404377_0_42_0&highlighted_blocks=31178209_94404377_0_42_0&matching_block_id=31178209_94404377_0_42_0&sr_pri_blocks=31178209_94404377_0_42_0__129060&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
