state,city,name,avg_score,price,reviews_url
Delaware,Dover,Best Western Premier Dover Marina Hotel & Spa,76,313.178,https://www.booking.com/hotel/gb/churchillhotel.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=11220413_89000292_2_42_0&highlighted_blocks=11220413_89000292_2_42_0&matching_block_id=11220413_89000292_2_42_0&sr_pri_blocks=11220413_89000292_2_42_0__68400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Delaware,Dover,"Holiday Inn Dover, an IHG Hotel",82,268.537,https://www.booking.com/hotel/gb/leaf-hotel-dover.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=21787023_95436254_3_34_0&highlighted_blocks=21787023_95436254_3_34_0&matching_block_id=21787023_95436254_3_34_0&sr_pri_blocks=21787023_95436254_3_34_0__58650&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Delaware,Dover,Dover Town Rooms - Short Lets & Serviced Accommodation - Dover,76,131.864,https://www.booking.com/hotel/gb/dover-town-rooms-double.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=347855401_351904316_2_0_0&highlighted_blocks=347855401_351904316_2_0_0&matching_block_id=347855401_351904316_2_0_0&sr_pri_blocks=347855401_351904316_2_0_0__28800&from=searchresults#hotelTmpl
Delaware,Dover,Royal Oak,80,331.493,https://www.booking.com/hotel/gb/royal-oak-river.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=658678501_333271643_2_1_0&highlighted_blocks=658678501_333271643_2_1_0&matching_block_id=658678501_333271643_2_1_0&sr_pri_blocks=658678501_333271643_2_1_0__72400&from=searchresults#hotelTmpl
Delaware,Dover,"St Albans Guest House, Dover",82,232.411,https://www.booking.com/hotel/gb/accommodationdover.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=11222715_95679490_0_0_0&highlighted_blocks=11222715_95679490_0_0_0&matching_block_id=11222715_95679490_0_0_0&sr_pri_blocks=11222715_95679490_0_0_0__50760&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Delaware,Dover,No 7 Priory Guest House,81,302.189,https://www.booking.com/hotel/gb/no-7-priory-guest-house.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=59695702_116108846_2_1_0&highlighted_blocks=59695702_116108846_2_1_0&matching_block_id=59695702_116108846_2_1_0&sr_pri_blocks=59695702_116108846_2_1_0__66000&from=searchresults#hotelTmpl
Delaware,Dover,"Private 1st Floor Apartment - Perfect for Port of Dover, Eurotunnel and Short Stays",96,329.661,https://www.booking.com/hotel/gb/springdale.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=655774001_377257017_2_0_0&highlighted_blocks=655774001_377257017_2_0_0&matching_block_id=655774001_377257017_2_0_0&sr_pri_blocks=655774001_377257017_2_0_0__72000&from=searchresults#hotelTmpl
Delaware,Dover,The Lydden Bell,91,352.554,https://www.booking.com/hotel/gb/the-lydden-bell.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=866228202_354825059_2_1_0&highlighted_blocks=866228202_354825059_2_1_0&matching_block_id=866228202_354825059_2_1_0&sr_pri_blocks=866228202_354825059_2_1_0__77000&from=searchresults#hotelTmpl
Delaware,Dover,Les Fleurs Accommodation,74,164.831,https://www.booking.com/hotel/gb/les-fleurs-accommodation.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=734489505_350434027_2_0_0&highlighted_blocks=734489505_350434027_2_0_0&matching_block_id=734489505_350434027_2_0_0&sr_pri_blocks=734489505_350434027_2_0_0__36000&from=searchresults#hotelTmpl
Delaware,Dover,Maison Dieu Guest House,85,278.014,https://www.booking.com/hotel/gb/maison-dieu-guest-house.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0e52980b1b9101bd&srepoch=1701898653&all_sr_blocks=69654102_204549135_2_0_0&highlighted_blocks=69654102_204549135_2_0_0&matching_block_id=69654102_204549135_2_0_0&sr_pri_blocks=69654102_204549135_2_0_0__60720&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
