state,city,name,avg_score,price,reviews_url
District of Columbia,Washington,Fairfield Inn & Suites-Washington DC,75,418.929,https://www.booking.com/hotel/us/fairfield-inn-suites-washington-dc.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=7692303_246421116_0_1_0&highlighted_blocks=7692303_246421116_0_1_0&matching_block_id=7692303_246421116_0_1_0&sr_pri_blocks=7692303_246421116_0_1_0__115400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
District of Columbia,Washington,Capitol Hill Hotel,82,668.503,https://www.booking.com/hotel/us/capital-hill-suites.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=5621514_91458663_2_1_0&highlighted_blocks=5621514_91458663_2_1_0&matching_block_id=5621514_91458663_2_1_0&sr_pri_blocks=5621514_91458663_2_1_0__184149&nad_id=7e26ba43-1a93-4860-9845-0bc0c03d6ddb_9&nad_cpc=1.67&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoyekVDSVRNQnZCcTE2aUw0V1phdEFQV1lBbGNCbFNhOUg1MDZkY0dUUmQxaXUzeE5hVHlBU2ZCVmNUdjg3Yll6NTZiU3RIQ1prOVh4WVFYOExZU205UkVCTzEvR04xbkZkVE1LRlNmWE9UdWZablBlQWlkVGdlc0dKdTlDTXluZW9IUytMbTVqMWVuSU5iQitkRERCUTBqZGFXY0VZTzU1dUJhZ2h3OWtPbUdMZHBpQzMwV3BOYmxpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpkN2VCRHROUTBWZUJVRTR0b0JCYVNOYkQ5WjV4QVZiU2xsb0IxcWw5WEc4c2x5Y3lIRGJoQXppWldDNnFHWjlGSkFEK1lvTzdNSnBybGRNcGU5YTBMTXN3Mkc0R3RDZThYMG5HQ2lRdU5pWmxKUG1NN21ZSWVqRnkzOVlhd21jcC9ybEt5cXBzYVZPd3Y5TnZCUGF4d3B1SEF4bm9xZ3hnaG52SWFaaXZ3S09NeElsYmdHbWZ5Uzd3UFQwbjdwZjVRQzRSekNCaVdtam55cU1qZXRkQVp3WTFJVHRqUWRJQVp6K2g1TkorVW5hNUtMcDBqVTAwSHNjZks0UnZ3Z2RkNnQyNHRrSVQ3bXNFMVIzUzBvazZCbTZqanpPck95bWhoQ2dML0lDbFdaaGhjcFlWa1d1ODZ2bDR4SmtERmwwd0tweDBWVDBmQ05IeTJNYjdIbks2RXNZVk5VanNEbXlJM3hObEpHVVF2OVBJRFdwc3VzOGRYL3pMVlZORFFMZXRhTENCazFCMEZMcGFxVXd2ZzhIOVhHcHFuRjFrSEhyOUgrUXJXZ2FIQ3BOUmVxT3pwcmxLb0h2dUUxSGZ6WHVKWER0bVQ4MHJQZ1lFZWE2OWhSc2lMUG5zb05iYVI3S1d1MTQxRzdCR0ZVUHJjd3NCZWRnSGhEQ1dZV0pXdWVSbEdNM1JPMVd2eW1MNXFjckl5czRnVW43Y2t5WEVOVDk1NUpsV3k5QW5WS0VocVBUcnpWNGNSUmxYbDdNZlNkYi96bVJ3QnI3WndPNmsxY2YvWWNoUjJVUnpCTkRZUFEzS2hoMVY4T2JaQzRqUVR1bUU5ek1yVVY4Y3R3SjY3NW9NT3hsZTBIR3lwaDlvdkRpSXdodXlLV3BkOGFwVmZxaVdLQ1I0aDFLZTg0N3ZlQUZqTm5qcGRlZGI0eVhtQWlTNUdkNEZSRTFXRTFqanZlTlVZc3pUQlAxQU5majliclNwVjFTQ0FMdGt4K3IyblVmSEZkaHE5dWJqZ3dVU2ZrMWJBWW1KUVVTRUJRTnBNb0FaZzk2bmI2NWdwbFR6aEh2dTVEMURDb1FiN3FzRkRKUHdSSnF4OHIwaVVYZkozQ2dvTGRHMWo2T0ViVkRjU1JwVy84N3F6cVlmMmRNWkxqNWo5aXpHa1hSYXpDNm80N0p3V3RGMWMxRU5FYTdIdytzVzRsS2xKQXdCdmIwQzd4T1J3Z1d3cmFUOXZSTGlLck4xZ0dGS2g5TDRGNFNMc0tNLzFMMTN6Z090Q0RjQjl5M2drWE40am96RnpWME1nOXFJbGYyK1p5bENWdmhuejFXTFRtT09nVzVsYVZic2lOeGdzczFRSjVMbWY3bEdNR3RGYnBpSHZEd0xQYjRaaXc5MXZhMTZhZDIvdHZnRVErdG0wems0QzJCMGJwdTM0dTY0RzVxTWVESDI3Q01BNnhZSUgxZTdPTVhHSEg3K1VuaXoyeHZXN1VNUGd1MUlLMjhhdjQzOUtzSk4xQlFUQk95QU9jTDlneVV3d0hzSjBVclh3LzNzYWxjUVAyc01vc3VLblRBN1lGMG5WcE9vR0V2aVdSazBrVmlobGRabTB6OUcvSHowM0N4RnZHVW92YTlwZmlzejJYSFFQYko1MFFndElBUTRQaEsvT05tZlR4K0hqTEdreGVsZDk5cmpjZ3hkZTVFRG1yN2dabWFKdzhPMWlDbjVKZXZWd0c1VkkydElPTVV3Z1BVQ0lhRlVLbVZ4UlhZTHlFcEQ0ckF0VlA2UHY5Nk50bzRNTXFhMFdrQlJVSEI1VElGZWpnUklySVhibTI3NjlHK0lXcVhKRW4rSGxKSkdCd25HNFN4NWhmRW40ZEprTkJUUXBKU2REUHhFdFlrekZkenRPQytTV2QvQWR3L1pZTUFhVktUOExoUDNGcXYxbXhDUUxDbzNJYXU4SmhkQXRUZlhPS2xVNVZhWGp4ZHBBM0QxVzNMQXR0amRqYjQ0citKcXlYcTd0dythbVFGMkpKQmZIdkoxcU1IYTZHcjhCcDkwbThEM1RjWEtqcksyTVZyVzlHVUdqNE44OW0yKzllWk15dWJYWGp5WHE2elVMMmV6dmdqMEhJM0JIRHJLOWlOU1NFMTM5a2VwQWlYM2l3d3FQWHVsT0w1bHVNaXZmOS9NdFh3RTA1YWdpMHBqajJFKzdOL1RyUFhORkVpS1dYM1BTSDVLRVBRWGRpdjlNckg4WnRkR2tXTXZBVk5DVWtsUTRxNjdQdXpOdXp5QmRsRFVoZnJvc0VKMHJPK0NTYTBEaTYvWlp1WVUzOCtQV254ckNQYnp3ZzJPOUZtY004NXhZakxpU254L1F2czkvOEF4RDZsTFhMWm1ibEVkVXNSaXVHT0g5ZmlOU2ljRDNGYUM5VGJoRXhrT0dsYmllOHUrYmllSE1wTnk5dm1pSVlaK2M2dlZyaSt2UFh0WU1aeEFrSmhLZnRKcWpNSTBlM3VSYS9WY29aNk1qS1RrOW9zL2swYWpxYWVyMHZ2ZFFoem9qNHQ3ZmRhWEtwR3ZnYlQ1NWMzVDlHbjlhdjVjL0dhT1NvNEQ5SUpvT1pUM2U1aDhka2s3UDFDUEJxZmhmNjFzQ1cwMWxEV3BaaDRROVpzeFlvdEM3VUxTMDhkejBtb1Rka2N4V1gxdGpkaFk1Zk5iOW5ad25KYjZ3VW1VekI5YWZhd1dpRkNVa3hxSGIxdzBvUU1RckhOMUNzeXVuOTNyZk1ab1ZVbmR2ZVpDMkIyeHNhTDVVMDZQeEFiOXlNTitHZmxmam5SejRTYzdZaFR5cHVIS1hhVmZEdUlZZktLZzF0QmUwSG5jcGZjT2NGNGJnL0tja1ZQWm5kOFFDZzB5MFJ0RThJamc4S0FWQzN6L2EzM1FlUkx3RE5QYmowVC9GUHFZQzBWd2Q2dUZYdTNMU1FVaHc5OUdlQnkwWkdraHo2RjZCOGtyRXQwbjQzWmJiOGI1TXZOZHpiMUhPUFMvekRWZWlyWGlwMm0wcEIyTHk5T3lLNTNuK0VrQldGUm0yTlFLUnZ1Y2FDZHV6QU5HZVQ4KytpbklIY1N0cjNVNjIwRjhoUkMrNHFuRHV2In0%3D&from=searchresults#hotelTmpl
District of Columbia,Washington,"Holiday Inn Washington-Central/White House, an IHG Hotel",78,604.248,https://www.booking.com/hotel/us/washington-central-white-house.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=18233605_95183735_4_34_0&highlighted_blocks=18233605_95183735_4_34_0&matching_block_id=18233605_95183735_4_34_0&sr_pri_blocks=18233605_95183735_4_34_0__166449&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
District of Columbia,Washington,Washington Marriott at Metro Center,80,909.736,https://www.booking.com/hotel/us/washington-marriott-at-metro-center.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=26303411_91828240_0_42_0&highlighted_blocks=26303411_91828240_0_42_0&matching_block_id=26303411_91828240_0_42_0&sr_pri_blocks=26303411_91828240_0_42_0__250600&nad_id=7e26ba43-1a93-4860-9845-0bc0c03d6ddb_1&nad_cpc=2.32&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxeWtTRVJjeHZCcTE2aUw0V1phdEFQV1lBbGNObVFxaEU3RTZkY0dUUmQxaXUzeE5hVHlBUmRoVmNTdnc3Yll6NTZiU3RIQ1prOVh4WVFYd05aU1cwU0VCTjNmR04wbkpkVE1LRlNmWE9UdWZablBlQWlkVGdlc0dKdTlDTXluZW9IUytMbTVqMWVuSU5iQitkRERCUTBqZGFXY0VZTzU1dUJhZ2h3OWtPbUdMZHBpQzMwbXBQY0ZiTWEvakhJckV1WXRUQThtdWdNU0VmemdtTUxMTmc4OS9ZVTVzeHRSbHAyODhGanJZMlNJY2dpTVY4aHZKWmE0Q1AzOFJGdVh6YnRNTTM5c3JON2l4M3UzWGp5UVhkYkZaR3JMYjZ0a3QxSTdUSW1JRXFqSDdnNis1TXZ3V3J6ZXAvTExXZ0Z4RWw1TUUxdUpSK2VoTHNOUTBWZUJVRTR0b0JCYVNOYkQ5WjV4QVZiU2xsb0I1cWxjdklzY3hqYWpuRVB3ZzdsNXZCL3JlTzZWUkJFL1VuUHZvUnJxUlBmTnk3ZFVQU3NReVZxaVZTYjhIdG1tZWlRdU5pWmxKUG1NN21ZSVMvQjJLM1o2Y29lSnFnd0t5Z3RkbVVKUlQ5SVBGR2VRQXA5em8zbFlTczJCTXc4b2FUbWVNTEpkTkxnN2tQaStDU29rWFF3M2o3Zm9jQTV4VEZHVG15eFNLNEpDWGlQZ3gwYmt3U3FuTkpNaEJodFZCSEx1STJiSUxBK1Z2ZjFWejVQcVczUitVbVpZN3kyOVExWm1IbStBcFowVGNrbDZCdy9UM3ZNUC9qaWc1UjFQeUhEMU9heFVSbE5CUkQ0dHUzMW9WUGtUMGkzZ3JxaGdZY2xyTFpXSG5ZYjZmbmVmOWhkbE5haE52amg5NjRKVVJKQms2ekxvekl0OHE4N2REdzBMcFJKVE1IZlozVUhWcGpFa1VMOUtmVWdlQTVEY0RkbzZuRmdoNlhyOGYrQWYzcmJUYjZaQWFpTkRaa2piaGY4N3M1R1BmRXVaZkV0bWI5MHFTMlB4S0k0Y1ZENzIrVmtjSVJicUJ3UFdpdXRBWDlDRzVTUEtOcThGU2NpM1pHQ2l0RmNXV0dHQmpXeHhTa1N2cXFPWStLL01mdjdCMW5vSXduVTBWYi9OMGUwaS9rUTN0RUhCcUdRcWZZNzk0V2lYSTBNUEtVUXUzcmF3ZGk2cG85L1ZkM1piMUUzay9aQWlWQ0g0dmN6TGNoaWh3QWRkSDEyeHptaUFVZ2U2WUQvb29wWjdMbHNjZTlsUEFSREMxMTVwREEzOTluekhLQWtmOGZ0RWV4dHc2T1UvVnlIZkp2c2NMbUFtSjE0Y0lvVzV4M1Qwc2ViN24xZzFRV3EyOFFod2Y2UGxWNHIzVWNpMEpCanREbFZKZDdUU05HNVJ0d3R5dU5QMnhCazdwMGVTNHhWMnFzZ2I0QTI5bFlVUU1FYjUwd1FzZCtwWGUzczFZNlQzRUM4NnRWZ212aUZiRHk2Uk9FZmh0U3BCc256aUlVT2RLSmdzTFNXMS85UFV1YkFaYVV2bnI0N1B6MmVLMllaNHIyN205bzFXdEdRcWpMNk45c014anJXd1o4UU1VYy9XWTZxbTRrTEYxQXpCeVluaTMwZDFVakZrVGNXWktCUENPaE1FOGZIcVF2ZnRVdFNPQmZhYnBZeDJQMkxkYURaMWc2aGx3SE9ZL3B6a2JBaDVwbjc1cFB4UEJsa2lSemwydnhYcVNoYnJORTkxeVRiTmFla1U1cTFnaCtLbWo5ZzI0WHFVWDBneXVRbEwzRHM5MzI5RkhLMzdPTWtMYzdqbHhpL3lJOGs1K3pFRnY3dVdJeTc1ZTV1SURRV1R1UFpWZWtlTUQ4ZmJLQUcyelByS1JreEhUeSsySFNNZkl6MkppNzhidWpqSVM4S3Q5RVNURkR5UUdEUElkdExnWUVqS0VMdUVZaTJzcXpady84OXBVaysvL0dCL1pVM2lvVU1JSzJnanFLcVZRUmhnOUxhbWQxcTJlRW1WakdoQXJUQzh2RzZvYm12enlXSEZPSWNvY0drWjVOQW9QcEsrU01tL24zL0hyTUd3SU53TkZsL1g1anhOMjJFQ1NnN0FCbWJZa3RPaHZNMklKVXJWMGI1bE0ydFlmMVVnbGhVU01hRlVLeVVoTkxaN3VCb1RVb2FNNVNrTGFucjhaczdOVTljRVN3QWhVRkJvWFNEUG1yRTgzYVY2dTM4cTlHK0lXcUpaRW1sbmxKSkdCdy9Id092OTRXUm5NYk5WNWJXQnNTQTVmUDBrc2IwMzlUMWRxVi9pV1g1UTluK284SUc3aEVWWW0wTnpJOHFsM3hXQXFCNVhvWnNjWmdmMGdFT25PY2xSZ2NPSGppWUpZeUEwaXFaMTVZOHM2aXk5VzVJYmFXKytnMitiK1FRRDBPQXVIL0owdWNBYithNDVreWxDSE5iQXF0Q3VXN09HY1RvMlJWR3p6a041UjVqT0pPWW9MZ0xIdjdtRDc5elVITWNUNmQzQTNZMWdIRnNhMWpOU1dEMkdKME85UmxYM3VLeUtiWHQxeXQzVldUaXUvK3h0Y1Fud1JJSlVTRHNpK3dYcldNdVgzUFgrdElsbzdhazZLWDdyRUpYSFZqdjlJbUVOdDNOUzFkUGZ3T1BTOTB5bEFrOCtlbm1OYTEyeUZwR3pVSy8rMWJkbVhmNUQvTWsycjh0TUpqWjE3SzcrbUkxK3ZGS0ZwL2ljQlVoZGhxcEVSbWNHbTF4YmxnNGJQa0RYeTAxK1NGTXlQckNaRnZDelNhZFNnZGhzemdOV3ZUSTJFVU8xeGt5ZlM5THk2NnV1cWxkWHRxZG13Z3pIeGJaZkEzbEVqbnkrRFJyTVZNZ2g0TG1iQ2dlZS9MRDA2cWhSdWtYOFFEbzUyR0RRZG9yNmMwWkhyWGZhSWh2OFlwMUlqenQ3T2RQeVduQXFsQ0g0OU13UzVhbU5IMHRwckljTGpocGp0TU1vYVpVWEs4eTVReGdiRDBEdkp4YlUyemtNU1N4RVJRU0paMjV3SlZzRTE3NFR6WExpZzNiU3Q5N0dGaWRRNkEyTkxjenRGQ1l1bGxQa2ZWTWVjSGpuckUvSmZUM3lYUVMwVSt0SHF3blFFREpqekNQbUNsMU5ubTFaamRQYzhUM0kyVllpK2M0UlliQW9RazlPMWNYdEtjQnRPVWtzT25BbmhWSitRaFJUTnVBSy9hWlBydlhOU2ZPUnQrVnFoQm9OZENYL1lqK0xsQ2Vwd2JKY2VIdGgyazN6c0dna2dkc2s1QVVsNnZrS3p3d0FPZE9SZjdPcTNHRHJzU3A1anJDVXh5bzFMbzJZV1NUaUI4dmpTUDB4a1kyUlRoRUtaNW83TXg0RDk5T0xqa1BzeCtNZHZia3oyU0hLckJES2FsRzJ4d2wxeDYxS3JBYUdTcDBtNkJsUk9XWDIzVkE0OTlrc2VYY09qVEtDTFE4L2Y5NWZYWmlQazh4M1Ztcm43Sno0Tk84UT09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
District of Columbia,Washington,Phoenix Park Hotel,86,657.398,https://www.booking.com/hotel/us/phoenix-park.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=5589303_154666555_2_2_0&highlighted_blocks=5589303_154666555_2_2_0&matching_block_id=5589303_154666555_2_2_0&sr_pri_blocks=5589303_154666555_2_2_0__181090&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
District of Columbia,Washington,Stunning Studio on Georgia Ave w/Free Parking,94,276.899,https://www.booking.com/hotel/us/stunning-studio-on-georgia-ave-w-free-parking.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=1090911401_384645428_2_0_0&highlighted_blocks=1090911401_384645428_2_0_0&matching_block_id=1090911401_384645428_2_0_0&sr_pri_blocks=1090911401_384645428_2_0_0__76276&from=searchresults#hotelTmpl
District of Columbia,Washington,AKA White House,89,1056.615,https://www.booking.com/hotel/us/korman-communities-washington.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=5584512_262208514_2_0_0&highlighted_blocks=5584512_262208514_2_0_0&matching_block_id=5584512_262208514_2_0_0&sr_pri_blocks=5584512_262208514_2_0_0__291060&from=searchresults#hotelTmpl
District of Columbia,Washington,Hotel Washington,86,916.924,https://www.booking.com/hotel/us/hotel-washington.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=764687105_356862229_2_0_0&highlighted_blocks=764687105_356862229_2_0_0&matching_block_id=764687105_356862229_2_0_0&sr_pri_blocks=764687105_356862229_2_0_0__252580&from=searchresults#hotelTmpl
District of Columbia,Washington,The Watergate Hotel Georgetown,80,1035.342,https://www.booking.com/hotel/us/the-watergate-washington14.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=135726305_0_2_0_0&highlighted_blocks=135726305_0_2_0_0&matching_block_id=135726305_0_2_0_0&sr_pri_blocks=135726305_0_2_0_0__285200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
District of Columbia,Washington,Hyatt Place Washington DC/White House,81,1059.446,https://www.booking.com/hotel/us/hyatt-place-dc-downtown-k-street.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b23d783e21d002ce&srepoch=1701882373&all_sr_blocks=125653512_106964680_2_1_0&highlighted_blocks=125653512_106964680_2_1_0&matching_block_id=125653512_106964680_2_1_0&sr_pri_blocks=125653512_106964680_2_1_0__291840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
