state,city,name,avg_score,price,reviews_url
Florida,Miami,Riu Plaza Miami Beach,75,605.093,https://www.booking.com/hotel/us/riu-plaza-miami-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=112523616_353589267_2_1_0&highlighted_blocks=112523616_353589267_2_1_0&matching_block_id=112523616_353589267_2_1_0&sr_pri_blocks=112523616_353589267_2_1_0__166889&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Florida,Miami,Residence Inn Miami Sunny Isles Beach,82,410.794,https://www.booking.com/hotel/us/residence-inn-miami-sunny-isles-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=248950403_246434627_0_41_0&highlighted_blocks=248950403_246434627_0_41_0&matching_block_id=248950403_246434627_0_41_0&sr_pri_blocks=248950403_246434627_0_41_0__113300&nad_id=ee321529-49e3-4a13-b8aa-2b766e2ff7e1_5&nad_cpc=1.03&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxejArS1JNRnZCcTE2aUw0V1phdEFQV1lBbGNOaVRxQkg0RTZkY0dUUmQxaXUzeE5hVHlBUmNoUlFSdms3Yll6NTZiU3RIQ1prOVh4WVFYd0liaXUxUlVCTjJmQ0IzbmRkVE1LRlNmWE9UdWZablBlQWlkVGdlcGJRdTR5SW55ZW1IU21HekpuMWVpQUdZUitlRERzRzBqRmJDNVVZYXBrNlY2RXB3OWtPbUdMZHBpQzMwV3BLYUZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpCNWNoanRKeFVWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNbmI1SVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhLSm45WUUvZm9RR0k3M2NVWTg3cmhHYXJYdkV4UGdjY3c1ZTRjbzJ4RlREd012VnNJTTJ5eXF5OHBwWE1jVmluZHJRQ2VSWXBwR045eHQzc25GNGkrSWFQaXExZmRZa2UzZXhMenI3ZnRsSGIwajZtSzk5RjloUFpCVFNrZ25hcU1qZXRkQVowWTFzWnNEZ1hJQVp5NXdzQ2FlODNhWktYc1EvTTJGSytMdkwzRWZReGJNVytuTU1qSUQrbDhnUVhnbmR0eDZGNzRqM29OZi9qbWxVRXg3MklBVldmamhBZ2JRQmJvWnYwbTR0SWlYZzJuMGVyaGxwTW5MdmRHeTZUS2FuL0pMd2lNMGRTaGNiaTE0SHhkaEVLRFVLeE01M1R0OTM4cnRmODJhZGRmWGdLWXQ2ZUVraHFFMVpDcE8yQ3dySjhYTVRMdktpVm1oR0R0TnprVkxXZ1pIVzRNRkhqZjJvczFQOUI1cVk4WHI2SDdOYWQ4WGpvejZMOVlVTFZ2cHdQOWl6WHdvVkVOdUU5SldxNytsaWdUejlIS3JFcnZsdVZsRzFOQjIwYkpEdlZCVitVZzFydlh2K29McENZczVqOStoMTJvb2d0VUVsWi9aNVFtU0hwRG1kTUVBZUJTNHpENWNOTmxtTW1IZktWYWVhc05GQisvNDRIOEV0dWZ2b2EzZ1dKU1dKY0M1TFd3S0VoaWdBZGU0UGsyaGJqaFZSeU0rVmFyNTh1WXF2bHBvM2l4UEVIWENaZ29wL1F0N0UzdzFQL25NMGNqVzN2dlEybVJQeENWcFlmeWM3VWN6OVErY1JRREs1REQzTTVTZDM4azJNU2hFZ3dweExnRjEwejUzVlh5dzBNamNEbFZKbGdYVFFIc0ZvNXQyREpjaUphaHExc09IdDFIbXJrMy8xUDJwb01DdzBjTHNWelY4MHo4aW1rcFVWaUgyTVYrYVZleHphNlRmanlwMFBRTHhRUC8waDJqMllVSW9tWnk1U0ZEdysxYVJIUVU5aWM2bTc1Nkt5bVlmdVlOdG41OG40bGtqcFFGK3VIczQxZ1pWMnFUd0Y4Vm9aVDcyOHp0MzloYlVsSHpBcmQxaVRnYTAwalEwU1RHOXZST2pXNElFMEFFcTVvTm8xbFNMc0tMdTBlaFRxMVpJYUxad3hseFJsY2Z0eXJsZ1dXZzVKNDdzb0JuN2M0MlhrczF5Sy9WYW5uTmVJUm9RREZLcHZJbkZWbjAwa25meWk2azJZSHAxVHBqbi9QaHF2US9aYi84Ri9jMDdlT3dPSi8wZzFtN2lvM2tzL3VRRVA1dmo4NTlKMjd0Y3lOVlMrWGYxdnFOY1Q0Y0xpT1VHSFVxUEl4ajN1L3BUZUpiSzF3Z04veXFPcXRsTi85UVl3REdsNFVoMUxkYklkNkZRQWF6Y1FDcjA4anpZLzFhaG5OdDk4dnhmekRCNmdFM2owdk5wejU1ek9kb0ZVR3cwbGZlbXM3K0hLTmtGbkt6QXFaVDVHR29ZSHZ1VHFXR3hMYUl0RkUxb1pGQmRXNmVhdkdtUEw0K25uTEhGSlNrSWtpKzNwMndwRGlVV1QxdjBjdU9OcDBid3lpeUlCZXJWd001MU0xdDRLWVZndG9VaUlVZjFhd1JVMFBNUC9FLzJKOFFJa1B4N3lpdnNCMzZOUjZPQVB4UjBCSFg4R0tUS3k0ZmQvYVhhdTI1YTlIajVlM1U4VnoyaUFhZXlRNTFqc0FwNWhSSERnWlBFWk5YeHRJU2RDZmx3UWYwV2RkMXRhQzRHTGY2Z051NTU1RlRieEVYODdpUHpJOXZCcm5XRVhDbzJzUXJOTjdmeGhOY1Q3ZWxWWWlGaUMyY0pja0dFNmdaMTRoamM2aXk5VzVJYnlIcTZCeHRmRExGM1JKTWREWmR4WGJHNzJScHNaa3ZCMzViQnowWE9XdEttNFR1U2dJQ3lxOWRwMTRtdVZsZU03NEpIWHJ5MlNzZ3hxbU5XR054QVBJaFZ1VS8vWUpjWHJ1bmk4dkI5Tm1ZMmV3eEtPcTZSK0g5MVNSdE9HNWo1NVJ6VU40TzNXSXBpS3dTTFhkNFNxWUdZUVN6c3ZBaTZ5SHZldFVIU0VrOTQwOENNZDVkQ0ZSSi9FZlBSNDVnMEl5ODhlbm5kU2kwUTRrUkRWVXVOOVhabXYwL3phZTJtcWk4L0J2ZDFEaDlPRGFudXVZZUhGdmlva2F5T1pxcEVSdGJYWGlqNjEyNFkrcFRqT3JtcTJXSlRlMFFwZGxSbVBMSUdWYmhJejhNM1RmYnp3WUwwUit4YnJ3TkRleW91am5TV051T2lSdHp5d0FJcUJpNXgzNzF1SE1oSXNaMEVwSDNQMjdLTENiTVZEbm0xYnlSY2NDOWRURkdoUWp2dXAwZTNPYU0rTnM2OFExeXB2MHRiWEdiSE9wR3ZzYlQ1Qk15eVJDZ2RtMzRzS0FjTysxOW1RZGRkblVIWGE5amNkaHd2MjFXclk0S0ZtL2tJL0poZ1FYRU5jbXJGbGZ0UnNrdDJPY2RudDlZek53K0hsclBrT0N3OTdNaWJSS2UrcG1ZRWVmYzZCUnh3ZlM0cEhmeUZpTUZ3Ums2Z2UwbGhnRllWbUdNV09qdytqbTg0dk5iWWRVMFlLRldDeUIwQ29NR1pKanRxeEFlYytRR3VXVGxjVGdjVE5VZmE1MUJuWXBES1hiWk9meURvdnhZVk4rRHZBSjNjeE5TdUVPK0xrRkg4NUhaSXJMNDBQMDJTa0dyMWtFdFFrbEFRTGczZUNsbmxPYkx4dkRNTFBLUU41Qis5bW1RUlU1NkZQNzNMMllVQ0l5MjJmVG5GUlFnRitxSDdSbW1hUXlyeWNwZmZpcWM1MXZQY3ZNMUhXakFLS1BHcWIxUmpBdHh4NFJuK0xBSmlmRWx5bkR4MVBSRkRhRFdQSXNtNFVvbUxwYWxvY2Y4MkhXNlVnVXROWT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Florida,Miami,Albion Hotel,75,321.609,https://www.booking.com/hotel/us/albion-miami-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=5577501_91903075_2_2_0&highlighted_blocks=5577501_91903075_2_2_0&matching_block_id=5577501_91903075_2_2_0&sr_pri_blocks=5577501_91903075_2_2_0__88702&from=searchresults#hotelTmpl
Florida,Miami,Loews Miami Beach Hotel,82,894.103,https://www.booking.com/hotel/us/loews-miami-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=52285625_298260185_3_2_0&highlighted_blocks=52285625_298260185_3_2_0&matching_block_id=52285625_298260185_3_2_0&sr_pri_blocks=52285625_298260185_3_2_0__246600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Florida,Miami,Marenas Beach Resort,77,494.523,https://www.booking.com/hotel/us/le-meridien-sunny-isles-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=5579106_88760826_2_10_0&highlighted_blocks=5579106_88760826_2_10_0&matching_block_id=5579106_88760826_2_10_0&sr_pri_blocks=5579106_88760826_2_10_0__136393&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Florida,Miami,6768 Collins Miami Stays,30,337.529,https://www.booking.com/hotel/us/6768-collins-miami-stays.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=1067115601_384288583_0_32_0&highlighted_blocks=1067115601_384288583_0_32_0&matching_block_id=1067115601_384288583_0_32_0&sr_pri_blocks=1067115601_384288583_0_32_0__93093&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Florida,Miami,Collins Hotel,76,303.063,https://www.booking.com/hotel/us/ocean-breeze.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=19169201_88759453_0_0_0&highlighted_blocks=19169201_88759453_0_0_0&matching_block_id=19169201_88759453_0_0_0&sr_pri_blocks=19169201_88759453_0_0_0__83587&from=searchresults#hotelTmpl
Florida,Miami,Radisson Resort Miami Beach,78,466.79,https://www.booking.com/hotel/us/four-points-by-sheraton-miami-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=18071837_295838735_2_0_0&highlighted_blocks=18071837_295838735_2_0_0&matching_block_id=18071837_295838735_2_0_0&sr_pri_blocks=18071837_295838735_2_0_0__128744&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Florida,Miami,Berkeley Park MGallery Hotel Collection,82,302.82,https://www.booking.com/hotel/us/berkeley-park-mgallery-collection.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=708497810_295704860_2_2_0&highlighted_blocks=708497810_295704860_2_2_0&matching_block_id=708497810_295704860_2_2_0&sr_pri_blocks=708497810_295704860_2_2_0__83520&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Florida,Miami,Lorraine Hotel,73,260.824,https://www.booking.com/hotel/us/lorraine-miami-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b5da8f3461850061&srepoch=1701807733&all_sr_blocks=5582404_88759305_2_1_0&highlighted_blocks=5582404_88759305_2_1_0&matching_block_id=5582404_88759305_2_1_0&sr_pri_blocks=5582404_88759305_2_1_0__71937&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
