state,city,name,avg_score,price,stars,reviews_url
Hawaii,Honolulu,Waikiki Resort Hotel,81,331.21,4,https://www.booking.com/hotel/us/waikiki-resort.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=5691402_384385559_2_1_0&highlighted_blocks=5691402_384385559_2_1_0&matching_block_id=5691402_384385559_2_1_0&sr_pri_blocks=5691402_384385559_2_1_0__90973&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Prince Waikiki,88,728.879,4,https://www.booking.com/hotel/us/hawaii-price-waikiki.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=5744521_88762880_2_42_0&highlighted_blocks=5744521_88762880_2_42_0&matching_block_id=5744521_88762880_2_42_0&sr_pri_blocks=5744521_88762880_2_42_0__200200&nad_id=6707ceeb-5554-4838-8d97-afed38e90012_2&nad_cpc=0.89&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ijk0eWhzQlJ0OXlkMUJiSDNkZmtEaFhFSHRZUVYweUxiRjV3ZlpPVnlvYU1PaS92cmMzRUU3ZE1FZ1ZEUTZqd21xd1JMMUpFOVV4NEtEbk5iSUhRK29jTWNSSVpVdnNjcFMveU5WR3hhUG1Sekl3U3NVREx2azJOb3h6cFNxMXJieFFMZk8vK0RaV1pnbTVTbW5oekFEMFdmQ1Nldkk4eVdHRTRRZ24xVEcrV0R3cU9jZ1Q5ZHlsY1NsUThaSVR1SHhjOFhFSHdYWks0Znh1N0p2c2Q4UUU0dzZTeWVNUHlLL1ppR0R3dWh2THU5bVhvWVdiS0JsK3NtYWxxelpFYnd3ZjZ5emZYWWw2bUk3NXNNeHRwaTBuU3JzZWZiUlBvenBVUWJub3cxWmNiYXFWTVpuQjV6VnNLS0l5bG1VM00vNk93Z3p4eWtPeDhsUnhCTklpTXZVR2thaUpRbEpOMU9XNVBEeFNjSUNFMUE5RTFMdzJXbVpONVZRblc5MW9reVpwejY1YVY1bCtxeEZ1S0tVWWQ0aElPWXhFeGNrdGo4Qkt5d0ZmZnhDTkNEWCsvRDFWdVpGS0dWeXk4SEluRjRqaHBNL0lldlpvZkVraXZGUXBBV0NrQnJndjR0VnRHSldsRDBsakV6SmFZcHRyMUZXaGs2WGg3MDh2di8yTnVIcjlRcTFOZGk4TUFvK2lNTEFIb2JNMHptY3AxZDIwaCtYcTEzVEJIYWJCUXlncGFxQTY1QXlXUDZaYjhYNS9EM2xJcUd2RjVHRkFzOWI1UmhLTEhITWFwRldTZ1VYdHAraG9KS0phWEg0RGhOSUcyTG5yZ0ZoOGo3YnpLK1Yra3BseXZtVmMwd0xmcFpZRkQ4OTZzN0d4ZVdTRk5JaDhGZ1M3Tmk4bVJJbytuOFZSemx0MnJ2eTRjdnBWeFIydjJTZys3NXkxRnNxVmo2MWdYNWhYOGRzSEI3bnp2YS9QVE9SVTdEMWxsSUljemo3eldHeERrRUc4OGVMUWVQQmt1S242bDJucEN2d1o4NlRBSXcyZ0R0MU1KbE44QllaSENEdnh2WjYxSDdIOHIzOTRDMnRmMTF1SVVxeFFUakkxVldpRzBoTStRNndHNEcxc3dCblBWNWxNN1J3NUN1b0VFeTFYWEsxVFY4UlMraGhNRDZyRUM1ZUpXSi9Ud2NwN0tBYlV2K1NXVVdmY1ZRNEZaUktHdS92NzdLaTdYRXZXQjg0Z3M4ODdCRWVvYVRrZVFiWEozNU9mTDhtRlRqZjFXV0ozUlpKZGQ1T0M0UFdIU3RUZkxyNENYYUtmV3h2RHcrbjFsTjRuUGVqSjNMNUJjQVBndEZ6YWZDMzhiMlhQMmkvN0IyRWhTWFRrQ2lWU3pyOHZLa2NONEtOYWI2djBhbzlpNzZVWGV5WS8rQVhsV0NUOUY3VmQ5dDlURjJVdWd5TXZXUE4zSmt0TG10VGtmRU1ITUlMc1JFdzNTMWtpU1BONG1hbHNmNkdjR1BNMGVxOGJ2azBlS05Nc2gzTW01VGVlRlQzTktmR2FSbnY0YUplTVc4R3VjRlNMK010blExZHo0NGszd3lEcUNLUXBUY0xZMTlrTUQzTk1ET25NVjM1dVExS0NjbG51Vzg3elN0OXdUa1Y2bVVEY3ROLy85TkNBRzBiUERaMUl6ZTZPVEFOcjcweTZVUW8venVLMGtMdkRzeit1UEhRMHU5d01LbHVjMmhYVWQ5Tmw3Z2kza1lOYjcvOU1sSHVkek1wNDlrVnUvOUM3N0tBZ2JpYnRhcW92QjFDZXluWWZxZmhDbWczUjl0QkZ2QTMwOFBGY1pZWlQwVkhJZ3RNOS9WNnZsdno2bjJjSnNrcDlSZThHOE1HTlBIREduanlBMk9WRkY1T0FpdVYwQnpCVURGZ0c0K1lIdkV2T1ExOUs3N2hzR01sN2J1Q2JNcnFiMXdJNUg5OXhzT1E5NXAwTGp0bXhscFcxeVU2eGxDL3EzS0xVbXBidlVUenI1UmFDdHJIMFlQZXZCWktPNlRXK3E2a053bkFUU3NaYUczSURBdzMyMTUrY0FhOC9FNFVwL0UzRWxCQmcvc1ErVXY2UGJJMUN6UzF1WUdsd01HQmZtcWJBSEczRkVkbFhxYld5UHhWMTB2dXdJOGUranJzRWJiL3BnalRKSFliZ2xKS3BoS2JCNlhudWhiT2IyTEdVb3U1SndTeHdGRFhKMnFtSm51RGxMSkNtNUw5UWR1ZlJNUTRxcklUbzY0YXBUUXpHbm5WcFRsS2FZRFFHRHY2V0JCZVFKZmpzU2w4KzVua1lIR2tqUTR5Sm1JYkhZTDZLelVIRkZRbytsd3o5ekRRV0xnRjNhSE9HanV3ZVJSRmtzdkorQ1NVYVpuQlZrV1FXbkZydG1ueUtxN2JPZjE1WDBIOVY5OGRkaXdIb0pFclJuT2k4TjN0eEU3ZmczcUorcitaOElJMWRwRGlhOGJnSmgwT3ROd203OGdVQWpXUmZyL25jQWIrWC8wMU9KenZrbERtSk5aVkd2cXM0ZGdjKzdtQXN1OWI5bDZwSFhneVQ2dVhsTVpMbjFyOEhpZEFLMGFQeWhwclcxWHd0bHpjUEZTYTI1Y1QrQVp2cFNMY3UvMHpEY0w3Q0V1WFV4b244NnZid3JIWlhBd2wxYmRuL01LUFg2MytPOHc4V05TR29OS1ZiMEZkRjlPOEJJTGtwWTBiNmNWM05HTE5FT2o1ck5EeEhRWkRCNE9EWjdIWkpma1crUmpHUFFia1c0TWpMckZBVWpSZFB0VUlSTWtqRE1XOUt6YVdMdU54bmdVNlhMandyaXdqMUxIVmV4bHdnQ2JQSEE4b3pOelVxanpmam8zZFd2NFF4ZVc3OHVnN29tanZvZEpwZGljazRpOVBEL00yNG94R3dHMFZkdFUraGNkdFZLTDVybXNUb2pmMXpNdURlN0llY3B4YTM5bldhbGhuK093Slhjd0dMUkZuRFJFTjRDTGc5TTRsano2dWFpYk1PTWdHeVg1MjJ5dUNGUTFaNHgzQ0tLaE83WlFCOEhVTTQ2aDFLNGdRTXVuMlFvUmgyQStCYmhuOXFkZEV4eW50MDFYblJwQS9ibmNiNVd2QzNOSEFkODVKS3NrR2M0YzJIRkJRTG5nYVBvSkNzd0Jtd3I1Rm9ZcldsYy9rZlJsS0FaZ2p0MDF0QTNPMEE1TTg4a3RNeDBYMVcyQTVNbjN5ZXBONUtWWjVsTEovODZNaTkzQ3huWVVjdFhiTWsvaXFIZjFOQ0xEYXdWbTIwMXliU2FzYXZhVlZGV2lxdXMwYWs2VEZVMXduTUw2QWhmZzBhbG1CZENGb3NGMCt2NzZSZXEzUVJuK0VtN08wK1RtNVFrVXNiVGIxZTU3bHFISmQrMTZSQVVGa2NnSjR3R0pOdmFsVzJUWW5HQkxkWDBkUEZhaitVUmZUUEJmSUFLbkNySmRITjBrQUJBYy9NMENTbUZvSVFRRXNwMGhqSG1uSHA5VGYrZnVkZEVaQTN0RVl2OXFIZXlzTzROVlhzU004REliclhrejdXS0VpOVpINk11a3pFRElSRWdwc01TM1Q1OTY3ZnEwWEtjbnEvZW1SUWVQQUNWWm53UUF3cHlxSWo3d05OaWcwdERrUTgxMnc4Rm9JMEowSUM5N0NPWUxvSFN2SlhXZThSTjZnTXpSZGsrQytIZkxOT3FMenRpbkUvaDB5S2puaEZ6cTQvSHROTnN0d3E3bGwzeUR5SjZUM2xKbVhOU3krM2RPbzl4SmJEeDlQTm9kMDlIZG1lQ3QwNlMrRWRZPSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,The Twin Fin Hotel,80,336.952,4,https://www.booking.com/hotel/us/aston-waikiki-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=30236218_91471647_2_0_0&highlighted_blocks=30236218_91471647_2_0_0&matching_block_id=30236218_91471647_2_0_0&sr_pri_blocks=30236218_91471647_2_0_0__92550&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Hilton Hawaiian Village Waikiki Beach Resort,78,633.058,4,https://www.booking.com/hotel/us/hilton-hawaiian-village.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=2888748_368568568_2_2_0&highlighted_blocks=2888748_368568568_2_2_0&matching_block_id=2888748_368568568_2_2_0&sr_pri_blocks=2888748_368568568_2_2_0__173881&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Ala Moana Hotel - Resort Fee Included,79,554.851,3,https://www.booking.com/hotel/us/ala-moana.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=50719963_377461550_2_2_0&highlighted_blocks=50719963_377461550_2_2_0&matching_block_id=50719963_377461550_2_2_0&sr_pri_blocks=50719963_377461550_2_2_0__152400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Royal Hawaiian Hospitality,78,305.823,3,https://www.booking.com/hotel/us/royal-kuhio-waikiki-1211.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=133319426_259401401_2_0_0&highlighted_blocks=133319426_259401401_2_0_0&matching_block_id=133319426_259401401_2_0_0&sr_pri_blocks=133319426_259401401_2_0_0__84000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Imperial Hawaii Resort,83,516.842,3,https://www.booking.com/hotel/us/imperial-hawaii-resort-at-waikiki.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=5850202_240052585_0_0_0&highlighted_blocks=5850202_240052585_0_0_0&matching_block_id=5850202_240052585_0_0_0&sr_pri_blocks=5850202_240052585_0_0_0__141960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,"Moana Surfrider, A Westin Resort & Spa, Waikiki Beach",85,725.457,4,https://www.booking.com/hotel/us/moana-surfrider-a-westin-resort-spa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=18067729_94110656_2_0_0&highlighted_blocks=18067729_94110656_2_0_0&matching_block_id=18067729_94110656_2_0_0&sr_pri_blocks=18067729_94110656_2_0_0__199260&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Hyatt Regency Waikiki Beach Resort & Spa,83,622.569,4,https://www.booking.com/hotel/us/hyatt-regency-waikiki-beach-resort-spa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=52292128_278417216_2_2_0&highlighted_blocks=52292128_278417216_2_2_0&matching_block_id=52292128_278417216_2_2_0&sr_pri_blocks=52292128_278417216_2_2_0__171000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hawaii,Honolulu,Hilton Vacation Club The Modern Honolulu,76,369.504,5,https://www.booking.com/hotel/us/the-modern-honolulu.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=761013dec92900dd&srepoch=1702090182&all_sr_blocks=33376087_91922527_2_0_0&highlighted_blocks=33376087_91922527_2_0_0&matching_block_id=33376087_91922527_2_0_0&sr_pri_blocks=33376087_91922527_2_0_0__101491&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
