state,city,name,avg_score,price,reviews_url
Maryland,Baltimore,SpringHill Suites by Marriott Baltimore Downtown/Inner Harbor,79,445.429,https://www.booking.com/hotel/us/springhill-suites-by-marriott-baltimore-downtown-inner-harbor.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=18980707_91826195_2_1_0&highlighted_blocks=18980707_91826195_2_1_0&matching_block_id=18980707_91826195_2_1_0&sr_pri_blocks=18980707_91826195_2_1_0__122700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,Baltimore Marriott Waterfront,89,740.204,https://www.booking.com/hotel/us/baltimore-marriott-waterfront.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=26326917_94372228_0_2_0&highlighted_blocks=26326917_94372228_0_2_0&matching_block_id=26326917_94372228_0_2_0&sr_pri_blocks=26326917_94372228_0_2_0__203900&nad_id=87c2b082-703d-4ba7-b0a7-2e212bea3076_3&nad_cpc=0.86&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxeTBDS1NjUnZCcTE2aUw0V1phdEFQV1lBbGNObVNhQkE1MDZkY0dUUmQxaXUzeE5hVHlBUmR4SmRUL2s3Yll6NTZiU3RIQ1prOVh4WVFYd01ZU3U0UUVCTjNQYU0xM2RkVE1LRlNmWE9UdWZablBlQWlkVGdlcGVCdTRPTW1TQ2tIUzdXbEozMWVpY05NeC9HQ0Q4RjBqQmRDOFZITVpzNEFQa3BuOWtPbUdMZHBpQzMwR3BEYjFpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpCN2VSUHVMZ01iT3hBSTVjRVFETHlXZHlwVSt4SU9aeThpdUJaMGo5L1ovSXAzWWpqYmFVRXJnWXVNcWJXUDQwOUdEdm83TkxaQXZySlpNcGU5YTBMTXN3Mkc0R3RDZThUMGsyRytVTEE2TXdFVXdaRDBhcFdqRkM3dk0rdHlLTVN5MktLeTU1N0JkMUNqYkxWVVlRNDdwWDFpeE1EeWxGY2k2b2lCeWFoWllwZ2QzLzFZMjZQRnMwaldsQ2FzTjlFRS9STGNEU0t6aVRxeU9DdWpOUWx4YjFBRHJUVlJPQTF5NFJBTUtQa3VjWk9RcGtqVXdCV29mL3o1Vi9VNGFkcXRpOVFpTml5cTkwMFBqRzFqZ2FwNTdqWHZlZWY3ejFVRW52R0ZBVkdkaVJscElBeFo3cFg2M0lCUTNXQXVuMG1sMUZoUmxLN09GeXFlYjdIb09LRXNkMGhYbmRmMXdJRDNiUWtHQlVtMkxvRGZvWXprOHREeHhyRVVjeklPYjgrSENGNTlGMFZWOVBXYXdyeHlIOEhHc2U2TmxSYUR1dDd0VEx2dmFHeWhOVWJpYUg0b3hPbEc5NmQ2UnJXRzdNcVR2blR4MWFud1pFN1hwSWNWb0RUZDNaSkRJKzl5SkdlMjhWQ21RbmxmSUswbDhsQ0ltSHRHQ20wYU16alhWRWVlbjFTOVQvbXFKWitVdTkvbDRsNTBvb1F2VUV0UytJdE5ueUNwVTNGSUF4YUtmS0hVODhWVWptUUtJZmlJWkwyaU9nSnYrWXdNNjFOaGVlMUt4ZzZVUnpCTkhvN1h6ZWM1blJ3QWRkSGh6UmptbjA5L0pPSmN1WWc3Y0xmbzRKWDZnczFRUFRaVzFNNldwNVVmeW5UNmhPY1hwWFNSalF1blAreGtRTjU4c3VPVEZSWkE0ZUl1WE9oREh4Y1ZVNHlhZ1RCTnhWWXhvUnorRlZNMjVEZ0VuQU1VejVtbVNZVjFTQzRRcGxzLytpaWRmRG9aeStGMWV5OG9FSEtpbkxCUXh0ZGJTUU1FYkowd1E5eHdyMkczczBvblFTQUM0SzFUeXppaFEvdWw5QVhISjFJTitCOXkyQ3BFZnNYT2dzYUJGQS85T2t1YkRaYVQ2bnI4NlBqK1lhcklOb2p0N1RweXpYMVhCZnVCdXAxNmVWR25XaHg2VTlBTTdTeGxvbnNoUEZrWWl3M0p3VG55YVVrelNnM01VOVhKYW4zc0pGc0NIcTk1TFpka0dPaGZQZVViZ2ppeGZwVGFMMWhoMHh0UWY4MndqUStRanBGbDc0UlN5YUU2MG5vdjBUaWtHK0xoUGVVVHB3L0ZOSi9Pa2xOaHhRSjViVDZvM1MwQnIxUDhoSDNEMHZURDY0Vyt0MS9iMjZlTXdPcDR6UXQvNlNZcWs0U3dRQTZzdm1Zc3RaQy9zOG1ERlN2V2NSYXJOWU8xZjdPRFVXYkZyL0loa21iMCt5ZUJacTUvZ052eHIrMjJoSnFzZDV3c0duRVlybGpaZTV4c0dBRVFpcEJHOUVVeHhOQ3lMMGo3cC9BaDZ2N3FEYXdUeFNzaU41YStzM2ZHcWtjUG5BNERMWGtpODIyTWhrUEcya0hIWEpPYnU5bXNyaStjREJqUklOZEwzWVJKRFo3a2FyM1Yxclg3L0hmR0VFNVVnNWdtNjM1bXhzYTlVV3pudjBReE9zVm9iUlRHek9SVnFsUUc1RnNwc3ArV1VBcHBVeTBVRkVYR1JRNWJPdnZUNUhSd1Zva00xNmlrcjhkcThkZzFad1A3VlVCR1FzQ1dVYTJrR2Q2K1Y2dTg3NjlONVlYQlU0MDB5Q3dQZHpNbDBpZFMrSmhKRWpoVWNrdE9SQkZIWE0yZG14c1QwblpTMXQ2WjV5K0xybGhrOVpjYUN2MEpWc1RxTkQ4K3VGVzRXRjNNb3pOWHE4SitiaHhiYWlMWjJBSmJjVmZKS2NZMEdVSzJMQUFobGNDaWtvU3BJTHFBdXFkbXFmYmNWamRKU3FETEIycmJRLzZYb05GM3NBZjNJRUd0UlAvclBtWVNwbjVCR3p5dE9kZCtrZXRaZXYremNIWGoyV1NvbkI2K0tHV1MxeDNJeWhHUzlQZzFjMHZZbEJFeU9jVmZVM2FLMXEzdHVCL3VvR21BdS96NjJwNGVoMFZ6TlVtTWpEbm5CclhWOHlxY0JvQUswOC9WbUxpSDhxRmVHU3c2OXBGN1hOVnZabWtXTmYwS01TSXpydzk3ODduZ3F0cWwxUXBwR0RVYy84MWJjMmZJN2hDYXhqajk4NDRvUUY3bThPU1h3dXZUS0hsb2xkNVF5SkpxeGtRdElHcXZ4cmxnOWRIa1V6RzMxZVNGTXlUckNaQnBFRHpMYlRCYjNabTlQbkRaYWpKWUt3VndpUHZ3YkdlbnB1ejljM2hZSXlsczNHRk5NYTlxL2dlaWgvSE52cFVwMzBSUTFPYThaZVNiYWdDa2xGaXRHb2tlN2NqUUh4UThzK0o2ZG5UVWJQTjYrNHRpMjV6anFiUFJabTdpUk9nTlhORUx3aWhIbU5TbTRNcUtPN0dtK0dNZGNkdklERGY2aE10azJPaTBUN0E4TzBXeGpjU1hsUW9UR2RBcXNra1E5Z3dncEdtSmNHeG5KSG84dDN0eWZnM2VrOGZkaFloSlNPTmxmUXJYWWJSVXhSQ09zb2pPeEdTUEpBMW45emV5c0J3Wk13YUdhQzJweXUvM3dwem5mSUJEellTU1pEaTMweHdBTDVRby9xd0pJOXFOR09tRWtzTHJUVDl2TnZCbURXczZRdTdkVXZmVUNwZmViV2cxVU9NZnpvOFpRT1VaNDY4SkpNaG9aTmlTOFZYbW1uME1xMDRmb3dVZUJ5M3VqN2UzaUVIWWZ4M1dNTHJDUXVCTzFObjBHQWN2K2hDcjJxaVlXU293NVdqOGtnWUhra200VXVWMGo2TWsrVzVsTXZxek05TWhkczNCMVdPWkc1bkVSS2I5VURvaXdSd1RoT3pPY0RMNnV5N0YxRWJBRmlqWVFPb3N4TWh5UGIzSDcyeDJiQTY4OU1vbUkyWDcifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,Baltimore Marriott Inner Harbor at Camden Yards,77,280.98,https://www.booking.com/hotel/us/baltimore-marriott-inner-harbor-at-camden-yards.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=26326508_288354945_0_2_0&highlighted_blocks=26326508_288354945_0_2_0&matching_block_id=26326508_288354945_0_2_0&sr_pri_blocks=26326508_288354945_0_2_0__77400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,SpringHill Suites by Marriott Baltimore Downtown Convention Center Area,84,349.591,https://www.booking.com/hotel/us/springhill-suites-by-marriott-baltimore-downtown-convention-center-area.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=788546704_338439776_0_1_0&highlighted_blocks=788546704_338439776_0_1_0&matching_block_id=788546704_338439776_0_1_0&sr_pri_blocks=788546704_338439776_0_1_0__96300&nad_id=87c2b082-703d-4ba7-b0a7-2e212bea3076_9&nad_cpc=0.72&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxeWtPTlRjWnZCcTE2aUw0V1phdEFQV1lBbGNOblNxaEs1azZkY0dUUmQxaXUzeE5hVHlBUmRoQlVUUDQ3Yll6NTZiU3RIQ1prOVh4WVFYd05ZaXk4UWtCTjNmU0YxSEJkVE1LRlNmWE9UdWZablBlQWlkVGdlcGVCdTRPTW1TQ2tIUzdXbEozMWVpY05NeC9HQ0Q4RjBqQmRDOFZITVpzNEFQa3BuOWtPbUdMZHBpQzMwR3BNYUZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpWMWNoVHNJUllWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tjbmQ1SVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMNFh6SUVUU3NoT0U0WGdJTmRiZ21ubWxTdjl3TlFvYXk1Vy9QcFdwQnpIdUxmUnlQc1c3eXI2eXFOVEhmRjZ2Y3E0REx3NHh0bUpqMmQveGdsWXIrSlNCaE81YWM1NFAzdTVhM2F2Q3JGVEMzM2krSWNOTHR4allBRHl5bFgzbUtqMnhla2Q3WmxjU3FpVWFaaDU1NXcwWlo2NGhjSXFXdGhpTHdFcjVPS1A1SDdJd1pjQ2hqOVEwSVNtMi9RRmVtbnR3MWVrMjZ6UHNPclMzbWhoUngrU2RRRmliaUJVdUxRUWFyOWExbThJRW1qUjZuMStsaGdZY2c2N0FIVEdiSU9LaEs3Y2pJQTBaajl2cjBZSG5jUXdKR1VheVA0ZlRwc2U3NTVPbjA3VlVJajlPTE5lQ0drdG1Fa1ZWb0tyS3dxcHlYSW1OdEtqZXhBYVB1TmpwVUtpeEpUYXRNRTN4YVh3dnhPdEg5N0FzR2VDVTV0ZUI0em1yMnFIc1owcmNzSVFPOTJDWjBaRkZJZm9uWkNTMytsNmpRVFFNZEtNOXJCblNnbnhYR21zV0pTM0JCQXpka1V6OUFyeS9LcG1jc0p5eXBSMHQ0NG9oWGt0YjlKQkFrVHJ1VDNvSEFoQ0RVYkRaMzhKZGlXSTVOdUtqZnZiNllWQWl2SmtEK1Z0dGFmSUttVTJhWDNFQVNKYmYzYTFxMUE4V2VwQzRqUVQ2amt0ekpmOUtybzh2WUt6cnQ4YTh4TDlBRFJjZ3g1RGd1dEozdzJqdW85bGdzRS9pbUZHaWZZMWNSZll1czl1VEZSSVNtZU5yZFo0MFdSUVdHODJXM0dFcjF3VnU0QUwvRTEwbzVqWUJuMDVIbUplK0M5dzJWVElGczBFbzdDbWJNWEpOeGZrMk5tTXhVeWI5a3FnVG1aUVVTRTVSTU1Jd0Nwazk2bmZoNkFCelR6aGJvK0FTMUNPdVIvZTU4d2FDYUJsZjZFWmlnM3dSSzl5WTFaaktDQXI2YUYrQ1U4T1hwVGFwNnZqcU0vL05OdHZqNkd0bTFqa1NWTExScnB0clkxVzhXaDE4WE5BQTZtOHJvWDV2ZFZwVnhRdmZpR25nYUVNMFhSVEdYNGVZUGlqc2Z3NVlXYnhwTW9Gekh1aEllcTFEMXlpL2VaWFlOMHd3aDBFWGJOMnZteGlXajQxMCtJQlUyZVpzaVNnKzJUbWxEL1czWXJaZTVnN0pQSnZma0VKaTBobDhPMnZxbUd0Qi9BZXh4V3ZEd1BDQ3BkM2s4QkNFaCtuTDMraG53QnQ5L1QweGc1Mm5DMERyb0hWNW9kQ25xOVhFR1NPWGVSQ29jSUgwZTdIRkdTM0xydUlzajNyejYyelBMZlVqazlid3F1YXhnWSs2SzloTFZTTVNnbWpNYm8xQkhoTVJuWXdOcWtjMXhvSHRaUXYrcDhwdXVQckdQYmtHMmdZa0paZXByenlZcUVNTnpWRkpibVVrOUMzSGhWN0J4RUhRRnN6WTZwR3M0SC9IVkZQR0l0eGUyb2xQQ1pidUp1S0lrL083b3llSlhVSlNrSjRvOFhod3d0T3NGaktrK1JFaE04cHJid3ZGMTRGV3NsNEFnMUF1djRHU1dReHNUeUlURVVDdVZSRk9ZTmVVdWlSMlJJa013TEMxcjhaNzlNUTljVlcxSGgwVFVNdVpVYXk1R01MYVZyYTI3c3RINVkrclFac21uQk5iTW5Ja3d5aEwvdDhIU1dvZGNoQUFDbElTV05tQmtSNGZ4Mk5aME5hQTZ5NlI3UlpyKzVWTFZiZEtWOWpyZlhFOXRseTRGZ21QN0hwWDVZVXZOa2hLZlNMRXdRa0xPR1g3YThaN01Ycm9aeEZ3eXBEcDJvVG1jZjNlKzZkbnZ1SFJRRHdaRmV6cExCdkRUWjJ4a29FODl3Zi9QRUhxQ3Uybk9DQmRzU2hUWFhQellZWS93N3dXTThPeWV6U3lwRC8yakJDeEttQ04wZ0xhMHg3QXJyOTZPbmZabnkwOUI5VnVZM1MwMkpmbnRXS2o1MStlOTZLNThNbGN3VWRpY2diRnNENzNFZnl3dm0zWUZvNEYwY3JLbmEyVjY2NE1TV2Q2c0lCMlc1c3hKQ0JhYzZKTWRHTXlsUlpoc3VhZGdjejBoRnhDRFdSYnFjWk9KeUtKN3lxWTFpdjlqc0J6ZEY2M29iSzgxN3FVZm5GcTJJY0NqZG9uL1JZak9DU09sN2Q0cjVLMUEyVHVsTFhWWm5xcVdNRTZWWFhMSkh0WXo4eXBmbWpCZG5WVUkwUjRqdmkxYmlhOHVhK25OR0IxTlRabjFGRk5ldnMvcEVpc243V0w0OHRVeGxoV3g4MjVaZW5ZSkV1cWlGanFGTW9mbzlxSVRnWW12ZjlsZG1EWllMMGhxOHNsbXRPajkvVGNjR1g1UmFSVUZKUk5qWGNTM1plNzZjK05NNlhvb3p4RUpzakNEaXJwMnBnMG5hdXFYcVkwTGxPaWhzeUgwbGRiUUlZeHVrb041VjU1NHlETWZIOTZKRzV4LzN4aVlVUEkzOExEZ01jT1ovZGdjUUQ2SmVJTGhGZUFxc2lTbUN2SUN4bGkrejJmaVFRUExCSDdKbmE2dzZTb2pvdlVkcEJmeTc2ZmNqT2EyeHNOQ2FrczgrQjZZOWFSU3FEVW50LzFTeWhaT3ZvblVnVmlDdTZGQ3FLblhJekhiR2dvVGJGQW9NcGZEYWxOdmY4UE5zaEZkY0dWdGpDMXhqeEI1eHRCOHdNTUJ3RC9scjd3N1JLRU1GQ2VhZkdKUS9OTDdOUHFHa2xLcVV6cWwrREJFbUV4OW0zRW1CZ0wzQ3pyRHFvM3h1QnRyM3cwZS9HeUxKMDNPdHJFM1N2ZUM2L0pST0cxTFdGdzBCUUhpdmJhWjNLdDAzK2RoRlBWTER6VkVMRjZnOUtQSnJlV2MzMkxybUZNZTFWMDErK2JBQ29TYmhZZCJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,Tru By Hilton Baltimore Harbor East,86,332.591,https://www.booking.com/hotel/us/tru-by-hilton-baltimore-harbor-east.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=649303306_265870499_2_1_0&highlighted_blocks=649303306_265870499_2_1_0&matching_block_id=649303306_265870499_2_1_0&sr_pri_blocks=649303306_265870499_2_1_0__91617&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,Wingate by Wyndham Baltimore BWI Airport,75,220.428,https://www.booking.com/hotel/us/rodeway-inn-linthicum-heights.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=2864130_243818395_2_1_0&highlighted_blocks=2864130_243818395_2_1_0&matching_block_id=2864130_243818395_2_1_0&sr_pri_blocks=2864130_243818395_2_1_0__60720&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,Hyatt Place Baltimore Inner Harbor,79,267.454,https://www.booking.com/hotel/us/hyatt-place-inner-harbor.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=122532507_93777398_2_41_0&highlighted_blocks=122532507_93777398_2_41_0&matching_block_id=122532507_93777398_2_41_0&sr_pri_blocks=122532507_93777398_2_41_0__73674&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,"Staybridge Suites Baltimore - Inner Harbor, an IHG Hotel",86,431.329,https://www.booking.com/hotel/us/staybridge-suites-baltimore-inner-harbor.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=174854911_244367939_2_1_0&highlighted_blocks=174854911_244367939_2_1_0&matching_block_id=174854911_244367939_2_1_0&sr_pri_blocks=174854911_244367939_2_1_0__118816&from=searchresults#hotelTmpl
Maryland,Baltimore,Renaissance Baltimore Harborplace Hotel,83,447.796,https://www.booking.com/hotel/us/renaissance-baltimore-harborplace.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=26326710_94372220_0_2_0&highlighted_blocks=26326710_94372220_0_2_0&matching_block_id=26326710_94372220_0_2_0&sr_pri_blocks=26326710_94372220_0_2_0__123352&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maryland,Baltimore,Chase Apartments at Light Street - Baltimore Inner Harbor & Convention Center,79,211.951,https://www.booking.com/hotel/us/baltimore-inner-harbor-amp-convention-center.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=b7ba69df27060291&srepoch=1701875015&all_sr_blocks=207823402_180187814_0_0_0&highlighted_blocks=207823402_180187814_0_0_0&matching_block_id=207823402_180187814_0_0_0&sr_pri_blocks=207823402_180187814_0_0_0__58385&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
