state,city,name,avg_score,price,reviews_url
Michigan,Detroit,Sonder Gabriel Richard,87,208.481,https://www.booking.com/hotel/us/sonder-at-gabriel-houze.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=686415003_279121060_2_0_0&highlighted_blocks=686415003_279121060_2_0_0&matching_block_id=686415003_279121060_2_0_0&sr_pri_blocks=686415003_279121060_2_0_0__57429&from=searchresults#hotelTmpl
Michigan,Detroit,Sonder The Randolph,85,223.971,https://www.booking.com/hotel/us/sonder-the-randolph.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=579603106_260323457_2_0_0&highlighted_blocks=579603106_260323457_2_0_0&matching_block_id=579603106_260323457_2_0_0&sr_pri_blocks=579603106_260323457_2_0_0__61696&from=searchresults#hotelTmpl
Michigan,Detroit,"The Godfrey Detroit, Curio Collection By Hilton",86,636.742,https://www.booking.com/hotel/us/the-godfrey-detroit-curio-collection-by-hilton.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=972215301_369631331_2_0_0&highlighted_blocks=972215301_369631331_2_0_0&matching_block_id=972215301_369631331_2_0_0&sr_pri_blocks=972215301_369631331_2_0_0__175400&from=searchresults#hotelTmpl
Michigan,Detroit,Detroit Marriott at the Renaissance Center,70,690.47,https://www.booking.com/hotel/us/detroit-at-the-renaissance-center.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=26343901_94372360_0_2_0&highlighted_blocks=26343901_94372360_0_2_0&matching_block_id=26343901_94372360_0_2_0&sr_pri_blocks=26343901_94372360_0_2_0__190200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Michigan,Detroit,Hollywood Casino at Greektown,82,410.194,https://www.booking.com/hotel/us/greektown-casino.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=50142703_236515285_0_0_0&highlighted_blocks=50142703_236515285_0_0_0&matching_block_id=50142703_236515285_0_0_0&sr_pri_blocks=50142703_236515285_0_0_0__112994&from=searchresults#hotelTmpl
Michigan,Detroit,Your Cozy One Bedroom Midtown,93,263.29,https://www.booking.com/hotel/us/your-cozy-one-bedroom-midtown-detroit.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=972950302_383708365_3_0_0&highlighted_blocks=972950302_383708365_3_0_0&matching_block_id=972950302_383708365_3_0_0&sr_pri_blocks=972950302_383708365_3_0_0__72527&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Michigan,Detroit,Trumbull and Porter - Detroit Downtown,72,726.641,https://www.booking.com/hotel/us/corktown-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=5675107_369943076_0_0_0&highlighted_blocks=5675107_369943076_0_0_0&matching_block_id=5675107_369943076_0_0_0&sr_pri_blocks=5675107_369943076_0_0_0__200164&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Michigan,Detroit,Stylish and Comfortable 1-BR in the Heart of Detroit,86,197.22,https://www.booking.com/hotel/us/stylish-and-comfortable-1-br-in-the-heart-of-detroit.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=972879602_383708406_3_0_0&highlighted_blocks=972879602_383708406_3_0_0&matching_block_id=972879602_383708406_3_0_0&sr_pri_blocks=972879602_383708406_3_0_0__54327&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Michigan,Detroit,Hilton Garden Inn Detroit Downtown,79,621.808,https://www.booking.com/hotel/us/hilton-garden-inn-detroit-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=4261604_94260583_2_2_0&highlighted_blocks=4261604_94260583_2_2_0&matching_block_id=4261604_94260583_2_2_0&sr_pri_blocks=4261604_94260583_2_2_0__171286&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Michigan,Detroit,ROOST Detroit,91,723.258,https://www.booking.com/hotel/us/roost-detroit.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=9a508808e890010a&srepoch=1701890456&all_sr_blocks=996243301_372507366_2_0_0&highlighted_blocks=996243301_372507366_2_0_0&matching_block_id=996243301_372507366_2_0_0&sr_pri_blocks=996243301_372507366_2_0_0__199232&from=searchresults#hotelTmpl
