state,city,name,avg_score,price,reviews_url
Mississippi,Jackson,Hyatt Regency Jacksonville Riverfront,83,479.19,https://www.booking.com/hotel/us/hyatt-regency-jacksonville-riverfront.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=42128617_269949753_2_2_0&highlighted_blocks=42128617_269949753_2_2_0&matching_block_id=42128617_269949753_2_2_0&sr_pri_blocks=42128617_269949753_2_2_0__132000&from=searchresults#hotelTmpl
Mississippi,Jackson,"Holiday Inn Express & Suites Jacksonville South - I-295, an IHG Hotel",84,276.99,https://www.booking.com/hotel/us/holiday-inn-express-suites-jacksonville.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=18815222_95184984_2_1_0&highlighted_blocks=18815222_95184984_2_1_0&matching_block_id=18815222_95184984_2_1_0&sr_pri_blocks=18815222_95184984_2_1_0__76301&nad_id=82cf561c-2566-4c63-8bb5-b437e318dc2e_0&nad_cpc=0.95&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZlc0QXZ6TUI3NS9nY1hYM1pBMW1Qc1R4b2dkcElraEowZXFMditMMnhjSjhRaWszNHJQYk1MYU5LVU5MZ2Roc1lZR0dSanpLM0pKU0RnM0VjbzJseDE5RUhlUCtJWGRzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NTdUMnF2M3NaV2xYenJsMW5VekROSjBzSTBtb0JvRW0rZlVsSDArTHVFTDZpbXJhOXVIT1ROOWVkcnRoSlkwWmNqYW1aVzhMM1ZNVHdWS0hQd3JxUXZXakY1QW8yckNMMlZFd2FLRUJnSm9xMmREL3FXOWVxUWc2TEY3UTBvZi9NSExMOFJtdDNhTjVLYk5jRWNyUjVlWkRXaHRPZGNreld0R2pGbTJ4eURoN3pjaHlqVVRnWjhTTE5LRE9LaGNoOFZHN3liQkpzb3RhZ2QrYktqOCtwNmFiMFJOTVlLNWtwWHlwaUNkSnNOdjE0eGdxSnFNLy9YTjVZa2Q0UjhoUFNRQnpBaTN0b1ZNRjQzTFVZdk1ybEluVEdQNUIzRkFFZURvR0Q4VUdxK1M2WjJTcS84RFIvVFlwUlJ2N0JkdVpkWkVmUjY3QVZKQkN0MlpveEw5RTRQVXplQVJEbTJSeG9sQWhBeElQSTlMeDdIWVM3UDhma2g5VTkyWWhWV01Kd2pzR1A5ZXB0YUUycUJQbm9obHV6alRYMytYUUV1QXRMd08waFd4T2p6Ym1FaGJuNUlsOEJzY0FGenFJdFJJaENZS1psMXgxVy8xT0dVUUZRMFRKU256SmwzdXFsSUEyM3ZzMTA0QUExcFBhTTUrTjRiRW9lMmg2ZTVuWlh1eXZsWnJUNDMvREJUcUlmbDcxWFpSMnA1U2Zta1lOKzIvL1d6V1V2UnZ2Rm1lS3lpZzJjNlR4c3R0cGJ5U0RteURQQ2s1V2FQVFB1OTczSmk1T3krRW5jYzRSNHlzQzkzN3lHMTFzcE1kVFF5akRRblBkYkc0QzM4eE5BNU1aMHJYck1odFk3WDlFZW5JMjFNYllPSWN3ZzYzczR3VlBIY2FEZE9xUTlwTEpYekFNeGJaQjhjbDAzMWJFelZ5Ty9zSnFIdU5KL21DMjliNjFyQnZvMWkwai81alpUUFhBMERyeE9hVDNLTC9XektqeW91U1pvMm5XTksrbUhpT2VBcUJwbDUyVjFTajFhTm1kNDlxYTIyYU1nMGYzMXpZZUx4RDZMYmhXREVnYnRtZlp4NlVlc1hPSFJoTHVUV3VoVDh0TkNHaTdndW1ad2c3YzJYZnVSVXV5WndJQnF3RTBnOHR2SGdKa3IzQVdRNWgrYVk0Smh5c25vZjBkaVVVMHZJa0J4YlJxdnhoOUQrbzNzcGJPR3VOVXNzbTJlQUZ2YnYvNTRGYUVObjdDTE16elVCSGhLMm5zQ2VDRXlNaUNraUdvWFA0bW9YcERoZ2FkenN0YmhBYnJRanlCc1VsR25DTUpCeGkvTFZnQUJ4Qkt6a3NvRERRR3AzY0ZKQ1c4azQ5bUpmdVdocnZuODJvTGQ2Q29oVkVMdXNtVFJsMnJTY2MraTNaM2hlZmtpYjV6RW84WURoV0ZBY0NuWWxBTUlRd1krWFJ5b0pNWVowNXZBQkU1amF0N3NjODU1Z2xkWWZqVVIxNU41cmhzOUR1OWM0TnRTNnpSN3dZajVjdmgrb2lRQSt4TVRVNEtZZUJDVklZOFJtdlY2a1BSMjliWCtFdGQxUVBtWjhKQUFiNTNLQnlvNzQyT09yMnREeWI0enpwellYQXlya2YyUlpNQkxRMURNMVZpR01uVlBvWU1uc2dmYXF2Z3VPbjJ1RkhTUVhFY1hySVQ4RlBJZFdHaGpGVVdTV0tOSUNwMmF2dGxqdGQ2UXRIblFSRldaQTgzSXVRSnlPdm9Bam42Vk9oK0tiM0U0ZnVlZ2M1MmtyRjY0bC9QdkFoaUd2dFl1V3NUN2N2L08xS2FLNFM4anFEUFc3WHEvZTVXQXZGYVIwRVN0WVJsR1BUbEgyWGV5YUFpaGQxc1VNdjBuVTkrRmNRb0xjYnNlUUd0Y2dRclU1QlFzbGIrdUhnOGlCb3FOS2lxaHZwenN2RUR3SUo4a1VhcTFXUWd0bzhFNENFd1Q3Q0ZMR1IyUFd3WFhXNUNkT3pXN0Nmcm9TWjFlY1htbnpRd21BdHNMM0ZhY250OEVWYzVqYW5GMyt1UHd0SDJGZkFKbDFzd1pJSVErWHZ1czQ3cEhhdzNTMUVKdHY0dWlJNGhIL0F4YWVseko4eDArS1BpaGpFaDdqeGhQbmliTStOOG9MU09IMUREa2xTRDI5Vng0OHF6eFNVaGw5NnM2TFQxZXBRSEZSOGYwYVIrY0xxRnIzMVF1ZUkvQ2dNNVpya3dITGtPMHZRekVMVnR3dS9mZlhoMityN3E5dmsydm8zM0NvNlhLcE55WVJaeTJtR012eXVRK0hiTzhKaHFyK0tMVU1kQ3VFVnRUMnl5ZjZnbGtBblRlTTR5VVdUQnNOZ3RTb2VyN0dSWWIzZktEb2RwcmIrMU82RDQ1QTJTajJva0RLSUtYYkNHN2xVQTdSMXFaYXphbHF3NnVrR2JtNjBvREQxOGYwZDcybm1Ea3pGY3V4ZmtGY0xpZjNHZnlXWU9acU9na01ZMS90ZUNLTWc5ZTFuMzcxU2tKYXJqSnRDYW91d2huMU5TT2QzTWJFODhRVk4zby9qUVF2RDVzZWZnWUpjcE16akNlYU1vcWtsYmtOOHpxNDRjdDN3VkNycGlHbTNLM3JVbklUYVlDVElyMGdVUHhYcjRCaHkwS1dCS05aNDVuZ045Z2FyZXNNRjFwSGJRYkhXMnBiVG5zbTMvQmNnUGFkbm9wMG9WaHhMSGsrMFFlc05RUXJFeXpmWU1ocGEyd0tjOEl5MitJdkp1dm9IcUw0T0o4elRsazU2dzRHc1ZYbSt6WWZvN2tIZERaNjdrOEtXK2JmbnFFaUE0eW9MN3lmZVN4bUY3c3VYQ0FiVncxT0kvRWhXcDBqZDFDZXZleDl6UUl5N0hjdmY3Y2gwSUE4QjRMaDNGVXZnUGlpaDU4eGdYa0NndFpxSmhlb1VZcDNnZ0hZZnhsRkdnelh2THZMVEhWREV5bUlIU0d1bnNkbERsMDZQbjlYMHRFWlZHVXc2cnlyTkd3SHBDMVpiV2dFN2RVUENhMy9sZFNzZkJqbEZqSlFnd1JtWWxPK3BmdzRtN1VBUVVnZDF5NWRJbkJRcEZmUjJOMWx1TEl5bU5BN3lyUURhdzgvQ20vNHNRWFoyQmdid0d1T21hVVN2Rk04bVQwSEZiZGFZa3BzMHBkczA0b25iRk4vaGdXUnBPcGhqTGl1NVRBN3JTMncyRFJqaG5hcWJHbHFBdy84bENoS2NvK0JSa2hlNmNVbVoxMFVWVW9yYXdyUCs1TTNTREtJREdaT2xiakRYOXM0MFI2ZUZseVNRb1diVTVVc1h4ZXRmR2hwMjVaMUU0QndSRXc9PSJ9&from=searchresults#hotelTmpl
Mississippi,Jackson,Hyatt Place Jacksonville Airport,82,280.98,https://www.booking.com/hotel/us/hyatt-place-jacksonville-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=42270508_110118080_2_1_0&highlighted_blocks=42270508_110118080_2_1_0&matching_block_id=42270508_110118080_2_1_0&sr_pri_blocks=42270508_110118080_2_1_0__77400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mississippi,Jackson,Springhill Suites Jacksonville,84,300.293,https://www.booking.com/hotel/us/springhill-suites-jacksonville.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=26754202_274564664_0_2_0&highlighted_blocks=26754202_274564664_0_2_0&matching_block_id=26754202_274564664_0_2_0&sr_pri_blocks=26754202_274564664_0_2_0__82720&nad_id=82cf561c-2566-4c63-8bb5-b437e318dc2e_11&nad_cpc=0.81&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZlc0QXRUTUI3NS9nY1hYM1pBMW1Qc1R4b2dkcElraFAwZXFMditMMnhjSjhRaWszNHJQYk1MYUtMRXRMZ2Roc1lZR0dSanpLM0pKU0RnM0VjbzJ2eDE5RUhlUDVKSDlzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NTdUMnF2M3NaV2xYenJsMW5VekROSjBzSTBtb0JvRW0rZlVsSDArTHVFTDZpbXJhOXVIT1ROOWVkcnRoWlk0WmNqYW1aVzhMM1ZNVHdWS0hQd3JxUXZXakY1QW8yckNMMlZFd2FLRUJnSm9xMmREL3FXOWVxUWc2TEY3UTBvZi9NSExMOFJtdDNhTjVLYk5jRWNyUjVlWkRXaHRPZGNreld0R2pGbTJ4eURoN3pjaHlqVVRnWjhTTE5LRE9LaGNoOFZHN3liQkpzb3RhZ2QrYjZiei9wK2FiMFJOTVlLNWtwWHlwaUNkSnNOdjE0eGdxSnFNLy9UTjZZa2Q0UjhoUFNRQnpBaTN0b1ZNRjQzTFVZdk1ybEluVEdQNUIyOU9VZXZsQ3kwWUZLQ092NFdjdGVNTlh2cVpyaGxwNUJWcEtjNWNieCtsSGxOZkZOV1Fvd0R6SGNMZndPWVpDbmVRa0pGWWxnMVdJNDFXMmJuUlM2SHljQXQ0VmNxSmhsZWROQjN4QXZwSHE1Q2MwTHhCMzROa3ZqREZTSFRiV0VHY3V2MEIxeG02SUNIVzNsQlFuNVErL2xvS0dVVHJKY01QbkQ1TmNBeC8yeW4wTVdBUEJob0VKRC9nS1ZpbnNsa0QyM3ZzMTA0QUExcFBhTTUrTjRiRW9lMmg2ZTVuWlh1eXZsWnJUNDMvREJUcUlmbDcxWFpSMnA1U2Zta1lOKzIvL1d6V1V2UnZ2Rm1lS3lpZzJjNlR4c3R0cGJ5U0RteURQQ2s1V2FQVFB1OTczSmk1T3krRW5jYzRSNHlzQzkzN3lHMTFzcE1kVFF5akRRblBmN0c0QzM4eE5BNU1aMHJYck1odFk3WDlFZW5JMjFNYllPSWN3ZzYzczR3VlBIY2FEZE9xUTk1TExtak9mQmZVQ3N3dDFYQWRDejl1TmJjQ3RYZWJMUFNDMnNINTFPRjNxVVM2M2U5bFp6allEMGlzM1A3UTNxTHpXVEtod1k2SGU0dW1HSStvbkd1ZmN6MnNzVWh3VGt5aytaOXNhb0l4WldQSUl3c2QxRWZBZDd0VXVLN3FSVDl5Zjh5RFpoUFNZdExTQUJZWnZDS2dnQ1UyT1RhbDZCMnhjaG9uZmlQSG9WUVk3SWN4RXFJZjhEZ1RvanNlNXJIWWNoMWQ0NGdBUGpHaHFMakhHWHNQNk1rYkh6SG0zb2xVeVViLzlLRlZOamlQUXNjN3p1UUl0clA1NnNkQ0djYjFXN2Nud0VWYWlhZTN2RHFWVkRzcEYwYldzbno5MDUzaURSZ2FkenN0YmhBYnJRanlCc1VsR25DTUpCeGkvTFZnQUJ4Qkt6a3NvRERRR3AzY0ZKQ1dwazVnbjVDMVd4bnZuc1AxZWQ2QzlCUkhMckVuSGtKMnJISlByU0hhZ1JYSW5TYit6RW84WURoV0ZBY0NuWWxBTUlRd1krWFJ5b0pNWVowNXZBQkU1amF0N3NjODU1Z2xkWWZqVVIxNU41cmhzOUR1OWM0TnRTNnpSN3dZajVjdmgrb2lRQSt4TXpVNEtZZUJDVklZOFJtdlY2a1BSMjliWCtFdGQxY0JscHNJQUFiNTNLQnlvNzQyT09yMnREeWI0enpwellYQXlya2YyUlpNQkxRMURNMVZpR01uVlBvWU1uc2dmYXF2Z3VPbjJ1RkhTUVhFY1hySVQ4RlBJZFdHaGpGVVdTV0tOSUNwMmF2dGxqdGQ2UXRIblFSRldaQTgzSXVRSnlPdnJRbmc3Rkd0L3F2M0U0ZnVlZ2M1MmtyRjY0bC9QdkFoaUd2dFl1V3NUN2N2L08xS2FLNFM4anFEUFc3WHEvZTVXQXZGYVIwRVN0WVJsR1BUbEgyWGV5YUFpaGQxc1VNdjBuVTkrRmNRb0xjYnNlUUd0Y2dRclU1QlFzbGIrdUhnOGlCb3FOS2lxaHZwenN2RUR3SUo4a1VhcTFXUWd0bzhFNENFd1Q3Q0ZMR1IyUFd3WFhXNUNkT3pXN0Nmcm8yZTBlNFdtbnpRd21BdHNMM0ZhY250OEVWYzVqYW5GMyt1UHd0SDJGZkFKbDFzd1pJSVErWHZ1czQ3cEhhdzNTMUVKdHY0dWlJNGhIL0F4YWVseko4eDArS1BpaGpFaDdqeGhQbmliTStOOG9MU09IMUREa2xTRDI5Vng0OHF6eFNVaGw5NnM2TFQxZXBRSEZSOGYwYVIrY0xxRnIzMVF1ZUkvQ2dNNVpya3dITGtPMHZRekVMVnR3dS9mZlhoMityN3E5dmsydm8zM0NvNlhLcE55WVJaeTJtR012eXVRK0hiTzhKaHFyK0tMVU1kQ3VFVnRUMnl5ZjZnbGtBblRlTTR5VVdUQnNOZ3RTb2VyN0dSWWIzZktEb2RwcmIrMU82RDQ1QTJTajJva0RLSUtYYkNHN2xVQTdSMXFaYXphbHF3NnVrR2JtNjBvREQxOGYwZDcybm1Ea3pGY3V4ZmtGY0xpZjNHZnlXWU9acU9na01ZMS90ZUNLTWc5ZTFuMzcxU2tKYXJqSnRDYW91d2huMU5TT2QzTWJFODhRVk4zby9qUVF2RDVzZWZnWUpjcE16akNlYU1vcWtsYmtOOHpxNDRjdDN3VkNycGlHbTNLM3JVbklUYVlDVElyMGdVUHhYcjRCaHkwS1dCS05aNDVuZ045Z2FyZXNNRjFwSGJRYkhXMnBiVG5zbTMvQmNnUGFkbm9wMG9WaHhMSGsrMFFlc05RUXJFeXpmWU1ocGEyd0tjOEl5MitJdkp1dm9IcUw0T0o4elRsazU2dzRHc1ZYbSt6WWZvN2tIZERaNjdrOEtXK2JmbnFFaUE0eW9MN3lmZVN4bUY3c3VXQkFiVncxT0kvRWhXcDBqZDFDZXZleDl6UUl5N0hjdmY3YzUwSUE4QjRMaDNGVXZnUGlpaDU4eGdYa0NndFpxSmhlb1VZcDNnZ0hZZnhsRkdnelh2THZMVEhWREV5bUlIU0d1bnNkbERsMDZQbjlYMHRFWlZHVXc2cnlyTkd3SHBDMVpiV2dFN2RVUENhMy9sZFNzZkJqbEZqSlFnd1JtWWxPK3BmdzRtN1VBUVVnZDF5NWRJbkJRcEZmUjJOMWx1TEl5bU5BN3lyUURhdzgvQ20vNHNRWFoyQmdid0d1T21hVVN2Rk04bVQwSEZiZGFZa3BzMHBkczA0b25iRk4vaGdXUnBPcGhqTGl1NVRBN3JTMncyRFJqaG5hcWJHbHFBdy84bENoS2NvK0JSa2hlNmNVbVoxMFVWVW9yYXdyUDk2c0xXRGFJREdaT2xiakRYOXM0MFI2ZUZseVNRb1diVXdLM1ozRlpMT3JZejFBSU5kUjhuUXc9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mississippi,Jackson,SureStay Hotel by Best Western Jacksonville South,66,167.684,https://www.booking.com/hotel/us/super-8-jacksonville-south.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=29832518_93726349_2_1_0&highlighted_blocks=29832518_93726349_2_1_0&matching_block_id=29832518_93726349_2_1_0&sr_pri_blocks=29832518_93726349_2_1_0__46191&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mississippi,Jackson,Wyndham Garden Hotel - Jacksonville,70,189.462,https://www.booking.com/hotel/us/b-w-jtb-s-jacksonville-florida.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=5946319_246075134_4_0_0&highlighted_blocks=5946319_246075134_4_0_0&matching_block_id=5946319_246075134_4_0_0&sr_pri_blocks=5946319_246075134_4_0_0__52190&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mississippi,Jackson,Hyatt Place Jacksonville St. Johns Town Center,87,454.49,https://www.booking.com/hotel/us/hyatt-place-jacksonville-south.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=400698703_123670425_2_1_0&highlighted_blocks=400698703_123670425_2_1_0&matching_block_id=400698703_123670425_2_1_0&sr_pri_blocks=400698703_123670425_2_1_0__125196&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mississippi,Jackson,Southbank Hotel by Marriott Jacksonville Riverwalk,79,331.404,https://www.booking.com/hotel/us/lexington-jacksonville.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=25638041_88758421_0_34_0&highlighted_blocks=25638041_88758421_0_34_0&matching_block_id=25638041_88758421_0_34_0&sr_pri_blocks=25638041_88758421_0_34_0__91290&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mississippi,Jackson,Comfort Suites Baymeadows Near Butler Blvd,76,230.149,https://www.booking.com/hotel/us/comfort-suites-baymeadows-near-butler-blvd.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=28892803_363614062_2_1_0&highlighted_blocks=28892803_363614062_2_1_0&matching_block_id=28892803_363614062_2_1_0&sr_pri_blocks=28892803_363614062_2_1_0__63398&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mississippi,Jackson,Developer Inn & Suites Airport JAX,75,197.666,https://www.booking.com/hotel/us/developer-inn-amp-suites-jacksonville-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2906635b5a1d00e4&srepoch=1701871679&all_sr_blocks=892925201_359593154_4_1_0&highlighted_blocks=892925201_359593154_4_1_0&matching_block_id=892925201_359593154_4_1_0&sr_pri_blocks=892925201_359593154_4_1_0__54450&from=searchresults#hotelTmpl
