state,city,name,avg_score,price,reviews_url
Nebraska,Omaha,"Country Inn & Suites by Radisson, Omaha Airport, IA",68,185.091,https://www.booking.com/hotel/us/inn-and-suites-omaha-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=43250201_276140959_2_1_0&highlighted_blocks=43250201_276140959_2_1_0&matching_block_id=43250201_276140959_2_1_0&sr_pri_blocks=43250201_276140959_2_1_0__50986&from=searchresults#hotelTmpl
Nebraska,Omaha,"Holiday Inn Express & Suites Omaha South Ralston Arena, an IHG Hotel",79,281.706,https://www.booking.com/hotel/us/holiday-inn-express-suites-ralston-arena.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=123196807_95590818_4_1_0&highlighted_blocks=123196807_95590818_4_1_0&matching_block_id=123196807_95590818_4_1_0&sr_pri_blocks=123196807_95590818_4_1_0__77600&nad_id=bc3d7e62-4b2f-4289-b292-7078c0534daa_0&nad_cpc=1.46&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxeTBDUFJNRnZCcTE2aUw0V1phdEFQV1lBbGNObVNhMUg0RTZkY0dUUmQxaXUzeE5hVHlBUmR4SldTdm83Yll6NTZiU3RIQ1prOVh4WVFYd01ZUzYxUlVCTjNQYUgwblJkVE1LRlNmWE9UdWZablBlQWlkVGdlcGFKdTlIZHlYQ2xIUy9WbU03MWVub0pZeCtkVXpvQzBqQmRYcEFiUEpwdVV2MG95TmtPbUdMZHBpQzMwV3BJY0ZiTWEvakhJckV1WXRUQThtdWdNU0VmemdtTUxMTmc4OS9ZVTVzeHRSbHAyODhGanJZMlNJY2dpTVY4aHZKWmE0Q1AzOFJGdVh6YnRNTTM5c3JON2l4M3UzWGp5UVhkYkZaR3JMYjZ0a3QxSTdUSW1JRXFqSDdnNis1TXZ3V3J6ZXAvTExXZ0Z4RWw1TUUxdTVCK2V4anVMd01iT3hBSTVjRVFETHlXZHlwVSt4SU9aeThpdUJaMWo5VEc4c2x5Y3lIRGJoQXppWldDNnFHWjlGSkFEK1lvTzdNSnBybEJQTmUyWmxIZXZ3T0ovRDFhY05yc24zdXdFYnMzTlFrV3h0enNjb2VpQ2pIdUxmVjZJY1NnMXF6ejdKUEhmMVM1YmVOTWVSdzZ1MkpnMmQ3Nm5WY3c1SWJDeks1T2M1c2Z6dTVOeHJuQXFrV1FqQ3l3T1pBUC9CZlVHelc0eFNLNEpDWGlPZ3g5WkVvZW9ITkpNdzEwK2g1TlB1QTJjSlNINFZETWh3UDVjZksvVnZ3OWRzbTZuTlUwSlNPdnZsVUVsR01saXFoMTVqS2pZZit1ejFWZDB2eUZCVk9hZ0ZBa0xBNFc0SnU5MTVnRXhYZ3VrVWYzMWtWWmdiM0NFeWZZZDZiMEphOW9lRTFQak1EaXdZYnNkUVVPRGs2ck00eko4SlM0OWQzdTBQZ2FPVFlEZnRhZEhrbDVCRklGN08yYXpMSXhHc3pMOS9hQ2toS0h0ZC93UXZUamNYV2tJa2YxZkhvNDB1NVg5dUZpVGJTRzhNVGNzbTNyM3FUMWFFek52NTFEdUQvRHhaNVpMYUJ6S1dxOStWYXJCR0ZWUEtOcCtVMkVqbkJMQ213Tk1EcUdURTJDa1Fhc1NmdWhLcE9jL01mOW9WeDByb1l2VWtCWDdaWkxubUQwUlhWYkVoMjlVYmJDOWR4TWlVZzJLK1dGUDdPc2FCTnArNGNYODF4bWJyMVN6Uk9hRlNGWUFvL2FpLzh1Z1FFT0o5VDJ3eDM4aEVKb0krUktycDBwYkxxdStJMlhsOTlUQTIxcjBvUG9ycEFLK2kvTng4eE40UytaamdHcmZkMGdPdEFkNnZYa2RBSlA1K3hKYXAxRmNtaHhFdDJod25FT2xVSWpyaFRqR1ZaNHVXUkIybEJibmRudFRJbG5SeWdXdWdwbXBIYmFMR0ZHak9FOUsyMWhRQ2Y1M2VFQWs0a2FHRkpLUE5aM0VwSTgrU2kzL1JWM0Rta2YvS3RYMVRpckJxYnkrd2VCSzBCWi9VOXQyWDFHZjhXZmdwV0ZGRm1xUEJlYkFjMlF1Mi81N3Yrak5QM0xKcFA1cXk4MWt6NVhBdmFXdFp4bmNsVzlTeEU3Q01JSTVYMDY2RGc0UEZsR3pnclYwVHYrZmw5a0FGZUZDSmFYTFRTOE1WWUhIcTlrSU1ZN1c3QUpLK2thZ1NhbktjQ2NaZ2gwM2g1UWY5RzJpZytPajVvenNOa0puckk1MW5Rd3dXejBVNkhnTitRZW9SN0JMSlhPbWtNc2pWc3hiV2J4bFc0QXNsN3JnaXVRbGIzRHZOSC85MWZNMGJlR3gvMTV5d3BxOHl0OHpNK2pGVU9ncTM0MDhKdSt1NHlKRkNIYVBsdXRlTXZ6ZmJtSlFXYlV1TzhzeENXdnJUeUxiYTEwaE5qM3RQM294ZW50Ym93c0ZuY2VnMFhHZW9wN0gwZE9pWjhJdlVaOGlzcWtYQW5pdWZBdDdQYkhFTE1TMHp3bGNjaTl2RG1QcVFwQm54NU5ZMkFrK1dTWG5FK0JraG1iVW92ZTRwYjZzeTJjRUJEY0xkcEcybzRPVzhhc2F1V0JtL1QyOTNYWEdrRkRsSmttNjM0Z25aRHFRMlQyb0VVeEpOaHZDd2pPd0lSVHBWd0UrVkl0dG9pUld3dHVVazhDQ1ZiekVVY0xKK1RTODNSOFE1a2J3YTJsbzlsN3A0dDZNaEh4UmwxR1E5eUxVTWk1R2RYYVY2RzI3OFZWK1pmL0ZOZC96eXdOWnlBbGhHUUF2NVpSVVhZVVAxMUhVQTVWUzl5QW13Y08zbWRWemRIUHRDYUU0QkZudU5rRUFMVk9WOFh2UERaeTR4ci9Wa1dhNUd3QnFjSi9hUU5SZG5PSzdERlZhWG5uWUpZb0RnWCtaMFl2alpmejI5Uy9KcTJBdkx4M29yR0lGdzg1STZDbWQwMllIYnVHdGNwK3NsR2tOUVR1R3ZHbEszRkY4RGdlRzJYM2NKWjJwdWRVTTVyNExHZnJ6M3VvbXdlaUtuS1R4RXlDZzFDYXcvUTRSM0RRZ3hFNVB1TjNXWFcrZy9LcWdFaTY1bHVNOTdTNXdOUlh4azFFUDErVDhXeXdRS2ZkNVRXY0Faa1cyOWpVaStQTnQrOVpBeUE0c05rdUh0VXhNek5kTXYwak56SjB5a0pNdFBDcG10Q21uRklrREhKR3RNcGJXbnJTK3lyTWhXcmN0TWRoY0ZUbHViemExYnVRZjI0NHdJbHV5SVJxNUFseUlEejJtYmtvckpLclVuemlpYnVGZW55elRzRTZSaTZlSUR4T3hZSDROWEhSTHpoWklRay94ZUtnSVRPMnVOTDhmM3BqT3pjZ2dqOFBLN2w1dmt6cjE5dlN0SVFYeDBKYzI3RHZLT3ZMY2wvcHhBbThXZDhlNE5IRkJSa3JzT2R6TlN5S0pmTWp2TlV5M1lmeW9yL2JKeTI2RE9oYUNKbEF6ajFQa051LzZJbmVZK1cyOUdFYmJzaVZXbit4aU4xMHcraXpYcVVrSmtUMHpwekRoUVFYSE00eDR4cElzUWd1b21XTGJEdzBMM3h5NFRrbFloT2IwdEx3aW9kRGVQY3JLRldMZHFKR20xZkw4NTNqeTJ1RkZCbFU3Q0d3aWtwYVlRRElPMnFrMHRueDJacktlcHRTeHI2UmJpKzMzQndLVXRwai8vWlZaTTJjRGVLVm52anNTbmdLYnFWb0ZUaGlDcFBMUXVQdUlZZktLZzF0R09OS2ljWkpYZm9ZOUlJRE1NNFZQWmpkOFFDZzB5MFJ0RThJamc4S0QxQzN6L2EzM1FPZE9odktPTEgwVC9GQnFZQzBWd2Q2dUZYdTNMU1FVaHc5OUdtQnkwWkdraEw3RGFKaGovSjc0MmdyWkxqa1BkWnBNTXJhN202WVMveVBFYmIwUXpFaXlnd0puN3FERFRYdmxqekZ3MEROVVhXRFFLMzNrWDRUZ2tLSEc1eDhkcDRBbVVmNCJ9&from=searchresults#hotelTmpl
Nebraska,Omaha,Hilton Omaha,78,443.941,https://www.booking.com/hotel/us/hilton-omaha.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=4447223_94265624_2_42_0&highlighted_blocks=4447223_94265624_2_42_0&matching_block_id=4447223_94265624_2_42_0&sr_pri_blocks=4447223_94265624_2_42_0__122290&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nebraska,Omaha,"Holiday Inn Express & Suites Central Omaha, an IHG Hotel",84,361.567,https://www.booking.com/hotel/us/comfort-inn-suites-omaha.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=27585723_118821019_2_1_0&highlighted_blocks=27585723_118821019_2_1_0&matching_block_id=27585723_118821019_2_1_0&sr_pri_blocks=27585723_118821019_2_1_0__99599&from=searchresults#hotelTmpl
Nebraska,Omaha,Hilton Garden Inn Omaha Downtown-Old Market Area,81,305.792,https://www.booking.com/hotel/us/hilton-garden-inn-omaha-downtown-old-market-area.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=4446902_100275671_2_2_0&highlighted_blocks=4446902_100275671_2_2_0&matching_block_id=4446902_100275671_2_2_0&sr_pri_blocks=4446902_100275671_2_2_0__84235&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nebraska,Omaha,Elegant Private Studio in the Heart of Dundee,100,178.546,https://www.booking.com/hotel/us/capitol-pointe.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=1107029301_383482638_2_0_0&highlighted_blocks=1107029301_383482638_2_0_0&matching_block_id=1107029301_383482638_2_0_0&sr_pri_blocks=1107029301_383482638_2_0_0__49183&from=searchresults#hotelTmpl
Nebraska,Omaha,Magnolia Hotel Omaha,81,393.517,https://www.booking.com/hotel/us/magnolia-omaha.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=25164102_232492694_2_0_0&highlighted_blocks=25164102_232492694_2_0_0&matching_block_id=25164102_232492694_2_0_0&sr_pri_blocks=25164102_232492694_2_0_0__108400&from=searchresults#hotelTmpl
Nebraska,Omaha,Sonesta ES Suites Omaha,80,275.861,https://www.booking.com/hotel/us/sonesta-es-suites-omaha.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=1101705501_382998113_2_1_0&highlighted_blocks=1101705501_382998113_2_1_0&matching_block_id=1101705501_382998113_2_1_0&sr_pri_blocks=1101705501_382998113_2_1_0__75990&from=searchresults#hotelTmpl
Nebraska,Omaha,"Holiday Inn Omaha Downtown - Waterpark, an IHG Hotel",65,285.757,https://www.booking.com/hotel/us/holiday-inn-omaha-downtown-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=18852404_118825007_4_34_0&highlighted_blocks=18852404_118825007_4_34_0&matching_block_id=18852404_118825007_4_34_0&sr_pri_blocks=18852404_118825007_4_34_0__78716&from=searchresults#hotelTmpl
Nebraska,Omaha,Hyatt Place Omaha/Downtown-Old Market,82,270.176,https://www.booking.com/hotel/us/hyatt-place-omaha-47-downtown-old-market.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=8e0a841c2853008e&srepoch=1701888449&all_sr_blocks=101551409_106926649_2_1_0&highlighted_blocks=101551409_106926649_2_1_0&matching_block_id=101551409_106926649_2_1_0&sr_pri_blocks=101551409_106926649_2_1_0__74424&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
