state,city,name,avg_score,price,stars,reviews_url
Nevada,Las Vegas,Excalibur,75,123.203,3,https://www.booking.com/hotel/us/excalibur.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=18611211_369325944_2_0_0&highlighted_blocks=18611211_369325944_2_0_0&matching_block_id=18611211_369325944_2_0_0&sr_pri_blocks=18611211_369325944_2_0_0__33840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Marriott's Grand Chateau,90,693.928,4,https://www.booking.com/hotel/us/marriott-s-grand-chateau-1-las-vegas.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=26571503_195545949_0_0_0&highlighted_blocks=26571503_195545949_0_0_0&matching_block_id=26571503_195545949_0_0_0&sr_pri_blocks=26571503_195545949_0_0_0__190600&nad_id=21d2e52f-c367-4112-979e-ade612c78162_2&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImRKV3lFNlVjUVRCYzZLY211eWlKR0J1QkFvaWl5NEljWmQ1VlU3djBHSUU1aWxaUFNsZHVaVHg1b2Y3V1c2SVhyeWs4TjZQZ0ZjeCtnVHBtKzQreWc5Q1Ftd2ZZbVlsbm9naVN3MjlYZ0pwMkg0dThwSmJsMFNZMkRuTFgxMFNFaWQ1c0dZdkFRclVjYnliVnk4RXNZc3lGQUtkUUpxaVU1NWlBY3lldzY0dmY4YSs4alFQRmtmaVU2TjQ0V2g1QUtaeHlvbElUenYvRmw1cE9NMEVOaWFOMG1SaUczd1Q3Y29qTGljL0dOYytlazZ4ajQxSXd0RGFLMy91N1NJdjgvZkduMGlTbjdUNGNKY0tPUUdxTzlBNlVCeDVaQTBEY2hBa05qNDNLK0RjNVJLT0NOMzJUa3hRNUNLOS9PSU95dVN2ZXdWQkFlSkJQaEF6SGNYM0J4WVowR0xYeEh5bzI4RkRZekt0YTZGaTFaUG5kQzRFby9QZzBRNVlEemhSNU9kcytwSm5xUmJLUG05R1RWN2hZcWU1SWZVT2tqY3ZSSUNrOTRod3JUbkdIZ3JjNlZRbTNYeXRtUFBqU2RmVlRZdmhxdDByN24wOVFJT282aXVtVEpyczZhakJYMDMvNWRjVmtzQk1xT1pPaEY4Y29rOTNEZjJuSHh2dExKMlA4THk1VmR6R0QvU1NPU3l1YjIycWZPUnlFU1JxY0JvSmhYV2svTWc1SDBLZ29uR3NPWW9SSDV6d2V1U1dsekRKTFQ3aTlydlhkUGkxdEFsdUdWNTlraWNiOXBNU3JyTVdJWEI2dzUyeGRsRFFndGJGL25ac1J1QXM4MmJuNCtTbGlwMnd3Kzh0cTA1SjI0bHFuTkxOR3JKZEk3RkJKbmxGbkFRRHhKOGVZamZFbHZwS1ZCZ0U3OFhMVXJETzlkeDZLWDVhYU5lU0RlWjZxWUZhUXVUYTdac2ZaUGlDaFlFaFRPVHRZcjlVaXhYVUhGZzVGaXEwVmFJL3ViK0lDSHdpb0JvY0MvYU9kd05MTlVEeHRlM2hMUWNUZUFPemNBU253YWRhb2xsSm01cUxQaXV6cWROa29ZeklHNi9CZUI5VlRzRkFkYUpmU3lrWHJrOElHSEQzdWJ6RFA0S2NsWlZldTliU1ZMTS9IL3hLRnpMUzYrT2M1MTh4L2I2RXh1VC8vZWM2MFo4emw5ZCtXZW9oY2dVTTdGeWRCY2lWUzRZNFA5ZEM0SzQ3MFhta2lYbFozc0VXa1JxMUN1dy9yaFNwTW4wL3pSMUlWRGVaRVFSRnovRDBLcys1L0gvU1ZpMmptSzBScW9OcTFuNDcvd1FEaGo5VEFWY244UGtJcW5va0NnbktwYjA3MndGc1dsRVZlSmV2eHlzQ254TnJZeWkxMzJzRGpXTkpFYWc2STJ2ZURiZzBCYVREamw4TjBmNThSSGxuTmZ5UzVRWnVzeE9jR204WmpPSVZobUtxUjdzSm1EU2kxdzg2SlM3ZWVnZy91eVFTa2MwT1lTcXdGbnlOYzVvdHQ1cmticW1YNXppbFg0WU9INjZ1TDR0V0tzOWxHdURIR2NYSklQR3RDSmVkcE1ad2dvdDhHRTdDQW1HVS9CTnIxa0dOVjhVYjFiZzZyN3hVV3VwRTBXdk50SWFmOFplV2NsV3kwaDhKMWExUjAyeVgvTmk0emovQVk2b3BkNmJINnM5UmliNkxKWVY4bkdHWjFEWUNLK29qdFNpb2hHL0Q0eklzNm93TWFwNlhBVm16U3BacFRiYXgxcVBvWWJBUVQyc0NvLzBQcjk0bFJvdUU0T0JvNVpGenpqOHdsb2VjWkFMK3QrUkRueW1HR2VFSzVrQlBydk12ZWZvWkN5bWE1TUxRNUZmVU1IOWRTTnB5dDcyL2llWUY3WFFyTEFuSmtmNnlpNmFIZ2JtOWg1Z0xpc2VZVkV3TWJDVE1EQXVtazlUSnVlYnVSNUF0MC9KRmMrT3IyZnJaTFM0VmdJNXhPRHlKNjUxUjkrRXVPVHNLK1c3ZUhkbTdqcm53NHF1NWRPVzVKMGJRcTk0U0VSVWowZ2x1WkM4RjhxQlBLWkpTKzlDOE0waHZ6aHlPZHBjaDkxQ1hjOEloYlVDZ2FNQVREV3BnUlJERjhqTnZ5S05VUVhkZzNYS0RIbThpNU0yMSt5Mm5CSzhZT1lSemc0dnZtM1lsaDEzVlAwNEtJT09hN3poQlF5Sm53Q0toMTJOWTNLWkQydmsyNnp0MWZVMmZ1VTZrcEFnK1lHeHdqMEJUeklRYllMaXhnU3VUWS9IQ1B5a2lJc09WYlBuTU91YUtvenhUNS9CWGlHV2VDampPdWZLWk1ZYzF1TU9WODBnajlld2NqeDdETzZlVTJPdGxNMk1qaFl4SXZEbVZCREtOY0IvYjlXdkQ5V2p6K0Q4eEtIMGxhSDRTTmJuS1NVSCtIT2ZXWlBjUnVWcTFrZU8rbHVMU1FvSGRpbzJVLzJadk42SnRyamMyd1JvUTJldmczU3Jjb1RuMUtKaERJK2xGWU9qWG5RcnF3aCtnSGF6RE1pQ1UvWjV1ZytHaW1OWTljQkpoOHdtRHVsYzIzalg1cDlTN0I1QVZEb2Y1Y3B3bC9qV1RPWVFrR2E3KzIzNmRhcmpKL3d0RzdyalMxTHM1ZUczVWFLYmJ6MHdqcC9oRVhrbmFGUmNvcll4dHo0VEVVZU93SHhVRzZjeldNZy9hbUlNUzBYOUZWU1EvRExJdjh5M3JjNDVnUUJnZ3BMME5hREZNZHJ5QkFiT0tvcW5lOEtBSE5JVXRNdnNjMnduQzVHY1h3ZXpVYkV3czBEWFp6L1JlUnBFSjFMcnQxZ0Q1cGlMMUhqbzB6OWRwblhGeGF0UDl4di8weUlzd1ZzeU9pb3Zxa2cyZW9tcjk5SkN6YmQxWUE5ZkQyYnpHdmY3V282TjdpamFRYitqNm9pVXlQOU1yRXJpVDdOdTl6UFJZMmFZd0xvUzhtanlVMG5sN1lTSUpDaVJWbWhxQ044SHBXT0xlTW5vdjFLTWVPcHNMOVhwQ2lTWmVhWEV6MnN1aUorN3p1c0x0Tlk0L213Z0Rzdzk0NWdNTFEwdG1WTkhCQVRIMXM5ZXh6UEZRMURhZnNSazJUWitad2c1eWM4dFBIZEpEZHB2c0dwV2FudmtwajVIaE9JTkJUTlVRazBjWFlNV3pGMzhkVkdJTEg5R2pVVUpYSnVQZ2JiTklUZHlIN1pFRkRBbDd5MzdYaFpSM1ZDYVBDNEVIZDNzOU5lZTI1cFFxNGhlcElkamVmRkRVcGhSRFFXMFlFeVd6TmRoS2JwYUZVeFNXVEpZNWlTQWZNalFCMnhweFEyWE9OazRXdHI2RVVZWkl3dzZkUmllcENvM3VqR09peTAwNllDOGVMTkM1dmI2WlorR3ZpZlZPay9lN0tMNUZBK2VpWkp5V3FzYmxzSFBnM3RoVWlMeTVTTEpqK1ZjeGdxczBzYjF4VjZEVWw0TlpLOUkxT0ZtL2ROb0pac3dMNlJWaDM1UUtzbWxTVjc4dTVyWUZUYXBoOGNkZndhRUhRZWpiKytzNGFWK2hWRjBZaG1WSkdlY0JlalArS1FUaHlwY0JscUw5RW9mNkdLTG0wcThTZ2JNdlpIWkdUQThrcTZwM2w5OWZpMlpSU01tZjZpSTdMYlNwVENzTWR0bmVaRWpodkM5ODR6OHZwTTlrY0dpWGJYVTU5N21mZU1peHVvRzVNdVdTY1dqckptUGs5QllBU2M4b08zVk0rOEdDNnQ5UDZYWCtTTEZ5bFk4QjlRMWhHIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Hilton Vacation Club Cancun Resort Las Vegas,81,251.649,3,https://www.booking.com/hotel/us/cancun-resort.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=2491011_95148720_4_0_0&highlighted_blocks=2491011_95148720_4_0_0&matching_block_id=2491011_95148720_4_0_0&sr_pri_blocks=2491011_95148720_4_0_0__69120&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Downtown Grand Hotel & Casino,79,164.096,3,https://www.booking.com/hotel/us/downtown-grand-an-ascend-collection-member.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=58001502_352446942_2_0_0&highlighted_blocks=58001502_352446942_2_0_0&matching_block_id=58001502_352446942_2_0_0&sr_pri_blocks=58001502_352446942_2_0_0__45072&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Luxor,74,153.494,3,https://www.booking.com/hotel/us/luxor.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=18611718_260349926_2_0_0&highlighted_blocks=18611718_260349926_2_0_0&matching_block_id=18611718_260349926_2_0_0&sr_pri_blocks=18611718_260349926_2_0_0__42160&from=searchresults#hotelTmpl
Nevada,Las Vegas,"Treasure Island - TI Las Vegas Hotel & Casino, a Radisson Hotel",79,310.833,4,https://www.booking.com/hotel/us/treasure-island.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=36724304_109905789_2_0_0&highlighted_blocks=36724304_109905789_2_0_0&matching_block_id=36724304_109905789_2_0_0&sr_pri_blocks=36724304_109905789_2_0_0__85376&from=searchresults#hotelTmpl
Nevada,Las Vegas,Planet Hollywood Resort & Casino,76,161.65,4,https://www.booking.com/hotel/us/planet-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=5629329_299009815_0_0_0&highlighted_blocks=5629329_299009815_0_0_0&matching_block_id=5629329_299009815_0_0_0&sr_pri_blocks=5629329_299009815_0_0_0__44400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Paris Las Vegas Hotel & Casino,77,314.561,4,https://www.booking.com/hotel/us/harrah-s-paris.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=7598934_299009908_2_0_0&highlighted_blocks=7598934_299009908_2_0_0&matching_block_id=7598934_299009908_2_0_0&sr_pri_blocks=7598934_299009908_2_0_0__86400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Flamingo Las Vegas Hotel & Casino,72,186.407,3,https://www.booking.com/hotel/us/flamingo-casino.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=5943701_299009927_0_0_0&highlighted_blocks=5943701_299009927_0_0_0&matching_block_id=5943701_299009927_0_0_0&sr_pri_blocks=5943701_299009927_0_0_0__51200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Horseshoe Las Vegas formerly Bally's,77,423.784,3,https://www.booking.com/hotel/us/bally-s-las-vegas-casino.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=419612b014e70070&srepoch=1702089572&all_sr_blocks=5943640_299009761_2_0_0&highlighted_blocks=5943640_299009761_2_0_0&matching_block_id=5943640_299009761_2_0_0&sr_pri_blocks=5943640_299009761_2_0_0__116400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
