state,city,name,avg_score,price,stars,reviews_url
New Mexico,Albuquerque,GreenTree Inn Albuquerque North I-25,72,166.98,2,https://www.booking.com/hotel/us/howard-johnson-express.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=5842819_334554028_2_1_0&highlighted_blocks=5842819_334554028_2_1_0&matching_block_id=5842819_334554028_2_1_0&sr_pri_blocks=5842819_334554028_2_1_0__45864&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Mexico,Albuquerque,Sonesta ES Suites Albuquerque,81,233.139,3,https://www.booking.com/hotel/us/sonesta-es-suites-albuquerque.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=26304901_94372070_2_1_0&highlighted_blocks=26304901_94372070_2_1_0&matching_block_id=26304901_94372070_2_1_0&sr_pri_blocks=26304901_94372070_2_1_0__64036&nad_id=a2251a8e-c687-4c4d-b07e-0cec03b63433_2&nad_cpc=0.73&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImRKV3lFNlVjUVRCYzZLY211eWlKR0J1QkFvaWl5NEljWmQ1VlU3djBHSUU1aWxaUFNsZHVaVHg1b2Y3V1c2SVhyeWs4TjZQZ0ZjeCtnVHBtKzQreWc5Q1Ftd2ZZbVlsbm9naVN3MjlYZ0pwMkg0dThwSmJsMFNZMkRuTFgxMFNFaWQ1c0dZdkFRclVjYnliVnk4RXNZc3lGQUtkUUpxaVU1NWlBY3lldzY0dmY4YSs4alFQRmtmaVU2TjQ0V2g1QUtaeHlvbElUenYvRmw1cE9NMEVOaWFOMG1SaUczd1Q3Y29qTGljL0dOYytlazZoaDRGSTJ0RGFLMy91N1NJdjgvZkduMGlTbjZUd2RLTWFPUUdxTzlBNlVCeDVaQTBEY2hBME9pWW5KK0RjNVJLT0NOMzJUa3hRNUNLOS9QSUd4dVMzZXdWUkRmcFJNaEF6SGNYM0J4WVowR0xYeEh5bzI4RkRienZ0ZHVRbmdOUG5XRE5WMC9QaGlFTUlEbEVkMmJOdHBwY1h2RTdlUHpvR1hYN1pZcWU1SWZVT2tqY3ZSSURRenJ3VTRXWEdjajdZY2VRaXZURHhuSnY3VFNjWkdjNzl5dkZmMTNrVk5MYkVpa3VtZEtPbzlmeVZHbEdmaGRjdHE4Ujh3SW9tbkhKd3dpOTNOY1R2QzBmVk9QWGp4T0E5bGV5eVV1anlGVmlYYnpIeVhOdzI1WkZ5RUVaNThVeW82UGdsY3dhRXRrUzBXZXBSRDRqa2RzVEtyd25GT1E3K212L3pGSlRaNEQwZUVUSlZpenQ3M3V0K3l2NGpPU0JheCtEb1VoQ0l3K09aOW5KRUt2eFl6eGJPMHFEaDB0aUo3L2RWcnpaQjM4UkRwSnFkQnNaWkUrVXNUencwOVUxQ21QTVNEa2VKcDVzYlpYRkZsNDJyYXZtSDZJa3pPQWRyZUoveU5hOHp0TlFmVTUzci9kTi9YTEhEcU1nOFliMmNjK0lWaGttUUtFRmtiM2VSRGJKWG9kdllaSGtTd0RKc012S2lZeGRQUlFUc3JZM0pXVXBDZVMrckhHVFRoT1ltN25VY3Z0K09XeFB6NmF0VjhQR0lHL0tBVFM5b1U1Z3BITDRIWXcxYmprNHNlQkhtMU9uckM0cWtuWWh2eithQ05Oc09Kc2hpQTAvam45S1o2bUo0aElxTXRybkNzUDg2aWFJMjd1TjZOZDVGUWx3UmxXRzhNUFNaVjVJNEQ0c2IrYzVIMFgzOHBHd0IydVZmMkZiaEdwUXJyMnlvZTBReXZERUFVRnZRRENRWjc2Q2tYcGFNNUcvSFAwRG1qYlJRcTU1UGtob3JqZ2w2anpZR2RBc0h1TWtVbjJOSmUzVGZyT1FHdGlCZEt5QWdSSi9MKzBvWHluWkROd3pGNWxjTG5UTUZKYWc3T2hiWGVQMEZlSVdpampzWjNmNE1CQUI3VmRTcjZVcG1rek9RSWtzSTFhOGh1MWJxYjR0MXFBUmF6ejlLU0NiQ0l2QjdrMVNMME9oS2RSNzhUcmpWWThKYzk2S0ZhNXlEc3dTaFM2b0xYODd5TDR0V0twODlDdUNhTUxpME1ZeXhBTi9Cc1BNMXk1Y004RDVPbGoxY2xMWjZmK21OUy9WWGVMbmV5MFRzcHJ1RW5jTGg4TmVHb0h1ZWdrektEZzlZSFhGNXp4VVhBSkI0TTJLYy80NlpWcGVlZS9ZQWRmZkdRSWtJOUQzQjBDNDZVK01XK0h5UTVXcjIwMXR4aC9FWk1yTG5NVkcyVnZaRk9ZLzF6cVBNV2JBUU54ODc0NUY3bjU4QUMvYXA5UGdjOElRUHoxTlZ4NlBRTVMrZmo4VTY2bWl2SGRFU2pod2p2c012RWY5VVVtWHk1WmJocEN2UllYOHBkZW91c3FTT2hOWXg0Q2grYUJYRWhmS3lpLytYMGNYbDJxMVhqcXVZSkFCZ1hIVGNOQTdLOHFXSXVLTC9ac0J0MTdZcEk3L2ZxYXY4VUE1Wm9Kb1pjWG1vdTQwSi85RXFmVmRpL0MrWFpNem03OGlFb3ZQNEthQzhkbHV4aDVvaVNURVRqZ2x1VkhZSXk5VmVRTUlLOTZDRk0yUmIyaFNPTW9OdHFsMnVDcnNOU0YzOUllVlRHUVpNRlZ6WjhqdHU1ZHNZR1hjSWxSdXpBaHNDZ05YWnBsbVBhSTQxR1lVMnQ4ZWo0bG9WNjBXcGYxSUdFWWJ2azFBMUVsYzZuWFBNOGxNc3RBb3J2dVREdmlvb1ZFRHU3QXYxd0dCbmNFd01QMWtpeUZ4cnhLQzUvZk8vSy9HemZtVXFOdWZnY0tEY0dwbzZ1azF2VzVnSHJBbWFEanlXaWRxWk1OcFF1WWZReGt3emhlZ2dpMWJiRi91QTdmTUZIMGNqaGRSWXRHV05NRExsWUNPejlVdmp0SFNUMUFkd1lTQnNVUWRqRExDNm5GQ2paYTdqR0xjWmlYS1Z2ZmZLbXVLdjZ1dzl3L3lscmt0T1V1dEF2Mlk3MUc4WjdOcVVBRGJrd0F6c2ZaRk9NcmdVSGIzWEdGL24rdzdGUVBpS3NpRGt0TTgvN29UcnVjY2Q0VVlwODBITDRoNXlCd3owODlEUEg2QlJQdU9KQ3Rrb3h4aW1NWVZJTVpyeXkzL01JcGk5eXl0aTd1emlrWlpzU0cyTmVQTC96d2xLdTRRMGFtSFRKSHZ3VGJRTWtzSGhFWmUxV2l4WDlMV1NRbi8zMmVlcWJBWlpPV1JPVGY4MmZvd3ZjNDVnUkZCODhLVUpCRUZGUjlpSkFONlNjbEZEdEpobUxiQnRJczlZOHgwanlUWnpvT0dOZVRVdHFIM2xzNEFmUTRBVjFMWUYvaFVNNnhOQVQzY0JCcW9rVkdnc2Q4LzhvOWNza0ovY2RwRjdxNGVDVGlXS2NzclZ0T3l6YmR6ZEZxYUM2SmlhdWJPN2lvWi9xdXFJQzZtNzN4VnlGOXRMTCtuU2diclEwVGxzbUk5OUZnVGd3aW5OaDNsRFdEb05SbGg5Z3ZKQ0txekFSWHVqZHNacnBNNUhOOUlTMENwNnpRNzJlQndheDN2Q0huYlh5cU8wWUpZSG9rZ2p4d2Rocm1NbmV2b2pRWW5rTkJYMGh0TGQvTEZRMUM3MmdHMUxjS3ZnNzI5dkt1cERHWm91c3MvMEhxbUMrKzE0eHZpQkFMb2RVSWxjTjJNYmtKM0hDMU1ZQUFKcVhzMytGWHNMSnNlVXdjOXdHZHp6K2FrME5YVjZwbjd1K0trclVGNm5ZOEZuQzI0UWJLYVAzclUzbTNxY2FlU09ERHpSbDNGaUpEVjBJem16TmRoS2JwYUZYM1RhY09JOG5DMStjbncxeHo0SkZqQ1BGMkllL3I3WVNlb1UrMzcwWGtiNEcreWU1RDZuc21FNmNJTVNBTkROMEtPOUw3REM3TTAvNnR2M2RHWlJKeWVHSEZ6Nmg0K1orQ085NCtBdzFLRGxvRUl2Z1NNWjhsc0FLY2xBWmpYVXY2SjBEdUp4cEJYL2RMWUpac3g3NlFWVTdnRkgwMGxUYnBNcWVxWjFSWnFKN2RwQ1ZNQW5RTDNHcXBKNFJXdWxWQUU4eTNqY2ZNY0FMeTdiYVhDZHpzdTF2dkxjNStMN0pLT3oyN29HbWRNL0hNSnVIQmJSenF0emxvcFdubkpKT09tek1oWi9LRUhNVFJjTkc5U2plQ1Rra1Z0Z2p3c3VhY3NzWVhIdU9Bek4xK1RhQlpHMTZyemNJNENxY1dpekJvKzRzQmI0UGNvOU4zVnNxNFMxWW1POFhNRHRSd1lLOEpldEpSNERzUnovMW85THR2bVlLYlRFZTE2cXhTcUh2NTRoYyJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Mexico,Albuquerque,Baymont by Wyndham Albuquerque Airport,83,188.864,3,https://www.booking.com/hotel/us/country-inn-albuquerque.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=37918510_91473776_2_1_0&highlighted_blocks=37918510_91473776_2_1_0&matching_block_id=37918510_91473776_2_1_0&sr_pri_blocks=37918510_91473776_2_1_0__51875&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Mexico,Albuquerque,Days Inn & Suites by Wyndham Airport Albuquerque,80,184.018,2,https://www.booking.com/hotel/us/days-inn-and-suites-airport-albuquerque.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=27848205_97564035_2_1_0&highlighted_blocks=27848205_97564035_2_1_0&matching_block_id=27848205_97564035_2_1_0&sr_pri_blocks=27848205_97564035_2_1_0__50544&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Mexico,Albuquerque,"Motel 6-Albuquerque, NM - South - Airport",61,90.982,2,https://www.booking.com/hotel/us/albuquerque-1000-avenue-cesar-chavez-southeast.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=37478609_353331677_2_0_0&highlighted_blocks=37478609_353331677_2_0_0&matching_block_id=37478609_353331677_2_0_0&sr_pri_blocks=37478609_353331677_2_0_0__24990&from=searchresults#hotelTmpl
New Mexico,Albuquerque,Best Western Airport Albuquerque InnSuites Hotel & Suites,79,213.508,3,https://www.booking.com/hotel/us/best-western-innsuites-albuquerque-airport-suites.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=24450205_363854066_2_1_0&highlighted_blocks=24450205_363854066_2_1_0&matching_block_id=24450205_363854066_2_1_0&sr_pri_blocks=24450205_363854066_2_1_0__58644&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Mexico,Albuquerque,San Mateo Inn,77,168.349,2,https://www.booking.com/hotel/us/albuquerque-i-40-east-san-mateo.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=46220002_210691816_0_0_0&highlighted_blocks=46220002_210691816_0_0_0&matching_block_id=46220002_210691816_0_0_0&sr_pri_blocks=46220002_210691816_0_0_0__46240&from=searchresults#hotelTmpl
New Mexico,Albuquerque,Sonesta Simply Suites Albuquerque,73,183.822,3,https://www.booking.com/hotel/us/sonesta-simply-suites-albuquerque.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=18350909_356609512_2_0_0&highlighted_blocks=18350909_356609512_2_0_0&matching_block_id=18350909_356609512_2_0_0&sr_pri_blocks=18350909_356609512_2_0_0__50490&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Mexico,Albuquerque,"Casas de Suenos Old Town Historic Inn, Ascend Hotel Collection",88,372.304,3,https://www.booking.com/hotel/us/casas-de-suenos-old-town-historic-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=35493523_369376011_2_1_0&highlighted_blocks=35493523_369376011_2_1_0&matching_block_id=35493523_369376011_2_1_0&sr_pri_blocks=35493523_369376011_2_1_0__102260&from=searchresults#hotelTmpl
New Mexico,Albuquerque,Quality Inn & Suites Albuquerque West,73,163.412,2,https://www.booking.com/hotel/us/quality-inn-suites-albuquerque-west.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d62b17554c30007f&srepoch=1702091973&all_sr_blocks=27742505_94388123_2_1_0&highlighted_blocks=27742505_94388123_2_1_0&matching_block_id=27742505_94388123_2_1_0&sr_pri_blocks=27742505_94388123_2_1_0__44884&from=searchresults#hotelTmpl
