state,city,name,avg_score,price,reviews_url
New York,New York,Sonder at One Platt,78,798.04,https://www.booking.com/hotel/us/sonder-116-john.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=557920215_239443847_2_0_0&highlighted_blocks=557920215_239443847_2_0_0&matching_block_id=557920215_239443847_2_0_0&sr_pri_blocks=557920215_239443847_2_0_0__220105&nad_id=ece7fe7b-02fc-41fe-b5fc-174837d85db8_0&nad_cpc=1.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxemsrTVM4TnZCcTE2aUw0V1phdEFQV1lBbGNOalRxcEc0azZkY0dUUmQxaXUzeE5hVHlBUmZCZFhTUEE3Yll6NTZiU3RIQ1prOVh4WVFYd0piaTI2UjBCTjEvT0cwSDVkVE1LRlNmWE9UdWZablBlQWlkVGdlcGJWNm9EY3lDS2dIWG1IbEp2MWVpRU9aQitlQ3o4QjBqUmNETUZQUDVnMFVmc3F6ZGtPbUdMZHBpQzMwV3BQYVZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpkNGZSanFKeE1WTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNbmU1WVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMNW45WUUvZm9RR0k3M2NVWTg3cmhHSytVTEE2TXdFVXdaRDBhcFdqRkM3dk0rdHlLTVN5MktLeTU1N0JkMUNqYkxWVVlRNDdwWDFpeE1EeWxGY2k2b2lCeWFoWllwZ2QzLzFZMjZQRnMwaldsQ2FzTjlFRS9STGNEU0t6aVRxeU9DdWpOUWx4YjFBRHJUVlJPQTF5NFJBTUtQa3VjWk9RcGtqVXdCV29mL3o1Vi9VNGFkcXRpOVFpTml5cTkwMFBpVzFqZ2FwNTdqWHZlZWY3ejFVRW52R0ZBVkdkaVJscElBeFo3cFg2M0lCUTNXQXVuMG1sMUZoUmxLN09GeXFlYjdIb09LRXNkMGhYbmRmMXdJRDNiUWtHQlVtMkxvRGZvWXprOHREeHhyRVVjeklPYjgrSENGNTlGMFZWOVBXYXdyeHlIOEhHc2U2TmxST012TnpxVEx2dmFHeWhOVWJpYUg0b3hPbEc5NmQ2UnJXRzdNcVR2blR4MWFud1pFN1hwSWNWb0RUYzNaNVpMYUJ6S1dxOStWYXJCR0ZWUEtOcCtVMkVqbkJMQ213Tk1EcUdURTJDa1Fhc1NmdWhLcE9jL01mOW9WeDByb1l2VWtCWDdaWkxubUQwUlhWYkVoMjlVYmJDOWR4TWlVZzJLK1dGUDdPc2FCTnArNGNYODF4bWJyMVN6Uk9hRlNGWUFvL2FpLzh1Z1FFT0o5VDJ3eDM4aEVKb0krUktycDBwYkxxdStJMkFwUElKVUR4VnRzdmlzY0IzMzBMTWhJMGJxeXFva0FDZkxJeFJJdkE5eDVEdmEybHcvdmRWYktobGJFd2piZHJpODE5RHl3VXpzUkRqQWxjNzd6QUNrVVVNeG9hb0dvRmhSU3NOcTFFdjlqV0tPeUlTMXU4bGFDQXRXV3FzZ2I0QTI5ZFpWMUljWjRBK0V0dGxxV1B3cTEwN1hDNVU1cjVSd3pxbVN2dTM2QWlCUDBvWitCa2gyaWdXZmRpRzFwYlZXaGFzYmtUU0dKVEQ3V2ZoNC9qL1p2L0xOWTdqNjIxbXczTUFBKzJXcVlsN1pWeXNRQUZ3VWNVZDdHcDkvbndzSTA5UmhWclAxeTduZkZRcFR4YkNUNDdSWVdEaVoxNFFEYmgvTUkxeUQvTlNlLzBRZ2p1eGZKM2ZOMVlpMWdsRGFNdXRseG1IbEpaKy9vMVh4T2NpMm5rcDFEZXZCL0t2ZHVNYm9BM0RPNS9RbGxWdnd3UnZKbUM2eXo5UDVGWDBnMmpKMFBpWHRKYW9wQjZjMjZDRTBPaDR4UXhnN3o4dG41bXhDMUNzOHpNczdJWCt2czJGRUNXV2RWZWxlTUsxT1A2TVdtdkVxT01ta25icDVtemZkcVoxZzlUenJ1YTRoWUs0TXMwYUNsNFlnVlR3Y1poN0F4Y2RpNW9Cb0FGcXpzSzdjQSsrOXNZeHhmREZENFVad1R3NUladS91VENTN2h3RmpnZGNhaVYxNFhTSG1VTFF3RTNSRjgySXVjUzI5bXlMR1JMR0t0eEoyNHRDRDVMc0llUEd3S2ExdTNUQUhrTlluNTQxK25wMnd0YTVCelBudDFZeE9kcHFjZ2pFMTRCUnkxd0c3VlFydjRHVFRRaHNVaVlURVVYR1JRNWJPdnZUNUhSd1Zva00xNmlrcjhkcThkZzFad1A3VlVCR1FzQ1dVYTJrR2Q2K1Y2dTg3NjlONVlYQlU0MDB5Q3dQZHpNbDBpZFMrSmhKRWpoVWNrdE9SQkZIWE0yZG14c1QwblpTMXQ2WjV5K0xybGhrOVpjYUN2MEpWc1RxTkQ4K3VGVzRXRjNNb3pOWHE4SitiaHhiYWlMWjJBSmJjVmZKS2NZMEdVSzJMQUFobGNDaWtvU3BJTHFBdXFkbXFmYmNWamRKU3FETEIycmJRLzZYb05GM3NBZjNJRUd0UlAvclBtWVNwbjVCR3p5dE9kZCtrZXRaZXYremNIWGoyV1NvbkI2K0tHV1MxeDNJeWhHUzlQZzFjMHZZbEJFeU9jVmZVM2FLMXEzdHVCL3VvR21BdS96NjJwNGVoMFZ6TlVtTWpEbm5CclhWOHlxY0JvQUswOC9WbUxpSDhxRmVHU3c2OXBGN1hOVnZabWtXTmYwS01TSXpydzk3ODduZ3F0cWwxUXBwR0RVYy84MWJjMmZJN2hDYXhqajk4NDRvUUY3bThPU1h3dXZUS0hsb2xkNVF5SkpxeGtRdElHcXZ4cmxnOWRIa1V6RzMxZVNGTXlUckNaQnBFRHpMYlRCYjNabTlQbkRaYWpKWUt3VndpUHZ3YkdlbnB1ejljM2hZSXlsczNHRk5NYTlxL2dhaWgvSE52cFVwMzBSUTFPYThaZVNiYWdDa2xGaXRHb2tlN2NqUUh4UThzK0o2ZG5UVWJQTjYrNHRpMjV6anFiUFJabTdpUk9nTlhORUx3aWhIbU5TbTRNcUtPN0dtK0dNWWQ5N09DamY2aE10azJPaTBUN0E4TzBXeGpjU1hsUW9USE5jZ3RFd1E5Z3dncEdtSmNHeG5KSG84dDN0eWZnM2VrOGZkaFloSlNPTmxmUXJYWWJSVXhSQ09zb2pPeEdTUEpBMW45emV5c0J3Wk13YUdhQzJweXUvM3dwem5mSUJEellTU1pEaTMweHdBTDVRby9xd0pJOXFOR09tRWtzTHJUVDl2TnZCbURXczZRdTdkVXZmVUNwZmViV2cxVU9NZnpvOFpRT1VaNDY4SkpNaG9aTmlTOFZYbW1uME1xMDRmb3dVZUJ5M3VqN2UzaUVIWWZ4M1dNTHJDUXVCTzFObjBHQWN2K2hDcjJxaVlXU293NVdqOGtnWUhra200VXVWMGo2TWsrVzVsTXZxek05TWhkczNCMVdPWkc1bkVSS2I5VUQwaHhSY1hqZnpBZm1UdmhRTEMwbFhWQnlyR0cvSTB4SmVMenFGQTRXMDVmMlppcjEyU1dWWDhOZz09In0%3D&from=searchresults#hotelTmpl
New York,New York,West Side YMCA,66,255.008,https://www.booking.com/hotel/us/west-side-ymca.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=110672904_91476666_0_0_0&highlighted_blocks=110672904_91476666_0_0_0&matching_block_id=110672904_91476666_0_0_0&sr_pri_blocks=110672904_91476666_0_0_0__70333&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New York,New York,Sonder Battery Park,86,722.777,https://www.booking.com/hotel/us/sonder-at-battery-park-new-york.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=668408015_273502601_2_0_0&highlighted_blocks=668408015_273502601_2_0_0&matching_block_id=668408015_273502601_2_0_0&sr_pri_blocks=668408015_273502601_2_0_0__199347&nad_id=ece7fe7b-02fc-41fe-b5fc-174837d85db8_18&nad_cpc=1.03&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxemsrTVM4TnZCcTE2aUw0V1phdEFQV1lBbGNOalRxcEc0azZkY0dUUmQxaXUzeE5hVHlBU2RCMVNUL2s3Yll6NTZiU3RIQ1prOVh4WVFYd0piaTI2UjBCTzMvbUQxM2RkVE1LRlNmWE9UdWZablBlQWlkVGdlcGJWNm9EY3lDS2dIWG1IbEp2MWVpRU9aQitlQ3o4QjBqUmNETUZQUDVnMFVmc3F6ZGtPbUdMZHBpQzMwV3BMWlZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpSN2NoWG9MeEVWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNbmE2WVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMNHp6SUVUU3NoT0U0WGdJTmRiZ20zbWpYdkV4UGdjY3c1ZTRjbzJ4RlREd012VnNJTTJ5eXF5OHBwWE1jVmluZHJRQ2VSWXBwR045eHQzc25GNGkrSWFQaXExZmRZa2UzZXhMenI3ZnRsSGIwajZtSzk5RjloUFpCVFNrZ25hcU1qZXRkQVowWTFzWnNEZ1hJQVp5NXdzQ2FlODNhWktYc1EvTTJGSytMdkwzRWZReGJNVytuTU1qSUQrbDhnUVhnbkI0eWVkdzRESGdNclA3Z2dBRXgrVEVERldiakJjcEpFMVhvOVQ2bGN4RGtTd3VoMGVsaUFoT2diUElDQ0tYSk8vbk02QS9QUU5kZ043endKYndjQW9TQVVxNk5JRE91OHV0dG92NzFMaExOSFpBWnRPUEMxSjhCRkpSczcyYTJySnlVb2ZPc2FYVGdoNkF1dEx0VjYrdUszbWhLVlQwZm4wNDBPOVg0YmM5R0thTTdkYUIvemZrMXJqMmJFZlp2SVlVN0hyUHlacGJQdUU5SldxNytsaWdUejlIS3JFcnZsdVZsRzFOQjIwYkpEdlZCVitVZzFydlh2K29McENZczVqOStoMTJvb2d0VUVsWi9aNVFtU0hwRG1kTUVBZUJTNHpENWNOTmxtTW1IZktWYWVhc05GQisvNDRIOEV0dWZ2b2EzZ1dKU1dKY0M1TFd3S0VoaWdBZGU0UGsyaGJqaFZSeU0rVmFyNTh1WXF2bHBvM2l4TjBnSGpRcjhMNkJ6Nk1KdkNyeXFzMWEvQ2kwemt1Qk1jazJRZVlJMU1YeEZnbDdrdUpKYlpCVlMwWUZWNCtEbENBanFnVnU0QUwvRTEwbzVqWUJuMDVIbUplK0M5dzJWVElGczBFbzdDbWJNWEpOeGZrMk5tTXhVeWI5a3FnVGtKUVVTRTVSTU1Jd0Nwazk2bmZoNkFCelR6aGJvK0FTMUNPdVIvZTU4d2FDYUJsZjZFWmkzU2tXSzlpZjA1YktXMXI5T2wrQ1VNQ1FwVGIxdjYzcWJLdWVONGJvdkc4MGgyZ1JWTExScnB0clkxVzhXaDE4WE5BQTZtOHJvWDV2ZFZwVnhRdmZpR25nYUVNMFhSVEdYNGVZUGlqc2Z3NVlXYnhwTW9Gekh1aEllcTFEMXlpL2VaWGVOME0xZzBFWGJOMnZteGlXajQxMCtJQlUyZVpzaVNnKzJUaXJEL1N6YkxGZTVnN0pQSnZma0VKaTBobDhPMnZxbUd0Qi9BZXh4V3ZEd1BDQ3BkM2s4QkNFaCtuTDMraG53QnQ5L1QweGc1Mm5DMERyb0hWNW9kQ25xOVhFR1NPWGVSQ29jSUgwZTdIRkdTM0xydUlzajNyejYyelBMZlVqazlid3F1YXdob1MvSnRoS1ZTTVNnbWpNYm8xQkhoTVJuWXdOcWtjMXhvSHRaUXYrcDhwdXVQckdQYmtHMmdZa0paZXByenlZcUVNTnpWRkpibVVrOUMzSGhWN0J4RUhRRnN6WTZwR3M0SC9IVkZQR0l0eGUyb2xQQ1pidUp1S0lrL083b3llSlhVSlNrSjRvOFhod3d0T3NGaktrK1JFaE04cHJid3ZGMTRGV3NsNERnMU1ydjRTUldRNXBUeU1YRmtDcVZ4cFBaOWVVdWlSMlJJa013TEMxcjhaNzlNUTljVlcxSGgwVFVNdVpVYXk1R01MYVZyYTI3c3RINVkrclFac21uQk5iTW5Ja3d5aEwvdDhIU1dvZGNoQUFDbElTV05tQmtSNGZ4Mk5aME5hQTZ5NlI3UlpyKzVWTFZiZEtWOWpyZlhFOXRseTRGZ21QN0hwWDVZVXZOa2hLZlNMRXdRa0xPR1g3YThaN01Ycm9aeEZ3eXBEcDJvVG1jZjNlKzZkbnZ1SFJRRHdaRmV6cExCdkRUWjJ4a29FODl3Zi9QRUhxQ3Uybk9DQmRzU2hUWFhQellZWS93N3dXTThPeWV6U3lwRC8yakJDeEttQ04wZ0xhMHg3QXJyOTZPbmZabnkwOUI5VnVZM1MwMkpmbnRXS2o1MStlOTZLNThNbGN3VWRpY2diRnNENzNFZnl3dm0zWUZvNEYwY3JLbmEyVjY2NE1TV2Q2c0lCMlc1c3hKQ0JhYzZKTWRHTXlsUlpoc3VhZGdjejBoRnhDRFdSYnFjWk9KeUtKN3lxWTFpdjlqc0J6ZEY2M29iSzgxN3FVZm5GcTJJY0NqZG9uL1JZak9DU09sN2Q0cjVLMUEyVHVsTFhWWm5xcVdNRTZWWFhMSkh0WXo4eXBmbWpCZG5WVUkwUjRqdmkxYmlhOHVhK25OR0IxTlRabjFGRk5ldnMvcEVpc243V0w0c3RVeGxoV3g4MjVaZW5ZSkV1cWlGanFGTW9mbzlxSVRnWW12ZjlsZG1EWllMMGhxOHNsbXRPajkvVGNjR1g1UmFSVUZKUk5qWGNTM1plNzZjK05NNlhvb3p4RUpzakNEaTd0M1pnMW5hdXFYcVkwTGxPaWhzeUgwbGRiUUlZeHVrb0o0VngxNXlETWZIOTZKRzV4LzN4aVlVUEkzOExEZ01jT1ovZGdjUUQ2SmVJTGhGZUFxc2lTbUN2SUN4bGkrejJmaVFRUExCSDdKbmE2dzZTb2pvdlVkcEJmeTc2ZmNqT2EyeHNOQ2FrczgrQjZZOWFSU3FEVW50LzFTeWhaT3ZvblVnVmlDdTZGQ3FLblhJekhiR2dvVGJGQW9NcGZEYWxOdmY4UE5zaEZkY0dWdGpDMXhqeEI1eHRCOHdNTUJ3RC9scjd3N1JLRU1GQ2VhZkdKUS9OTDdOUHFHa2xLcVV6cWwrREJFbUV4OW0zRW1CZ0wzQ3pyRHFvM3h1QnRyM3cwZS9HeUxKMDNPdHJFM1N2ZUM2L0pST0cxTFdGdzBCUUhpL2phWm5hajFIK2RoRlBWTER6VkVMRjZnOUtQSnJlV2MzME5wVFpVWjVOUFAweFRBQjJ4UmlxdSJ9&from=searchresults#hotelTmpl
New York,New York,Element Times Square West,76,697.455,https://www.booking.com/hotel/us/element-times-square.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=25731317_94368970_0_1_0&highlighted_blocks=25731317_94368970_0_1_0&matching_block_id=25731317_94368970_0_1_0&sr_pri_blocks=25731317_94368970_0_1_0__192363&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New York,New York,Pod Times Square,81,648.961,https://www.booking.com/hotel/us/pod-times-square.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=237726011_383159592_2_0_0&highlighted_blocks=237726011_383159592_2_0_0&matching_block_id=237726011_383159592_2_0_0&sr_pri_blocks=237726011_383159592_2_0_0__178988&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New York,New York,"The Herald by LuxUrban, Trademark Collection by Wyndham",78,708.829,https://www.booking.com/hotel/us/the-herald-powered-by-luxurban-new-york.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=866502714_381611658_2_0_0&highlighted_blocks=866502714_381611658_2_0_0&matching_block_id=866502714_381611658_2_0_0&sr_pri_blocks=866502714_381611658_2_0_0__195500&from=searchresults#hotelTmpl
New York,New York,"Holiday Inn Express New York City Chelsea, an IHG Hotel",78,642.84,https://www.booking.com/hotel/us/holiday-inn-express.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=5694107_244944101_2_1_0&highlighted_blocks=5694107_244944101_2_1_0&matching_block_id=5694107_244944101_2_1_0&sr_pri_blocks=5694107_244944101_2_1_0__177300&from=searchresults#hotelTmpl
New York,New York,San Carlos Hotel New York,88,715.975,https://www.booking.com/hotel/us/san-carlos-hotel-new-york.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=5591505_0_2_0_0&highlighted_blocks=5591505_0_2_0_0&matching_block_id=5591505_0_2_0_0&sr_pri_blocks=5591505_0_2_0_0__197471&from=searchresults#hotelTmpl
New York,New York,Riu Plaza Manhattan Times Square,86,976.795,https://www.booking.com/hotel/us/riu-plaza-manhattan-times-square.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=696615803_308624935_2_0_0&highlighted_blocks=696615803_308624935_2_0_0&matching_block_id=696615803_308624935_2_0_0&sr_pri_blocks=696615803_308624935_2_0_0__269407&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New York,New York,Tempo By Hilton New York Times Square,85,878.157,https://www.booking.com/hotel/us/tempo-by-hilton-new-york-times-square.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7239927d97270280&srepoch=1701809431&all_sr_blocks=953578601_367911620_2_42_0&highlighted_blocks=953578601_367911620_2_42_0&matching_block_id=953578601_367911620_2_42_0&sr_pri_blocks=953578601_367911620_2_42_0__242202&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
