state,city,name,avg_score,price,reviews_url
North Carolina,Charlotte,Hyatt House Charlotte Center City,86,346.981,https://www.booking.com/hotel/us/hyatt-house-charlotte-center-city.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=52145506_93851914_2_1_0&highlighted_blocks=52145506_93851914_2_1_0&matching_block_id=52145506_93851914_2_1_0&sr_pri_blocks=52145506_93851914_2_1_0__95581&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Carolina,Charlotte,AC Hotel by Marriott Charlotte City Center,88,525.766,https://www.booking.com/hotel/us/ac-by-marriott-charlotte-city-center.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=296336501_110083488_0_0_0&highlighted_blocks=296336501_110083488_0_0_0&matching_block_id=296336501_110083488_0_0_0&sr_pri_blocks=296336501_110083488_0_0_0__144830&nad_id=512208c6-24f7-4188-987a-c315dc5c31a8_11&nad_cpc=0.77&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxeWtlRVRjTnZCcTE2aUw0V1phdEFQV1lBbGNObVE2bEs0azZkY0dUUmQxaXUzeE5hVHlBUmRoUmRSL2c3Yll6NTZiU3RIQ1prOVh4WVFYd05aaVc4UjBCTjNmQ00zM1pkVE1LRlNmWE9UdWZablBlQWlkVGdlcGVGdTlXSXppRHpIUytFeTg3MWVpWmNiQi9IVTJ0VjBqaGVEcHRJYTVWc1VxMTluOWtPbUdMZHBpQzMwR3BEWkZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpCMGZCTHJJUlFWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tjblM2SVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMNGZ6SUVUU3NoT0U0WGdJTmRiZ21ubXFTdjl3TlFvYXk1Vy9QcFdwQnpIdUxmUnlQc1c3eXI2eXFOVEhmRjZ2Y3E0REx3NHh0bUpqMmQveGdsWXIrSlNCaE81YWM1NFAzdTVhM2F2Q3JGVEMzM2krSWNOTHR4allBRHl5bFgzbUtqMnhla2Q3WmxjU3FpVWFaaDU1NXcwWlo2NGhjSXFXdGhpTHdFcjVPS1A1SDdJd1pjQ2hqOVEwSVNtMi9RRmVtbnR3MStrMjZ6UHNPclMzbWhoUngrU2RRRmliaUJVdUxRUWFyOWExbThJRW1qUjZuMStsaGdZY2c2N0FIVEdiSU9LaEs3Y2pJQTBaajl2cjBZSG5jUXdKR1VheVA0ZlRwc2U3NTVPbjA3VlVJajlPTE5lQ0drdG1Fa1ZWb0tyS3dxcHlYSW1OdEtqZXhBYVB1Tmp0V2FpMEpUYXRNRTN4YVh3dnhPdEg5N0FzR2VDVTV0ZUI0em1yMnFIc1owcmNzSVFPOTJDWjBaRkZJZlVuWkNTMytsNmpRVFFNZEtNOXJCblNnbnhYR21zV0pTM0JCQXpka1V6OUFyeS9LcG1jc0p5eXBSMHQ0NG9oWGt0YjlKQkFrVHJ1VDNvSEFoQ0RVYkRaMzhKZGlXSTVOdUtqZnZiNllWQWl2SmtEK1Z0dGFmSUttVTJhWDNFQVNKYmYzYTFxMUE4V2VwQzRqUVQ2amt0ekpmOUtybzh2WUt6cnQ4YTh4TDlBUGh0MjRNLzJxNDRnNEgvMm04SmNsWGkvdTErclQ5eDdGTjBVc2ZMdlJTTkJqcGRlWmJKQlF4QmhDTnJpOHlaRHl3VXpzUkRqQWxjNzd6QUNrVVVNeG9hb0dvRmhSU3NOcTFFdjlqV0tPeUlTMXU4bGFDQXRXV3FzZ2FBT2k4cFpWVXhOZjRzakhJcGl2R1h5N0VVc1FETmFzTGhDd1RLa1RmSzMraFNNZVZJQjZFNGhqSDlDZWR5ZXk1UGVYQUsxUDByVkROakhzR0g1OXF2MU0vM05adDdqNWpwbDBYME9WT3VBdnBwdlpFQ2hTeHR0VzhjSS9Xczc1aUFyTGxCSHpGU1kwVGp3YVVFMFZSUFpRWktLZVd2L2FSMFZINnRvTnBCb0dlUkpkcnNJaVR1MGVwRGNNMG9zbFF4UmU5eXJpZ09SZzR4NTVaeGV3ZXBrd25ZdTJqaXVCUGEyZUtNUXJRakJPNW5abjBKODFoOXlQVzM4MHpWVDZoWC9qbTNMeCtXSXA5R3dyd09TbEtpTTMrOXYwQmw5OVRvdWhZU2dCMTNxNnl0NTdJV244c0NGRkNlUmZCN29kTUQ2TnZERlhtREVwZTh0aUd2MDYzelNNTDU5Zzk3NnFlbTJob08rTE1OUkVISWtra2ZNUVlGb0ZCY0docG9BcTAxeWtzVzJieG4zK0kwcjZjeldFcmNwMkM4dUlZQ3l1VEdab2dSWmlRcERmR3g3czNHUWwwZksyMERHRE1ET29jKy80bUxkREJEUk45WkowSUpORDVubEpPNkEySzJvdFRUSEdrRlVucE1rN1g1ajA5ZThFaUtncjA0aE85aHJiQlRIeUoxVXFUb0g0MXN1dDR1UlVoQnRWeTBSRmtXdFZoUWpkNkdVK1hCOFFKNFgxcnlqcjhWcjRNSXNka2lzRWxKTVVNR0xVYTJrR2Q3SFY2clM3NjlONVlXaFFaRk1qbVZiZWpVMnp6MUg2Y01EVlRoQ2NnZ09DaDljVmRxYW14RUsybUZWejlxRCtpR1I1UTFzdHNFUERyMVlYb2VzUER3MHZGU3pHd3FMb3lWWC9Zc3ZiZzlOYkNmVnhSOFFKR0syUDc4Y1JnV3hOZ0Z4eG9haWhJVCtmLzJIcXJkbXVPYkFSeXNGRS91b2J4dTRQWS9CN1lGa3RBSDVLMUxtRU9QclpYbEZxMjVIVlhMc044OHYxYXhaZWNXNWRRaXdsWFNpakJpakttU1MxaHJIMXdIVHNMODFjSEhTa1JFL051TmtYV21LenE3WHBGaXg2UmpQOTh2dXpkaFQzQVEzY2ttUHRqWDVMZmlhcFRxV0ZvWVgwYzdWbWJXSTc3c2ZYV2MxK29weVZvVXdPR2NPWWJSZVBDUWdtUU50anV5eHpJWDAraHQxQTJOZnJZc1NKMnJPL1NhTjJoZnNxTVJ2SmdHMzMvV0wyYjJRZWp3MjJNeFNoZDA0cWx3alRDVHNsL2Mxc04vOEYzTDZ5dmpJWkdibEVkSXNSaXFBSTNjT2tNemtLMmlZWXpSWkowSjlnTGl4THlqeCtLLy9aSFZ4TVN4ZHoyZFVkL29zNlFXL2tMeVMrWklGMWxsczJmMjJhLzdRUDB6bjNGaXhSSWtRcllYWEFCbytvZXBnZG4vVWFMTXNySVY2aXNXenVLUE5kM0xsUTdOZUNkOFRubUVCbk5DeTVjcVVQclRxcXpZUGVOdklCeW51MFlJaTNPeWpVcU11TzFLM2dNaVV6bGxHQzlnaXNFTU03Rmh0OG0rUGEzdHBMbnQzNkdZbEtBK0gzZHVEenB0ZWZ1WnNUUVBKTE9FV3lSK1N2czJRajNlWUVnaHV4ejZzZ0FjU0hCZmRJbXJvbktUeHdJSGRjWUZ1M0pTT2RTU0czUXd4SFo4dnhleE1aWjNaU3VtT2k4TDNSejllUFBFYlhqNHBWUDJPRjdIcEY0cnhmRTRzVVo1TW00RUJIcjllL3FzRk10OWVZODJ1c0IrMWxHVlQ4UWtDcHdrSUVCdnBtb1gyd2h6V1owS0llN0xaUmVaTDVkdm9KRVpscVI2emhmYlRVVEUzNDIzTmtCbzEwd1BsWFAwbDBQSWcvbTRpZk9ma1pkRjRPTU9FazJXVkRhTElVdHV1RmlvdTBCd2NpLzNSWkhPNXlIL0Z4M2pIQnozQUZyVnBuNWZNSnEvSndLbzJzRlJuVzlnUEtvRU1nbU5JUHc9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Carolina,Charlotte,Hyatt House - Charlotte Airport,70,200.541,https://www.booking.com/hotel/us/south-tryon.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=43296407_91328319_2_41_0&highlighted_blocks=43296407_91328319_2_41_0&matching_block_id=43296407_91328319_2_41_0&sr_pri_blocks=43296407_91328319_2_41_0__55242&from=searchresults#hotelTmpl
North Carolina,Charlotte,Omni Charlotte Hotel,85,612.394,https://www.booking.com/hotel/us/omni-charlotte.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=5819017_91459108_2_2_0&highlighted_blocks=5819017_91459108_2_2_0&matching_block_id=5819017_91459108_2_2_0&sr_pri_blocks=5819017_91459108_2_2_0__168693&nad_id=512208c6-24f7-4188-987a-c315dc5c31a8_5&nad_cpc=1.01&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxejBTT1RjSnZCcTE2aUw0V1phdEFQV1lBbGNObFE2MUg0MDZkY0dUUmQxaXUzeE5hVHlBUmN4WmRUL3c3Yll6NTZiU3RIQ1prOVh4WVFYd0laUys4UmtCTjJQS00xM0pkVE1LRlNmWE9UdWZablBlQWlkVGdlcGVGdTlXSXppRHpIUytFeTg3MWVpWmNiQi9IVTJ0VjBqaGVEcHRJYTVWc1VxMTluOWtPbUdMZHBpQzMwV3BMYlZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpkMWV4am9OUTBWZUJVRTR0b0JCYVNOYkQ5WjV4QVZiU2xsb0IxcWtkYkc4c2x5Y3lIRGJoQXppWldDNnFHWjlGSkFEK1lvTzdNSnByNUJQTmUyWmxIZXZ3T0ovRDFhY05ycW0zdXdFYnMzTlFrV3h0enNjb2VpQ2pIdUxmVjZJY1NnMXF6ejdKUEhmMVM1YmVOTWVSdzZ1MkpnMmQ3Nm5WY3c1SWJDeks1T2M1c2Z6dTVOeHJuQXFrV1FqQ3l3T1pBUC9CZlVHelc0eFNLNEpDWGlPZ3g5WkVvZW9ITkpNdzEwK2g1TlB1QTJjSlNINFZETWh3UDVjZksvVnZ3OWRzbTZuTlUwSlNPdnZsVURsR01saXFoMTVqS2pZZit1ejFWZDB2eUZCVk9hZ0ZBa0xBNFc0SnU5MTVnRXhYZ3VrVWYzMWtWWmdiM0NFeWZZZDZiMEphOW9lRTFQak1EaXdZYnNkUVVPRGs2ck00eko4SlM0OWQzdTBQZ2FPVFlEZnRhZEhrbDVCRklGN08yYXpMSXhHc3pMOS9hQ2xoYUd2Tnp3UXZUamNYV2tJa2YxZkhvNDB1NVg5dUZpVGJTRzhNVGNzbTNyM3FUMWFFek52NTFEdUQvRHc1cFpMYUJ6S1dxOStWYXJCR0ZWUEtOcCtVMkVqbkJMQ213Tk1EcUdURTJDa1Fhc1NmdWhLcE9jL01mOW9WeDByb1l2VWtCWDdaWkxubUQwUlhWYkVoMjlVYmJDOWR4TWlVZzJLK1dGUDdPc2FCTnArNGNYODF4bWJyMVN6Uk9hRlNGWUFvL2FpLzh1Z1FFT0o5VDJ3eDM4aEVKb0krUktycDBwYkxxdStJMlBvdUVSWHcxRStKemRtcWN1N21ybGxkRnNvMTZkbTFDUGNQTWlJUDA3ODllVEZSSnR3T0psQ3Vzd0h4Y1JDdDM4azJNU2hFZ3dweExnRjEwejUzVlh5dzBNamNEbFZKbGdYVFFIc0ZvNXQyREpjaUphaHExc09IdDFIbXJrMy8xUDJwb01DdzBjTHNWelY4MHo4aW1rcFVWaUgyTVYrYVZleHphNlRmanlwMFBRTDBoWXFFUWtnbVlWSW9ySnk1VFRXZ08xYVVQVUI5aVZzR0g4dmZ5aWJmNllNNGo1OG40bGtqcFFGK3VIczQxZ1pWMnFUd0Y4Vm9aVDcyOHp0MzloYlVsSHpBcmQxaVRnYTAwalEwU1RHOXZST2pXNElFMEFFcTVvTm8xbFNMc0tMdTBlaGpLOFpJYUxad3hseFJsY2Z0eXJsZ1dXZzVKNDdzb0JtTHN4Mlh3d3dXejBVNkhnTitRZW9SN0JMSlhPbWtNc2pWc3hiV2J4bFc0QXNsN3JnaXVRbGIzRHZOSC85MWZNMGJlR3gvMTV5d3BxOHl0OHpNK2pGVU9ncTM0MDhKdSt1NHlKRkNIYVBsdXRlTXZ6ZmJtSlFXYlV1TzhzeENXdnJUR0xZcXR5ZzluMHRQM294ZW50Ym93c0ZuY2VnMFhHZW9wN0gwZE9pWjhJdlVaOGlzcWtYQW5pdWZBdDdQYkhFTE1TMHp3bGNjaTl2RG1QcVFwQm54NU5ZMkFrK1dTWG5FK0JraG1iVW92ZTRwYjZzeTJjRUJEY0xkcEcybzRPVzhhc2F1V0JtL1QyOTNYWEdrRkRsSmttNjM0Z25aRHFRMlQyb0VVeEpOaHZDd2pDd0lWV3BWNEgrVmN0dllDWFV3MXVWazhDQ1ZiekVVY0xKK1RTODNSOFE1a2J3YTJsbzlsN3A0dDZNaEh4UmwxR1E5eUxVTWk1R2RYYVY2RzI3OFZWK1pmL0ZOZC96eXdOWnlBbGhHUUF2NVpSVVhZVVAxMUhVQTVWUzl5QW13Y08zbWRWemRIUHRDYUU0QkZudU5rRUFMVk9WOFh2UERaeTR4ci9Wa1dhNUd3QnFjSi9hUU5SZG5PSzdERlZhWG5uWUpZb0RnWCtaMFl2alpmejI5Uy9KcTJBdkx4M29yR0lGdzg1STZDbWQwMllIYnVHdGNwK3NsR2tOUVR1R3ZHbEszRkY4RGdlRzJYM2NKWjJwdWRVTTVyNExHZnJ6M3VvbXdlaUtuS1R4RXlDZzFDYXcvUTRSM0RRZ3hFNVB1TjNXWFcrZy9LcWdFaTY1bHVNOTdTNXdOUlh4azFFUDErVDhXeXdRS2ZkNVRXY0Faa1cyOWpVaStQTnQrOVpBeUE0c05rdUh0VXhNek5kTXYwak56SjB5a0pNdFBDcG10Q21uRklrREhKR3RNcGJXbnJTK3lyTWhXcmN0TWRoY0ZUbHViemExYnVRZjI0NHdJbHV5SVJxNUFseUlEejJtYmtvckpLclVuemlpYnVGZW55elRzRTZSaTZlSUR4T3hZSDROWEhSTHpoWklRay94ZUtnSVRPMnVOTDhmM3BqT3pjZ2dqOFBLN2w1dmt6cjE5dlN0SVFYeDBKYzI3RHZLT3ZMY2wvcHhBbThXZDhlNE5IRkJSa3JzT2R6TlN5S0pmTWp2TlV5M1lmeW9yL2JKeTI2RE9oYUNKbEF6ajFQa051LzZJbmVZK2E4OTJVWmJzaVZXbit4aU4xMHcraXpYcVVrSmtUMHpwekFqd1FYSDg0eDR4cElzUWd1b21XTGJEdzBMM3h5NFRrbFloT2IwdEx3aW9kRGVQY3JLRldMZHFKR20xZkw4NTNqeTJ1RkZCbFU3Q0d3aWtwYVlRRElPMnFrMHRueDJacktlcHRTeHI2UmJpKzMzQndLVXRwai8vWlZaTTJjRGVLVm52anNTbmdLYnFWb0ZUaGlDcFBMUXVQdUlZZktLZzF0R09OS2ljWkpYZm9ZOUlJRE1NNFZQWmpkOFFDZzB5MFJ0RThJamc4S0QxQzN6L2EzM1FPZE9odktPTEgwVC9GQnFZQzBWd2Q2dUZYdTNMU1FVaHc5OUdtQnkwWkdraEw3RGFKaGovSjc0MmdyWkxqa1BkWnBNTXJhN202WVMveVBGYnoyU3pnMjNneFIzSkdSSmpUNmtEalczd1dPVVczY1JRT2ljWHphKzR1RnRzK25wTGI3eVE9PSJ9&from=searchresults#hotelTmpl
North Carolina,Charlotte,Kasa FreeMoreWest Charlotte,87,303.56,https://www.booking.com/hotel/us/kasa-charlotte-freemorewest.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=721495906_309304982_2_0_0&highlighted_blocks=721495906_309304982_2_0_0&matching_block_id=721495906_309304982_2_0_0&sr_pri_blocks=721495906_309304982_2_0_0__83620&from=searchresults#hotelTmpl
North Carolina,Charlotte,Hyatt Place Charlotte Downtown,84,295.185,https://www.booking.com/hotel/us/hyatt-place-charlotte-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=57928211_93851988_2_1_0&highlighted_blocks=57928211_93851988_2_1_0&matching_block_id=57928211_93851988_2_1_0&sr_pri_blocks=57928211_93851988_2_1_0__81313&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Carolina,Charlotte,SpringHill Suites by Marriott Charlotte City Center,88,346.324,https://www.booking.com/hotel/us/springhill-suites-by-marriott-charlotte-uptown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=216368002_278524880_0_1_0&highlighted_blocks=216368002_278524880_0_1_0&matching_block_id=216368002_278524880_0_1_0&sr_pri_blocks=216368002_278524880_0_1_0__95400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Carolina,Charlotte,Homewood Suites By Hilton Charlotte Uptown First Ward,89,394.806,https://www.booking.com/hotel/us/homewood-suites-by-hilton-charlotte-uptown-first-ward.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=1019954910_374458528_2_1_0&highlighted_blocks=1019954910_374458528_2_1_0&matching_block_id=1019954910_374458528_2_1_0&sr_pri_blocks=1019954910_374458528_2_1_0__108755&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Carolina,Charlotte,315 LoSo Hotel Airport,84,276.987,https://www.booking.com/hotel/us/315-loso.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=950282003_371050135_4_0_0&highlighted_blocks=950282003_371050135_4_0_0&matching_block_id=950282003_371050135_4_0_0&sr_pri_blocks=950282003_371050135_4_0_0__76300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Carolina,Charlotte,Home2 Suites By Hilton Charlotte Uptown,86,400.854,https://www.booking.com/hotel/us/home2-suites-by-hilton-charlotte-uptown-nc.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=03486888ed190181&srepoch=1701874329&all_sr_blocks=546208808_197350609_4_1_0&highlighted_blocks=546208808_197350609_4_1_0&matching_block_id=546208808_197350609_4_1_0&sr_pri_blocks=546208808_197350609_4_1_0__110421&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
