state,city,name,avg_score,price,stars,reviews_url
Oregon,Portland,The Paramount Hotel Portland,87,290.103,3,https://www.booking.com/hotel/us/the-paramount-portland.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089600&all_sr_blocks=27130601_141274544_0_0_0&highlighted_blocks=27130601_141274544_0_0_0&matching_block_id=27130601_141274544_0_0_0&sr_pri_blocks=27130601_141274544_0_0_0__79682&from=searchresults#hotelTmpl
Oregon,Portland,"The Duniway Portland, A Hilton Hotel",75,304.367,5,https://www.booking.com/hotel/us/the-duniway-portland-a-hilton.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089600&all_sr_blocks=230135901_99949811_2_34_0&highlighted_blocks=230135901_99949811_2_34_0&matching_block_id=230135901_99949811_2_34_0&sr_pri_blocks=230135901_99949811_2_34_0__83600&nad_id=a4fb6975-561d-4ac8-a009-a99efd24d6f8_8&nad_cpc=1.15&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImRKV3lFNlVjUVRCYzZLY211eWlKR0J1QkFvaWl5NEljWmQ1VlU3djBHSUU1aWxaUFNsZHVaVHg1b2Y3V1c2SVhyeWs4TjZQZ0ZjeCtnVHBtKzQreWc5Q1Ftd2ZZbVlsbm9naVN3MjlYZ0pwMkg0dThwSmJsMFNZMkRuTFgxMFNFaWQ1c0dZdkFRclVjYnliVnk4RXNZc3lGQUtkUUpxaVU1NWlBY3lldzY0dmY4YSs4alFQRmtmaVU2TjQ0V2g1QUtaeHlvbElUenYvRmw1cE9NMEVOaWFOMG1SaUczd1Q3Y29qTGljL0dOYytla0tsaTVGYzh0RGFLMy91N1NJdjgvZkduMGlTazZEOFpLOFNPUUdxTzlBNlVCeDVaQTBEY2h3TVBqb3ZPK0RjNVJLT0NOMzJUa3hRNUNLOThQWUsxdkNmZXdscENlWlpMaEF6SGNYM0J4WVowR0xYeEh5bzI4RkNPbHZRUHVsMitNL25VQWRNbi9QaGpRcGNEemtJck9kczc5OG00UWVQWWxOZk5ETHhZcWU1SWZVT2tqY3JSSnlvOTRod3JUbkdIZ3JjNlZRbTNYeXRtUFBqU2RmVlRZdmhxdDByN24wOVFJT282aXVtVEpyczZhakJYMDMvNWRjVmtzQk1xT1pPaEY4Y29rOTNEZjJuSHh2dExKMlA4THk1VmR6R0QvU1NPU3l1YjIycWZPUnlFU1JxY0JvSmhYV2svTWc1SDBLZ29uR3NPWW9SSDRqa1l1eVcrd2p3SVNyUzZ0ZVRVSmpaMkYxYWFWWVJ1ajRIbHJ0dXdyOXVHSHh1aC9uUmF4U3dvcTc4OGlZMEdwUTA5eGFyMy9HQjZybmsrdThCbndJQjY3Rlc3WXF0TXM0eEM5VjRJbFZ4aENRTDJhOStBbi9BN29aT0xHQWt5OFdEYW9uSzJlaGlDVzR5YlkveWJhNSswZjFTTnB6NnladFhYTUdPa1psOUNPamxKdk1BLzMzQWVHMGhkZ0xFYktZVHZhdW9VQ0FQa0hvMGU4K0tTeGQ3R1NpRmdQV0JBUWNMRkRxM0tHREh4YnNIdmprb2g4UFBCaEtycmZkdzNjQ1VSNnVaTkNOQWFxRmtJWnRIWnlFbmpsSTRlQkdqdWIybUQ3YWNoWjFDbnZQbVpMb0RKOFZXTzFPQ2k0T2MzMlo1OWNxa2txalA3ZElpc2NORDQrNXVaZjVCTmxsUTZFVHhaZmkxWjVwTVMrY2JwTTlMelUzWTBGMWc5dEVpMVg3ZFVyQXY0a25wVWgwLzlTUkVRQU9zQ1dSNTMvVHdLcy9weFVQaU1rbTN4S2xOK3BNcWptSi8raHhqcWp0VGNXNGJ3SjFnaGs0d09nR2l5ZFJqdXlrUU5ubHhRYXVyOHg4dXZ3dGVlMGlkcjFJem9SZDVTWVFPSTIrQ0FiRndaWXl6dHhkSnlmWlFlRWxHS1p6ejZRNXVneHVjRWtNTjJKWU5nMlBlSDZ0RjNCaCtZMU5pUFVxK1pyalBrMUFuL2ZVM0tXNm9IbERoRTZZeDZ0cUVRdDJ1cjN6eEw0STdCODd5WC85dll0czVJdlN2ZGZHVlBPbjFWTVBWMVBObzR1cE1pRjdxY3BIWW1CZWpYZ1JvUmlrdnlLd3ltbWk0R29KQVVWY0prWFl2cEtLU2YyQ3VLdEtNZFlVbHUxU3VzTkQ0L2t1Y2M1NEZWNzd5OHE5MTlZZkhOZFZJaUJXdC9IWXlYN2MvMVFUY3ZTK1AzeWNJaXFoWVU5N2pBVkhLRHZaRk9ZLzF5dmZ3YUt4d0V4dDJtcVVYNDlZRlRwZWc0S2dZMElrVHJ6SnQxOCtkQkQ3SG10eExpeFNxZktVVG5pQWUrNzV6R1pvQkhtakxxWStRL0VLRU9XTmxjWVpxNytIejJlSjEyVmhEV0NIQnhicTNrOGYzblkzQjNyd3kxdC9BQ0JoWUdFellZRFBYLzdUbHpkL2lVOWhoaitveEc3djN0Yy9CVFFJVmpKWjVJRHo5MHBGRnY2MXlJVTlpb1RLMkFiWC9xcTNGK3N1WlpQMmxKMTYweHVjK0NUVS8yaEZTWkZjVjZwaFhNY3QvZzVqa2VuRkQxanlTSXI4cHhnSHJQNXBzYUZ5Z2RPQlRCV3BBV1d6ZGxpOWZ2S1o1T1haVmlYUG5TMnNXOU5XaHdpMjJBSll0UFlWdXQ3ZkRyM0k1dzBIVmZ6cC9EWnZhenhCTmV6NWJ3REtwdnc1Tm1INERadm1LMjU5ZGJSSHo0WHFnalJWdmNRQll4MlV1MFpGZnVQZ051WmVieDluU1kwVjZGc2U4Y2FqZFZzN0Noa0ZPbHF3ZjdFbmlEbUNtaWF1MFNjczl6S3IwL3hSMzNiQTBveGJiQjR1YzZNcElTeTk3eUxWVXNDR3RNQUw5YUZPZjVTdlR0WG1xaEQ4UllIMHBGSFp1UmJHYjJXUm1OT1BhUU5zWjFXTHRyZWV5a3U3UDV1MmdhN2o5NHhKL0Ivb3h3ak5tM1JvWTNhK0l1Vy94L0NXOUFOQkhWK2xGWU9qV2VRcnZlaCtnSGF6Q3NtamxISWRMMDlXNjFLSlZKRmNNMmhXRDRsWTczdzNCeS9Ebkc1QTlhcWVsYnZnMWxrR3JVS2x3T0tPbWoyK2NMcG5FNXl0S3hxalcrYlprWkcyTWFmLytpMHh2LytCUWJqMnZPRVA5VWRXSmJ2bllUWXUxWGxnZTZaVFhiM0xHaE1OUzBUc0ZKV0JPUGRkQ2Zvd3UvbmVsR1MxZzZLMFZVQjBCVyt6eEFOLzMvcDJlNlprK01MMU1kK29BMndVcXpITGlqTnlVUkF3MHBEM2R6L0JDZXVWSTBhdngxZ3dSampiMUtnYXNJKzhWblJGOWdxTGd1OW94OWJ2c0JwR1h2K2J2Z3hHZXJvTE5qRDJHVUlVWUs1ZmJyYlRDdmZyaW45Y1NqeWU4VTlpV2hneHpRcXNUYyttMnZPK2xnQ3hvZ0ZObGF4M0Izb0RRb2hRaWJHc1FMM1JoZ2xaYWE3RlZIWS8zTCtOU2tCOWFTdlpTK0ROWDhCSVdZRVFPazN2Q0hsL0t0NGZVWUpvSCtoa09oM01KMDE0RGV5cHZRWW1ZTEFqbzV1TGtxS1V4MEJLSHRTZ3FlYjZVeHdOUEtySkRGWTUzMHRQNDN0bUMrK0I4bDgzZFRONUFNY2tNSTJOamtQSGZQMGQwZVRjNkV2R2pJRHBYSCtMVWNjOXdSWlNuaFpFcERCaDZraUx2NU5FU0ZHTFBlOFYzYTJaUWVMT09oK1VQK2dlNWNjemVCRVRCbDFrWENVMDBIekhQZEkxdmRvYVZEMkRhQkpabGtSUXZQMWxNajFKUlYxSFdUaE4vZythY1Nlb1UreWFZYTF2Y1Y5WG42VnZUc21GMlBQY0tDQkNkeEl2TWI5R1QrY1JiNnR2M2RHWlJKeWVHSEZ6NmhucWczVnI5MjRGNGtMVE5vSVpuVFJOeDh1OUVkWVV4azJqNGkyNVlQc3NvYVJHL1hMNEpGdVFMTFQxa0t0bGUvakVmR3FvMkVzSng4ZTc1bGNLcWpQVS9JSkd5NTU4b1dRZjlqRUZNZDJCZ1ZkOWdCMXJpWFJUUmtzdlppdlkwRjY2T0lNT2JxNE15N2E4M2NMSk9QUDRoZ3VaUDlxSW1wMFk5Vk5HTExpcEw1TEdBT0JOdE02U2FkRlRnb1JjSnZtY213ZmRkWlhDUFhTM1Z4K0JxTmREeGl0MnRPdkhlRFRYZUs2Nmc5RnI0Vll0OFdpd3g3cXo5V2crOUdidldYaG9iMUpGaFZ0L1l6aCsxaGdRPT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,Hotel Lucia,87,212.675,4,https://www.booking.com/hotel/us/lucia.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089600&all_sr_blocks=30059401_363979812_2_0_0&highlighted_blocks=30059401_363979812_2_0_0&matching_block_id=30059401_363979812_2_0_0&sr_pri_blocks=30059401_363979812_2_0_0__58415&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,Hyatt House Portland / Downtown,82,319.545,3,https://www.booking.com/hotel/us/hyatt-house-portland-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089601&all_sr_blocks=190948102_106964741_2_1_0&highlighted_blocks=190948102_106964741_2_1_0&matching_block_id=190948102_106964741_2_1_0&sr_pri_blocks=190948102_106964741_2_1_0__87769&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,Hampton Inn And Suites By Hilton Portland-Pearl District,87,357.606,4,https://www.booking.com/hotel/us/hampton-inn-and-suites-by-hilton-portland-pearl-district.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089601&all_sr_blocks=243226804_102061586_2_1_0&highlighted_blocks=243226804_102061586_2_1_0&matching_block_id=243226804_102061586_2_1_0&sr_pri_blocks=243226804_102061586_2_1_0__98223&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,Park Lane Suites & Inn,80,274.058,3,https://www.booking.com/hotel/us/park-lane-suites-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089601&all_sr_blocks=24242603_201885995_2_0_0&highlighted_blocks=24242603_201885995_2_0_0&matching_block_id=24242603_201885995_2_0_0&sr_pri_blocks=24242603_201885995_2_0_0__75275&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,Hotel DeLuxe,80,245.114,4,https://www.booking.com/hotel/us/729-six-15th-avenue.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089601&all_sr_blocks=29661801_164402491_2_0_0&highlighted_blocks=29661801_164402491_2_0_0&matching_block_id=29661801_164402491_2_0_0&sr_pri_blocks=29661801_164402491_2_0_0__67325&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,Hyatt Regency Portland at the Oregon Convention Center,87,460.701,4,https://www.booking.com/hotel/us/hyatt-regency-portland.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089601&all_sr_blocks=567171303_215719135_2_2_0&highlighted_blocks=567171303_215719135_2_2_0&matching_block_id=567171303_215719135_2_2_0&sr_pri_blocks=567171303_215719135_2_2_0__126540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,HI - Portland Northwest Hostel,89,176.256,2,https://www.booking.com/hotel/us/hostelling-international-portland-northwest.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089601&all_sr_blocks=107858201_204281333_0_1_0&highlighted_blocks=107858201_204281333_0_1_0&matching_block_id=107858201_204281333_0_1_0&sr_pri_blocks=107858201_204281333_0_1_0__48412&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Oregon,Portland,"The Nines, a Luxury Collection Hotel, Portland",84,579.608,5,https://www.booking.com/hotel/us/the-nines.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=77b412bd36e1003f&srepoch=1702089601&all_sr_blocks=23622220_94355782_2_42_0&highlighted_blocks=23622220_94355782_2_42_0&matching_block_id=23622220_94355782_2_42_0&sr_pri_blocks=23622220_94355782_2_42_0__159200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
