state,city,name,avg_score,price,reviews_url
Pennsylvania,Philadelphia,Wyndham Philadelphia-Historic District,77,361.122,https://www.booking.com/hotel/us/wyndham-philadelphia-historic-district.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=18262817_375367952_2_2_0&highlighted_blocks=18262817_375367952_2_2_0&matching_block_id=18262817_375367952_2_2_0&sr_pri_blocks=18262817_375367952_2_2_0__99600&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Hyatt Centric Center City Philadelphia,88,754.571,https://www.booking.com/hotel/us/hyatt-centric-center-city-philadelphia.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=648371006_265759043_2_0_0&highlighted_blocks=648371006_265759043_2_0_0&matching_block_id=648371006_265759043_2_0_0&sr_pri_blocks=648371006_265759043_2_0_0__208116&nad_id=04130808-d9f4-44a2-ad1d-b795e2016cfc_14&nad_cpc=1.43&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoyeTBlRlJNSnZCcTE2aUw0V1phdEFQV1lBbGNOdlRLQkw3VTZkY0dUUmQxaXUzeE5hVHlBU2R4WlZUUGs3Yll6NTZiU3RIQ1prOVh4WVFYOE1aaVMxUmtCTzNQS0UxSGRkVE1LRlNmWE9UdWZablBlQWlkVGdlc2ZRNnREYm1IWHlIWDJCbjVyMWVpVUdaeCtkV0dsVTBqVU1DSnRQYXBrMVhxNGd3dGtPbUdMZHBpQzMwV3BQYUZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpSNWNoTHZKaEVWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNbmU1SVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMNER6SUVUU3NoT0U0WGdJTmRiZ20zbW1SLzl3TlFvYXk1Vy9QcFdwQnpIdUxmUnlQc1c3eXI2eXFOVEhmRjZ2Y3E0REx3NHh0bUpqMmQveGdsWXIrSlNCaE81YWM1NFAzdTVhM2F2Q3JGVEMzM2krSWNOTHR4allBRHl5bFgzbUtqMnhla2Q3WmxjU3FpVWFaaDU1NXcwWlo2NGhjSXFXdGhpTHdFcjVPS1A1SDdJd1pjQ2hqOVEwSVNtMi9RRmVtbnR3ME9rMjZ6UHNPclMzbWhoUngrU2RRRmliaUJVdUxRUWFyOWExbThJRW1qUjZuMStsaGdZY2c2N0FIVEdiSU9LaEs3Y2pJQTBaajl2cjBZSG5jUXdKR1VheVA0ZlRwc2U3NTVPbjA3VlVJajlPTE5lQ0drdG1Fa1ZWb0tyS3dxcHlYSW1OdEtqZXhBYVB1OW50V0tHMUpUYXRNRTN4YVh3dnhPdEg5N0FzR2VDVTV0ZUI0em1yMnFIc1owcmNzSVFPOTJDWjBaRkVJZmtxWkNTMytsNmpRVFFNZEtNOXJCblNnbnhYR21zV0pTM0JCQXpka1V6OUFyeS9LcG1jc0p5eXBSMHQ0NG9oWGt0YjlKQkFrVHJ1VDNvSEFoQ0RVYkRaMzhKZGlXSTVOdUtqZnZiNllWQWl2SmtEK1Z0dGFmSUttVTJhWDNFQVNKYmYzYTFxMUE4V2VwQzRqUVQ2amt0ekpmOUtybzh2WUt6cnQ4YTh4TDlBVEcxUXA1YjJ5S3hncTE3L29mbE5rMXJpbWttbGU4dGRCZkFUdHVEalVSRnQ2cEpYYW9zeFltUUJmSlNZL1Y5RHl3VXpzUkRqQWxjNzd6QUNrVVVNeG9hb0dvRmhSU3NOcTFFdjlqV0tPeUlTMXU4bGFDQXRXV3FzZ2FjT2k4cFpWVXhOZjRzakhJcGl2R1h5N0VVc1FETmFzTGhDd1RLa1RmSzMraFNNZVZJQjZCMG0zbndXS2QrZHk4YlNEUUsxUHhQVlVkakhzVEgrOXZ2Mk4vdWNNb2k0dkRvMmczME9WT3VBdnBwdlpFQ2hTeHR0VzhjSS9Xczc1aUFyTGxCSHpGU1kwVGp3YVVFMFZSUFpRWktLZVd2L2FSMFZINnRvTnBCb0dlUkpkcnNJaVR1MGVwRGNNMDRzbFF4UmU5eXJpZ09SZzR4NTVaeGV3ZXBrd25ZcTF6YXVBUEd6ZUtNUXJRakJPNW5abjBKODFoOXlQVzM4MHpWVDZoWC9qbTNMeCtXSXA5R3dyd09TbEtpTTMrOXYwQmw5OVRvdWhZU2dCMTNxNnl0NTdJV244c0NGRkNlUmZCN29kTUQ2TnZERlhtREVwZTh0aUd2MDYzelNNTDU5Zzk3NnFlbTBnWU83TE1OUkVISWtra2ZNUVlGb0ZCY0docG9BcTAxeWtzVzJieG4zK0kwcjZjeldFcmNwMkM4dUlZQ3l1VEdab2dSWmlRcERmR3g3czNHUWwwZksyMERHRE1ET29jKy80bUxkREJEUk45WkowSUpORDVubEpPNkEySzJvdFRUSEdrRlVucE1rN1g1ajA5ZThFaUtncjA0aE85aHJiQlRIeUoxVXFqb0g0RnNvc0l1UlZSQnVWeUFZRjBlbFZoQWpkNkdVK1hCOFFKNFgxcnlqcjhWcjRNSXNka2lzRWxKTVVNR0xVYTJrR2Q3SFY2clM3NjlONVlXaFFaRk1qbVZiZWpVMnp6MUg2Y01EVlRoQ2NnZ09DaDljVmRxYW14RUsybUZWejlxRCtpR1I1UTFzdHNFUERyMVlYb2VzUER3MHZGU3pHd3FMb3lWWC9Zc3ZiZzlOYkNmVnhSOFFKR0syUDc4Y1JnV3hOZ0Z4eG9haWhJVCtmLzJIcXJkbXVPYkFSeXNGRS91b2J4dTRQWS9CN1lGa3RBSDVLMUxtRU9QclpYbEZxMjVIVlhMc044OHYxYXhaZWNXNWRRaXdsWFNpakJpakttU1MxaHJIMXdIVHNMODFjSEhTa1JFL051TmtYV21LenE3WHBGaXg2UmpQOTh2dXpkaFQzQVEzY2ttUHRqWDVMZmlhcFRxV0ZvWVgwYzdWbWJXSTc3c2ZYV2MxK29weVZvVXdPR2NPWWJSZVBDUWdtUU50anV5eHpJWDAraHQxQTJOZnJZc1NKMnJPL1NhTjJoZnNxTVJ2SmdHMzMvV0wyYjJRZWp3MjJNeFNoZDA0cWx3alRDVHNsL2Mxc04vOEYzTDZ5dmpJWkdibEVkSXNSaXFBSTNjT2tNemtLMmlZWXpSWkowSjlnTGl4THlqeCtLLy9aSFZ4TVN4ZHoyZFVkL29zNlFXL2tMMlMrWklGMWxsczJmMjJhLzdRUDB6bjNGaXhSSWtRcllYWEFCbytvZXBnZG4vVWFMTXNySVY2aXNXenVLUE5kM0xsUTdOZUNkOFRubUVCbk5DeTVjcVVQclRxcXpZUGVOdkJCeXZoM0lJaTNPeWpVcU11TzFLM2dNaVV6bGxHQzlnaXVVTU01bGx0OG0rUGEzdHBMbnQzNkdZbEtBK0gzZHVEenB0ZWZ1WnNUUVBKTE9FV3lSK1N2czJRajNlWUVnaHV4ejZzZ0FjU0hCZmRJbXJvbktUeHdJSGRjWUZ1M0pTT2RTU0czUXd4SFo4dnhleE1aWjNaU3VtT2k4TDNSejllUFBFYlhqNHBWUDJPRjdIcEY0cnhmRTRzVVo1TW00RUJIcjllL3FzRk10OWVZODJ1c0IrMWxHVlQ4UWtDcHdrSUVCdnBtb1gyd2h6V1owS0llN0xaUmVaTDVkdm9KRVpscVI2emhmYlRVVEUzNDIzTmtCbzEwd1BsWFAwbDBQSWcvbTRpZk9ma1pkRjRPTU9FazJXVkRhTElVdHV1RmlvdTBCZ1JoZjNWWTNhNXlIL0Z4M2pIQnozQUZyVnBuNWZNSnEvSmxVRzBsdlVRZXRJeldWQy9uTFlFWEE9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Sonder The Heid,86,330.709,https://www.booking.com/hotel/us/sonder-the-heid.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=584734506_239710534_2_0_0&highlighted_blocks=584734506_239710534_2_0_0&matching_block_id=584734506_239710534_2_0_0&sr_pri_blocks=584734506_239710534_2_0_0__91212&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Sonder The Queen,83,290.986,https://www.booking.com/hotel/us/sonder-the-queen.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=568689404_238941827_2_0_0&highlighted_blocks=568689404_238941827_2_0_0&matching_block_id=568689404_238941827_2_0_0&sr_pri_blocks=568689404_238941827_2_0_0__80256&nad_id=04130808-d9f4-44a2-ad1d-b795e2016cfc_3&nad_cpc=1.47&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxemsrTVM4TnZCcTE2aUw0V1phdEFQV1lBbGNOalRxcEc0azZkY0dUUmQxaXUzeE5hVHlBU2RCMVRSLzA3Yll6NTZiU3RIQ1prOVh4WVFYd0piaTI2UjBCTzMvbUMzM05kVE1LRlNmWE9UdWZablBlQWlkVGdlc2ZRNnREYm1IWHlIWDJCbjVyMWVpVUdaeCtkV0dsVTBqVU1DSnRQYXBrMVhxNGd3dGtPbUdMZHBpQzMwV3BQWkZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpkN2NoZmdMaFVWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNbmU2SVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhLcG45WUUvZm9RR0k3M2NVWTg3cmhHSytVTEE2TXdFVXdaRDBhcFdqRkM3dk0rdHlLTVN5MktLeTU1N0JkMUNqYkxWVVlRNDdwWDFpeE1EeWxGY2k2b2lCeWFoWllwZ2QzLzFZMjZQRnMwaldsQ2FzTjlFRS9STGNEU0t6aVRxeU9DdWpOUWx4YjFBRHJUVlJPQTF5NFJBTUtQa3VjWk9RcGtqVXdCV29mL3o1Vi9VNGFkcXRpOVFpTml5cTkwMFBqRzFqZ2FwNTdqWHZlZWY3ejFVRW52R0ZBVkdkaVJscElBeFo3cFg2M0lCUTNXQXVuMG1sMUZoUmxLN09GeXFlYjdIb09LRXNkMGhYbmRmMXdJRDNiUWtHQlVtMkxvRGZvWXprOHREeHhyRVVjeklPYjgrSENGNTlGMFZWOVBXYXdyeHlIOEhHc2U2TmxST012TnpxVEx2dmFHeWhOVWJpYUg0b3hPbEc5NmQ2UnJXRzdNcVR2blR4MWFud1pFN1hwSWNWb0RUYzNaNVpMYUJ6S1dxOStWYXJCR0ZWUEtOcCtVMkVqbkJMQ213Tk1EcUdURTJDa1Fhc1NmdWhLcE9jL01mOW9WeDByb1l2VWtCWDdaWkxubUQwUlhWYkVoMjlVYmJDOWR4TWlVZzJLK1dGUDdPc2FCTnArNGNYODF4bWJyMVN6Uk9hRlNGWUFvL2FpLzh1Z1FFT0o5VDJ3eDM4aEVKb0krUktycDBwYkxxdStJMzkxTWRXQmcwbjJ0eVd1NjRVMVh2anQ0eE50VkNwakhhZVhmUWxNdkV2d2Z2M0VCdGkrWkpFZm90RVVXMGZjOTM4azJNU2hFZ3dweExnRjEwejUzVlh5dzBNamNEbFZKbGdYVFFIc0ZvNXQyREpjaUphaHExc09IdDNIbXJrMy8xUDJwb01DdzBjTHNWelY4MHo4aW1rcFVWaUgyTVYrYVZleHphNlRmanlwME9EZUJaZHJrVWxpbVlSTE5tY3k1U0JDMTYxYWhiU0RkakhzVGI2djZmM01hN1BNdDc1OG40bGtqcFFGK3VIczQxZ1pWMnFUd0Y4Vm9aVDcyOHp0MzloYlVsSHpBcmQxaVRnYTAwalEwU1RHOXZST2pXNElFMEFFcTVvTm8xbFNMc0tMdXNlaWoreFpJYUxad3hseFJsY2Z0eXJsZ1dXZzVKNDdzb0JtTFU0MW5RbDF5Sy9WYW5uTmVJUm9RREZLcHZJbkZWbjAwa25meWk2azJZSHAxVHBqbi9QaHF2US9aYi84Ri9jMDdlT3dPSi8wZzFtN2lvM2tzL3VRRVA1dmo4NTlKMjd0Y3lOVlMrWGYxdnFOY1Q0Y0xpT1VHSFVxUEl4ajN1L3BUZUpiYTEzZ2RyM29lMnRsTi85UVl3REdsNFVoMUxkYklkNkZRQWF6Y1FDcjA4anpZLzFhaG5OdDk4dnhmekRCNmdFM2owdk5wejU1ek9kb0ZVR3cwbGZlbXM3K0hLTmtGbkt6QXFaVDVHR29ZSHZ1VHFXR3hMYUl0RkUxb1pGQmRXNmVhdkdtUEw0K25uTEhGSlNrSWtpKzNwMndwRGlVV1QxdjBjdU9OcDBid3lpeTRkZXJGc001MWMxc0llVVd3OXZXQ0FTZjFhd1JVMFBNUC9FLzJKOFFJa1B4N3lpdnNCMzZOUjZPQVB4UjBCSFg4R0tUS3k0ZmQvYVhhdTI1YTlIajVlM1U4VnoyaUFhZXlRNTFqc0FwNWhSSERnWlBFWk5YeHRJU2RDZmx3UWYwV2RkMXRhQzRHTGY2Z051NTU1RlRieEVYODdpUHpJOXZCcm5XRVhDbzJzUXJOTjdmeGhOY1Q3ZWxWWWlGaUMyY0pja0dFNmdaMTRoamM2aXk5VzVJYnlIcTZCeHRmRExGM1JKTWREWmR4WGJHNzJScHNaa3ZCMzViQnowWE9XdEttNFR1U2dJQ3lxOWRwMTRtdVZsZU03NEpIWHJ5MlNzZ3hxbU5XR054QVBJaFZ1VS8vWUpjWHJ1bmk4dkI5Tm1ZMmV3eEtPcTZSK0g5MVNSdE9HNWo1NVJ6VU40TzNXSXBpS3dTTFhkNFNxWUdZUVN6c3ZBaTZ5SHZldFVIU0VrOTQwOENNZDVkQ0ZSSi9FZlBSNDVnMEl5ODhlbm5kU2kwUTRrUkRWVXVOOVhabXYwL3phZTJtcWk4L0J2ZDFEaDlPRGFudXVZZUhGdmlva2F5T1pxcEVSdGJYWGlqNjEyNFkrcFRqT3JtcTJXSlRlMFFwZGxSbVBMSUdWYmhJejhNM1RmYnp3WUwwUit4YnJ3TkRleW91am5TV051T2lSdHp5d0FJcUJpNXgzNzF1SE1oSXNaMEVwSDNQMjdLTENiTVZEbm0xYnlSY2NDOWRURkdoUWp2dXAwZTNPYU0rTnM2OFExeXB2MHRiWEdiSE9wR3ZzYlQ1Qk15eVJDZ2RtMzRzS0FjTysxOTJjWmROL1VIWGE5amNkaHd2MjFXclk0S0ZtL2tJL0poZ1VYR3RZa3JGbGZ0UnNrdDJPY2RudDlZek53K0hsclBrT0N3OTdNaWJSS2UrcG1ZRWVmYzZCUnh3ZlM0cEhmeUZpTUZ3Ums2Z2UwbGhnRllWbUdNV09qdytqbTg0dk5iWWRVMFlLRldDeUIwQ29NR1pKanRxeEFlYytRR3VXVGxjVGdjVE5VZmE1MUJuWXBES1hiWk9meURvdnhZVk4rRHZBSjNjeE5TdUVPK0xrRkg4NUhaSXJMNDBQMDJTa0dyMWtFdFFrbEFRTGczZUNsbmxPYkx4dkRNTFBLUU41Qis5bW1RUlU1NkZQNzNMMllVQ0l5MjJmVG5GUlFnRitxSDdSbW1hUXlyeWNwZmZpcWM1MXZQY3ZNMUhXakFLS1BHcWJ5UkRBaXloY1JuK0xBSmlmRWx5bkR4MVBSRkRhRFdQSXNtNElON2I0SHdqUlcvSlBqeHRyLzBLST0ifQ%3D%3D&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Apple Hostels of Philadelphia,87,252.379,https://www.booking.com/hotel/us/apple-hostels-of-philadelphia.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=18347814_187402922_0_0_0&highlighted_blocks=18347814_187402922_0_0_0&matching_block_id=18347814_187402922_0_0_0&sr_pri_blocks=18347814_187402922_0_0_0__69608&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Mint House at The Divine Lorraine Hotel - Philadelphia,89,528.108,https://www.booking.com/hotel/us/mint-house-philadelphia-divine-lorraine.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=897035001_363860013_2_0_0&highlighted_blocks=897035001_363860013_2_0_0&matching_block_id=897035001_363860013_2_0_0&sr_pri_blocks=897035001_363860013_2_0_0__145656&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Sonder The Witherspoon,85,363.838,https://www.booking.com/hotel/us/sonder-at-the-witherspoon.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=709511809_295779082_2_0_0&highlighted_blocks=709511809_295779082_2_0_0&matching_block_id=709511809_295779082_2_0_0&sr_pri_blocks=709511809_295779082_2_0_0__100349&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Easy Breezy stylish spacious space to enjoy,97,234.947,https://www.booking.com/hotel/us/easy-breezy-stylish-spacious-space-to-enjoy.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=1104710501_383291124_2_0_0&highlighted_blocks=1104710501_383291124_2_0_0&matching_block_id=1104710501_383291124_2_0_0&sr_pri_blocks=1104710501_383291124_2_0_0__64800&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,The Westin Philadelphia,84,942.96,https://www.booking.com/hotel/us/the-westin-philadelphia.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=5844624_98291594_2_2_0&highlighted_blocks=5844624_98291594_2_2_0&matching_block_id=5844624_98291594_2_2_0&sr_pri_blocks=5844624_98291594_2_2_0__260075&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Pennsylvania,Philadelphia,Residence Inn by Marriott Philadelphia Center City,80,565.613,https://www.booking.com/hotel/us/residence-inn-philadelphia-center-city.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=af0c7ba4f0770203&srepoch=1701797714&all_sr_blocks=26284201_94371985_0_1_0&highlighted_blocks=26284201_94371985_0_1_0&matching_block_id=26284201_94371985_0_1_0&sr_pri_blocks=26284201_94371985_0_1_0__156000&from=searchresults#hotelTmpl
