state,city,name,avg_score,price,reviews_url
Rhode Island,Providence,Omni Providence,83,543.663,https://www.booking.com/hotel/us/omni-providence.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=24141817_91468438_2_2_0&highlighted_blocks=24141817_91468438_2_2_0&matching_block_id=24141817_91468438_2_2_0&sr_pri_blocks=24141817_91468438_2_2_0__149760&from=searchresults#hotelTmpl
Rhode Island,Providence,Residence Inn Providence Downtown,87,495.628,https://www.booking.com/hotel/us/residence-inn-providence-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=551219202_201581757_2_1_0&highlighted_blocks=551219202_201581757_2_1_0&matching_block_id=551219202_201581757_2_1_0&sr_pri_blocks=551219202_201581757_2_1_0__136528&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rhode Island,Providence,Graduate Providence,83,622.076,https://www.booking.com/hotel/us/graduate-providence.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=269474903_106017307_2_0_0&highlighted_blocks=269474903_106017307_2_0_0&matching_block_id=269474903_106017307_2_0_0&sr_pri_blocks=269474903_106017307_2_0_0__171360&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rhode Island,Providence,The Residence Room #1 at The West End NEW PRIVATE ROOM close to Downtown,10,133.792,https://www.booking.com/hotel/us/the-residence-rooms-at-the-west-end-new-private-rooms.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=1110212501_383762151_2_0_0&highlighted_blocks=1110212501_383762151_2_0_0&matching_block_id=1110212501_383762151_2_0_0&sr_pri_blocks=1110212501_383762151_2_0_0__36855&from=searchresults#hotelTmpl
Rhode Island,Providence,Courtyard Providence Downtown,79,503.331,https://www.booking.com/hotel/us/courtyard-providence-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=26611201_91828782_0_34_0&highlighted_blocks=26611201_91828782_0_34_0&matching_block_id=26611201_91828782_0_34_0&sr_pri_blocks=26611201_91828782_0_34_0__138650&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rhode Island,Providence,Cozy Home next to City Park,10,394.439,https://www.booking.com/hotel/us/cozy-home-next-to-city-park.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=1059352001_382081696_6_0_0&highlighted_blocks=1059352001_382081696_6_0_0&matching_block_id=1059352001_382081696_6_0_0&sr_pri_blocks=1059352001_382081696_6_0_0__108654&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rhode Island,Providence,Private room and bathroom,88,115.953,https://www.booking.com/hotel/us/private-room-and-bathroom-providence.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=1080686601_380647309_2_0_0&highlighted_blocks=1080686601_380647309_2_0_0&matching_block_id=1080686601_380647309_2_0_0&sr_pri_blocks=1080686601_380647309_2_0_0__31941&from=searchresults#hotelTmpl
Rhode Island,Providence,Providence 4 Bedroom BoHo Escape,96,415.847,https://www.booking.com/hotel/us/providence-4-bedroom-boho-escape.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=1091838001_382761954_0_0_0&highlighted_blocks=1091838001_382761954_0_0_0&matching_block_id=1091838001_382761954_0_0_0&sr_pri_blocks=1091838001_382761954_0_0_0__114551&from=searchresults#hotelTmpl
Rhode Island,Providence,Washington Park Bedrooms - LongTerm,60,132.866,https://www.booking.com/hotel/us/washington-park-bedrooms-longterm-providence.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=1091347701_382029898_2_0_0&highlighted_blocks=1091347701_382029898_2_0_0&matching_block_id=1091347701_382029898_2_0_0&sr_pri_blocks=1091347701_382029898_2_0_0__36600&from=searchresults#hotelTmpl
Rhode Island,Providence,The Dean Hotel,79,519.972,https://www.booking.com/hotel/us/the-dean.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=32c99694985c0444&srepoch=1701897904&all_sr_blocks=73479109_164712648_0_0_0&highlighted_blocks=73479109_164712648_0_0_0&matching_block_id=73479109_164712648_0_0_0&sr_pri_blocks=73479109_164712648_0_0_0__143234&from=searchresults#hotelTmpl
