state,city,name,avg_score,price,reviews_url
South Dakota,Sioux Falls,Ramada by Wyndham Sioux Falls Airport - Waterpark Resort & Event Center,71,178.557,https://www.booking.com/hotel/us/ramada-and-suites-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=50200820_93762399_2_2_0&highlighted_blocks=50200820_93762399_2_2_0&matching_block_id=50200820_93762399_2_2_0&sr_pri_blocks=50200820_93762399_2_2_0__49186&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,Courtyard By Marriott Sioux Falls,78,342.694,https://www.booking.com/hotel/us/courtyard-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=26725901_274564014_0_1_0&highlighted_blocks=26725901_274564014_0_1_0&matching_block_id=26725901_274564014_0_1_0&sr_pri_blocks=26725901_274564014_0_1_0__94400&nad_id=8583f96f-f38b-4210-9fcd-b2e07ff490b7_1&nad_cpc=0.92&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZpZkdJRHNEc0I3NS9nY1hYM1pBMW1Qc1R4b2dSb0preEgwK3FMditMMnhjSjhRaWszNHJQWU1iV0lLRTVMZ2Roc1lZR0dSanpLM0pKU0RnN0ZmbzZxejE5SEhPRDdJSHBzM0JJcTJmYWNZTTIyTjhIcE9qZDU3OHZSajYveHRzR25YejdtMG5ZekROQWp0NDBsL1IwSW03Q01saTVqS2VBS3RDV3NhTnVIT1ROOWVkcnRoSll6Zk1hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZMeS9KbWRkRXBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83Uy9wY0tyRmsxTlNVZW1rR25vSlVCUUkvS1c1RExzMTA3Umkrb0ZHZFFYNnZ1Qmo0S0dLNkJvOU9Fdi93YVFPSFc1QjlpNmg5c1lwcGNaUXk2SDAxQUZNT1JxaEx2SFkyVnh1MFhCbW1MeDk5WW5CNUpJcEJKMnEvUVFyUHVjRVkrVnR1UGxGYU9OaHY1QmVWYnY5dkN3cXBUa01sdXVqM2JTV2ljREZPS3FMSlAzUkM5TVNiR2xRNURsSklqNnhWZEZrWHlJOU5md3o0U0lVc2cyMkd6T1d3VkNoNEVNaWpsTlZMcjQwb0x4WFdxM0V3TUMxMERjTllyTjRhZDdlQ2g3ZXhnYkRML3NsUWtRWU80Qnd5K09lRjcyM2dEMklOYWEzb1VNK0Q1NVh2S1Qvb3JzMXlHT2orMzJNaUkzc2RscnJ1UEUyQ1ZiVEZsWHE3TUtLWjFscHkwS2phZWk5QThWSnY4RThYN3htTTJ0NTRRQ3hTc0NBUElmYitsQlRBOUxSZEpjRXZBdU14OWRiTHNFSy9RMEZJYmZPeFR6aGV0dUlFUU1IVUFGc244VzlSVU9YYlZQVm5ZQ3NvdTIzdFdWUzE0Si9WRm8yYUJNZktQMjlmdDFiSSt1MUtvZ2F4eVl6SGNERXpqZy82TG42RC9WekNqeUlDWGM1Q2hXWkxqam55ZGFRRzJpMGxnVVUyNzBvOWFmWkpuTUdPVVlCd1ozVmZEWUxORS8rYjVVeXd1UE1pS2V4K1pQTjNaQVFWRjZ6QzVpem8zTHl5MTZRMndjQjBwYjJpWm9RMXZ5N2tWSmFVajBBOWJzeXdaMWJTOVRpVkQrWjRaU1N5dHhJZjRHRVpZa3Z3UFBqdlczUFZkendTcnk5a3dObVhlVU5zcXhQY0JzTEQzNFl3Y0NORGtCdUEzMlUxQ21hQ3RvQ3VmQkdRNkFWV0k4V0Qzbjh6eEJRWVVKeVl0YkE1S3RRUHZDSlFpRDNhT1l3UjE0S2h1VmhwU0tURXVwem5RQ0lIUlVvaU80aFZnenBMc1UwZWhoTVN2S3NLYnBSY1JNLzUwSFVrK3RYWk9yU3piaVJUT2tYdjdqRVF5Tno1QUF4UVduSlZOTzU0dGFlZkUyNE1LZWNFK3NSOVNyemo2Nk5FcjhvMDRiNEw0WHdFaUw1SDh2WlByNTkwYXN6T3BVYXNEZ3RFM2pPb2hSZzIzTXlrMmFvS1RHa1VlN0FPNVFMTUlYSDVTV3V4cmIxOEZsNWtPQnhQM25LdC9wcncyUHVQL295K08rQ0h5d01QWXdLVVJtUjFCQWJZaUVkSkd6M3NzU2ZSWE9uTXZlcjI2bC82OTMrSmRWQlRJZkR6UVY1UlBJWXpLaXpGUVd5S0RmYzJsMitUam1ISlo0Z3RLa1E5ZlJJMHh6SWJXUHl1dnF3RG03RmFsKzZYdEhjejBWanNxeVhiMThwcG9QdXNzaUdybUx2M3dTTG93NnFSRUk3USt6aW1lRDE3T3VPQzVRd2JGYUJaSVVvb1dtWHpGM1hQRmZqR09qdzF1dkZRMDN6TWw4MTRFcnVFT3MvTWJ2OGdicEVGQlNjQmU5NmY0K1QxbTZOV21xQmZvdzlyVEN4Y1k4MEFQdWhLSW1zbytFWUdhM1QzZENiZnp2ZkM5VjNDM0J0S2tSTHVhcW9HWTNPVVptbnpRd21BdHNMM0ZhY250OEVWYzVqYW5GMyt1UHd0SDJGZkFKbDFzd1pJSVErWHZ1czQ3cEhhdzNTMUVKdHY0dWlJNGhIL0F4YWVseko4eDArS1BpaGpFaDdqeGhQbmliTStOOG9MU09IMUREa2xTRDI5Vng0OHF6eFNVaGw5NnM2TFQxZXBRSEZSOGYwYVIrY0xxRnIzMVF1ZUkvQ2dNNVpya3dITGtPMHZRekVMVnR3dS9mZlhoMityN3E5dmsydm8zM0NvNlhLcE55WVJaeTJtR012eXVRK0hiTzhKaHFyK0tMVU1kQ3VFVnRUMnl5ZjZnbGtBblRlTTR5VVdUQnNOZ3RTb2VyN0dSWWIzZktEb2RwcmIrMU82RDQ1QTJTajJva0RLSUtYYkNHN2xVQTdSMXFaYXphbHF3NnVrR2JtNjBvREQxOGYwZDcybm1Ea3pGY3V4ZmtGY0xpZjNHZnlXWU9acU9na01ZMS90ZUNLTWc5ZTFuMzcxU2tKYXJqSnRDYW91d2huMU5TT2QzTWJFODhRVk4zby9qUVF2RDVzZWZnWUpjcE16akNlYU1vcWtsYmtOOHpxNDRjdDN3VkNycGlHbTNLM3JVbklUYVlDVElyMGdVUHhYcjRCaHkwS1dCS05aNDVuZ045Z2FyZXNNRjFwSGJRYkhXMnBiVG5zbTMvQmNnUGFkbm9wMG9WaHhMSGsrMFFlc05RUXJFeXpmWU1ocGEyd0tjOEl5MitJdkp1dm9IcUw0T0o4elRsazU2dzRHc1ZYbSt6WWZvN2tIZERaNjdrOEtXK2JmbnFFaUE0eW9MN3lmZVN4bUc3OCtTQ3czVncxT0kvRWhXcDBqZDFDZXZleDl6UUl5N0hzcmI2czkwSUE4QjRMaDNGVXZnUGlpaDU4eGdYa0NndFpxSmhlb1VZcDNnZ0hZZnhsRkdnelh2THZMVEhWREV5bUlIU0d1bnNkbERsMDZQbjlYMHRFWlZHVXc2cnlyTkd3SHBDMVpiV2dFN2RVUENhMy9sZFNzZkJqbEZqSlFnd1JtWWxPK3BmdzRtN1VBUVVnZDF5NWRJbkJRcEZmUjJOMWx1TEl5bU5BN3lyUURhdzgvQ20vNHNRWFoyQmdid0d1T21hVVN2Rk04bVQwSEZiZGFZa3BzMHBkczA0b25iRk4vaGdXUnBPcGhqTGl1NVRBN3JTMncyRFJqaG5hcWJHbHFBdy84bENoS2NvK0JSa2hlNmNVbVoxMFVWVW9yYXdyUDk2c0xSREtrREdaT2xiakRYOXM0MFI2ZUZseVNRb1diVVl5TkhKcldUZXc1eHlpem4wOThwQ1E9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,"Country Inn & Suites by Radisson, Sioux Falls, SD",82,361.981,https://www.booking.com/hotel/us/amp-suites-by-carlson-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=78493703_118129998_2_1_0&highlighted_blocks=78493703_118129998_2_1_0&matching_block_id=78493703_118129998_2_1_0&sr_pri_blocks=78493703_118129998_2_1_0__99713&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,Fairfield Inn & Suites Sioux Falls,86,308.207,https://www.booking.com/hotel/us/fairfield-inn-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=26726301_94378213_0_1_0&highlighted_blocks=26726301_94378213_0_1_0&matching_block_id=26726301_94378213_0_1_0&sr_pri_blocks=26726301_94378213_0_1_0__84900&nad_id=8583f96f-f38b-4210-9fcd-b2e07ff490b7_0&nad_cpc=1.09&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZG1jQnNUMEI3NS9nY1hYM1pBMW1Qc1R4b2dkdElVbE0yZXFMditMMnhjSjhRaWszNHJQYk83Q09MVWhMZ2Roc1lZR0dSanpLM0pKU0RnM1BlNHlyeVY5RUZ1WDlKWHhzM0JJcTJmYWNZTTIyTjhIcE9qZDU3OHZSajYveHRzR25YejdtMG5ZekROQWp0NDBsL1IwSW03Q01saTVqS2VBS3RDV3NhTnVIT1ROOWVkcnRoSll5WmNqYW1aVzhMM1ZNVHdWS0hQd3JxUXZXakY1QW8yckNMMlZFd2FLRUJnSm9xMmREL3FXOWVxUWc2TEY3UTBvZi9NSExMOFJtdDNhTjVLYk5jRWNyUjVlWkRXaHRPZGNreld0R2pGbTJ4eURoN3pjaHlqVVRnWjhTTE5LRE9LaGNoOFZHN3liQkpzb3RhZ2QrYjZieitaMmJiMFJOTVlLNWtwWHlwaUNkSnNOdjE0eGdxSnFNLy9YTjQ0a2Q0UjhoUFNRQnpBaTN0b1ZNRjQzTFVZdk1ybEluVEdQNUIzRkFFZURvR0Q4VUdxK1M2WjJYcS80TlF1aks5a3c2djB3M084Uk9ieCttREFFWVFJL0wra3o5QllPSGxLcENWQzNWaTV0S2hCQmJjTmNjaSt1T0R2ZjhhRWdzQnBEZDB4M1lhbCt1VmFZTXJ0YkVsZlFFMlo5cW9EdkNYWE9kUUV1QXRMd08xaFc0TURyWGtraGJubzh3djFVV0VGN3FQc0lQbkMwWk5BSnhtamo5S1h3TEJrcGJZaWp5WlIrbjdBMWRuaS90eWtZRkdGVURPYzR6Y2QzSXArMmo0KzVuSUcvenBrdytUYzMxRFFtaGRieDNtanRNaXQwWGFXWURmTE8vNVczRkRxUm1za2VMSXpPaG41Ykhsb29xcmJ5S0UyeUNlM2M5UWE3TlBxMHd3SjI5T0dUTm50UWlVWnVpRTVlMWhUOTlwWjhMR1ZQa0hBdmViNlMyU0hZNUtFMFNJUUNENzRzL1BPUDFGTE9UamhCWktiRUV4Z1dodjR4V2F5bGZVNHVxRkk4ZGRTMkljQmJhRThVMm5pNE9Ieng3Ty9zS29XS1ZJditQMjVHeWwrOXY5dzNnMmV4clpqTGNFRno5eE9hQmtlUHNWVGlyeTQ2ZWQ4YnlGSjJ1bm5hUmRnMjZ0VTlzVFZiNTFabGtiSmg3RmpQZE1Sa1V6a0h5ZHJkUzQ3YjNTMjFqZWQyRmVocVNQWTNCRmdWRjZ6Q3RuVDQzT0dicXRrbnZOeDg3ZUcyVThGOG83cGtRTVpncjlCY1A1aVFPOTY3OGVqaGsvcHRxQzJ6MmlaeW9hMEExOXM0VWZqRE0xcGhEc2lhNWo4VWhZVENJRTVFdzRQTlRwNGJack1sYVc1bTBSYkFqelVCSm43Mnc4WExEV2lOcFRnWEl1bWJ2Z3NTOFRWRWFQMlZ1SVJGWStWTDhIb2Q5V1dXR2FVczg3Nk56V0V4VFBETWlxM1dOUXNXVUZON0dvUlZ1eHNucURRcXJ6ZGYyYTh2WHFVOFFPdXAwVmg1ci9IMVNyeXpXalF1WWtpMzd3MUlzSXk1VlZsVVQzdEJFWjlKMUl2SFd5cFFQTG84d3RSMVZvM2U1NmNjcW90QXNZWnY3VVVoNWVOaW80OWI0N040UHFpSzVBUFJBeDVkMDBxMTFCazNvY0h4b0lZZlZWaEZkcWw3OEZmRk1FV3RUUU9COU9ReEV4TnhVWFY2KzBxQnk0T2RuYTdHaDhHN0RyaXpwemNhWm1mQlIzZzFKRWJnekROOFNrR2s2V3JvY00zY2hiTEcrbGE3b203NE1VQVhBZHoyQUNzUlhJNHVYZ0NwYVdTL1BJTUd4dy83djFqOWQ1Z1pBbjBSU1g0bG5tYzNaY25YNThGeTVxQW5oc3Z1L0U5U3ZGMTE0aVNPYXJkczZZTHNzbjFIZ01MeVZRYTA1NjdNQlpia28vMmpVQkdETnZlRG5Fd2JTVXhCV0hlOGZqblhFeWphRGFpR0N3VjU3dFYwMTAzc2x1UnBlN3FvSnV2VWR2ODlhOWhFWEM0ZEcvNkN1cW04cG90YXRweEhyeE4yRFZFZEF0RVlMcnhURnpvdCtSTkxkbFdpT1VPTG4wK080WFhDd0VkQ3ZSN09jeTRTZTMrUVYrbTNGempkcjRQeU9PSm02MkFJQnNUeWlCbm0xT3dvQWtCQ0JZd2d1bU5aUUE3RDgxTnc3cm5heHlpMUZVY25sekhadHlDYVRtdVBzNXRnL3k2VEkwRlBHanFEbmcvbTRKb2pkdDgzV09tVk5EVVZGRVNnZHlJTWowZ1haMEZ0NnVlV0YzZXBSQ2hOcWZ3blN2OVBqQzZqdVFyZkJ0MlZPNWRUYTdpcXdLMHJHMTBUZnR3dkdBdlhoMityN3E5SDFpckp3a0dWaEMrTUsrclYvbXpmQktQNmxCcjZORS81VnFxblRlME1MR09nVnIzSHYyZWo1MTBrbVcrUVQwd21MRHMxdzVuQlA0ZXI3SmVMUE1EUU45ZXl2bXJYcHA4OWJESER6ckRXTEZXcjRGN3dwWGZkZmc1ZXhWRlQzbzZCSFBDbUV2Z0grNWZBZCtXbTNWaHVTTklNRnlCSVJrZlBXTEgvRmVNN0p5aHdDeitkUVNhOHM3K0IyMzR3ZjJZUzlqTHRDYjRtbmpGSUFGK2NwZG9NdzRRdG14WWF4Q0F1ZG9mV1RrWXgzdjhXeFFPYlI4b0kxYlFveWc1QTRjdDM3U1RhK3duMmhLMGFaMzh2RkxXM2J1VnhMZEJQaHJVOGpoZWpIS3BaazRHY0J1bHVuYnRzZjJ0K1dXcWpld3BTUm90R3pzRjl0UHZjODVjMThKVWxYQTA2cGFhVllFMTZJam5yRFkwVUs1UnpSN3NIZzRvakk3TE5FdjYxRk5vR1RpVWMzamNEaEFYdWkwNVR2N0VlR1hzaTFpNURQcWFqbm9rS1kraUpJdTMrV1MwN1J1NWJCVEZpWWoxZUp1aHNHNFF1YWdHWG1QZ3QvUU1mZ1g0Nlp1WW9oYTFRTDVlNG9ReEdsWTM3cTZkUnRTbGlwL3RlTG51WUVKZmpvbVhVY21GRU13WEs1WjQvRkExYkkzUjliRkNyOTc2UkhuRmVKMkxDd3UwVlREbjA2aVRuZFMwbXVCbGxMWUFJbVJIL1ZjR21pTjJvRElTUkprS0lueGg3ZjU2U29KVVJ5cmdWWFhnMTB5NHBWemt0SFRieDJid0VtVVplcElSbmZyUUNkcHAyZTJyTmdGQ2dtQUJUd04vSy9iZ1BLUjVOcEFnMlFNNGFlaEpjTXI4VTRyT3lJU0o2c3lUMGljWmx3S3hPelVneWxMajlxUWxXcHhPSFFGVWlmK2VnbVJRckk1cUFmMzBhcmZWbU9rQTBrVG9LVTFMT3R0WkdIWE9KK1hOWHpOVTJXdEl0bkJmSEF3aVRlNGh2YWV6NTJCV0tKenVhME1oMVFlc2d2RXZIYmJSeGt3REFDYzFKdjNnPT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,Quality Inn & Suites Airport North,81,248.536,https://www.booking.com/hotel/us/quality-inn-suites-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=17270610_94311236_2_1_0&highlighted_blocks=17270610_94311236_2_1_0&matching_block_id=17270610_94311236_2_1_0&sr_pri_blocks=17270610_94311236_2_1_0__68463&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,Super 8 by Wyndham Sioux Falls/41st Street,76,166.573,https://www.booking.com/hotel/us/super-8-sioux-falls-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=50201603_93762406_2_1_0&highlighted_blocks=50201603_93762406_2_1_0&matching_block_id=50201603_93762406_2_1_0&sr_pri_blocks=50201603_93762406_2_1_0__45885&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,"Holiday Inn Express & Suites Sioux Falls Southwest, an IHG Hotel",83,288.52,https://www.booking.com/hotel/us/sioux-falls-3821-west-avera-drive.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=36355405_118829248_4_1_0&highlighted_blocks=36355405_118829248_4_1_0&matching_block_id=36355405_118829248_4_1_0&sr_pri_blocks=36355405_118829248_4_1_0__79477&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,Baymont by Wyndham Sioux Falls,72,170.33,https://www.booking.com/hotel/us/bis-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=41122916_93749959_2_1_0&highlighted_blocks=41122916_93749959_2_1_0&matching_block_id=41122916_93749959_2_1_0&sr_pri_blocks=41122916_93749959_2_1_0__46920&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,Hotel On Phillips,94,429.819,https://www.booking.com/hotel/us/phillips-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=494952303_377710030_2_0_0&highlighted_blocks=494952303_377710030_2_0_0&matching_block_id=494952303_377710030_2_0_0&sr_pri_blocks=494952303_377710030_2_0_0__118400&from=searchresults#hotelTmpl
South Dakota,Sioux Falls,Super 8 by Wyndham Sioux Falls,71,169.169,https://www.booking.com/hotel/us/super-8-i229-sioux-falls.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=bffc7a6b232e0236&srepoch=1701883485&all_sr_blocks=50205403_246080392_2_1_0&highlighted_blocks=50205403_246080392_2_1_0&matching_block_id=50205403_246080392_2_1_0&sr_pri_blocks=50205403_246080392_2_1_0__46600&from=searchresults#hotelTmpl
