state,city,name,avg_score,price,reviews_url
Vermont,Burlington,Hilton Burlington Lake Champlain,75,642.569,https://www.booking.com/hotel/us/hilton-burlington.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=4198602_94259084_2_2_0&highlighted_blocks=4198602_94259084_2_2_0&matching_block_id=4198602_94259084_2_2_0&sr_pri_blocks=4198602_94259084_2_2_0__177225&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Vermont,Burlington,Sonesta ES Suites Burlington VT,66,699.402,https://www.booking.com/hotel/us/sonesta-es-suites-burlington-williston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=26690826_361050664_2_1_0&highlighted_blocks=26690826_361050664_2_1_0&matching_block_id=26690826_361050664_2_1_0&sr_pri_blocks=26690826_361050664_2_1_0__192900&nad_id=ed3f0d58-ac08-4940-82de-8dd5203d295c_0&nad_cpc=0.89&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZldFTHN6TUI3NS9nY1hYM1pBMW1Qc1R4b2dkcElrMU4wZXFMditMMnhjSjhRaWszNHJQYk1MZUJMVU5MZ2Roc1lZR0dSanpLM0pKU0RnM0VmWWFweDE5RUhlTHlKWGRzM0JJcTJmYWNZTTIyTjhIcE9qZDU3OG5ZMlBlajZaR2lYMjIxaHlRekROVWw1STErK2hoVm0ramRsaTFxZGVZRXZTUDhiZHVIT1ROOWVkcnRoWlkyZjhhWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZMeS9aS1lkVXBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83VC9wSUpyRmsxTlNVZW1rR25vSlVCUUkvS1c1RExzMTA3Umkrb0ZHZFRYNnZ1Qmo0S0dLNkJvOU9Fdi8wYVMrdk44MUFvN0JSaWFKOFhNUXl3REZKQkN0eVJ2QlBtRDVHVmlhY1JEV2VIMmNRUDBoNURNWTlJeDdEVFZMTG5ZbG8rRzUyTWhWQ2NOd2o3QSsxY29NZldpZlJCaHRzaDhEZmZSSGFkRUJUZXVxUmRrbDYzT0NIWGtoNEl5b0VvN1FoSVdSTDlJc3BaMDI1TklSUnhuRDZ6Y1NzZEJnUUlOaWp6SWxmMzZRWmExV081bEFFRkJWa01PNElyZXRPZHRQWGc0T2htYVR5L3RoVXFETUs0VGtDdGRhMTd3M1lEaE5ORmZtY1NMT2p3cmlYRlJQczQrUmVNSnpheDJONlB3OFJ4cXJpRENXQ0VkM1lzR3ZYR09xOHEwZGo2SXlxV2lOdzlSNHo0VkkzNzNtMDIrdGdZQzEveUhBdkpmcitzSFN0OGJnSkpiRm5XcnM5dFliVDlCcitYamtFUmZmQkJqMVM0dTVBV09Id09Ec2o5RjVwSExYVENLRStaUk1ZdTNYaFlYbVltTmVOWDRTR1hJT2lTM2Ryc3c2WS82QnU2bDc0dUlDYllCVWpnaDdIVW4vdStWVHl0eW9LZWZZQ3BRcFdpa3plUGZnT3N0MU5hVUYyazA1QnhiYVJ3SURYQllFQmF5bFBLY0xCVDkvYStHejg0TDVUSmZ4YUVNSmFIRGc1RStHenVtU004TUMyajh4MnhZQndyYUdhSTZsTnZwczRTQnJnTDlEd3VpVkJpbVpuTk9UdGs2THdqR0M2cXhZVFBlSDhSOWZJdGJuRGdxWWR0MXhUSytQQXRYQnplRFlvNDJPWUxvN254NG9JWFE0NzFFUEZxamwxYmtiaTlwekdERlc1cVhrYWU0ajYwZzhhOVZCWUNOSGhnY1F4VytrcjhIb2Q5V1dTZFowRXE3Nk52UlVJQ1BDQWtyVHplQVpQZlE4UFE0a3dueXBicldCbW55TWJoZWNLQ3BWdEdaclp3VmhscnFTSlNySFNMamtlYndDbW8zbDU3TjJjUkV4VVNtNEJRS3BnOGJ2RE16SWNhUHA5NjZoVkFwbWU5c1lBNzg0ODRaNFhuUVJRd2FOTHZxNENtb2NvYnR5S3lWcWNDanNkODB2a3FSUWl6Tnl3amVzL1ZEVVFhL1JpK1RMSUZRV0pZUXVCakpBRVZtNXdLQkJQcmh1VTBvTFF4UE9Yd296R0svaS8weHRXVG5yY0hpMU1LQjc0bEJOaEV3eTl6V3VKRWV6UXZmYldxbGY2MTJQMWJUUlBFWVQyYkNaUUNkSXlUbm5CZFh5U0djNDJobXVxdTJYSWVyd1JCbkE1WVZZb3gzSnZMZEhXL293dmw2RkNpKzZQc0JkMnhCdzA2NW5iYS9yTmlPdnczbm1mbkpMcWtET0U2K0swYlpQRnYrRG14QVhITWtlcTlWQjNUWlJkQ0ZkNVN3bmJYMUN5Q0ltYWNsZ1p4dlVJdTB5VnVyVTBHcy90VzhPUU90ZDhScjBOSFJzdGMrNit6cHk1dys1dmhxeEhtenRiUERRUUo5MUFMcWhiZXhjbzJBNEdad2ovQ0ZiWG8yZlRlWEhlNUQ5S25XTHFFcVl5ZjF1TVg5bS9LdWkxMzk2REJaZC82NjBSSTRUYWxGbTYwSmhvTWp4RFNMRTl0M0pJSVErWHZ3ODQ2eW5hdzNTMUVSc25rd21SeDBITEcxcnEvMlk1cW1hV1BuQmlIeC9iL24vRDFhOCtINjRyRlAyUkhGRlJjRlNRQXo4eDgyaERVMTFjNTlhclEzKzVSRnhjck9FYUgrWlNqUjczbVZPR044RFVScnMvUnYyU2RFeFNYeTFqVTUxajVmZVBoakxXOHJNdjAydXNud0RzbUVQTVdxdXdvcUJmM1pMSCtVT1hkTmNseTRldVdMUmdDWGV3RnMzUDhpUEM0eHdSZ1RlQUN3MER1Vlk5d3Z6b1lzck9RWWJ6WUp5Y041L0s1MU8yNTZaVTJSektPcXp5WEtXN0JJYVVUWFAwRTV0cUVmazMycDdKSEtpbTBvd3I1NzlaUW9ELzJCRnpEYis1ZWtGWUdodURjUG1IVE5wYVZpMGxJaUtWUUVQZHBvZUJoekl0ZWh1diszZjBkTzZTaG1tWWJDN1V4ZU9VeDl4Wjd5WlBNVUZDSm9hSEEwSzFOdU5lMVNyVEovT1EzYkE0em5NSWdmTEcrRjN1bjNTeTVNejZYMFp2R0xYT0tvVkJXZWtQOXExWTFoZWpVY2NOZ3AzRUw5d3JzZDh0R2w5S1VGKytWMklIZXQ5dXl6UVFtSk9FeTVJb3FTd3NIUVFpemJlSVFmUWZmd1RuQ2VVOFdtRXFjN05LMjlzdUV2ZVVKcXF3R1Bjellsa282bGRhaVRTam5uWmI0OGxEQkNwbmd3SmVZNGV1dTdreUU5eThMOFNMYkIwclEvY1dSRFFETDBRekJ1a3hTc0ZYT3hpZTRmUkovUTlmb1NOalI2Yzl3UEI5U3JlNXhFMUQzTUNLZ3JKTjlDUmFpN05TVjI2RUhkYXZsaVVZVzJCd1R3VG5nTXY2V1F4dlgzVlFDUVZ1dXIrbFluR0dleEorejlSQWVIMDRubFNmTU5oRDVGMGRIYXc4clJISEpiRVNsTUcxWVVtdEZobzBnM1JPWXBlV29BbDF6L2xZREFVSXo5b3BWc3dVUERQVUxaQXhnTk5MOGN4UDJvUmJOOWNqWHA3OW1Fbmh1V1Z5M0IrZXFmMU9aRTlvVURndVlZODdIek5BOHZ0d3k1N2paQ09PZ3l6ZG5Jc2M5WlNPaVN3anVlbTRxUDFtcndLU0RTd1hSeC9nbFRWeUI5TFpUeTFtME5BK2YyMU11WHB5bmtmWHQ1dGZSRDZZWUJZbnpJMDNRNCtNbVI3Q0RtbVBOK21hVExXNXFHOVNQVkRHZmxrSHZYWlhhSUdjR1dnPT0ifQ%3D%3D&from=searchresults#hotelTmpl
Vermont,Burlington,Starlight Inn,90,432.911,https://www.booking.com/hotel/us/starlight-inn-colchester.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=107933802_90475894_0_0_0&highlighted_blocks=107933802_90475894_0_0_0&matching_block_id=107933802_90475894_0_0_0&sr_pri_blocks=107933802_90475894_0_0_0__119400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Vermont,Burlington,Hilton Garden Inn Burlington Downtown,83,557.995,https://www.booking.com/hotel/us/hilton-garden-inn-burlington-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=129603001_98714905_2_2_0&highlighted_blocks=129603001_98714905_2_2_0&matching_block_id=129603001_98714905_2_2_0&sr_pri_blocks=129603001_98714905_2_2_0__153899&nad_id=ed3f0d58-ac08-4940-82de-8dd5203d295c_1&nad_cpc=0.5&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZpZW00RHRqZ0I3NS9nY1hYM1pBMW1Qc1R4b2dScUlreEsyT3FMditMMnhjSjhRaWszNHJQWU5yZUtLRWxMZ2Roc1lZR0dSanpLM0pKU0RnN0RjbzZzekY5SEcrTDVJSDFzM0JJcTJmYWNZTTIyTjhIcE9qZDU3OG5ZMlBlajZaR2lYMjIxaHlRekROVWw1STErK2hoVm0ramRsaTFxZGVZRXZTUDhiZHVIT1ROOWVkcnRoWlkzZU1hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZIMjhwMllmbGhOZk1Td21ZbjR2akdlSnMxM3hwSjV1WmJOb09iWjRJc0pzVmQyTURRSGdrYjJ1SjBmVHN6ZVRZZld0VnduVlNDdFhYOVlRYVd1RFRNWkNxS1ByTS9TcC9jRVhPL1A2bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V3VrbWtjT0IxVUVQTTR6WW9hZHRLeXM3ZWhpYXp1Mi8xZ21EbzIyUUFlbWJmbGoyM1lOaW9GSFkyOEhQK1QwbzJQZFUrY2w5MU9ESWk2Z3o4bU94ZDlwcHJDSURuMlplMkI5QXFuQk43QThtTmF3SnllSGtjWXJVSWpyUTkzanhtMDQ5SnNkQmxLMEJBZklkYmlsR3o1eUlRNVFkVnpCcjloNVphVHJBYTZXeUZrYWZQQmRnUnUwb29vZE5Ya0NETkxtRGN4ZkoycmJKRmVYQzhjajBITlFXR3RnTGVsTDcyMmNQZVNFMXRmc3dyRTg2a3FpbmFJZ2NqZmVCMFB2aTdtVGgrUDlWenloeUlLY2RvVzhYNU9qMDJxWmVoQzl2R1IzUjB1aXlvaDJRWmg2UFRpYWJrNEkyMVhJZTZ0TCtQR3BTeWN6TXBxYmJnT1lNWnZCRmhsWTVXSzhuRFF5TlRlNC9ncTJaZ284ZlhTVTV4VjN2cDB4QnEwNXd6c21pbEFWd3J5NFJ4aE0rWk0rRERmNnE0UEpRMzRvNk1CeWVRRGxwWVYzNGlUWnp0Y3hRV3ZRQTlrNnlPb1d0TDM4NllvUlRzanRHZTVrM1ZsUG5MMmdxanVUR1hOOUdWNlYvekRra01tNEhRNEtLWFl3YkF4VTVCdmtGWnB6Q0dPSVlVTnQ5N1J6V0V4VU9qTW1wVDdaQ0pQTlg4NlcrbFEzblpLOVdFZWdtdGoxY0pHRnZFSkZOZUk3R1Vodi9HbExyQ1RYaXhTZnh5ci9qUVU4T1dsR0ZRTUZpSlJSTnBVM2RPM0d6cElMUDlsaXRoSk51WEgwdjljOTVaZ3RjcGo5UkE4K2RJbjNvSjJvNHM4SnBEVzBTNzBVbWR4eGxPRWhSUXUxTlNrclpNR1dDRllKNmg2alZxUVNXMlZEVStsbUtVY05rSndGQkJyb2p1VTBvTFF4UE9Yd296R0svaS8weHRXVG5yY0hpMU1LQjc0bEJOaEV3eTl6V3VKRWV6UXZmYldxbGY2MTJQMWJUUlBFWVQyYkNaUUNkSXlUbm5CZFh5U0djNDJobXVxdTJYSWVyd1JCbkE1WVZZb3gzSnZMZEhXL293dmw2RkNpLzZEdkJkNnhCdzA2NW5iYS9yTmlPdnczbm1mbkpMcWtET0U2K0swYlpQRnYrRG14QVhITWtlcTlWQjNUWlJkQ0ZkNVN3bmJYMUN5Q0ltYWNsZ1p4dlVJdTB5VnVyVTBHcy90VzhPUU90ZDhScjBOSFJzdGMrNit6cHk1dys1dmhxeEhtenRiUERRUUo5MUFMcWhiZXhjbzJBNEdad2ovQ0ZiWG8yZlRlWEhlNUQ5S25XTHFFcVl5ZjBlWVE4V2ZMdWkxMzk2REJaZC82NjBSSTRUYWxGbTYwSmhvTWp4RFNMRTl0M0pJSVErWHZ3ODQ2eW5hdzNTMUVSc25rd21SeDBITEcxcnEvMlk1cW1hV1BuQmlIeC9iL24vRDFhOCtINjRyRlAyUkhGRlJjRlNRQXo4eDgyaERVMTFjNTlhclEzKzVSRnhjck9FYUgrWlNqUjczbVZPR044RFVScnMvUnYyU2RFeFNYeTFqVTUxajVmZVBoakxXOHJNdjAydXNud0RzbUVQTVdxdXdvcUJmM1pMSCtVT1hkTmNseTRldVdMUmdDWGV3RnMzUDhpUEM0eHdSZ1RlQUN3MER1Vlk5d3Z6b1lzck9RWWJ6WUp5Y041L0s1MU8yNTZaVTJSektPcXp5WEtXN0JJYVVUWFAwRTV0cUVmazMycDdKSEtpbTBvd3I1NzlaUW9ELzJCRnpEYis1ZWtGWUdodURjUG1IVE5wYVZpMGxJaUtWUUVQZHBvZUJoekl0ZWh1diszZjBkTzZTaG1tWWJDN1V4ZU9VeDl4Wjd5WlBNVUZDSm9hSEEwSzFOdU5lMVNyVEovT1EzYkE0em5NSWdmTEcrRjN1bjNTeTVNejZYMFp2R0xYT0tvVkJXZWtQOXExWTFoZWpVY2NOZ3AzRUw5d3JzZDh0R2w5S1VGKytWMklIZXQ5dXl6UVFtSk9FeTVJb3FTd3NIUVFpemJlSVFmUWZmd1RuQ2VVOFdtRXFjN05LMjlzdUV2ZVVKcXF3R1Bjellsa282bGRhaVRTam5uWmI0OGxEQkNwbmd3SmVZNGV1dTdreUU5eThMOFNMYkIwclEvY1dTRGdETDB3ckJ1a3hTc0ZYT3hpZTRmUkovUTlmb1NOalI2c3h3UFJoWHJlNXhFMUQzTUNLZ3JKTjlDUmFpN05TVjI2RUhkYXZsaVVZVzJCd1R3VG5nTXY2V1F4dlgzVlFDUVZ1dXIrbFluR0dleEorejlSQWVIMDRubFNmTU5oRDVGMGRIYXc4clJISEpiRVNsTUcxWVVtdEZobzBnM1JPWXBlV29BbDF6L2xZREFVSXo5b3BWc3dVUERQVUxaQXhnTk5MOGN4UDJvUmJOOWNqWHA3OW1Fbmh1V1Z5M0IrZXFmMU9aRTlvVURndVlZODdIek5BOHZ0d3k1N2paQ09PZ3l6ZG5Jc2M5WlNPaVN3anVlbTRxUDFtcndLU0RTd1hSeC9nbFRWeUI5TFpUeTFtME5BK2YyMU11WHB5bmtmWHQ1dGZTQzZrWEJZTGhMVU9HOXQwS1FMYVFqM0xQNUQyTE5XNDFERHBDTkNGMUdzSWIyQTNMUWRjd0Yybz0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Vermont,Burlington,"Holiday Inn Express South Burlington, an IHG Hotel",80,399.192,https://www.booking.com/hotel/us/holiday-inn-express-south-burlington.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=18339509_94331821_2_1_0&highlighted_blocks=18339509_94331821_2_1_0&matching_block_id=18339509_94331821_2_1_0&sr_pri_blocks=18339509_94331821_2_1_0__110100&from=searchresults#hotelTmpl
Vermont,Burlington,Anchorage Inn Burlington,54,574.314,https://www.booking.com/hotel/us/anchorage-inn-south-burlington.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=164085001_198717147_0_0_0&highlighted_blocks=164085001_198717147_0_0_0&matching_block_id=164085001_198717147_0_0_0&sr_pri_blocks=164085001_198717147_0_0_0__158400&from=searchresults#hotelTmpl
Vermont,Burlington,Days Inn by Wyndham Colchester Burlington,66,404.957,https://www.booking.com/hotel/us/days-inn-colchester-burlington.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=27127816_93721426_2_1_0&highlighted_blocks=27127816_93721426_2_1_0&matching_block_id=27127816_93721426_2_1_0&sr_pri_blocks=27127816_93721426_2_1_0__111690&from=searchresults#hotelTmpl
Vermont,Burlington,Hampton Inn Burlington - Colchester,78,414.685,https://www.booking.com/hotel/us/hampton-inn-burlington.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=26027301_335340353_2_1_0&highlighted_blocks=26027301_335340353_2_1_0&matching_block_id=26027301_335340353_2_1_0&sr_pri_blocks=26027301_335340353_2_1_0__114373&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Vermont,Burlington,Best Western Plus Windjammer Inn & Conference Center,80,465.543,https://www.booking.com/hotel/us/best-western-windjammer-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=30571708_375882973_2_1_0&highlighted_blocks=30571708_375882973_2_1_0&matching_block_id=30571708_375882973_2_1_0&sr_pri_blocks=30571708_375882973_2_1_0__128400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Vermont,Burlington,South Side Inn - Burlington,74,479.98,https://www.booking.com/hotel/us/south-side-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=14f26d646a5e0097&srepoch=1701790418&all_sr_blocks=985871601_372641017_2_0_0&highlighted_blocks=985871601_372641017_2_0_0&matching_block_id=985871601_372641017_2_0_0&sr_pri_blocks=985871601_372641017_2_0_0__132382&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
