state,city,name,avg_score,price,stars,reviews_url
Washington,Seattle,Mayflower Park Hotel,87,441.959,4,https://www.booking.com/hotel/us/mayflower-park-seattle.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=27907901_257980433_0_0_0&highlighted_blocks=27907901_257980433_0_0_0&matching_block_id=27907901_257980433_0_0_0&sr_pri_blocks=27907901_257980433_0_0_0__121392&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,Hilton Garden Inn Seattle Downtown,81,564.204,4,https://www.booking.com/hotel/us/hilton-garden-inn-seattle-downtown-wa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=139359404_94597496_2_34_0&highlighted_blocks=139359404_94597496_2_34_0&matching_block_id=139359404_94597496_2_34_0&sr_pri_blocks=139359404_94597496_2_34_0__154969&nad_id=d0f4d34a-4603-4e3d-8c7d-1725375847f3_21&nad_cpc=0.72&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImRKV3lFNlVjUVRCYzZLY211eWlKR0J1QkFvaWl5NEljWmQ1VlU3djBHSUU1aWxaUFNsZHVaVHg1b2Y3V1c2SVhyeWs4TjZQZ0ZjeCtnVHBtKzQreWc5Q1Ftd2ZZbVlsbm9naVN3MjlYZ0pwMkg0dThwSmJsMFNZMkRuTFgxMFNFaWQ1c0dZdkFRclVjYnliVnk4RXNZc3lGQUtkUUpxaVU1NWlBY3lldzY0dmY4YSs4alFQRmtmaVU2TjQ0V2g1QUtaeHlvbElUenYvRmw1cE9NMEVOaWFOMG1SaUczd1Q3Y29qTGljL0dOYytla0tkbjRWQTF0RGFLMy91N1NJdjgvZkduMGlTazZ6UWVLY0dPUUdxTzlBNlVCeDVaQTBEY2h3SUNqb0xKK0RjNVJLT0NOMzJUa3hRNUNLOThNNGV3dXk3ZXdsdFBlWjlNaEF6SGNYM0J4WVowR0xYeEh5bzI4RkRmeS9vTDZnbTNaZm5SRFlaeS9QZ3pHWjREelU5NFB0cy9vOG5yRnJLTm5ZYVRWcmhZcWU1SWZVT2tqY3ZSTENFOTRod3JUbkdIZ3JjNlZRbTNYeXRtUFBqU2RmVlRZdmhxdDByN24wOVFJT282aXVtVEpyczZhakJYMDMvNWRjVmtzQk1xT1pPaEY4Y29rOTNEZjJuSHh2dExKMlA4THk1VmR6R0QvU1NPU3l1YjIycWZPUnlFU1JxY0JvSmhYV2svTWc1SDBLZ29uR3NPWW9SRTRqQWF2U216d2p3SVNyUzZ0ZVRVSmpaMkYxYWFWWVJ1ajRIbHJ0cXdwTkNHSHh1aC9uUmF4U3dvcTc4OGlZMEdwUTA5eGFyMy9HQjZybklndFlCc3paTm80RnUwZnYxVXVKTmM0aEZDazFkdkF3ZTlQOStLak84NnY0eUxEZ2c3NDN6YTdUaXdjUmFPUlpmTUxmeVJlSUMxWWt1T3NUKzdkTW5YZlNXbmQxbFFPeXBMdXNnNHdHd0tVQlpQbHFOVVk0N3JaL1FWRkVTd0RKc012S3lZek5uWFRURXJZM05MUjkvUVFmckZHU2ozZnBHd2poVnd0NnpCek8zamNjWTdkQ1VIL2VOUkFweEx1RkVkYUpmU3lrWHJrOElHSEQzdWJ6RFA0S2NsWlZldTliU1ZMTS9IL3hLRnpMUzYrT2M1MTh4L2I2RXh1VC8vZWM2MFo4emw5ZCtXZW9oY2dVTTdGeWRCY2lWUzRZNFA5ZEM0SzQ3MFhta2lYbFozc0VXa1JxMUN1dy9yaFNwTW4wL3pSMUlWRGVaRVFSSjQrRDhJdHU1L0gvU1ZpMmptSzBScW9OcTFuNDcvd1FEaGo5VEFWY244UGtJcW5va0NnbktwYjA3MndWa0J3UVVkSk9EL3o4UHFsNDdXMG5NK2dOcmtTY0pDWmhpZHpLZklMUU1aS1gybWdzeHlkNVJTU1I2T0ptVzNUNVdzemVzZGxzaDVmNWxxMTZ1WDUrOTNBQVN5eXNtUGVLQ0VxUldsa1YvMlBnYU5SYjROa3pORHB0UXU2S0ZhNXpQaHhqa2Rzc3FVL2FUS3U1V1dyOGhDdEREYloyVlBLSHRaSnJBNmQ4bHh4OU16SktLMnZGVWZCLzd2blNVcmhrckJVayt5eFNrTW1zdERSck54SExiaUJQelJzaE9BdnQ1bkNoa25oR1RoTnlnOWtmSVc3NGtRdXViMHE1WTdMTC9WZEVvOUQzQjBDODNDcm9iMUNXZHRBck9zbFpzc3NsMVh1cWZjR1NYQnM0a01PNzVtckw5SFl3OFN5Wmo0NmxMaC9ZeGZxL00yS1ZGblpGSzMzY0FsOHVFZEZMYTVyaEQ1eVNtREtBM2poRTYrcEovRkxkVkFuakRxTWVFK0ZPSkdINDRESnAycDZIci9hSWRxV2gzREZYWjBPUExtc3F2eVp6QW12MVB5c09RVkd3UUVGeVlSUmFxMzR5RWpQNnlRNEJwdis1MWQ5UHk5SUtWQVNJQmtKNXRTSFc4ODhGVjU2VkNKUXNPelJxdU5ibUxyNVNJcm8rVllPV0JNeUxwcS9JbUJSMGp5aTFLT0dOUm50UWpISW95MDZDRk0yUmIyaFRTQXV0czZ6QzdCL3NkVFdDY2RKeEhXUjRJVVJ5dGhuZGYvYnMwSUNOZzNCZXpLbTh5N05HUTNobVhEWk1nQUtCanI0dmJxMXBOOHluaGYzc1NRTU9hOXhoWlN5NVAzRGJaN2s4d2JGWVBsZ24yajNjcGZTR3J1VXFKbEdsT2ZGZ00xbVJxNE95cmtQVEZTZXYzTDYzQ1V4MGlKdTZsRFluUURwclRod1ViODZ4dm5BM3lQbVNpak9yNUhhTmxnWnZCK3hSWDNld3dxeUxERjRPQTdmTUZIeGNhaFpCWXRBbVJNSGJSWUV1ZjhYK1hzSFNUbUg4NUlIbGRHSEp1UVp4LzJVbmVKT3ZhV1A5SjRYYVZwZnUya3ViS1FvSGRpbzJVLzJadk42SnRyamMyd1JvUTJldmczU3Jjb1RuMUtKaERJK2xGWU9qWG5RcnF3aCtnSGF6RE1pQ1UvWjV1ZytHaW1OWTljQkpoOHdtRHVsYzIzalg1cDlTN0I1QVZEb2Y1Y3B3bC9qV1RPWVFrR2E3KzIzNmRhcmpKL3d0RzdyalMxTHM1ZUczVWFLYmJ6MHdqcC9oRVhrbmFGUmNvcll4dHo0VEVVZU93SHhVRzZjeldNZy9hbUlNUzBYOUZWU1EvRExJdjh5M3JjNDVnUUJnZ3BMME5hREZNZHJ5QkFiT0tvcW5lOEtBSE5JVXRNdnNjMnduQzVHY1h3ZXpVYkV3czBEWFp6L1JlUnBFSjFMcnQxZ0Q1cGlMMUhqbzB6OWRwblhGeGF0UDl4di8weUlzd1ZzeU9pb3Zxa2cyZW9tcjk5SkN6YmQxWUE5ZkQyYnpHdmY3V282TjdpamFRYitqNm9pVXlQOU1yRXJpVDdOdTl6UFJZMmFZd0xvUzhtanlVMG5sN1lTSUpDaVJWbWhxQ044SHBXT0xlTW5vdjFLTWVPcHNMOVhwQ2lTWmVhWEV6MnN1aUorN3p1c0x0Tlk0L213Z0Rzdzk0NWdNTFEwdG1WTkhCQVRIMXM5ZXh6UEZRMURhZnNSazJUWitad2c1eWM4dFBIZEpEZHB2c0dwV2FudmtwajVIaE9JTkJUTlVRazBjWFlNV3pGMzhkVkdJTEg5R2pVVUpYSnVQZ2JiTklUZHlIN1pFRkRBbDd5MzdYaFpSM1ZDYVBDNEVIZDNzOU5lZTI1cFFxNGhlcElkamVmRkRVcGhSUFdVVWtEem16TmRoS2JwYUZVeFNXVEpZNWlTQWZNalFCMXdKWlMxWFNOazRXdHI2RVVZWkl3dzZkUmllcENvM3VqR09peTAwNllDOGVMTkM1dmI2WlorR3ZpZlZPay9lN0tMNUZBK2VpWkp5V3FzYmxzSFBnM3RoVWlMeTVTTEpqK1ZjeGdxczBzYjF4VjZEVWw0TlpLOUkxT0ZtL2ROb0pac3dMNlJWaDM1UUtzbWxTVjc4dTVyWUZUYXBoOGNkZndhRUhRZWpiKytzNGFWK2hWRjBZaG1WSkdlY0JlalArS1FUaHlwY0JscUw5RW9mNkdLTG0wcThTZ2JNdlpIWkdUQThrcTZwM2w5OWZpMlpSU01tZjZpSTdMYlNwVENzTWR0bmVaRWpodkM5ODR6OHZwTTlrY0dpWGJYVTU5N21mZU1pOXJyR3BJdFhLU1ZHemNwdFU2QTVNSFlzZ1Foa3NtOEQ4UmpQeHFtZzhXZnNPTzhYelhHODFvMWc9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,Hotel Theodore,86,435.838,4,https://www.booking.com/hotel/us/roosevelt.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=24807624_91914689_2_0_0&highlighted_blocks=24807624_91914689_2_0_0&matching_block_id=24807624_91914689_2_0_0&sr_pri_blocks=24807624_91914689_2_0_0__119711&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,The Mediterranean Inn,86,432.307,3,https://www.booking.com/hotel/us/the-mediterranean-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=52168302_112859550_0_0_0&highlighted_blocks=52168302_112859550_0_0_0&matching_block_id=52168302_112859550_0_0_0&sr_pri_blocks=52168302_112859550_0_0_0__118741&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,"Crowne Plaza Seattle, an IHG Hotel with no Resort Fee",81,560.975,4,https://www.booking.com/hotel/us/crowne-plaza-seattle-downtown-area.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=18265312_118826020_2_34_0&highlighted_blocks=18265312_118826020_2_34_0&matching_block_id=18265312_118826020_2_34_0&sr_pri_blocks=18265312_118826020_2_34_0__154082&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,SpringHill Suites Seattle Downtown,83,412.862,3,https://www.booking.com/hotel/us/springhill-suites-seattle-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=26540801_246426935_0_1_0&highlighted_blocks=26540801_246426935_0_1_0&matching_block_id=26540801_246426935_0_1_0&sr_pri_blocks=26540801_246426935_0_1_0__113400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,Green Tortoise Hostel Seattle,83,174.902,2,https://www.booking.com/hotel/us/green-tortoise-hostel-seattle.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=18854920_334477439_2_1_0&highlighted_blocks=18854920_334477439_2_1_0&matching_block_id=18854920_334477439_2_1_0&sr_pri_blocks=18854920_334477439_2_1_0__48040&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,"Staypineapple, Hotel FIVE, Downtown Seattle",85,459.041,3,https://www.booking.com/hotel/us/r-inn-downtown-seattle.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=5875801_258665035_2_0_0&highlighted_blocks=5875801_258665035_2_0_0&matching_block_id=5875801_258665035_2_0_0&sr_pri_blocks=5875801_258665035_2_0_0__126084&from=searchresults#hotelTmpl
Washington,Seattle,HI - Seattle Hostel at the American Hotel,77,318.071,2,https://www.booking.com/hotel/us/hi-seattle-at-the-american.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=29566304_361411780_2_0_0&highlighted_blocks=29566304_361411780_2_0_0&matching_block_id=29566304_361411780_2_0_0&sr_pri_blocks=29566304_361411780_2_0_0__87364&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Washington,Seattle,Hotel Max,77,410.309,3,https://www.booking.com/hotel/us/max-seattle.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=276012d9a9b00075&srepoch=1702089654&all_sr_blocks=30087610_353330101_2_0_0&highlighted_blocks=30087610_353330101_2_0_0&matching_block_id=30087610_353330101_2_0_0&sr_pri_blocks=30087610_353330101_2_0_0__112699&from=searchresults#hotelTmpl
