state,city,name,avg_score,price,reviews_url
West Virginia,Huntington,Hotel Huntington Beach,74,249.085,https://www.booking.com/hotel/us/huntington-beach-7667-center-avenue.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=33845101_180222490_0_2_0&highlighted_blocks=33845101_180222490_0_2_0&matching_block_id=33845101_180222490_0_2_0&sr_pri_blocks=33845101_180222490_0_2_0__68614&from=searchresults#hotelTmpl
West Virginia,Huntington,"Kimpton Shorebreak Huntington Beach Resort, an IHG Hotel",90,989.419,https://www.booking.com/hotel/us/shorebreak.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=2820538_110645935_2_2_0&highlighted_blocks=2820538_110645935_2_2_0&matching_block_id=2820538_110645935_2_2_0&sr_pri_blocks=2820538_110645935_2_2_0__272550&nad_id=49af5b64-9123-47b0-985e-c0d033073de7_1&nad_cpc=0.67&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoyekUrTlNjZHZCcTE2aUw0V1phdEFQV1lBbGNCbFRxaEw3RTZkY0dUUmQxaXUzeE5hVHlBU2N4SmRSL283Yll6NTZiU3RIQ1prOVh4WVFYOExiaXk0UTBCTzJQYU0zM1JkVE1LRlNmWE9UdWZablBlQWlkVGdlc0NHNmRlT3pYQ29IU0tBbUpyMWVuTmRaUi9IRER4UzBqQlpXSkpHYTU4NkJhb2huOWtPbUdMZHBpQzMwR3BEYVZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpCMWVCSHROUTBWZUJVRTR0b0JCYVNOYkQ5WjV4QVZiU2xsb0J4cW1kTEc4c2x5Y3lIRGJoQXppWldDNnFHWjlGSkFEK1lvTzdNSnBycEJQTmUyWmxIZXZ3T0ovRDFhY2Ryam5YdXdFYnMzTlFrV3h0enNjb2VpQ2pIdUxmVjZJY1NnMXF6ejdKUEhmMVM1YmVOTWVSdzZ1MkpnMmQ3Nm5WY3c1SWJDeks1T2M1c2Z6dTVOeHJuQXFrV1FqQ3l3T1pBUC9CZlVHelc0eFNLNEpDWGlPZ3g5WkVvZW9ITkpNdzEwK2g1TlB1QTJjSlNINFZETWh3UDVjZksvVnZ3OWRzbTZuTlUwSlNPdnZsVUhsR01saXFoMTVqS2pZZit1ejFWZDB2eUZCVk9hZ0ZBa0xBNFc0SnU5MTVnRXhYZ3VrVWYzMWtWWmdiM0NFeWZZZDZiMEphOW9lRTFQak1EaXdZYnNkUVVPRGs2ck00eko4SlM0OWQzdTBQZ2FPVFlEZnRhZEhrbDVCRklGN08yYXpMSXhHc3pMOS9hQmxSMkZ1Tm53UXZUamNYV2tJa2YxZkhvNDB1NVg5dUZpVGJTRzhNVGNzbTNyM3FUMWFFek52NTFEdUQ3RHlweFpMYUJ6S1dxOStWYXJCR0ZWUEtOcCtVMkVqbkJMQ213Tk1EcUdURTJDa1Fhc1NmdWhLcE9jL01mOW9WeDByb1l2VWtCWDdaWkxubUQwUlhWYkVoMjlVYmJDOWR4TWlVZzJLK1dGUDdPc2FCTnArNGNYODF4bWJyMVN6Uk9hRlNGWUFvL2FpLzh1Z1FFT0o5VDJ3eDM4aEVKb0krUktycDBwYkxxdStJMnFrck5SSVhvZzFadjh2S2d4NENEdXFJUmQ0UytkZ0EydmNJZHBJY2dPdU5EVVloZEUyY1JJYSt4M1NHc3FiOTM4azJNU2hFZ3dweExnRjEwejUzVlh5dzBNamNEbFZKbGdYVFFIc0ZvNXQyREpjaUphaHExc09IdHhIbXJrMy8xUDJwb01DdzBjTHNWelY4MHo4aW1rcFVWaUgyTVYrYVZleHphNlRmanlwMFBSZTBaZi8wOTJnbVlUZU42YXk1VFVBQSsxTTBYU1VOakJzRFd1dXZ1aWJhcWRaNG41OG40bGtqcFFGK3VIczQxZ1pWMnFUd0Y4Vm9aVDcyOHp0MzloYlVsSHpBcmQxaVRnYTAwalEwU1RHOXZST2pXNElFMEFFcTVvTm8xbFNMc0tMdTBlaFRxM1pJYUxad3hseFJsY2Z0eXJsZ1dXZzVKNDdzb0JuN3N5MEhrd3dXejBVNkhnTitRZW9SN0JMSlhPbWtNc2pWc3hiV2J4bFc0QXNsN3JnaXVRbGIzRHZOSC85MWZNMGJlR3gvMTV5d3BxOHl0OHpNK2pGVU9ncTM0MDhKdSt1NHlKRkNIYVBsdXRlTXZ6ZmJtSlFXYlV1TzhzeENXdnJUMktZYVJ6Z3RuMnRQM294ZW50Ym93c0ZuY2VnMFhHZW9wN0gwZE9pWjhJdlVaOGlzcWtYQW5pdWZBdDdQYkhFTE1TMHp3bGNjaTl2RG1QcVFwQm54NU5ZMkFrK1dTWG5FK0JraG1iVW92ZTRwYjZzeTJjRUJEY0xkcEcybzRPVzhhc2F1V0JtL1QyOTNYWEdrRkRsSmttNjM0Z25aRHFRMlQyb0VVeEpOaHZDd2pBd0lSV3BWOEUrVlF0dllHVVV3OXJVRThDQ1ZiekVVY0xKK1RTODNSOFE1a2J3YTJsbzlsN3A0dDZNaEh4UmwxR1E5eUxVTWk1R2RYYVY2RzI3OFZWK1pmL0ZOZC96eXdOWnlBbGhHUUF2NVpSVVhZVVAxMUhVQTVWUzl5QW13Y08zbWRWemRIUHRDYUU0QkZudU5rRUFMVk9WOFh2UERaeTR4ci9Wa1dhNUd3QnFjSi9hUU5SZG5PSzdERlZhWG5uWUpZb0RnWCtaMFl2alpmejI5Uy9KcTJBdkx4M29yR0lGdzg1STZDbWQwMllIYnVHdGNwK3NsR2tOUVR1R3ZHbEszRkY4RGdlRzJYM2NKWjJwdWRVTTVyNExHZnJ6M3VvbXdlaUtuS1R4RXlDZzFDYXcvUTRSM0RRZ3hFNVB1TjNXWFcrZy9LcWdFaTY1bHVNOTdTNXdOUlh4azFFUDErVDhXeXdRS2ZkNVRXY0Faa1cyOWpVaStQTnQrOVpBeUE0c05rdUh0VXhNek5kTXYwak56SjB5a0pNdFBDcG10Q21uRklrREhKR3RNcGJXbnJTK3lyTWhXcmN0TWRoY0ZUbHViemExYnVRZjI0NHdJbHV5SVJxNUFseUlEejJtYmtvckpLclVuemlpYnVGZW55elRzRTZSaTZlSUR4T3hZSDROWEhSTHpoWklRay94ZUtnSVRPMnVOTDhmM3BqT3pjZ2dqOFBLN2w1dmt6cjE5dlN0SVFYeDBKYzI3RHZLT3ZMY2wvcHhBbThXZDhlNE5IRkJSa3JzT2R6TlN5S0pmTWp2TlV5M1lmeW9yL2JKeTI2RE9oYUNKbEF6ajFQa051LzZJbmVZT2F4OEdRWmJzaVZXbit4aU4xMHcraXpYcVVrSmtUMHpwL0FnZ0ViSE00eDR4cElzUWd1b21XTGJEdzBMM3h5NFRrbFloT2IwdEx3aW9kRGVQY3JLRldMZHFKR20xZkw4NTNqeTJ1RkZCbFU3Q0d3aWtwYVlRRElPMnFrMHRueDJacktlcHRTeHI2UmJpKzMzQndLVXRwai8vWlZaTTJjRGVLVm52anNTbmdLYnFWb0ZUaGlDcFBMUXVQdUlZZktLZzF0R09OS2ljWkpYZm9ZOUlJRE1NNFZQWmpkOFFDZzB5MFJ0RThJamc4S0QxQzN6L2EzM1FPZE9odktPTEgwVC9GQnFZQzBWd2Q2dUZYdTNMU1FVaHc5OUdtQnkwWkdraEw3RGFKaGovSjc0MmdyWkxqa1BkWnBNTXJhN202WVMveVBFcnoxUWowMjNneFIzSkdSSmpUNmtEalczd1dPVVczYzZLd0pqZlBISTFaWFp1WTF4YXQyNVE9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
West Virginia,Huntington,Ocean Surf Inn & Suites,84,307.426,https://www.booking.com/hotel/us/sanatra-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=5651707_291373761_0_1_0&highlighted_blocks=5651707_291373761_0_1_0&matching_block_id=5651707_291373761_0_1_0&sr_pri_blocks=5651707_291373761_0_1_0__84685&from=searchresults#hotelTmpl
West Virginia,Huntington,Paséa Hotel & Spa,84,978.71,https://www.booking.com/hotel/us/pasea-amp-spa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=169242301_379514825_2_0_0&highlighted_blocks=169242301_379514825_2_0_0&matching_block_id=169242301_379514825_2_0_0&sr_pri_blocks=169242301_379514825_2_0_0__269600&nad_id=49af5b64-9123-47b0-985e-c0d033073de7_0&nad_cpc=0.96&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoyeWtLSlNNRnZCcTE2aUw0V1phdEFQV1lBbGNCblM2eEs0azZkY0dUUmQxaXUzeE5hVHlBU2NSWmRSdkU3Yll6NTZiU3RIQ1prOVh4WVFYOE5ZeWk1UlVCTzJ2S00zbjlkVE1LRlNmWE9UdWZablBlQWlkVGdlc0NHNmRlT3pYQ29IU0tBbUpyMWVuTmRaUi9IRER4UzBqQlpXSkpHYTU4NkJhb2huOWtPbUdMZHBpQzMwR3BDWkZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYnZnV3J6ZXAvTExXZ0Z4RWw1TUUxdTVSMGVCWHFKQU1iT3hBSTVjRVFETHlXZHlwVSt4SU9aeThpdUJaMGo5N1MvSXAzWWpqYmFVRXJnWXVNcWJXUDQwOUdEdm83TkxaQXZySmNNcGU5YTBMTXN3Mkc0R3RDZThYMG1tQ3JRK1ZoWlZKTGtjem1ZSWVqRnkzOVlhd21jcC9ybEt5cXBzYVZPd3Y5TnZCUGF4d3B1SEF4bm9xZ3hnaG52SWFaaXZ3S09NeElsYmdHbWZ5Uzd3UFQwbjdwZjVRQzRSekNCaVdtam55cU1qZXRkQVp3WTFJVHRqUWRJQVp6K2g1TkorVW5hNUtMcDBqVTAwSHNjZks0UnZ3Z2RkNnQyNHRrSVQ3bXNFMVIzUzBvazZCbTZqanpPck95bWhoQ25MR09BVmVWamhCbGVVRkR1ODcyMjRGSmxETmkya3ZreTBjYzMvN0tGRFhZZDZubkphOStZMDVjbTlQcXpJQzNMa1ZhVEFXNU00WE90OXk3OE5QazFMbGRQek1XWjlxZFdRRnBBRXhVcytPYWlQd3hEc3pjc0w3QnhWYVh0OG4rVEx2amJYMmtjdyttUGp0cGxhNGVzSzQ1Qk9YU3I1VFVvbURzeExUeFlRR0M0TmxScml5QWt0TVhacWwrSldtditFdnRIR3BMSUxrcnZsaWNqWFZJQVdBYlkzT1VXbC9BMWc2NVRQZXJMNXVMcjQ3OStnODc0NXNqV2tGWStKSkIwblNsUVhkS0hoaVBUTGZROU5sWGxEa21KL0NPZnZmUmFoZDk2NFVXN1dGZ2Rlc1IzaE9hRlNGTEQ0akx4S2Rtd2c4V1pvMjIzeFg3aEU1K2RLMEM3ZForZGF2dXJzYXJqdUFRSEN4MzRaN1JsSUZub3pyR2hJTWRqRGpwdjFxd1NQTm5DcHdEMkpERkFtSngwcEJiUnVCOGFFa0VCbzZ5OUZVU2xVWVdsa2I5QW53ajBuVkIybEJkbjlyMlhaRjRReWdOdXdwbXBuYmFMM1ZKaTZwell6SWdYVHJ6a3FnVGhacEVXMDlWZjRzakhJcGpwMnY0K2tVc1hDNVU0YmhSeHpUdEhySGhzVU9SYnhGWW9SVXUzQ3dGY295SjNJS0NEMTc4YUJUVVY5aVR2bVQ5OXFxaVpQK0VaZHU0NlhFMGhHZEhRYWZDNG93L0tRSHJBbGRzUWNFYjZIc3JySDhqTzFWWHlBemZ3R212ZlVjcVNRT0ZDSUtBUGlPcE4xQUJDN1pvUGNZN1c2MFpmcnRjMW5qeElkZVBjUk5rbFZjRVBJcnF4MWpYeXR4dzdwNWUzL2Rwa3lsdWkySHBVcXpxTUtOSTlWcVphczZPd0FzczFRSjVMbWY3bEdNR3RGYnBpSHZEd0xQYjRaaXc5MXZhMTZhZDIvdHZnRVErdG0wems0QzJCMGJwdTM0dTY0RzVxTWVESDI3Q01BNnhZSUgxZTdPTVhHSEg3K1VuaXoyeHZXN1VNUGd1MUlLMjhhdjQzOUtzSk4xQlFUQk95UVNhS2RreVV3d0hzSjBVclh3LzNzYWxjUVAyc01vc3VLblRBN1lGMG5WcE9vR0V2aVdSazBrVmlobGRabTB6OUcvSHowM0N4RnZHVW92YTlwZmlzejJYSFFQYko1MFFndElBUTRQaEsvT05tZlR4K0hqTEdreGVsZDk5cmpjZ3hkZTVFRG1yN2dabWFKdzhPMWlDbjVKZXZWd0c1VkkydElPTVV3Z1BVQ01hRVVhbVZoQlhZTHVPcGpJc0E5eFA2UHY5Nk50bzRNTXFhMFdrQlJVSEI1VElGZWpnUklySVhibTI3NjlHK0lXcVhKRW4rSGxKSkdCd25HNFN4NWhmRW40ZEprTkJUUXBKU2REUHhFdFlrekZkenRPQytTV2QvQWR3L1pZTUFhVktUOExoUDNGcXYxbXhDUUxDbzNJYXU4SmhkQXRUZlhPS2xVNVZhWGp4ZHBBM0QxVzNMQXR0amRqYjQ0citKcXlYcTd0dythbVFGMkpKQmZIdkoxcU1IYTZHcjhCcDkwbThEM1RjWEtqcksyTVZyVzlHVUdqNE44OW0yKzllWk15dWJYWGp5WHE2elVMMmV6dmdqMEhJM0JIRHJLOWlOU1NFMTM5a2VwQWlYM2l3d3FQWHVsT0w1bHVNaXZmOS9NdFh3RTA1YWdpMHBqajJFKzdOL1RyUFhORkVpS1dYM1BTSDVLRVBRWGRpdjlNckg4WnRkR2tXTXZBVk5DVWtsUTRxNjdQdXpOdXp5QmRsRFVoZnJvc0VKMHJPK0NTYTBEaTYvWlp1WVUzOCtQV254ckNQYnp3ZzJPOUZtY004NXhZakxpU254L1F2czkvOEF4RDZsTFhMWm1ibEVkVXNSaXVHT0g5ZmlOU2ljRDNGYUM5VGJoRXhrT0dsYmllOHUrYmllSE1wTnk5dm1pSVlaK2M2dlZyaSt2UFh0WU1aeEFrSmhLZnRKcWpNSTBlM3VSYS9WY29aNk1qS1RrOW9zL2swYWpxYWVyMHZ2ZFFoem9qNHQ3ZmRhWEtwR3ZnYlQ1NWMzVDlHbjlhdjVjL0dhT1NvNEQ5SUpvT1pUM2U1aDhka2s3UDFDdkpyZWhMNjFzQ1cwMWxEV3BaaDRROVpzeFlvdEM3VUxTOCtkREV0b1Rka2N4V1gxdGpkaFk1Zk5iOW5ad25KYjZ3VW1VekI5YWZhd1dpRkNVa3hxSGIxdzBvUU1RckhOMUNzeXVuOTNyZk1ab1ZVbmR2ZVpDMkIyeHNhTDVVMDZQeEFiOXlNTitHZmxmam5SejRTYzdZaFR5cHVIS1hhVmZEdUlZZktLZzF0QmUwSG5jcGZjT2NGNGJnL0tja1ZQWm5kOFFDZzB5MFJ0RThJamc4S0FWQzN6L2EzM1FlUkx3RE5QYmowVC9GUHFZQzBWd2Q2dUZYdTNMU1FVaHc5OUdlQnkwWkdraHo2RjZCOGtyRXQwbjQzWmJiOGI1TXZOZHpiMUhPUFMvekRWZWlyWGlwMm0wcEIyTHk5T3lLNTNuK0FrQjZHUjMyU1FQd3NrdFNwZC9uR01IU1B0cXlpaE42TjRZS2ZnTHkzc2o0SHJRcTVRS2FsRnU4PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
West Virginia,Huntington,Hyatt Regency Huntington Beach Resort and Spa,88,1038.972,https://www.booking.com/hotel/us/huntington-beach-resort-and-spa.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=52276114_278417223_2_2_0&highlighted_blocks=52276114_278417223_2_2_0&matching_block_id=52276114_278417223_2_2_0&sr_pri_blocks=52276114_278417223_2_2_0__286200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
West Virginia,Huntington,Sonesta ES Suites Huntington Beach Fountain Valley,80,325.541,https://www.booking.com/hotel/us/sonesta-es-suites-huntington-beach-fountain-valley.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=26469408_295557243_2_1_0&highlighted_blocks=26469408_295557243_2_1_0&matching_block_id=26469408_295557243_2_1_0&sr_pri_blocks=26469408_295557243_2_1_0__89675&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
West Virginia,Huntington,SpringHill Suites by Marriott Huntington Beach Orange County,83,419.415,https://www.booking.com/hotel/us/springhill-suites-by-marriott-huntington-beach-orange-county.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=212336701_96288686_2_1_0&highlighted_blocks=212336701_96288686_2_1_0&matching_block_id=212336701_96288686_2_1_0&sr_pri_blocks=212336701_96288686_2_1_0__115534&from=searchresults#hotelTmpl
West Virginia,Huntington,Best Western Surf City,74,371.736,https://www.booking.com/hotel/us/best-western-regency-inn-huntington-beach.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=53430902_338217358_2_1_0&highlighted_blocks=53430902_338217358_2_1_0&matching_block_id=53430902_338217358_2_1_0&sr_pri_blocks=53430902_338217358_2_1_0__102400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
West Virginia,Huntington,"The Waterfront Beach Resort, A Hilton Hotel",85,1014.363,https://www.booking.com/hotel/us/huntingtonbeach-21100-pacificcoasthighway.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=31962403_93730555_2_2_0&highlighted_blocks=31962403_93730555_2_2_0&matching_block_id=31962403_93730555_2_2_0&sr_pri_blocks=31962403_93730555_2_2_0__279421&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
West Virginia,Huntington,Best Western Harbour Inn & Suites Huntington - Sunset Beach,75,295.86,https://www.booking.com/hotel/us/best-western-harbour-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=252c7572ebe700cd&srepoch=1701880939&all_sr_blocks=37967306_338215685_2_1_0&highlighted_blocks=37967306_338215685_2_1_0&matching_block_id=37967306_338215685_2_1_0&sr_pri_blocks=37967306_338215685_2_1_0__81499&from=searchresults#hotelTmpl
