state,city,name,avg_score,price,reviews_url
Wisconsin,Milwaukee,,,,https://www.booking.com/hotel/us/cambria-milwaukee-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=492578501_165894711_2_34_0&highlighted_blocks=492578501_165894711_2_34_0&matching_block_id=492578501_165894711_2_34_0&sr_pri_blocks=492578501_165894711_2_34_0__82523&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,,76.0,228.705,https://www.booking.com/hotel/us/hotel-west-college-avenue-oak-creek.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=49229906_246073155_2_1_0&highlighted_blocks=49229906_246073155_2_1_0&matching_block_id=49229906_246073155_2_1_0&sr_pri_blocks=49229906_246073155_2_1_0__63000&nad_id=bd5ab088-6ff6-4a78-9f88-237d32d7c249_3&nad_cpc=0.88&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZpZTJBRHNEb0I3NS9nY1hYM1pBMW1Qc1R4b2dSckpFOU8xdXFMditMMnhjSjhRaWszNHJQWU5iS0FJa2xMZ2Roc1lZR0dSanpLM0pKU0RnN0NmSTZxemw5SEdPZnpLbjFzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NTJGai9laHRwZWhYenptMW5JekRJTWhzWTEvK2g5Vm0rTGF5eWcrZExRSDduUDRQZHVIT1ROOWVkcnRoWlk0ZU1hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZUOStabVJkRXBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83VC9wd09yRmsxTlNVZW1rR25vSlVCUUkvS1c1RExzMTA3Umkrb0ZHZFdYNnZ1Qmo0S0dLNkJvOU9Fdi8wYVMrblc1QjlpNmg5c1lwcGNaUXk2SDAxQUZNT1JxaEx2SFkyVnh1MFhCbW1MeDk5WW5CNUpJcEJKMnEvUVFyUHVjRVkrVnR1UGxGYU9OaHY1QmVWYnY5dkN3cXBUa01sdXVqM2JTV2ljREZPS3FMSlAzUkM5TVNiR2xRNURsSklqNnhWZEZrWHlJOU5md3o0U0lVc2cyMkd6T1d3VkNoNEVNaWpsTlZMcjQwb0x3M1dxM0V3TUMxMERjTllyTjRhZDdlQ2g3ZXhnYkRML3NsUWtRWU80Qnd5K09lRjcyM2dEMklOYWEzb1VNK0Q1NVh2S1Qvb3JzMXlHT2orMzJNaUkzc2RscnJ1UEUyQ1ZiVEZsWHE3TUtLWjFscHkwS2phZWk5QThWSnY4RThYN3htTTJ0NTRRQ3hTc0NBVEtmYitrQlRBOUxSZEpjRXZBdU14OWRiTHNFSy9RMEZJYmZPeFR6aGV0dUlFUU1IVUFGc244VzlSVk9YM2RQVm5ZQ3NvdTIzdFdWUzE0Si9WRm8yYUJNZktQMjlmdDFiSSt1MUtvZ2F4eVl6SGNERXpqZy82TG42RC9WekNqeUlDWGM1Q2hXWkxqam55ZGFRRzJpMGxnVVUyNzBvOWFmWkpuTUdPVVlCd1ozVmZEWUxORS8rYjVVeXd1UE1pS2V4K1pQTjNaQVFWRjZ6QzVpem8zTHl5MTZRMndjQjBwYjJpWm9RMXYyWmtwSUpvMDYwa2pzbHhxNXAvNmFqVnQ5ZDhOVEJpRWlQYXRiR1VwemZ3YkdRbnlvZjVJOUFINzBmczBObVhlVU5zcXhQY0JzTEQzNFl3Y0NORGtCdUEzMlUxQ21hQ3RvQ3VmQkdRNkFWV0k4V0Qzbjh6eEJRQVVKeVl0YkE1S3RRUHZDSlFpRDNhT1l3UjE0S2h1VmhwU0tURXVwem5RQ0lIUlVvaU80a1U5eTVLK0R4dW1oTVAvY0pHYnBSVkhNUDUzSDBsb3RTRk1vbmZaM0VUQmxDaXFqRVF5Tno1QUF4UVduSlZOTzU0dGFlZkUyNE1LZWNFK3NSOVNyemo2Nk5FcjhvMDRiNEw0WHdFaUw1SDh2WlByNTkwYXN6T3BVYXNEZ3RFM2pPb2hSZzIwT2lnMmFvS1RHa1VlN0FPNVFMTUlYSDVTV3V4cmIxOERtSndPQ3hQM25LdC9wcncyUHVQL295K08rQ0h5d01QWXdLVVJtUjFCQWJZaUVkSkd6M3NzU2ZSWE9uTXZlcjI2bC82OTMrSmRWQlRJZkR6UVY1UlBJWXpLaXpGUVd5S0RmYzJsMitUam1ISlo0Z3RLa1E5ZlJJMHh6SWJXUHl1dnF3SG02VmlzOHFIdEhjejBWanNxeVhiMThwcG9QdXNzaUdybUx2M3dTTG93NnFSRUk3USt6aW1lRDE3T3VPQzVRd2JGYUJaSVVvb1dtWHpGM1hQRmZqR09qdzF1dkZRMDN6TWw4MTRFcnVFT3MvTWJ2OGdicEVGQlNjQmU5NmY0K1QxbTZOV21xQmZvdzlyVEN4Y1k4MEFQdWhLSW1zbytFWUdhM1QzZENiZnp2Zk82VjNPNkJ0V3JSTGVhcm9HZTNlSVM4Z1RlekMwMG82ckZjc1RzNTFKSTRpYXhFSCt6T3dNQXdFL1NKbDF0M1k4SlgvanUzNm83cm55dzF5ZEVUS1AydEdRNWwyREt3N2FveFlwMnkvcVBoQmFIaXJqeW5Pdi9aTnFhNlliYU0yZFdHMVJVRGlOTm00Z24wQUxkaUJCNHVLUGExK1ZjRkJOa1owYWY5NVQ3QUxyM1VmQ0o1aTROcVlLRnhnUHFiRTNHMjFuWThST25mZnZ2ak96dHZNcnkzZm9nMXljZ0I3SlZxcGRZdW1lSVpPbTlWdVBLSnNWbzc2ZkxkQUFZRy9nTnNteXF3ZUN1MTBzcVMrc00vMExmSHR0d3R5Z1l0cXlVZWFIY09EUVQ1NzN6MHVhMzFaY0hjVGl3dGdLQkVGN1FHN2NkRzZ3RWo0MjViMExyNU9kSFpXT3lxQVRGNi94TDkzSDJERTdEYS9GYWlFc0NrL1BJUGk2WlBKS1lsVWhVei9GQ0J1VWg1dkp0MllkaWpNZXpsUDFqZkpPdm5XSWZSdWt4TUtJait3TjM5WUxxVkV6Yi9xRytsNXBEdjlPeEIrakp0N1EvYXhGazFzSlVmTk8rVnphNGtHV3RKU3JKbkliRU1UekRza1pGSlFqNnB3QnFoYVdCY1pwMTVud1A4US9pTjg4SG1aL1ZGN2ZGellYYXJlR3AreDBySmZKL3Faa2xRaEljR0ZtamJOZ09UUWpSMWpIWmZnSkNtQkhNcjkyNHFaVEtvZjBWdjZrR0lzSFFtRWM5MjRteVd6aW95b2YvNVV6SEhaUDlpOG1MOS9qdnFVV0k4allHNENEVERRR083Y3lTRGd6THpSeUEvVVZldFUvYnh6SytlUUZqVGNxakZzalk2c3gxUHdGQTRxMW1GMFA5SlNTM3R0UTBSVm1nOVpUYmgvRWVaS2ZaaW5VZjJ3RmVpU3YwTi95Qkgwdk96RmcrUW1pbnJQUm9ta2VhMk0zczlVbFFGVWNnaEJiYkhBSCtBRnRCZkRNL2NuTC9ZSEtqZXlWWUd6RlFtNDhzeWhTZXJ0bWtPUll0N1YwZUVneDQ4THhGbFFFVEkva3dMMUp6SXNHL0p4bnl0ZzNiK2ZQUmlMODBTMnA0U3gvakRlTzlaRVdWS053N0FGblBjZGpWajRBNnE5dzc3N3JuQjh5Z21XNTFOTlYrTlNXM1N3SG1lRkFsRUZmNWw3YVZXVWlBMWU0aVd3ckl1UGxSMGhuNmVrU1oxbEk0WkllYzJxdnQ2TXpSQzZrWUY1M3pldzc3OGNnblVyYUhpWCtJdVdhTGNwTXo1SGpzdzJVek5pY1RPcGY0dXRVPSJ9&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,The Plaza Hotel - Milwaukee,86.0,315.155,https://www.booking.com/hotel/us/plaza-milwaukee.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=50169702_201454465_0_0_0&highlighted_blocks=50169702_201454465_0_0_0&matching_block_id=50169702_201454465_0_0_0&sr_pri_blocks=50169702_201454465_0_0_0__86814&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,SpringHill Suites by Marriott Milwaukee Downtown,83.0,439.403,https://www.booking.com/hotel/us/springhill-suites-by-marriott-milwaukee-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=151880801_94608413_2_2_0&highlighted_blocks=151880801_94608413_2_2_0&matching_block_id=151880801_94608413_2_2_0&sr_pri_blocks=151880801_94608413_2_2_0__121040&nad_id=bd5ab088-6ff6-4a78-9f88-237d32d7c249_4&nad_cpc=0.82&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZldVR3RUd0I3NS9nY1hYM1pBMW1Qc1R4b2dkb0wwdEcxK3FMditMMnhjSjhRaWszNHJQYk1MT05MRXRMZ2Roc1lZR0dSanpLM0pKU0RnM0VlWXV2eUY5RUhlYitKSDlzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NTJGai9laHRwZWhYenptMW5JekRJTWhzWTEvK2g5Vm0rTGF5eWcrZExRSDduUDRQZHVIT1ROOWVkcnRoWlk1ZU1hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZIeCtwT1FmVkJOZk1Td21ZbjR2akdlSnMxM3hwSjV1WmJOb09iWjRJc0hzVmQyTURRSGdrYjJ1SjBmVHN6ZVRZZld0VnduVlNDdFhYOVlScVd1RFRNWkNxS1ByTS9TcC9jRVhPSEw2bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V3lrbWtjT0IxVUVQTTR6WW9hZHRLeXM3ZWhpYXp1Mi8xZ21EbzIyUUFlbWJmbGoyM1lOaW9GSFkyOEhQK1QwbzJQZFUrY2w5MU9ESWk2Z3o4bU94ZDlwcHJDSURuMlplMkI5QXFuQk43QThtTmF3SnllSGtjWXJVSWpyUTkzanhtMDQ5SnNkQmxLMEJBVFBmcjJtSHo1eUlRNVFkVnpCcjloNVphVHJBYTZXeUZrYWZQQmRnUnUwb29vZE5Ya0NETkxtRGN4ZkoyclZJRmVYQzhjajBITlFXR3RnTGVsTDcyMmNQZVNFMXRmc3dyRTg2a3FpbmFJZ2NqZmVCMFB2aTdtVGgrUDlWenloeUlLY2RvVzhYNU9qMDJxWmVoQzl2R1IzUjB1aXlvaDJRWmg2UFRpYWJrNEkyMVhJZTZ0TCtQR3BTeWN6TXBxYmJnT1lNWnZCRmhsWTVXSzhuRFF5TlRlNC9ncTJaZ284ZlhTVTV4VjN2cWtXSHA0OCtSUmNqR2h1NXIzdWV4Wkp5YkJ2SzI2RnU2ZTZIRkFLOU5jUkJ4RHB2b01XNkFMdjJ1OEJXV3ZRQTlrNnlPb1d0TDM4NllvUlRzanRHZTVrM1ZsUG5MMmdxanVUR1hOOUdWNlYvekRra01tNEhRNE5LWFl3YkF4VTVCdmtGWnB6Q0dPSVlVTnQ5N1J6V0V4VU9qTW1wVDdaQ0pQTlg4NlcrbFExblpmb0RrNzBtZGowTDhPQnZFSkRZYkE3UWtsdisya2JxaXlMajBUSndDangyUU04T1dsR0ZRTUZpSlJSTnBVM2RPM0d6cElMUDlsaXRoSk51WEgwdjljOTVaZ3RjcGo5UkE4K2RJbjNvSjJvNHM4SnBEVzBTNzBVbWR4eGxPRWhSUXUxTlNrcVpNR1dDRllKNmg2alZxUVNXMlZEVStsbUtVY05rSnNOQ2hMcmh1VTBvTFF4UE9Yd296R0svaS8weHRXVG5yY0hpMU1LQjc0bEJOaEV3eTl6V3VKRWV6UXZmYldxbGY2MTJQMWJUUlBFWVQyYkNaUUNkSXlUbm5CZFh5U0djNDJobXVxdTJYSWVyd1JCbkE1WVZZb3gzSnZMZEhXL293dmw2RkNpL3FQckNOYXhCdzA2NW5iYS9yTmlPdnczbm1mbkpMcWtET0U2K0swYlpQRnYrRG14QVhITWtlcTlWQjNUWlJkQ0ZkNVN3bmJYMUN5Q0ltYWNsZ1p4dlVJdTB5VnVyVTBHcy90VzhPUU90ZDhScjBOSFJzdGMrNit6cHk1dys1dmhxeEhtenRiUERRUUo5MUFMcWhiZXhjbzJBNEdad2ovQ0ZiWG8yZmZlWDNLNURkaW5YcldFcTRXWTF1Y1crRyttd2lONXVyblNjdC9oNWtWZjlpS2hCbml6SmdjSWgxZktORjF0M0pNVVh1VHozczlmcm5hNjF5MU9UTW1PdW1wL2xuUFZ5YkM1eUlOampPS1hoQmlKeWJYeW4vUHRlZEtQL3AzZU8yeE1Ea0ZKQ0NJQmc5UWczUjNMd1I0M3VxamIzdWRUR0JzamYxNmYrWnF0RWF6d1UrT2U1elFMcU02ZHB3V2JZaHJBelU3RC9GVy9aZnZoZ3J2cnF0M2p5LzBnd0N3dEhlbE5zdlJMdXhhR2FyK29SZmJJTjlodjV1TFROVmxiSHVrVXFtdjcyZWl3MlFvaFJ1MEV5M1RZVXNOb3B5b2FzTFdKZkxuQU95UWQ2Zno0MytDLzRhRUFRQU8xcmlTeEdXZjRDYmNUVXJRYy9xdWlaVWZ6ditsSkpHaS9yZ3p4MitaS29XbnVIRXpCYmVoSGpWTWVtdW5HTUcrU1BaZVFnMTlmZytsSUd1dG41K0Z5MDRGWXZOdmlqT1VGWFlXM2dua0FGT2MvZHFNdzVBbHh6Nm5uWFZtYzVybll0b3hib01pdVZlYkg4cUVpY1JRMnp0bzRFTjJ3R1RXa3dYMmhQeVNaZ1liR0wyM2J1VnRMZEJMbnRrZHluZkNCY2NNNTYzd0w4d2pyZm9JTG05RGJHZUhEM3BMSnBOS0I1Um9oTHVvcXNaSWhUd1lTVDErMWUvVTlUZ1RUd3l6ZmYwNWFnRkxmLzRMcHA4WFZvdVlTcmI0UktzVGRtMGswbkpHNlJUYnAzSUQvOGtmS0I0UHd6ZEdBNnZhZ29VU0YraWNhN1MvVUFFZVc1YzZRQlF6TzFoTFA5VVJUdlYzY3dTR3JhQU45WGNmbERzRGE2TWR5TlJ0T282OXpCa0gxT0QrN29JVXNFVUs1OWRUVjFmTUZicUhqczM4YzJ4d09rU0hxTE9XUFRVblZ4bDRFZTJLa3JPbEZzVXFUellyMDdRaGZFRXNybmozbkNnYitGMUJNWmhVTmRuWE9YWG11UFN0V1hDeFlqcGczeGgrVHFPT1NORkExNWwwREhFeHovWWR1bUFnR0djODlhVXA0UDgveVBncmx0aGJXK01udG02eDFVMkJrUlZMNkh2UzlmMGlVRXVBb0hSYlhlOFRid3AwaHBkSTg0TGZVTzkrejJIWi9LTnN6S0Q2NVJRYnBkV01aQTBxMmo3eUpWd3VTMWZnelhGdlE3T0pJMGxuME9rK1UxbE12U2JHUm5MUDEvc1RXQ0tnWkJZbnpJMDNRNCtNbVI3Q0RtbVBOK21hVExXNXFmME9nZVR5WVRvN2toYXFtQmFFTVVnPT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,Hyatt Place Milwaukee Airport,83.0,233.061,https://www.booking.com/hotel/us/hyatt-place-milwaukee-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=50139108_335360085_2_1_0&highlighted_blocks=50139108_335360085_2_1_0&matching_block_id=50139108_335360085_2_1_0&sr_pri_blocks=50139108_335360085_2_1_0__64200&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,Kasa Westown Milwaukee,90.0,287.877,https://www.booking.com/hotel/us/kasa-milwaukee-downtown-apartments-milwaukee.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=656180701_269028832_2_0_0&highlighted_blocks=656180701_269028832_2_0_0&matching_block_id=656180701_269028832_2_0_0&sr_pri_blocks=656180701_269028832_2_0_0__79300&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,Brewhouse Inn and Suites,87.0,453.209,https://www.booking.com/hotel/us/the-brewhouse-inn-amp-suites.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=71295602_114177492_0_1_0&highlighted_blocks=71295602_114177492_0_1_0&matching_block_id=71295602_114177492_0_1_0&sr_pri_blocks=71295602_114177492_0_1_0__124843&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,NEW ! McKinley Beach Sunrise Studio,84.0,201.184,https://www.booking.com/hotel/us/new-mckinley-beach-sunrise-studio.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=1045488801_377435058_0_0_0&highlighted_blocks=1045488801_377435058_0_0_0&matching_block_id=1045488801_377435058_0_0_0&sr_pri_blocks=1045488801_377435058_0_0_0__55419&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,Home2 Suites By Hilton Milwaukee Downtown,78.0,363.84,https://www.booking.com/hotel/us/home2-suites-by-hilton-milwaukee-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=674510403_275713933_2_1_0&highlighted_blocks=674510403_275713933_2_1_0&matching_block_id=674510403_275713933_2_1_0&sr_pri_blocks=674510403_275713933_2_1_0__100225&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wisconsin,Milwaukee,"Ambassador Hotel Milwaukee, Trademark Collection by Wyndham",82.0,523.842,https://www.booking.com/hotel/us/a-milwaukee-milwaukee-wisconsin.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=255e8ef071bb0006&srepoch=1701893993&all_sr_blocks=5862511_223076674_2_42_0&highlighted_blocks=5862511_223076674_2_42_0&matching_block_id=5862511_223076674_2_42_0&sr_pri_blocks=5862511_223076674_2_42_0__144300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
