state,city,name,avg_score,price,stars,reviews_url
Wyoming,Cheyenne,Cheyenne Guest Inn,81,137.162,2,https://www.booking.com/hotel/us/express-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=33443005_372657032_0_1_0&highlighted_blocks=33443005_372657032_0_1_0&matching_block_id=33443005_372657032_0_1_0&sr_pri_blocks=33443005_372657032_0_1_0__37674&from=searchresults#hotelTmpl
Wyoming,Cheyenne,TownePlace Suites by Marriott Cheyenne Southwest/Downtown Area,82,350.277,3,https://www.booking.com/hotel/us/towneplace-suites-by-marriott-cheyenne.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=103228303_94578914_0_0_0&highlighted_blocks=103228303_94578914_0_0_0&matching_block_id=103228303_94578914_0_0_0&sr_pri_blocks=103228303_94578914_0_0_0__96210&nad_id=b1200530-9f22-4937-ae35-24e8f2bdc753_0&nad_cpc=1.56&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ijk0eWhzQlJ0OXlkMUJiSDNkZmtEaFhFSHRZUVYweUxiRjV3ZlpPVnlvYU1PaS92cmMzRUU3ZE1FZ1ZEUTZqd21xd1JMMUpFOVV4NEtEbk5iSUhRK29jTWNSSVpVdnNjcFMveU5WR3hhUG1Sekl3U3NVREx2azJOb3h6cFNxMXJieFFMZk8vK0RaV1pnbTVTbW5oekFEMFdmQ1Nldkk4eVdHRTRRZ24xVEcrV0R3cU9jZ1Q5ZHlsY1NsUThaSVR1SHhjOFhFSHdYWks0Znh1N0p2c2Q4UUU0dzZTeWVNUHlLL1ppR0R3dWh2THU5bVhrWFhyS0lsK3NtYWxxelpFYnd3ZjZ5emZYWWtLNkQ3cFlNeHRwaTBuU3JzZWZiUlBvenBVVWJrWTgyWmNiYXFWTVpuQjV6VnNLS0l5bG1VSHc0Nk9VZ3p4MmtOQndtUnhCTklpTXZVR2thaUpRbEpOMU9XNU9SeFNkVUNFMFQrMDFNa0RTZ1pONVVRM2U5ajR3MmFKeXN0S0Yvazd5eVE3UFZWZFo0aElPWXhFeGNrdGo4QmErd0ZmZnhDTkNEWCsvRDFWdVpGS0dWeXk4SEluRjRqaHBNL0lldlpvZkVraXZGUXBBV0NrQnJndjR0VnRHSldsRDBsakV6SmFZcHRyMUZXaGs2WGg3MDh2di8yTnVIcjlRcTFOZGk4TUFvK2lNTEFIb2JNMHptY3AxZDIwaCtYcTEzVEJIYWJCUXlncGFxQTY1RXptVDhZcVVJNTcyeG5ZR2F0a1pYRndzemQ0Vi9NYURMY1BWWFRTQVBTODR6d0paQ0pMcVJxU2hiTUNEY25Ma1BuTS9tWUM2MEc3ZzRnVGlvSHNzdUxPUmJZVU8ydWJrdkV3aVBVaHdDZ2NwdVFiWXBwbVJDc1BiOVN3UGxvV3ZtMlpzdjZoWlgwZk9lbmZXdWhWRm11a2Y3eXhyNmszNFVvbXg3MG4zWjdmTGNSRjNCMEZGUFB0RDNwR3VVMGl0TFVjVWFJQm1PR2d6ZWpiOWswZDZseUpnclN4SjdoQlBtMHQ5d2VKZFhaV21GcjB1RzZ3NnFXSlgzdjhlK3VlZDV2SVU4MGdIL0tSa0htWHN5ZTZrenptb0puWmdCMGFCNXpkdVF6cFNvcFU5eTBUVEVtSFI4REdPeXlJejZ0RTY1Sk1XVzZDRWF1THFKSmhYeFFtUUZONDVhL1Y5WEtIMjRvcjNlajdiSXAyQnQrRXgxdCt0T2FJL00xcUJWVllIeE92NzlpMFBuT0IyV1AzcFphSkZ4T0dWUlRIaWpTUFB0K2orYmF1Q3hvQzRvaVZwZDluWFBtbzJNdWdRS1B4ZFhqT1RYM05md1ZQU3M1N0YzWGxxRldraTlURGFxdlA2a2R0MEVQdTJrclZDNnRHbnNRRzJ2WmZLQlNFR0RISmhwUTgweHRpWnlXK3d4TnJyUU55a2x0cldqVEVYTlBtTUFOY01GM2orbmhTYVZDNU9nbDlmbEdONmtJM0c5NGUyeDBiN09KY3grSW0xRWNmRVVsTUdKQ3Zna3U0K1VkSTdpRmV3RVcrUGJwRzArYUQ4dWlXd3pIcUdJUlpyTlp0TjkwOVRwYUxDd3J1WjVsK1FjRzFoRGtzNmswR3FZaDNIV0VlK0lST0JoNE9zdEZ5bktBdVRsb3RuaW5aTHBEci96MWNFTzhyT2pLRjhKdnk0NTh1dUNGaEgxd0luajlJTzVYRjlpUEVYcm5UaE5kdmYvdkprRjhJeVgrc2hrSHJHK1JMK0hWMXE5YnAvdjc3VmpYN2Z0TmZTSDNXcnRuQUIyQzEvTXcwZ01VSWtUTUNnYkRkMGlQTnZONmZkdjA3ZnhmODQ5dnQ1ZjkzTkRITk9YUlR6aXpRclpBd1YvZVJIdkZCRTZWVlREa1hRNmUzdkZ1dXMxK0ttNHlNS0oyZi90UlAwdHYvUWdNWkQzOEF3WFNkSTdnZXk0bTBJOEFSdUgrd1pVNmF2S09nN2hOcUFIekxwWll6Ti9UaEpWUGVOSk4vaUVYZXVtZ2NzakJ5VHJNLzNrTmo0MHczd3BvcHhJdkxBL1Y1N1gzbDVMR0FQNkFLdHd0cjNPbjNLRG1iQU5pQUpGWEx6dk9BbUJpd0pVeFhDTVdUVGtWbE1wc1I0b0tydTlvbGpJOHNCdVZJM0dMZ3dJSnB4T0lGV2JsdWhTZi9qTUhGRWo5SXdlelZjUUd0Yjd6WXprQkZqQkQzVlFya1lES0U5UjFMYmhTSXlwWEovQ3pIVzNCWmJnSUx0RVZpVG45a3hISlUxcGt1Mmo4ZkZSbXBQR2ptUnJ5cHlCY1RFZHJMM05EVmdWOHZGZzM5bk9FREMwWFRQQmJqTzhqYUVRQVVJdFBlZVVYcWRpU1ExQ0FTTEQ2WUwxaSthNmUrUDMvbllBNWs1NEk0ZjJUY1lUdkE3ZGk5NTF2V2c2ZmhydUo0VDlZTllJM05GT2lMQWVqNVlZSWMxcXd2c2ZBRmFkVHVub2lzTUgrR255eGZwcnZoZ056c29FQVhqOW9ZWjljKzZmQXNxcWI5Z1VwSFdBMnlLMkNnWTFaVElzNEdTYkRPeEZhWE0xNmk0QmpKUW9OK2hPWW5OQ1IvMEhyNGVXZHVYMG1td1o1Q0l6R2xvc2s4MjRiMHFMYVhJeDBBQ1IzTEpOYXlIbXJyVjM5M1ZJQVpzTkhaVXhOeE1adVN3azE5QmpKdUJGbVpmY2ZRVHpxZVJFeFhRRkRCSmVSZG5vVmIza1RlUldLOVZlMkRnUmc2K0FYa2VhZS9nRGR4eDF6MjFSdFByS0V1VGNnUVVlN3pXNmk5WHAwMFRRUit0NHdRYVVJR2R5K21ReUZkWDVlQUF3ZjAzT1FpNnQrZGVhNnMzRzY3RlpvSjdIeVBua2NEakZ4OHQyWmcycFJKb0ZoMHBZODBTYzlMNnhUWVRReXlSZ1ZMK0dNWnAzYlRReERmY21sYVQ4ZkRoM0k3NUExMjBETElxTHlwMTFvbnVsOExpUk5xaHZYQjdvMUhXb1R6RmpXcGxoUWV6c0QvRVBUdExKTE5uOTFQTndZWno3MlZ4Y3VtQW9FZmdxOStvSVNFT24veE1VMGhvTHMrM1NkOFN4Q0dGTFdaSWhPTFZrSEk4UTNIVU5DN1gzZGZaZFE0SXFuZ0xoRjRVRER3Umd3SzQrS0VraTNwcEcraGZlMUFoNjhNaHNhRXNmeUNIZjhzbmwxNmRFdStaYzYxVFI3YzJXajVhVWxUaGFkSUtUY2dhdXFIdnVJbVdYT1ZBdDBnb3NOV3YrYS9LZlZGRHcvTGh1TnhpR0hGTmh3cDZtVzFxeHlMNWpHTlNScjlweHJLR3ZDTGZoVXhmZ0F6NldsckN0cUJnY29LS2VnUEpubjc3SGIvTjlRUXBNN040WDVRMmVTNnI1R2o2R25Db0pNaXRVUVVDOS8waElUT0pLUHdqM2IrUkhBTkZqVkVZZzg5RVZWbkJaSVFncHJaRWhzR0tSRjlRUkF1RC9ZWlpIU0h0U2NmOUhIZTNnWXRjN0c0TE1vMmQxOVNJaDRWbXltNDBOdkxqdnh4U1hCeFppdTllTlhwMXdxNlhiRS9Vci82amtHMHlFRXg5SW5RQkduZlBsY0R5Z1o0L2xudDc2ZGNsdnpvSStUQTBtTEg4b1g2TkhybXFaSVd5ZHNrVVZ6NTdkSndiWG9DYUlmZmViMXNlcEMvUm93S0N1MUdIcTQ3ZXlaTEZ6a3JqcWwyR1JqODMrbFJVMkVZS2ovVkVmN1l3S1pkY1FITjVIcFR0dUVnMW5JRy9sSVhwTjJUUGxJdS96Ync9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wyoming,Cheyenne,Days Inn by Wyndham Cheyenne,75,200.533,2,https://www.booking.com/hotel/us/days-inn-cheyenne.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=34499217_93736026_2_1_0&highlighted_blocks=34499217_93736026_2_1_0&matching_block_id=34499217_93736026_2_1_0&sr_pri_blocks=34499217_93736026_2_1_0__55080&from=searchresults#hotelTmpl
Wyoming,Cheyenne,Comfort Inn & Suites Cheyenne,89,347.237,3,https://www.booking.com/hotel/us/comfort-inn-suites-cheyenne.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=62216201_94497852_3_1_0&highlighted_blocks=62216201_94497852_3_1_0&matching_block_id=62216201_94497852_3_1_0&sr_pri_blocks=62216201_94497852_3_1_0__95375&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wyoming,Cheyenne,Little America Hotel & Resort Cheyenne,82,270.144,4,https://www.booking.com/hotel/us/little-america-resort-cheyenne.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=24808901_195762341_0_42_0&highlighted_blocks=24808901_195762341_0_42_0&matching_block_id=24808901_195762341_0_42_0&sr_pri_blocks=24808901_195762341_0_42_0__74200&from=searchresults#hotelTmpl
Wyoming,Cheyenne,SpringHill Suites by Marriott Cheyenne,83,350.969,3,https://www.booking.com/hotel/us/springhill-suites-by-marriott-cheyenne.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=19215906_246424151_0_1_0&highlighted_blocks=19215906_246424151_0_1_0&matching_block_id=19215906_246424151_0_1_0&sr_pri_blocks=19215906_246424151_0_1_0__96400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wyoming,Cheyenne,Super 8 by Wyndham Cheyenne WY,67,151.146,2,https://www.booking.com/hotel/us/super-8-cheyenne-wy.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=53303306_246078230_2_1_0&highlighted_blocks=53303306_246078230_2_1_0&matching_block_id=53303306_246078230_2_1_0&sr_pri_blocks=53303306_246078230_2_1_0__41515&from=searchresults#hotelTmpl
Wyoming,Cheyenne,Tru By Hilton Cheyenne,80,285.916,2,https://www.booking.com/hotel/us/tru-by-hilton-cheyenne-wy.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=237297301_101193130_2_1_0&highlighted_blocks=237297301_101193130_2_1_0&matching_block_id=237297301_101193130_2_1_0&sr_pri_blocks=237297301_101193130_2_1_0__78532&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Wyoming,Cheyenne,Historic Plains Hotel,66,294.901,3,https://www.booking.com/hotel/us/historic-plains.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=25904008_273838205_2_0_0&highlighted_blocks=25904008_273838205_2_0_0&matching_block_id=25904008_273838205_2_0_0&sr_pri_blocks=25904008_273838205_2_0_0__81000&from=searchresults#hotelTmpl
Wyoming,Cheyenne,Best Western Plus Frontier Inn,83,300.559,3,https://www.booking.com/hotel/us/frontier-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6dc91ad42dde006c&srepoch=1702093742&all_sr_blocks=48433507_93759579_2_1_0&highlighted_blocks=48433507_93759579_2_1_0&matching_block_id=48433507_93759579_2_1_0&sr_pri_blocks=48433507_93759579_2_1_0__82554&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
