state,city,name,avg_score,price,reviews_url
Iowa,Des Moines,Baymont by Wyndham Des Moines Airport,89,236.056,https://www.booking.com/hotel/us/baymont-inn-and-suites-des-moines-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=30781404_93728207_2_1_0&highlighted_blocks=30781404_93728207_2_1_0&matching_block_id=30781404_93728207_2_1_0&sr_pri_blocks=30781404_93728207_2_1_0__65025&from=searchresults#hotelTmpl
Iowa,Des Moines,Hilton Des Moines Downtown,85,413.4,https://www.booking.com/hotel/us/hilton-des-moines-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=306008907_112134238_2_2_0&highlighted_blocks=306008907_112134238_2_2_0&matching_block_id=306008907_112134238_2_2_0&sr_pri_blocks=306008907_112134238_2_2_0__113877&nad_id=6f061f68-8f9c-40e9-b58f-86af707b91f7_0&nad_cpc=1.14&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxeTBPSVRzSnZCcTE2aUw0V1phdEFQV1lBbGNObVNxOUw3VTZkY0dUUmQxaXUzeE5hVHlBUmR4RlFSdjg3Yll6NTZiU3RIQ1prOVh4WVFYd01ZaW0vUmtCTjNQV0IzbkZkVE1LRlNmWE9UdWZablBlQWlkVGdlcExVdm8ySW1DWDBIWHJWenB2MWVuUmRNQi9IV1d3RTBqSUhDY1ZHUFowOVZhQjl3dGtPbUdMZHBpQzMwV3BMYWxpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpGOWZCSG9MeGdWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNbmE1b1EwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMNW45WUUvZm9RR0k3M2NVWTg3cmhHVytVTEE2TXdFVXdaRDBhcFdqRkM3dk0rdHlLTVN5MktLeTU1N0JkMUNqYkxWVVlRNDdwWDFpeE1EeWxGY2k2b2lCeWFoWllwZ2QzLzFZMjZQRnMwaldsQ2FzTjlFRS9STGNEU0t6aVRxeU9DdWpOUWx4YjFBRHJUVlJPQTF5NFJBTUtQa3VjWk9RcGtqVXdCV29mL3o1Vi9VNGFkcXRpOVFpTml5cTkwMFBpVzFqZ2FwNTdqWHZlZWY3ejFVRW52R0ZBVkdkaVJscElBeFo3cFg2M0lCUTNXQXVuMG1sMUZoUmxLN09GeXFlYjdIb09LRXNkMGhYbmRmMXdJRDNiUWtHQlVtMkxvRGZvWXprOHREeHhyRVVjeklPYjgrSENGNTlGMFZWOVBXYXdyeHlIOEhHc2U2TmxSYUF1Tm5yVEx2dmFHeWhOVWJpYUg0b3hPbEc5NmQ2UnJXRzdNcVR2blR4MWFud1pFN1hwSWNWb0RUYzNabFpMYUJ6S1dxOStWYXJCR0ZWUEtOcCtVMkVqbkJMQ213Tk1EcUdURTJDa1Fhc1NmdWhLcE9jL01mOW9WeDByb1l2VWtCWDdaWkxubUQwUlhWYkVoMjlVYmJDOWR4TWlVZzJLK1dGUDdPc2FCTnArNGNYODF4bWJyMVN6Uk9hRlNGWUFvL2FpLzh1Z1FFT0o5VDJ3eDM4aEVKb0krUktycDBwYkxxdStJMkpqL1FISUR0dzNKNkJ6NmMzcTNIY3dkOFhqRkt2clEyYk1leFVQTTR1OWNlVEZSSmh3KzF2U3VsaGRXTm5iOTM4azJNU2hFZ3dweExnRjEwejUzVlh5dzBNamNEbFZKbGdYVFFIc0ZvNXQyREpjaUphaHExc09IdHlIbXJrMy8xUDJwb01DdzBjTHNWelY4MHo4aW1rcFVWaUgyTVYrYVZleHphNlRmanlwME9BTGtoWS9obDJqbVpFS1lxYnk1VFRYd3UxTTBEUUF0aVQ2emFxdnZpaE5LcklQZHI1OG40bGtqcFFGK3VIczQxZ1pWMnFUd0Y4Vm9aVDcyOHp0MzloYlVsSHpBcmQxaVRnYTAwalEwU1RHOXZST2pXNElFMEFFcTVvTm8xbFNMc0tMdTBlaFRxMFpJYUxad3hseFJsY2Z0eXJsZ1dXZzVKNDdzb0Juck0yMEh3azJpSy9WYW5uTmVJUm9RREZLcHZJbkZWbjAwa25meWk2azJZSHAxVHBqbi9QaHF2US9aYi84Ri9jMDdlT3dPSi8wZzFtN2lvM2tzL3VRRVA1dmo4NTlKMjd0Y3lOVlMrWGYxdnFOY1Q0Y0xpT1VHSFVxUEl4ajN1L3BUZUpiSzF4aU5UeHIrZXRsTi85UVl3REdsNFVoMUxkYklkNkZRQWF6Y1FDcjA4anpZLzFhaG5OdDk4dnhmekRCNmdFM2owdk5wejU1ek9kb0ZVR3cwbGZlbXM3K0hLTmtGbkt6QXFaVDVHR29ZSHZ1VHFXR3hMYUl0RkUxb1pGQmRXNmVhdkdtUEw0K25uTEhGSlNrSWtpKzNwMndwRGlVV1QxdjBjdU9OcDBidytpeTRkZXJGd001MVUxdG9LWFZ3WnNVQ2NZZjFhd1JVMFBNUC9FLzJKOFFJa1B4N3lpdnNCMzZOUjZPQVB4UjBCSFg4R0tUS3k0ZmQvYVhhdTI1YTlIajVlM1U4VnoyaUFhZXlRNTFqc0FwNWhSSERnWlBFWk5YeHRJU2RDZmx3UWYwV2RkMXRhQzRHTGY2Z051NTU1RlRieEVYODdpUHpJOXZCcm5XRVhDbzJzUXJOTjdmeGhOY1Q3ZWxWWWlGaUMyY0pja0dFNmdaMTRoamM2aXk5VzVJYnlIcTZCeHRmRExGM1JKTWREWmR4WGJHNzJScHNaa3ZCMzViQnowWE9XdEttNFR1U2dJQ3lxOWRwMTRtdVZsZU03NEpIWHJ5MlNzZ3hxbU5XR054QVBJaFZ1VS8vWUpjWHJ1bmk4dkI5Tm1ZMmV3eEtPcTZSK0g5MVNSdE9HNWo1NVJ6VU40TzNXSXBpS3dTTFhkNFNxWUdZUVN6c3ZBaTZ5SHZldFVIU0VrOTQwOENNZDVkQ0ZSSi9FZlBSNDVnMEl5ODhlbm5kU2kwUTRrUkRWVXVOOVhabXYwL3phZTJtcWk4L0J2ZDFEaDlPRGFudXVZZUhGdmlva2F5T1pxcEVSdGJYWGlqNjEyNFkrcFRqT3JtcTJXSlRlMFFwZGxSbVBMSUdWYmhJejhNM1RmYnp3WUwwUit4YnJ3TkRleW91am5TV051T2lSdHp5d0FJcUJqNXgzNzF1SE1oSXNaMEVwSDNQMjdLTENiTVZEbm0xYnlSY2NDOWRURkdoUWp2dXAwZTNPYU0rTnM2OFExeXB2MHRiWEdiSE9wR3ZzYlQ1Qk15eVJDZ2RtMzRzS0FjTysxOG1NVmRkUFVIWGE5amNkaHd2MjFXclk0S0ZtL2tJL0poZ0FUSDlzcnJGbGZ0UnNrdDJPY2RudDlZek53K0hsclBrT0N3OTdNaWJSS2UrcG1ZRWVmYzZCUnh3ZlM0cEhmeUZpTUZ3Ums2Z2UwbGhnRllWbUdNV09qdytqbTg0dk5iWWRVMFlLRldDeUIwQ29NR1pKanRxeEFlYytRR3VXVGxjVGdjVE5VZmE1MUJuWXBES1hiWk9meURvdnhZVk4rRHZBSjNjeE5TdUVPK0xrRkg4NUhaSXJMNDBQMDJTa0dyMWtFdFFrbEFRTGczZUNsbmxPYkx4dkRNTFBLUU41Qis5bW1RUlU1NkZQNzNMMllVQ0l5MjJmVG5GUlFnRitxSDdSbW1hUXlyeWNwZmZpcWM1MXZQY3ZNMUhXakFLS1BHcWIwUWo0a3doWWNuK0xBSmlmRWx5bkR4MVBSRkRhRFdQSXNtOXdMeE1RSFp4TGlHejJEZ2xSMzVNUT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Iowa,Des Moines,Days Inn & Suites by Wyndham Des Moines Airport,76,157.552,https://www.booking.com/hotel/us/days-inn-des-moines1.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=39503111_246073622_2_1_0&highlighted_blocks=39503111_246073622_2_1_0&matching_block_id=39503111_246073622_2_1_0&sr_pri_blocks=39503111_246073622_2_1_0__43400&from=searchresults#hotelTmpl
Iowa,Des Moines,Comfort Inn & Suites Event Center,80,338.16,https://www.booking.com/hotel/us/hotel-third-street-des-moines.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=48978003_332272600_2_1_0&highlighted_blocks=48978003_332272600_2_1_0&matching_block_id=48978003_332272600_2_1_0&sr_pri_blocks=48978003_332272600_2_1_0__93151&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Iowa,Des Moines,Hyatt Place Des Moines Downtown,73,231.188,https://www.booking.com/hotel/us/hyatt-place-des-moines-downtown-des-moines.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=117284906_106926455_2_1_0&highlighted_blocks=117284906_106926455_2_1_0&matching_block_id=117284906_106926455_2_1_0&sr_pri_blocks=117284906_106926455_2_1_0__63684&from=searchresults#hotelTmpl
Iowa,Des Moines,Embassy Suites Des Moines Downtown,72,368.882,https://www.booking.com/hotel/us/embassy-suites-des-moines-on-the-river.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=4280420_93697017_2_1_0&highlighted_blocks=4280420_93697017_2_1_0&matching_block_id=4280420_93697017_2_1_0&sr_pri_blocks=4280420_93697017_2_1_0__101614&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Iowa,Des Moines,Econo Lodge Inn & Suites Fairgrounds,69,143.717,https://www.booking.com/hotel/us/hotel-east-thirtieth-street-fairgrounds.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=48979707_94475745_2_1_0&highlighted_blocks=48979707_94475745_2_1_0&matching_block_id=48979707_94475745_2_1_0&sr_pri_blocks=48979707_94475745_2_1_0__39589&from=searchresults#hotelTmpl
Iowa,Des Moines,Surety Hotel,89,440.71,https://www.booking.com/hotel/us/surety-des-moines.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=633258701_247214011_2_42_0&highlighted_blocks=633258701_247214011_2_42_0&matching_block_id=633258701_247214011_2_42_0&sr_pri_blocks=633258701_247214011_2_42_0__121400&from=searchresults#hotelTmpl
Iowa,Des Moines,Fairfield Inn & Suites by Marriott Des Moines Downtown,88,426.189,https://www.booking.com/hotel/us/fairfield-inn-suites-by-marriott-des-moines-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883931&all_sr_blocks=523330001_183639547_0_1_0&highlighted_blocks=523330001_183639547_0_1_0&matching_block_id=523330001_183639547_0_1_0&sr_pri_blocks=523330001_183639547_0_1_0__117400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Iowa,Des Moines,Des Moines Marriott Downtown,86,357.941,https://www.booking.com/hotel/us/des-moines-marriott-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6d1e7b49104100ee&srepoch=1701883932&all_sr_blocks=26436307_94373388_0_34_0&highlighted_blocks=26436307_94373388_0_34_0&matching_block_id=26436307_94373388_0_34_0&sr_pri_blocks=26436307_94373388_0_34_0__98600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
