state,city,name,avg_score,price,reviews_url
Maine,Portland,The Paramount Hotel Portland,87,289.264,https://www.booking.com/hotel/us/the-paramount-portland.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=27130601_141274544_0_0_0&highlighted_blocks=27130601_141274544_0_0_0&matching_block_id=27130601_141274544_0_0_0&sr_pri_blocks=27130601_141274544_0_0_0__79682&from=searchresults#hotelTmpl
Maine,Portland,"The Duniway Portland, A Hilton Hotel",75,303.487,https://www.booking.com/hotel/us/the-duniway-portland-a-hilton.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=230135901_99949811_2_34_0&highlighted_blocks=230135901_99949811_2_34_0&matching_block_id=230135901_99949811_2_34_0&sr_pri_blocks=230135901_99949811_2_34_0__83600&nad_id=70ee6a03-bbda-4936-9263-b0bbc019e4c6_8&nad_cpc=1.2&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoyemtHTVNNMXZCcTE2aUw0V1phdEFQV1lBbGNCalNLdEU1azZkY0dUUmQxaXUzeE5hVHlBU2ZSQlNULzQ3Yll6NTZiU3RIQ1prOVh4WVFYOEpZQzI1U1VCTzF2U0QxM0JkVE1LRlNmWE9UdWZablBlQWlkVGdlcEdIdUlUYW15WHhIUytBbXBUMWVucGVZaCtlWFcxWDBqbGFYY1lhYXA1dVVLMHJ5dGtPbUdMZHBpQzMwV3BKYjFpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpCK2VoRHJJaGdWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNblk0NFEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhKNW45WUUvZm9RR0k3M2NVWTg3cmhHV25YdkV4UGdjY3c1ZTRjbzJ4RlREd012VnNJTTJ5eXF5OHBwWE1jVmluZHJRQ2VSWXBwR045eHQzc25GNGkrSWFQaXExZmRZa2UzZXhMenI3ZnRsSGIwajZtSzk5RjloUFpCVFNrZ25hcU1qZXRkQVowWTFzWnNEZ1hJQVp5NXdzQ2FlODNhWktYc1EvTTJGSytMdkwzRWZReGJNVytuTU1qSUQrbDhnUVhnbmh0eDZGNzRqM29OZi9qbWxVRXg3MklBVldmamhBZ2JRQmJvWnYwbTR0SWlYZzJuMGVyaGxwTW5MdmRHeTZUS2FuL0pMd2lNMGRTaGNiaTE0SHhkaEVLRFVLeE01M1R0OTM4cnRmODJhZGRmWGdLWXQ2ZUVraHFFMVpDcE8yQ3dySjhYTVRMdktpVm1oS0N1dHJvV0xXZ1pIVzRNRkhqZjJvczFQOUI1cVk4WHI2SDdOYWQ4WGpvejZMOVlVTFZ2cHdQOWl6WHdvVkhPdUU5SldxNytsaWdUejlIS3JFcnZsdVZsRzFOQjIwYkpEdlZCVitVZzFydlh2K29McENZczVqOStoMTJvb2d0VUVsWi9aNVFtU0hwRG1kTUVBZUJTNHpENWNOTmxtTW1IZktWYWVhc05GQisvNDRIOEV0dWZ2b2EzZ1dKU1dKY0M1TFd3S0VoaWdBZGU0UGsyaGJqaFZSeU0rVmFyNTh1WXF2bHBvM2l4T2NXQndoUndyUG10YXg5cUhQWmxlUjZuVythc0dtbGF0OWxRTlFUOXBEUVNSRUVtdWhwWm9Ca2RIUnhFdDJod25FT2xVSWpyaFRqR1ZaNHVXUkIybEJibmRudFRJbG5SeWdXdWdwbXBIYmFMR0ZHak9FOUkyMWhRQ2Y1M2VFQWs0a2FHRkpLUE5aM0VwSTgrU2kzL1JWM0Rta2YvS3RYMVRpckJxYnlxbG1BSkVBSyswcHRpaWdWZWNXZmdzSGVGQUw5T2tXYkJKYkFzRFQvdmFpbE1Lek1KcFA1cXk4MWt6NVhBdmFXdFp4bmNsVzlTeEU3Q01JSTVYMDY2RGc0UEZsR3pnclYwVHYrZmw5a0FGZUZDSmFYTFRTOE1WWUhIcTlrSU1ZN1c3QUpLK2thZ2lhbktjQ2NaZ2gwM2g1UWY5RzJpZytPajVvenNOb0luYkl6MVhVd3dXejBVNkhnTitRZW9SN0JMSlhPbWtNc2pWc3hiV2J4bFc0QXNsN3JnaXVRbGIzRHZOSC85MWZNMGJlR3gvMTV5d3BxOHl0OHpNK2pGVU9ncTM0MDhKdSt1NHlKRkNIYVBsdXRlTXZ6ZmJtSlFXYlV1TzhzeENXdnJUMktZNjl6Z2RyN3RQM294ZW50Ym93c0ZuY2VnMFhHZW9wN0gwZE9pWjhJdlVaOGlzcWtYQW5pdWZBdDdQYkhFTE1TMHp3bGNjaTl2RG1QcVFwQm54NU5ZMkFrK1dTWG5FK0JraG1iVW92ZTRwYjZzeTJjRUJEY0xkcEcybzRPVzhhc2F1V0JtL1QyOTNYWEdrRkRsSmttNjM0Z25aRHFRMlQyb0VVeEpOaHZDd3ZHd0lSZHBWOFArVlFwdFlHVFZncHZWVThDQ1ZiekVVY0xKK1RTODNSOFE1a2J3YTJsbzlsN3A0dDZNaEh4UmwxR1E5eUxVTWk1R2RYYVY2RzI3OFZWK1pmL0ZOZC96eXdOWnlBbGhHUUF2NVpSVVhZVVAxMUhVQTVWUzl5QW13Y08zbWRWemRIUHRDYUU0QkZudU5rRUFMVk9WOFh2UERaeTR4ci9Wa1dhNUd3QnFjSi9hUU5SZG5PSzdERlZhWG5uWUpZb0RnWCtaMFl2alpmejI5Uy9KcTJBdkx4M29yR0lGdzg1STZDbWQwMllIYnVHdGNwK3NsR2tOUVR1R3ZHbEszRkY4RGdlRzJYM2NKWjJwdWRVTTVyNExHZnJ6M3VvbXdlaUtuS1R4RXlDZzFDYXcvUTRSM0RRZ3hFNVB1TjNXWFcrZy9LcWdFaTY1bHVNOTdTNXdOUlh4azFFUDErVDhXeXdRS2ZkNVRXY0Faa1cyOWpVaStQTnQrOVpBeUE0c05rdUh0VXhNek5kTXYwak56SjB5a0pNdFBDcG10Q21uRklrREhKR3RNcGJXbnJTK3lyTWhXcmN0TWRoY0ZUbHViemExYnVRZjI0NHdJbHV5SVJxNUFseUlEejJtYmtvckpLclVuemlpYnVGZW55elRzRTZSaTZlSUR4T3hZSDROWEhSTHpoWklRay94ZUtnSVRPMnVOTDhmM3BqT3pjZ2dqOFBLN2w1dmt6cjE5dlN0SVFYeDBKYzI3RHZLT3ZMY2wvcHhBbThXZDhlNE5IRkJSa3JzT2R6TlN5S0pmTWp2TlV5M1lmeW9yL2JKeTI2RE9oYUNKbEF6ajFQa051LzZJbmVZT0MzOFdBVmJzaVZXbit4aU4xMHcraXpYcVVrSmtUMHpwL0doQUlYRU00eDR4cElzUWd1b21XTGJEdzBMM3h5NFRrbFloT2IwdEx3aW9kRGVQY3JLRldMZHFKR20xZkw4NTNqeTJ1RkZCbFU3Q0d3aWtwYVlRRElPMnFrMHRueDJacktlcHRTeHI2UmJpKzMzQndLVXRwai8vWlZaTTJjRGVLVm52anNTbmdLYnFWb0ZUaGlDcFBMUXVQdUlZZktLZzF0R09OS2ljWkpYZm9ZOUlJRE1NNFZQWmpkOFFDZzB5MFJ0RThJamc4S0QxQzN6L2EzM1FPZE9odktPTEgwVC9GQnFZQzBWd2Q2dUZYdTNMU1FVaHc5OUdtQnkwWkdraEw3RGFKaGovSjc0MmdyWkxqa1BkWnBNTXJhN202WVMveVBFcmYzUXpzaHl3d0puN3FERFRYdmxqekZ3MEROVVhXRFFLM05PQ1VpeUVoMC9oZktZYmxxYWZZYSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,Hyatt House Portland / Downtown,82,318.622,https://www.booking.com/hotel/us/hyatt-house-portland-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=190948102_106964741_2_1_0&highlighted_blocks=190948102_106964741_2_1_0&matching_block_id=190948102_106964741_2_1_0&sr_pri_blocks=190948102_106964741_2_1_0__87769&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,Moxy Portland Downtown,81,310.385,https://www.booking.com/hotel/us/moxy-portland-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=695542008_285697925_0_0_0&highlighted_blocks=695542008_285697925_0_0_0&matching_block_id=695542008_285697925_0_0_0&sr_pri_blocks=695542008_285697925_0_0_0__85500&nad_id=70ee6a03-bbda-4936-9263-b0bbc019e4c6_19&nad_cpc=0.87&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxejBlRVNjVnZCcTE2aUw0V1phdEFQV1lBbGNObFE2bEs3RTZkY0dUUmQxaXUzeE5hVHlBUmN4WldTL283Yll6NTZiU3RIQ1prOVh4WVFYd0laaVc0UVVCTjJQS0gwM1JkVE1LRlNmWE9UdWZablBlQWlkVGdlcEdIdUlUYW15WHhIUytBbXBUMWVucGVZaCtlWFcxWDBqbGFYY1lhYXA1dVVLMHJ5dGtPbUdMZHBpQzMwV3BMYlZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpSMGZ4VHNKUkVWTlZNTjZjWUxIYldPYkRGQjlnNE1mQ1VrL3c1K2tNbmE0WVEwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMSVh6SUVUU3NoT0U0WGdJTmRiZ20zbWlRLzl3TlFvYXk1Vy9QcFdwQnpIdUxmUnlQc1c3eXI2eXFOVEhmRjZ2Y3E0REx3NHh0bUpqMmQveGdsWXIrSlNCaE81YWM1NFAzdTVhM2F2Q3JGVEMzM2krSWNOTHR4allBRHl5bFgzbUtqMnhla2Q3WmxjU3FpVWFaaDU1NXcwWlo2NGhjSXFXdGhpTHdFcjVPS1A1SDdJd1pjQ2hqOVEwSVNtMi9RRmVtbnR6MWVrMjZ6UHNPclMzbWhoUngrU2RRRmliaUJVdUxRUWFyOWExbThJRW1qUjZuMStsaGdZY2c2N0FIVEdiSU9LaEs3Y2pJQTBaajl2cjBZSG5jUXdKR1VheVA0ZlRwc2U3NTVPbjA3VlVJajlPTE5lQ0drdG1Fa1ZWb0tyS3dxcHlYSW1OdEtqZXhBYVB1TjN0V2F5eUpUYXRNRTN4YVh3dnhPdEg5N0FzR2VDVTV0ZUI0em1yMnFIc1owcmNzSVFPOTJDWjBaRkVJZjB1WkNTMytsNmpRVFFNZEtNOXJCblNnbnhYR21zV0pTM0JCQXpka1V6OUFyeS9LcG1jc0p5eXBSMHQ0NG9oWGt0YjlKQkFrVHJ1VDNvSEFoQ0RVYkRaMzhKZGlXSTVOdUtqZnZiNllWQWl2SmtEK1Z0dGFmSUttVTJhWDNFQVNKYmYzYTFxMUE4V2VwQzRqUVQ2amt0ekpmOUtybzh2WUt6cnQ4YTh4TDlBQ3l0OHhMcjF0NmNOMENDRm05aExsVW1DaTNtaFdQTndFdEpxOE92QUZqWlo2cFl0Y3F4ZlkwY2RiOTM4azJNU2hFZ3dweExnRjEwejUzVlh5dzBNamNEbFZKbGdYVFFIc0ZvNXQyREpjaUphaHExc09IdHhBbVMwd3YxTnhNc1VBQkFTZjhKbVVjOTA2ajY0dUVzMEdYQVg4YWRaemphb1VmVzB2MXZIS0VVUCtrOXdqeXBkZW9xYjM0M1REZ3FxSmtxR1ZNMkl2amF2dUtqMFkvbWRQTnJwL0hCeWxDeEhCUCtHcjRCcmYwQ2dUUlJ0VjhCTHMyZytxR2tvWXg1QjJoM0l3em42YmxZdFh4K0xFTWJmZVRDcU0xb0dEN1IrSVpab0RxTUJMdTRZaHp5MWVJaklZaDUyMGg5QlpNcThqQUtOa3B0OTQ0d1psN1U1MVhrbzBUNnhGYUxxTU9BUnB3bk1QWWpkaDBoODNnOC9kVFMwMDIwS29sYitrMkRjd2JQYjRKaXcrRmZUMUtDYjFmOWwxdzU4OHpzN240bjJXQmI1dm1aMStaMi90OHVFSEdLYmZSVGtPNDM4ZTdpRFhHck90ZTg4bjNiNXZUK0pacVIyaHQvM29PaXltcFRuYmJBUUNXSWtua0hLYkp4M0ZRRVJnZHhlcUVJODI4YjdJUVBoaTh3eTk4emFGTDhFeFRBdk41ZTEvMithclVvUWlrY05mM3cxL1dpV25VN1J3VXlCUkppU3I5ZjZ1eTJMRVJMUks5NUUzWTlBQ0pPaWNyYkkyUFg4K0hYS0VVTkZsSnd6K245ajA5ZjZTWFQzdlVZd0pObHJjZ25Bcm9KVXBWb1A3VkFpcTRTUVdnZGlVQ0lURmk2K1N3QVdJK2pFNUc5OVY1NGJ3NnkwdWNCcTdOdzlJQnZqUjBCR1E5eUxVTEc1R0x2YVY2RzI3NlZINWUrNVhZTnl5VDhRZlRVMDN5NUh2NEJSRWpaYU1VWk9Sd2xWUWNXSWpBQVgybjFJdzh1RTRTN0h0Z1JqK0lnTVEvTkdWTS9yUFQweHRGMy9RRVhNclQwQnV0UjViQTlNYXpqZjJVNURFRkc0SjVFeUQxV3RJVVk1amNDc25OT3ZOcTJScktCbXZ2M1JUR3hSVXNQWUJodlZUYWlDczhSMW9ScndLUVMxQmFhb08zY0x2bmtRQXpTek41WjFuTzFSVHNtMFBHMzd5V2FxbWdlakxYMk8xQTNHeEZDWitmNDlSMzNmcFNvM0llTnZXaytpeEszajhRZjIwVStic2ZuaWdaQVF4azUrTTBHNHZDUG1VSzNONHlpZUFKa1gxdGZKa2FLSi9PQlZHQ2t5NElad0VNMWxlbWRRTk80Vk95UUpueE1xNjZHR2k4eTl5aEYyU2pzU3VjeEliRzNPMUR1WHp5MjY2NVpPWVVqKzcvK0lrT1hkYld4MWo5c0MwSW9HcWtvamJtbXpsNkZzNzkrMFRqRzF5N1dkT0RubFdJcDBBWHZUZFdWYjNjRHhNM0RkYURWUllraDhpclQrWWpHaHRmdnVla3R3UFM1bTEza1lLYVJ1OHhPczBQZmJxYmdhM0VoU3dmdTZaS2lEY2tPM3hBZjhGTmdCN3RQWERRTXJ1K2QzZFhyZEsrdHk1WVVqelp2anZyamNmSDd2QXZBR1FkOUV5aWxLa01XNjdjV05OdmUrODJFVmNOclBFem0xak1wcDBQcXpTYU1wS2tldm5jblJqUUVSRWRJcnVWY2V0dzQxdFd1QmJYZHJNaXNrNDJCcmZrM1F3Y1hHajQ1emNlbG1mUmVIZWI1SzNnbUE0SXJWem1LMUhRZGs5eXFmbXhFUUprR2VjR3lteitQODJMZmJhb2REMm8rZmZoNkYxeHN4RXA4bHVLSUhaTWVGRGY2Zm5zbm1Td1ZaTzdaK0Jtc25USzdXWDh6L0I1N0xWMTQ0RnZzVTA0RlVXZllPNDdRRUpmSlVkOHZUNlYvNmxEQVZ1RmtmdUFnZlBSSDlrdml2Z2wzV01nRE5QclRGVGUxOTZNcm5XUjhsNWg3bXg3T1dWeTAvNkZ2QWdSdElpa09rWEtabWo3VTEvajk5WnVHcU01TXZOc2JNMVdLT05xL0pBcjdsUkRFaHh4b1hqZXpPY0RMNnV5N0YxRWJBRmlqWVFPb3N4TWhGK3BPcWZDcERucTZpRVFMNU43MWgifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,Hampton Inn And Suites By Hilton Portland-Pearl District,87,356.572,https://www.booking.com/hotel/us/hampton-inn-and-suites-by-hilton-portland-pearl-district.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=243226804_102061586_2_1_0&highlighted_blocks=243226804_102061586_2_1_0&matching_block_id=243226804_102061586_2_1_0&sr_pri_blocks=243226804_102061586_2_1_0__98223&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,Hotel Lucia,87,223.292,https://www.booking.com/hotel/us/lucia.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=30059401_363979812_2_0_0&highlighted_blocks=30059401_363979812_2_0_0&matching_block_id=30059401_363979812_2_0_0&sr_pri_blocks=30059401_363979812_2_0_0__61509&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,Park Lane Suites & Inn,80,273.266,https://www.booking.com/hotel/us/park-lane-suites-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=24242603_201885995_2_0_0&highlighted_blocks=24242603_201885995_2_0_0&matching_block_id=24242603_201885995_2_0_0&sr_pri_blocks=24242603_201885995_2_0_0__75275&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,Hotel DeLuxe,80,244.405,https://www.booking.com/hotel/us/729-six-15th-avenue.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=29661801_164402491_2_0_0&highlighted_blocks=29661801_164402491_2_0_0&matching_block_id=29661801_164402491_2_0_0&sr_pri_blocks=29661801_164402491_2_0_0__67325&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,Hyatt Regency Portland at the Oregon Convention Center,88,459.369,https://www.booking.com/hotel/us/hyatt-regency-portland.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=567171303_215719135_2_2_0&highlighted_blocks=567171303_215719135_2_2_0&matching_block_id=567171303_215719135_2_2_0&sr_pri_blocks=567171303_215719135_2_2_0__126540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Maine,Portland,HI - Portland Northwest Hostel,89,193.128,https://www.booking.com/hotel/us/hostelling-international-portland-northwest.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=77629266cb840314&srepoch=1701895766&all_sr_blocks=107858201_204281333_0_1_0&highlighted_blocks=107858201_204281333_0_1_0&matching_block_id=107858201_204281333_0_1_0&sr_pri_blocks=107858201_204281333_0_1_0__53200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
