state,city,name,avg_score,price,reviews_url
Massachusetts,Boston,Boston Luxury Condo Style Rooms,85,245.933,https://www.booking.com/hotel/us/boston-luxury-condo-style-rooms.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791074&all_sr_blocks=1050032701_377244560_2_0_0&highlighted_blocks=1050032701_377244560_2_0_0&matching_block_id=1050032701_377244560_2_0_0&sr_pri_blocks=1050032701_377244560_2_0_0__67830&from=searchresults#hotelTmpl
Massachusetts,Boston,Courtyard by Marriott Boston Downtown,77,1042.032,https://www.booking.com/hotel/us/courtyard-boston-downtown-tremont-boston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791074&all_sr_blocks=26564101_246427085_2_2_0&highlighted_blocks=26564101_246427085_2_2_0&matching_block_id=26564101_246427085_2_2_0&sr_pri_blocks=26564101_246427085_2_2_0__287400&nad_id=7b26eaf7-02a2-4b5e-90d2-78aecb9ac9fa_0&nad_cpc=1.57&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpKbUdrd0tWYmM1RTRyTzgzZEhoYU9BR0E3dHBnM1d3ajF4UUxpdzBPUFM4ZHlFZTB4aXJJUmRLZFpNVzlMeTlCc1NxbEI1bHFKUFNMWFlWQ3B3QTlPQkg0R2Z4RlhTZnNnZThLdTc2YXNEeWgxNXpzYlFYTWNZaTY2UTF4TncvV0cwWFZJVk1MSUQrYlBUZmZObXVhYW1aKytlcDZUNzQyUHppUHlCQ3llblp2Z2VHNExNQVBIUnpGVXlqWVNEWlpHTU1rK1Y2RjduOHBHbUMyUHBuTHV3bjVLY2tLUU1iL2FKcjA0ZGY3TCtWNnFMU1FUMHhTM0lxbFhzSkdNWFlOajhFOXprSUZlanFBMkdkOWpqOVEveUxWWmZZRE9uSk5Jb252TTRvdHM5dHpOdkhVM3Aybnl6UW5jVjFCYmpiQzMvaDk3TytlUjJZZzZtMXpodlowRnJCT2tuYUkxSXFXdEZBd2txcEp6cUpodmVCZnRJUlVHTzExTzdNb01CcVNIZENwYTR3TVFmajR1K1VsbW05YkU1cHM2SkN6VGFGNTl5SnVhdWZqWTRVNU1GZjBtTzZwSzh1TlBKSVR6SUVUU3NoT0U0WGdJTmRiZ20zbXJSUDl3TlFvYXk1Vy9QcFdwQnpIdUxmUnlQc1c3eXI2eXFOVEhmRjZ2Y3E0REx3NHh0bUpqMmQveGdsWXIrSlNCaE81YWM1NFAzdTVhM2F2Q3JGVEMzM2krSWNOTHR4allBRHl5bFgzbUtqMnhla2Q3WmxjU3FpVWFaaDU1NXcwWlo2NGhjSXFXdGhpTHdFcjVPS1A1SDdJd1pjQ2hqOVEwSVNtMi9RRmVtbnR3eWVkdzRESGdNclA3Z2dBRXgrVEVERldiakJjcEpFMVhvOVQ2bGN4RGtTd3VoMGVsaUFoT2diUElDQ0tYSk8vbk02QS9QUU5kZ043endKYndjQW9TQVVxNk5JRE91OHV0dG92NzFMaExOSFpBWnRPUEMxSjhCRkpSczcyYTJySnlVb2ZPc2FYVGdoNkF2OXp1VWF5dUszbWhLVlQwZm4wNDBPOVg0YmM5R0thTTdkYUIvemZrMXJqMmJFZlp2SVlVN0hyUHlacGJOdnN6YW11MjkxT29TVElCTXJzM3NCZWVpV0ZiREdBYkpTeldCdzZNaVViaERPNnVMSnVYdjVDNjRnVTFvSWdoVWtsYjlwdEZoQ2ZvVGpwYUZCU1FRTHZ1OHRWTGozc2hNYzZmZE92M09sNHM3b2dGKzFCMmNmME5qaDJDVkd3T0dvZkt3YXhua2hjQlpvMjIzd0h0Z0U1cFB2SmRxWWs1ZDduNXE4djYzS2NJSndodzZxM0ZrNm9IOG52Wm9zTUw5bHZydGsyZlNzbEpCOEFnelBEc0ZEMS8vUEJTWG9OaWZRQmhlS2lveGpCTnhWWXhvUnorRlZNMjVEZ0VuQU1VejVtbVNZVjFTQzRRcGxzLytpaWRmRG9aeStGMWV5OG9FSEtubkxCUXh0ZGJTUU1FYkowd1E5eHdyMkczczBvblFTQUM0SzFUeXppaFEvdWw5QVhISjFJUDhoOGhpbm9WZWNXZDBKTFhGQS83UFVHYkRjZkQ3bnIrNHFpbFlQM0xNdDd2dlQ5eXpYMVhCZnVCdXAxNmVWR25XaHg2VTlBTTdTeGxvbnNoUEZrWWl3M0p3VG55YVVrelNnM01VOVhKYW4zc0pGc0NIcTk1TFpka0dPaGZQZVViZ2ppeGZwVGFMMWhoMHh0UWY4MndqUStRanBGbDc0UlN5YUU2MG5vcDFUcXNHK0xoUGVVVHB3L0ZOSi9Pa2xOaHhRSjViVDZvM1MwQnIxUDhoSDNEMHZURDY0Vyt0MS9iMjZlTXdPcDR6UXQvNlNZcWs0U3dRQTZzdm1Zc3RaQy9zOG1ERlN2V2NSYXJOWU8xZjdPRFVXYkZyL0loa21iMCt5ZUJacTUvZ05yMG9PMjRqcHFzZDV3c0duRVlybGpaZTV4c0dBRVFpcEJHOUVVeHhOQ3lMMGo3cC9BaDZ2N3FEYXdUeFNzaU41YStzM2ZHcWtjUG5BNERMWGtpODIyTWhrUEcya0hIWEpPYnU5bXNyaStjREJqUklOZEwzWVJKRFo3a2FyM1Yxclg3L0hmR0VFNVVnNWdtNjM1bXhzYTlVV3pudjBReE9zVm9iUlRHeitSVnFsUUM1bHN2c3ArVVV3aHJVQ1lRRWtMR1JRNWJPdnZUNUhSd1Zva00xNmlrcjhkcThkZzFad1A3VlVCR1FzQ1dVYTJrR2Q2K1Y2dTg3NjlONVlYQlU0MDB5Q3dQZHpNbDBpZFMrSmhKRWpoVWNrdE9SQkZIWE0yZG14c1QwblpTMXQ2WjV5K0xybGhrOVpjYUN2MEpWc1RxTkQ4K3VGVzRXRjNNb3pOWHE4SitiaHhiYWlMWjJBSmJjVmZKS2NZMEdVSzJMQUFobGNDaWtvU3BJTHFBdXFkbXFmYmNWamRKU3FETEIycmJRLzZYb05GM3NBZjNJRUd0UlAvclBtWVNwbjVCR3p5dE9kZCtrZXRaZXYremNIWGoyV1NvbkI2K0tHV1MxeDNJeWhHUzlQZzFjMHZZbEJFeU9jVmZVM2FLMXEzdHVCL3VvR21BdS96NjJwNGVoMFZ6TlVtTWpEbm5CclhWOHlxY0JvQUswOC9WbUxpSDhxRmVHU3c2OXBGN1hOVnZabWtXTmYwS01TSXpydzk3ODduZ3F0cWwxUXBwR0RVYy84MWJjMmZJN2hDYXhqajk4NDRvUUY3bThPU1h3dXZUS0hsb2xkNVF5SkpxeGtRdElHcXZ4cmxnOWRIa1V6RzMxZVNGTXlUckNaQnBFRHpMYlRCYjNabTlQbkRaYWpKWUt3VndpUHZ3YkdlbnB1ejljM2hZSXlsczNHRk5NYTlxL2dhaWgvSE52cFVwMzBSUTFPYThaZVNiYWdDa2xGaXRHb2tlN2NqUUh4UThzK0o2ZG5UVWJQTjYrNHRpMjV6anFiUFJabTdpUk9nTlhORUx3aWhIbU5TbTRNcUtPN0dtK0dNZGNkL09DRGY2aE10azJPaTBUN0E4TzBXeGpjU1hsUW9UR2RFZ3VFMFE5Z3dncEdtSmNHeG5KSG84dDN0eWZnM2VrOGZkaFloSlNPTmxmUXJYWWJSVXhSQ09zb2pPeEdTUEpBMW45emV5c0J3Wk13YUdhQzJweXUvM3dwem5mSUJEellTU1pEaTMweHdBTDVRby9xd0pJOXFOR09tRWtzTHJUVDl2TnZCbURXczZRdTdkVXZmVUNwZmViV2cxVU9NZnpvOFpRT1VaNDY4SkpNaG9aTmlTOFZYbW1uME1xMDRmb3dVZUJ5M3VqN2UzaUVIWWZ4M1dNTHJDUXVCTzFObjBHQWN2K2hDcjJxaVlXU293NVdqOGtnWUhra200VXVWMGo2TWsrVzVsTXZxek05TWhkczNCMVdPWkc1bkVSS2I5VURvaXh4Z1JqT3pPY0RMNnV5N0YxRWJBRmlqWVFPb3N4TWcraFRlRnYyUG0vM1RtUmVrc1BzZVoifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Massachusetts,Boston,"Private Rooms, Shared Bath in Cozy Homestay Minutes From Logan Airport",90,271.929,https://www.booking.com/hotel/us/cozy-homestay-minutes-from-logan-airport.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791074&all_sr_blocks=525665702_347596365_2_0_0&highlighted_blocks=525665702_347596365_2_0_0&matching_block_id=525665702_347596365_2_0_0&sr_pri_blocks=525665702_347596365_2_0_0__75000&from=searchresults#hotelTmpl
Massachusetts,Boston,Hyatt Centric Faneuil Hall Boston,85,933.261,https://www.booking.com/hotel/us/hyatt-centric-faneuil-hall-boston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791074&all_sr_blocks=405548104_253908768_2_34_0&highlighted_blocks=405548104_253908768_2_34_0&matching_block_id=405548104_253908768_2_34_0&sr_pri_blocks=405548104_253908768_2_34_0__257400&nad_id=7b26eaf7-02a2-4b5e-90d2-78aecb9ac9fa_1&nad_cpc=1.61&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpKbUdrd0tWYmM1RTRyTzgzZEhoYU9BR0E3dHBnM1d3ajF4UUxpdzBPTFJNZHlGKzB4aXJJUmRLZFpNVzlMeTlCc1NxMUc1bGVOUFNMWFlWQ3B3QTlPQkg0R2Z4RlRSdkFuZXNLdTc2YXNEeWgxNXpzYlFYTWNZaXExUTF4THcvV0MzbjVQVmNMSUQrYlBUZmZObXVhYW1aKytlcDZUNzQyUHppUHlCQ3llblp2Z2VHNExNQVBIUnpGVXlqWVNEWlpHTU1rK1Y2RjduOHBHbUMyUHBuTHV3bjVLY2tLUFAvTEROYW80YnZQSzMzS3JOVGNFMGc2eEk1VmtwWURMUlloKy9nNTVqWXdGbHJnMkY5RXlpTUVxMmZKQlpZREFrdEpFdUdEVzVJQTM3c1ROc250bG9uNzh5QlBIV2tkNnZieXE2VmhqTVBxZm1aOHNrMUx3Z0xCRHRBUzRnS3gySjZtcUR4MHRyNTgxc0lCNWVoVHRJeGtHTzExTzdNb01CcVNIZENwYTR3TVFmajR1K1VsbW05YkU1b1EwWnluQ2NVWjZtWU9TcC9hYjlWaGJDUHNuSjdsRjk2cFhMSm45WUUvZm9RR0k3M2NVWTg3cmhHR2dYdkV4UGdjY3c1ZTRjbzJ4RlREd012VnNJTTJ5eXF5OHBwWE1jVmluZHJRQ2VSWXBwR045eHQzc25GNGkrSWFQaXExZmRZa2UzZXhMenI3ZnRsSGIwajZtSzk5RjloUFpCVFNrZ25hcU1qZXRkQVowWTFzWnNEZ1hJQVp5NXdzQ2FlODNhWktYc1EvTTJGSytMdkwzRWZReGJNVytuTU1qSUQrbDhnUVhnbk50eDZGNzRqM29OZi9qbWxVRXg3MklBVldmamhBZ2JRQmJvWnYwbTR0SWlYZzJuMGVyaGxwTW5MdmRHeTZUS2FuL0pMd2lNMGRTaGNiaTE0SHhkaEVLRFVLeE01M1R0OTM4cnRmODJhZGRmWGdLWXQ2ZUVraHFFMVpDcE8yQ3dySjhYTVRMdktpVm1oR0R0ZG50VTdXZ1pIVzRNRkhqZjJvczFQOUI1cVk4WHI2SDdOYWQ4WGpvejZMOVlVTFZ2cHdQOWl6WHdvVkRQZUU5SldxNytsaWdUejlIS3JFcnZsdVZsRzFOQjIwYkpEdlZCVitVZzFydlh2K29McENZczVqOStoMTJvb2d0VUVsWi9aNVFtU0hwRG1kTUVBZUJTNHpENWNOTmxtTW1IZktWYWVhc05GQisvNDRIOEV0dWZ2b2EzZ1dKU1dKY0M1TFd3S0VoaWdBZGU0UGsyaGJqaFZSeU0rVmFyNTh1WXF2bHBvM2l4TzhzUGoxcng1aktzcWN1K25YbWhwQWNnaTJVakUrcmZ1Um5GOTBWMGZ1RlNoaGcvdXQ5WmIxQkh4Y1ZhWWVua3o1RGxsUWhyUUhwRVY0OTdENEoyaHNkMEpmMVRaRjRUVE1kckVzejV6L2FaREVFeGJGbWRDcGhDSHE2a3VCTnh0VkZHQnNQY1pOaFJNbDJyU2F2cEZZNlQzWUU4NjlieVQrb1ErbTUrVVBmUDBJSXFCb2pneXBCTm95ZDBzTEtEUXVvT1YvWERNV2NwVzc2N3ErbFovalBNSWp0NzM1OHd5cFJFK3lTcnB4bWRGcTlSeFo0UnNFTnF6UTVwWFkrS2hBVzNBdmYxaXpuZEZNMlVRUFFDTTNDZDNPdklVa1JDYWxrTjRGekErVVpKZTRiZ1Q2emVKREdJUnRrd1FoSGVkQ3FteGlLaVlwMDVvRmZqN2swMEhrcDF6YXNHK0xoUGVVVHB3L0ZOSi9Pa2xOaHhRSjViVDZvM1MwQnIxUDhoSDNEMHZURDY0Vyt0MS9iMjZlTXdPcDR6UXQvNlNZcWs0U3dRQTZzdm1Zc3RaQy9zOG1ERlN2V2NSYXJOWU8xZjdPRFVXYkZyL0loa21iMCt5ZUJacTUvZ05yMXFPNnhoWnFzZDV3c0duRVlybGpaZTV4c0dBRVFpcEJHOUVVeHhOQ3lMMGo3cC9BaDZ2N3FEYXdUeFNzaU41YStzM2ZHcWtjUG5BNERMWGtpODIyTWhrUEcya0hIWEpPYnU5bXNyaStjREJqUklOZEwzWVJKRFo3a2FyM1Yxclg3L0hmR0VFNVVnNWdtNjM1bXhzYTlVV3pudjBReE9zVm9iUlRHeitSVnFsUUM1bHN2c3ArVVV3dGlWeTBYSFVIR1JRNWJPdnZUNUhSd1Zva00xNmlrcjhkcThkZzFad1A3VlVCR1FzQ1dVYTJrR2Q2K1Y2dTg3NjlONVlYQlU0MDB5Q3dQZHpNbDBpZFMrSmhKRWpoVWNrdE9SQkZIWE0yZG14c1QwblpTMXQ2WjV5K0xybGhrOVpjYUN2MEpWc1RxTkQ4K3VGVzRXRjNNb3pOWHE4SitiaHhiYWlMWjJBSmJjVmZKS2NZMEdVSzJMQUFobGNDaWtvU3BJTHFBdXFkbXFmYmNWamRKU3FETEIycmJRLzZYb05GM3NBZjNJRUd0UlAvclBtWVNwbjVCR3p5dE9kZCtrZXRaZXYremNIWGoyV1NvbkI2K0tHV1MxeDNJeWhHUzlQZzFjMHZZbEJFeU9jVmZVM2FLMXEzdHVCL3VvR21BdS96NjJwNGVoMFZ6TlVtTWpEbm5CclhWOHlxY0JvQUswOC9WbUxpSDhxRmVHU3c2OXBGN1hOVnZabWtXTmYwS01TSXpydzk3ODduZ3F0cWwxUXBwR0RVYy84MWJjMmZJN2hDYXhqajk4NDRvUUY3bThPU1h3dXZUS0hsb2xkNVF5SkpxeGtRdElHcXZ4cmxnOWRIa1V6RzMxZVNGTXlUckNaQnBFRHpMYlRCYjNabTlQbkRaYWpKWUt3VndpUHZ3YkdlbnB1ejljM2hZSXlsczNHRk5NYTlxL2dhaWgvSE52cFVwMzBSUTFPYThaZVNiYWdDa2xGaXRHb2tlN2NqUUh4UThzK0o2ZG5UVWJQTjYrNHRpMjV6anFiUFJabTdpUk9nTlhORUx3aWhIbU5TbTRNcUtPN0dtK0dNWmR0N1BEemY2aE10azJPaTBUN0E4TzBXeGpjU1hsUW9USGRZZ3RVa1E5Z3dncEdtSmNHeG5KSG84dDN0eWZnM2VrOGZkaFloSlNPTmxmUXJYWWJSVXhSQ09zb2pPeEdTUEpBMW45emV5c0J3Wk13YUdhQzJweXUvM3dwem5mSUJEellTU1pEaTMweHdBTDVRby9xd0pJOXFOR09tRWtzTHJUVDl2TnZCbURXczZRdTdkVXZmVUNwZmViV2cxVU9NZnpvOFpRT1VaNDY4SkpNaG9aTmlTOFZYbW1uME1xMDRmb3dVZUJ5M3VqN2UzaUVIWWZ4M1dNTHJDUXVCTzFObjBHQWN2K2hDcjJxaVlXU293NVdqOGtnWUhra200VXVWMGo2TWsrVzVsTXZxek05TWhkczNCMVdPWkc1bkVSS2I5VUR3a3h4c1JoZi9BZm1UdmhRTEMwbFhWQnlyR0cvSTB4SmVMUldHak9hMU1YZ2gyQk40Vmd0ZVN5dz09In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Massachusetts,Boston,Brand New Luxury Rooms near downtown Boston,90,236.905,https://www.booking.com/hotel/us/brand-new-luxury-rooms-near-downtown-boston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791074&all_sr_blocks=927815702_364659348_2_0_0&highlighted_blocks=927815702_364659348_2_0_0&matching_block_id=927815702_364659348_2_0_0&sr_pri_blocks=927815702_364659348_2_0_0__65340&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Massachusetts,Boston,Hyatt Regency Boston Harbor,83,507.093,https://www.booking.com/hotel/us/hyatt-harborside.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791077&all_sr_blocks=48735610_365395175_2_2_0&highlighted_blocks=48735610_365395175_2_2_0&matching_block_id=48735610_365395175_2_2_0&sr_pri_blocks=48735610_365395175_2_2_0__139860&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Massachusetts,Boston,YOTEL Boston,79,745.738,https://www.booking.com/hotel/us/yotel-boston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791077&all_sr_blocks=222142002_375343746_3_0_0&highlighted_blocks=222142002_375343746_3_0_0&matching_block_id=222142002_375343746_3_0_0&sr_pri_blocks=222142002_375343746_3_0_0__205680&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Massachusetts,Boston,"Holiday Inn Express Boston, an IHG Hotel",80,790.77,https://www.booking.com/hotel/us/holiday-inn-express-boston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791077&all_sr_blocks=18257405_118822665_2_1_0&highlighted_blocks=18257405_118822665_2_1_0&matching_block_id=18257405_118822665_2_1_0&sr_pri_blocks=18257405_118822665_2_1_0__218100&from=searchresults#hotelTmpl
Massachusetts,Boston,The Revolution Hotel,83,562.821,https://www.booking.com/hotel/us/the-revolution.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791077&all_sr_blocks=404519908_124229162_2_0_0&highlighted_blocks=404519908_124229162_2_0_0&matching_block_id=404519908_124229162_2_0_0&sr_pri_blocks=404519908_124229162_2_0_0__155230&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Massachusetts,Boston,"Hotel Indigo Boston Garden, an IHG Hotel",83,808.173,https://www.booking.com/hotel/us/hotel-indigo-boston-garden.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4be36e5d16150071&srepoch=1701791077&all_sr_blocks=7981212_95442980_2_0_0&highlighted_blocks=7981212_95442980_2_0_0&matching_block_id=7981212_95442980_2_0_0&sr_pri_blocks=7981212_95442980_2_0_0__222900&from=searchresults#hotelTmpl
