state,city,name,avg_score,price,reviews_url
Nevada,Las Vegas,Excalibur,75,121.016,https://www.booking.com/hotel/us/excalibur.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=18611211_369325944_2_0_0&highlighted_blocks=18611211_369325944_2_0_0&matching_block_id=18611211_369325944_2_0_0&sr_pri_blocks=18611211_369325944_2_0_0__33520&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Marriott's Grand Chateau,90,688.114,https://www.booking.com/hotel/us/marriott-s-grand-chateau-1-las-vegas.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=26571503_195545949_0_0_0&highlighted_blocks=26571503_195545949_0_0_0&matching_block_id=26571503_195545949_0_0_0&sr_pri_blocks=26571503_195545949_0_0_0__190600&nad_id=a26325b0-758c-41ce-bfb1-1605840bf985_1&nad_cpc=0.45&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZLM0dTVVk4c2IzcHlxd1RpbHhpOE9xSUZEeXN3bTd6VVF0NVB1ZTJRRnNUc1o0ZEhsZG43N2VSeHVPc20zdWd4cEprOUkyZk9GL09mMTBOOW1SekE2cEt2VU5yT1BMVXhVajVoN2NJS0VWeVBFd01sS0ZockNlSWlyejBaY0crYjhKWGg5MGh4cDNPQ0xkTW1tSWNiME4zRmg5OTdVai8rZzU1ejJFU0huMENNc0ZkSjFzTVpxK1IwRWovell3U0JpS3VJSHZpajliSmlKTjNKdWFwdjFqNGd2Zk5pWnpaKzRPRzVhUXlKQU1lVWdyUjNOa0ZsOXJFekdlVHBYMTdITFRSVjQvU1JENXF1OUpmSXk2TFV0SEVvSDhzR0VZdEpudG1xQXRPWE5hRWtyRzhDTEZHTnlPTUUrKzNwNm5WUG1tRFAzL0hsMnl5c1Zuck1DUjR5TU02bFB5b05QNURyTFBzWWxJVmwrWjdMMi9aNmZmRjFOZk1Td21ZbjR2akdlSnMxM3hwSjV1WmJOb09iWjRJc0tzbGQyTURRSGdrYjJ1SjBmVHN6ZVRZZld0VnduVlNDdFhYOVlRYVd1RFRNWkNxS1ByTS9TcC9jRVhPM0M2bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V3VrbWtjT0IxVUVQTTR6WW9hZHRLeXM3ZWhpYXp1Mi8xZ21EbzIyUUFlbWJmbGoyM1lOaW9GSFkyOEhQK1QwbzJQZFUrY2w5MU9ESWk2Z3o4bU94ZDlwcHJDSURuMlplMkI5QXFuQk43QThtTmF3SnllSGtjWXJVSWpyUTkzanhtMDQ5SnNkQmxLMEJBVE9lNzZsSFQ1eUlRNVFkVnpCcjloNVphVHJBYTZXeUZrYWZQQmRnUnUwb29vZE5Ya0NETkxtRGN4ZkoyclpLVmVYQzhjajBITlFXR3RnTGVsTDcyMmNQZVNFMXRmc3dyRTg2a3FpbmFJZ2NqZmVCMFB2aTdtVGgrUDlWenloeUlLY2RvVzhYNU9qMDJxWmVoQzl2R1IzUjB1aXlvaDJRWmg2UFRpYWJrNEkyMVhJZTZ0TCtQR3BTeWN6TXBxYmJnT1lNWnZCRmhsWTVXSzhuRFF5TlRlNC9ncTJaZ284ZlhTVTV4VjN2cWdwSjdvNzBEMHZpVkJpNGJuRGZBOW4yTHNTUG1tRmhLWHBaRW9ZNU01bWZYclJ1cVZKOVIzTmpPQmJPR3VOVXNzbTJlQUZ2YnYvNTRGYUVObjdDTE16elVCSGhLMm5zQ2VDRXlNaUNraUdvWFA0bW9YcERSZ2FkenN0YmhBYnJRanlCc1VsR25DTUpCeGkvTFZnQUJ4Qkt6a3NvRERRR3AzY0ZKQ1crVUpqbko2NldCcnZuYzM3ZTk2Q294QkFMdXR5U2t0Mm9IMGNyUzNlMmhiTXdDM3h6RW84WURoV0ZBY0NuWWxBTUlRd1krWFJ5b0pNWVowNXZBQkU1amF0N3NjODU1Z2xkWWZqVVIxNU41cmhzOUR1OWM0TnRTNnpSN3dZajVjdmgrb2lRQSt4TXpVNEtZZUJDVklZOFJtdlY2a1BSMjliWCtFdGQxY0JsSmtOQndiNTNLQnlvNzQyT09yMnREeWI0enpwellYQXlya2YyUlpNQkxRMURNMVZpR01uVlBvWU1uc2dmYXF2Z3VPbjJ1RkhTUVhFY1hySVQ4RlBJZFdHaGpGVVdTV0tOSUNwMmF2dGxqdGQ2UXRIblFSRldaQTgzSXVRSnlPdm9Ramg2bGltKzZEM0U0ZnVlZ2M1MmtyRjY0bC9QdkFoaUd2dFl1V3NUN2N2L08xS2FLNFM4anFEUFc3WHEvZTVXQXZGYVIwRVN0WVJsR1BUbEgyWGV5YUFpaGQxc1VNdjBuVTkrRmNRb0xjYnNlUUd0Y2dRclU1QlFzbGIrdUhnOGlCb3FOS2lxaHZwenN2RUR3SUo4a1VhcTFXUWd0bzhFNENFd1Q3Q0ZMS1IyZkt3V1hLNURObXpXcmFicklDYzB1WVVtbnpRd21BdHNMM0ZhY250OEVWYzVqYW5GMyt1UHd0SDJGZkFKbDFzd1pJSVErWHZ1czQ3cEhhdzNTMUVKdHY0dWlJNGhIL0F4YWVseko4eDArS1BpaGpFaDdqeGhQbmliTStOOG9MU09IMUREa2xTRDI5Vng0OHF6eFNVaGw5NnM2TFQxZXBRSEZSOGYwYVIrY0xxRnIzMVF1ZUkvQ2dNNVpya3dITGtPMHZRekVMVnR3dS9mZlhoMityN3E5dmsydm8zM0NvNlhLcE55WVJaeTJtR012eXVRK0hiTzhKaHFyK0tMVU1kQ3VFVnRUMnl5ZjZnbGtBblRlTTR5VVdUQnNOZ3RTb2VyN0dSWWIzZktEb2RwcmIrMU82RDQ1QTJTajJva0RLSUtYYkNHN2xVQTdSMXFaYXphbHF3NnVrR2JtNjBvREQxOGYwZDcybm1Ea3pGY3V4ZmtGY0xpZjNHZnlXWU9acU9na01ZMS90ZUNLTWc5ZTFuMzcxU2tKYXJqSnRDYW91d2huMU5TT2QzTWJFODhRVk4zby9qUVF2RDVzZWZnWUpjcE16akNlYU1vcWtsYmtOOHpxNDRjdDN3VkNycGlHbTNLM3JVbklUYVlDVElyMGdVUHhYcjRCaHkwS1dCS05aNDVuZ045Z2FyZXNNRjFwSGJRYkhXMnBiVG5zbTMvQmNnUGFkbm9wMHBWaHhMSGsrMFFlc05RUXJFeXpmWU1ocGEyd0tjOEl5MitJdkp1dm9IcUw0T0o4elRsazU2dzRHc1ZYbSt6WWZvN2tIZERaNjdrOEtXK2JmbnFFaUE0eW9MN3lmZVN4bUY3ODJaQ2dMVncxT0kvRWhXcDBqZDFDZXZleDl6UUl5N0hjclo3OFp4SUE4QjRMaDNGVXZnUGlpaDU4eGdYa0NndFpxSmhlb1VZcDNnZ0hZZnhsRkdnelh2THZMVEhWREV5bUlIU0d1bnNkbERsMDZQbjlYMHRFWlZHVXc2cnlyTkd3SHBDMVpiV2dFN2RVUENhMy9sZFNzZkJqbEZqSlFnd1JtWWxPK3BmdzRtN1VBUVVnZDF5NWRJbkJRcEZmUjJOMWx1TEl5bU5BN3lyUURhdzgvQ20vNHNRWFoyQmdid0d1T21hVVN2Rk04bVQwSEZiZGFZa3BzMHBkczA0b25iRk4vaGdXUnBPcGhqTGl1NVRBN3JTMncyRFJqaG5hcWJHbHFBdy84bENoS2NvK0JSa2hlNmNVbVoxMFVWVW9yYXdyUDk2c0RVQ0tVREdaT2xiakRYOXM0MFI2ZUZseVNRb1diVUZwZlVQbHRRSFRkcHpGRnhsK2FMTWc9PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Hilton Vacation Club Cancun Resort Las Vegas,81,249.541,https://www.booking.com/hotel/us/cancun-resort.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=2491011_95148720_4_0_0&highlighted_blocks=2491011_95148720_4_0_0&matching_block_id=2491011_95148720_4_0_0&sr_pri_blocks=2491011_95148720_4_0_0__69120&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,SpringHill Suites Las Vegas Henderson,84,387.741,https://www.booking.com/hotel/us/springhill-suites-by-marriott-las-vegas-henderson.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=18855902_274564787_0_0_0&highlighted_blocks=18855902_274564787_0_0_0&matching_block_id=18855902_274564787_0_0_0&sr_pri_blocks=18855902_274564787_0_0_0__107400&nad_id=a26325b0-758c-41ce-bfb1-1605840bf985_2&nad_cpc=0.45&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZLM0dTVVk4c2IzcHlxd1RpbHhpOE9xSUZEeXN3bTd6VVF0NVB1ZTJVS3N6Z2I0ZEhsZG43N2VSeHVPc20zdWd4cEowaEsyUEdGL09mMTBOOW1SekE2cEt2VU5yS0JMVWhUajVoN2NJS0VWeVBFd01sS0ZockNlWWVwekVSY0crZnlKWHg2MGh4cDNPQ0xkTW1tSWNiME4zRmg5OTdVai8rZzU1ejJFU0huMENNc0ZkSjFzTVpxK1IwRWovell3U0JpS3VJSHZpajliSmlKTjNKdWFwdjFqNGd2Zk1hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZIODg1NmRkRXBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83VC9wQVRvaG93SkR3R25SQy9xSXNQQTV2Y1RJM05za0VvU1NyaERHNU9VZXZsQ3kwWUZLQ092NFdjdGVNQlEvVFlwUlJ2N0JkdVpkWkVmUjY3QVZKQkN0MlpveEw5RTRQVXplQVJEbTJSeG9sQWhBeElQSTlMeDdIWVM3UDhma2g5VTkyWWhWV01Kd2pzR1A5ZXB0YUUycUJQbm9obHV6alRYMytYUUV1QXRMd08waFd4T2p6Ym1FaGJuNUlsOEJzY0FGenFJdFJJaENZS1psMXgxVy8xT0dVUUZRMFRKU256SmwzdXFsSUMyM3ZzMTA0QUExcFBhTTUrTjRiRW9lMmg2ZTVuWlh1eXZsWnJUNDMvREJUcUlmbDcxWFpSMnA1U2Zta1lOKzIvL1d6V1V2UnZ2Rm1lS3lpZzJjNlR4c3R0cGJ5U0RteURQQ2s1V2FQVFB1OTczSmk1T3krRW5jYzRSNHlzQzkzN3lHMTFzcE1kVFF5akRRaklmNzY0QzM4eE5BNU1aMHJYck1odFk3WDlFZW5JMjFNYllPSWN3ZzYzczR3VlBIY2FEZE9xUTk1TEluWEFNeGJaQjhjbDAzMWJFelZ5Ty9zSnFIdU5KL21DMjliNjFyQnZvMWkwai81alpUUFhBMERyeE9hVDNLTC9XektqeW91U1pvMm5XTksrbUhpT2VBcUJwbDUyVjFTajFhTm1kNDlxYTIyYU1nMGYzMXpZZUx4RDZMYmhXREVnYnRtZlp4NlVlc1hPSFJoTHVUV3VoVDh0TkNHaTdndW1ad2c3YzJYZnVSVUoxcDh6STdzUHhUTWxpbDl1Nll6eVp3QmE1Nmh0T2lhMWlwbkhTMVlKa1l4dk9CYkxnNzFMMVVQL242OWJaVHFmVHRvc3l1a0R2clgwck45TEJzaW1YNk1xeFZoWGc3ZTdvUzNTVERBMEdSYkZ2WG0weTVUL0hVWlhhamt4SVZrSXV4dXRVTmMySGpYVEt4ZGo3KzB3RlExTElUd2lxU0xlQzlhQ0ZKcUg5RVk4bnNIclJ4djJuNUhoZmNQVnBGc1RaN0J3Vms5dS9YVkhvblNOaVJQQXdqemx6Qk50Y0RsU0V4SWZqSTlSTjVNNGRPSEJqZHdJT3BjcnRWOER2MmU5NzhVODc1ODZhNUx4Rmw1cUlZbXM5Y2Z2OGQ4V3NpS3lTNnBUMFlRa2hPOG1SQW10SVhoK1BvYUZHRWtmL1JpaVNyVUZYMk5URkw4K2RWMENsSmNRRUVpeTJxaDFvYmc1T1BUeXNqS2Q1U3FpazVmVzJQZFUzeDVMRWI0M0FKa0ttM1UwRmIwWU5YTXdmNnFuaGZ5aHcrWkxWQVNQTDNxRkdzRVdOSlNMZ2pkUlYyV09kWTdrbUt1cTJ6Ulc1QXBBakFORlNZMGhsOVdBTHlpdG9Bdmc2RkNqNTdDeVFySCtWUWNXMW1QUDc1NWtLUDBnZ2l5NUpyNm1YYjV3dTZnYlhyNDkvQldCRkdUVHZPeXZWUXJQTGtsQUVkd0RuVHlVeUNxRllpMmZpd0Z2dlZWa2pHWS81VTFJNDZBT3UvTU12c29Xb2tWRFRzRVFwUEwyNFc0dnE5U3NweGYxeU5qVkN4SU40a0ZNOUZXWWtOby9ESUtiM1R6YWNMZjIwL1c2VjNLN0V0R29XN0NjcklXWTA0d0Q3SHlUbG1vcHA2YlRaZC90ODFWSTRDZWdDbWFpY0ZSSDBrWEFKMEJ0M1k4Slg0SHUzc1E3cm55dzEwZFdVTnV3L1RBMGtYUFgyYU81bnNBeHkreVB4MWJKaEtQN2krei9ic09TL29IRE4zMUxGVTRmV3lzT3paMGprRlBWeTFad3U2bmUxdTRmUTFSa2NVYkp2c1g3RTZ6eFZQeVUrMlZZblAyVHZ5dTFLMHJjMmdtTHR4T3hmYXl3eSt2OXJNcmp6ZVl4eTJ0NVhORTkyL1FteXpIRk5QcTVVTzNCTlk0ODg2ZVFhMWNWQy81RC9DMmsyYkhxa0VzcGNlRUpnaEdURHRGZ3NUVWF0NnlWZnE3QktIVlhvTDN3Nk95eTFab0lWd08rcVFLWkUyVE1YT2hVYXVOSXVKbXVLUSt3cGFNQVpXQ0lwQnJ1cHJNZDUzdm1DbFBCYXZGYmhVUWZpYktNZFNHVko1dVN4UmNLd2VrV1Q3RXM0T0ZiMVpFZjJaYlZ5NnhNYlkrMHl5Rk5BS0JsUGFRd3pSUnIycE94SGd1OW9mQ1Job1pZNlpEalFyYUVwYlp5SkVNSXpzdzRNcER2R1dQOW5uM3BabWZXZ011VGN6TGI4QU1UTTBPMDRGVW4wUHlVYWR0ODRIMER0Z0xxZEk1RTFzbUxWTFhTd0t6SXFOQzYvUVJ0Y0xSb3FvUXlEMDFiSDNXcWNlUURWZ0xmekhxTU1rRUttQTJTcjlQNDVKUFZyLzhIdDdNR0tjSFUyQkZxMVpIakFtaTUycHZ1K1V2QVJzQ29oZEhYdnI3cnJWR044aWdENVd5QVdCS0I2TWlaRUJhVWhGcUUrVkpEcGwzYjBEU3pkUUk0SHArd0djL1M3OUptYjB3VzVLdDlBRTMzSkcvb3E0TmlSd0R1NmNxUWxPWW9ZYTdwZzJ0U2prTlNoamY0Y3FMS0RGejR5VkVPUzNhWHQvOUhpeHpRbjR5NnZrOVNDSDB0aFR2S0RCM3ZIR3BQYkFJTmVYWEVJRGZsUEhFS0d6dEptNU1teWlXVXI2VDNiQVU3L2c1YlZERmw3Wk5Vc3hnU1hxcGxJVW90ZUlhaUl4WGtvVHZjN00rUXd1dzZVelVpREFMbkFmV3FVa0tBR3AxeFhWZlhMb2FlaDVzOXJka0s3YWJiUm9iemwzWXFhcDUyTGlLeFRqRGtaR0prV2dyM2orZktDRXlIMWFsc1JsMmV1cUFmM0Z5OGZFaVA3VjR1R2RUYXlhbjM2Y0RhRzd3RFFkQ09mQnZXNDhnd1ZMdkExQ1NJL2xRTlIvdWliYjhMOGNLQmk0WWNSeUk9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Luxor,74,151.053,https://www.booking.com/hotel/us/luxor.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=18611718_260349926_2_0_0&highlighted_blocks=18611718_260349926_2_0_0&matching_block_id=18611718_260349926_2_0_0&sr_pri_blocks=18611718_260349926_2_0_0__41840&from=searchresults#hotelTmpl
Nevada,Las Vegas,Downtown Grand Hotel & Casino,79,165.061,https://www.booking.com/hotel/us/downtown-grand-an-ascend-collection-member.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=58001502_352446942_2_0_0&highlighted_blocks=58001502_352446942_2_0_0&matching_block_id=58001502_352446942_2_0_0&sr_pri_blocks=58001502_352446942_2_0_0__45720&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Planet Hollywood Resort & Casino,76,160.295,https://www.booking.com/hotel/us/planet-hollywood.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=5629336_299009815_0_0_0&highlighted_blocks=5629336_299009815_0_0_0&matching_block_id=5629336_299009815_0_0_0&sr_pri_blocks=5629336_299009815_0_0_0__44400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Horseshoe Las Vegas formerly Bally's,77,420.233,https://www.booking.com/hotel/us/bally-s-las-vegas-casino.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=5943640_299009761_2_0_0&highlighted_blocks=5943640_299009761_2_0_0&matching_block_id=5943640_299009761_2_0_0&sr_pri_blocks=5943640_299009761_2_0_0__116400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Paris Las Vegas Hotel & Casino,77,306.362,https://www.booking.com/hotel/us/harrah-s-paris.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=7598934_299009908_2_0_0&highlighted_blocks=7598934_299009908_2_0_0&matching_block_id=7598934_299009908_2_0_0&sr_pri_blocks=7598934_299009908_2_0_0__84859&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nevada,Las Vegas,Flamingo Las Vegas Hotel & Casino,72,188.845,https://www.booking.com/hotel/us/flamingo-casino.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=49a719ca524901f3&srepoch=1701747611&all_sr_blocks=5943701_299009927_0_0_0&highlighted_blocks=5943701_299009927_0_0_0&matching_block_id=5943701_299009927_0_0_0&sr_pri_blocks=5943701_299009927_0_0_0__52308&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
