state,city,name,avg_score,price,reviews_url
New Hampshire,Nashua,Clarion Inn,85,319.424,https://www.booking.com/hotel/us/rodeway-inn-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=5607010_233645089_2_1_0&highlighted_blocks=5607010_233645089_2_1_0&matching_block_id=5607010_233645089_2_1_0&sr_pri_blocks=5607010_233645089_2_1_0__87990&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Hampshire,Nashua,Sheraton Nashua,74,329.625,https://www.booking.com/hotel/us/radisson-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=30925023_94403463_0_34_0&highlighted_blocks=30925023_94403463_0_34_0&matching_block_id=30925023_94403463_0_34_0&sr_pri_blocks=30925023_94403463_0_34_0__90800&nad_id=9f654306-6690-4fe8-bbe0-bf1cf25f493c_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxejArRlRzQnZCcTE2aUw0V1phdEFQV1lBbGNOaVRxQkw0MDZkY0dUUmQxaXUzeE5hVHlBUmNoUlRUUDg3Yll6NTZiU3RIQ1prOVh4WVFYd0liaVMvUkVCTjJmQ0MxSEZkVE1LRlNmWE9UdWZablBlQWlkVGdlcFhTdjRQU3p5V2lIU09Cek1uMWVpSmVZQi9IWEd3RjBqSUhCY2NhTVo4NVhxbDd5ZGtPbUdMZHBpQzMwR3BPY0ZiTWEvakhJckV1WXRUQThtdWdNU0VmemdtTUxMTmc4OS9ZVTVzeHRSbHAyODhGanJZMlNJY2dpTVY4aHZKWmE0Q1AzOFJGdVh6YnRNTTM5c3JON2l4M3UzWGp5UVhkYkZaR3JMYjZ0a3QxSTdUSW1JRXFqSDdnNis1TXZ3V3J6ZXAvTExXZ0Z4RWw1TUUxdVpKMGVCVG9OUTBWZUJVRTR0b0JCYVNOYkQ5WjV4QVZiU2xsb0J4cWxNdklzY3hqYWpuRVB3ZzdsNXZCL3JlTzZWUkJFL1VuUHZvUnJhUlBmTnk3ZFVQU3NReVZxaVZSYjh6cmhuWHhHcll4UFFzUmlzVDBZSWE4RlREd00vMXpJZGF1Mk8zNDRaWFBlMDY0Ty90VWF4MGtwR0I5eDliem5VVSs2c1hIeXJsZmNKa08zZnRRM0x6WnB3T0loakMrZUpzTytSL0NERDcwM1Npa0ttVHRQd0IyZmxjVDVtdENNd3R2OUY5YkovZzNkNFBBK1VpTGtWTDNmN1MrWC9raVpkNnRuY01uS2libXBsNFptaVV1aUtSOTRYNjdlYXF1end3UjMveUJCMVNUeVIwb0xrRVk3dHkyejh3YzNYZ2dueFgxeTAxTWtySEdIbUhBWUxycEsrdG5mVlZlbTlmang1MzBlUTBGQ1ZPMlA1cVk2TWkvK01MNG1mWlFQVHNTWjh5TENVMXFFd0lkOU8yVXd2RTBGOEdONy9tQm1SeUh1TWYrRGZqNmFIQ3pJMURoZUdvdTFmOVdzUGxwVExTYS9vdlFxM2ZnMDZINWFsYldwY3Ric3lEVndvZFhZcUYrSkdHMS8xdnRIR3RKTXU5aTVFR1NoWDFMQzNzT01tdWVSbEdNd3hlcVMvQ3VKcHZiNU4rK28xeDRySVl0V1VWQzhKQkszajNpUVdaS0dTcVFScURFN01STHBYUThOdWplTWIzK2VSVnI4SndQL0Z0eFBxVlowQjNJQkRSRUE0S2NrK2d5bkE5Y0lzUDR4Z2ZuaVZWdkpmSmR1NDgxWWZ5MjRPQ09pY2NnS3haOXhickltSjB4MENyaHUveFA5bk9CM0FxdWVQMTlHcFlvcyt2M0ZBVUI1NUpzVTY1c1l3ZC9ISTZqMG4wVGdrWXVwUnpsRkJCZ3NIdFBpVlJQa056d1FZTjNTelVCL1JKdHVYaUtQMjVEeGZrMk5tTXhYU2Y3dzdBWW1KUVVTVlZmT3RRd0NvVWc1Q2JoK3daMUJtc1k5YXRGeVRYdEhyNnhyd0xXTEJOWXExRjFqMzhUTnR5ZTFNTEtBQTZ2TTErT1ZzU1RzR2IxNy9xaU52NkxLSjJ1clRraWdDcFdIdnVkcjRGdGNFQ3NTbGNqVk1VRittdHo1bTgrS2s1VDJ4ZlAxQ0R3WWdSOEMwcUxTNU9GUGlPNkxFd1JDYlJwWnQ0d1c3TVBLZThhbnlqa0xOS1BjUTVweEFoSFpkYXRtd2FMZ3R3cnVkZ0NuN1l3ekc1K2ltcjhWS1BtT09RQXBSalBLcFBZMFIwK20wbC9KbUQ1a25zS3NGSy8zVGlHaHZ5RXZOYjM1MVhNMmJDWndlUit4eGRydUhWOGdacWpURmJocG5veTlaWCt2ODJIV1dEYWVSYWljOGJ5ZXFpT1FYYkpwYVJ5MUMycHJ6S0xZYVYwaHNEZzhhemUxY2J0UVlBRkhITUptRlBMZTRBOFN3TVZnNDBCNGdFNTIveTBjd2ZOdTlrbjZPSGNCcjRUMlh0eE5aTzNyakRRN2xZV2pRZEdmR0V5NDJpQjF4R1NrQVNCQ3NqSjk1enR1U2FlRmgvWEw5Wk9rZEFkVGRYaUxlYUhsZm42NjNQRUMwVlRrSWtpdlNFZ2xZTHFRSHYwdjFrelA3eHJiZ1BIeTRwVXBrQUc1VlVxdFlXWlZ3Y0JRemtDU2dMNUZWQVFNZWpFODNkc1Y1OEt4ckM4cjVZa3A0Rm9NaERzUjBGYlFzRHZVYXl6R2QvUVY2dmMvYk5Wc2REdEdNSnoyREFKZTNKNmhId092OXNmWEhVUE5WSlNUUXhaVk5DRGlnZ08xbnhTZ0lXTDd5eVc2VTRnK1pRTkNyMUZXc2JyYzJseSt4VC9EZ0tkOVdrUXJkUmtkUVFjSWdydG0wNE1PR25tYklCalVBWG1hVVoyM0lmeTNkT3VJYnFjdXFzMjRiSHpaeDFKWEtEK05FdWVDcWlLcjhReTd3aThMMEw2RXZDNmZUaFY1aWhSVVdQOGZxcDBsNndBTTVMcUxHUDB5Mk8xbnhpeE5ITGNqa3FKald5WThzSXllVzN1bFNnSkw5bGxWekx2ZzV2OXZWbTEreGpaOS92enh0OVora2x1SkFqZDhXU2lRS1BDNFMyQkJZd0Z6OWlid2VuSnV2RllIMmRzb3M4OFZwSWpQeVpSRHZjUGVudDB0QVY3dXZldG5wMzZuQnBqSG41VHVQWktmSDdPcVhYTSt5M3J1c0JsZEJtNXVmZUszYnlQS0NRNHRJa015TVFuKzBRN05Dcml4L1Excm83a0cyLzBtdVRPZlhEbEVjRjNFeTdITlgxRHdZZjlPekhWYmpZVVlBbG5sZmVrSlNtTW8rVGxjbnR3ZG5vempUWVdNZUFvcmszUnlldmR1cE1mM0VVUmo3QzBlS2pFZkFDMmloV2tSY29iNE03SURSY210NmtzSlRxYWFxUXl1OEl1MjVENHYvU0ZORHVwVGE5VEJKeFp3eXhObU5IMHRwclFaT1MxOW40UEw0K2NWbnFybmR4aHhleWdRcXM1YlJybndKaktqZ1lPQzRGeTlCNWJ1eDBvdFgvTUpYQjdMV1V5cjJWMWV3S1g3dEhEZzRSZU5iODVQRkNKWWY0V2drYkh6NTdRd21pWUpCOXk2RDNpMVVvREx3ckJQSHVWeGZQZzNvM1dmSXh1MG9pU1dDT0IybGRDVXBNNTZ1dFhhTnFiQyttcGtzT25GR3NCYzdZbVhqNVVHclhQWHN6aUdzeVVPUnQrVzdkQWpkRlNTL1lqOHEwRFlwY0hLNHFlcFFxa3hEWUh1SFFPb1FGWVdFS2gzYlhuMnhhZE14UElCcjdiVDZNWXU1YW1GRmQ4clZYbjFMYXVYVE16cGo2VDNWUUx3d0R0Q3JRM3hyNDA0WEZyS3Zhdk85dG9KdkRCMVNYR1MvV2RHYmJ5UWlvNDBGcEU0cjJXSUNmdmdUckloQjJXVVRJZng1Y1Y2VTZJd3RacTlYaEtOZ3BoIn0%3D&from=searchresults#hotelTmpl
New Hampshire,Nashua,Extended Stay America Suites - Nashua - Manchester,71,305.571,https://www.booking.com/hotel/us/hotel-southwood-drive-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=51585207_91842928_2_1_0&highlighted_blocks=51585207_91842928_2_1_0&matching_block_id=51585207_91842928_2_1_0&sr_pri_blocks=51585207_91842928_2_1_0__84174&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Hampshire,Nashua,DoubleTree by Hilton Nashua,79,368.174,https://www.booking.com/hotel/us/doubletree-by-hilton-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=18331516_94331447_2_2_0&highlighted_blocks=18331516_94331447_2_2_0&matching_block_id=18331516_94331447_2_2_0&sr_pri_blocks=18331516_94331447_2_2_0__101419&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Hampshire,Nashua,Hampton Inn Nashua,85,353.004,https://www.booking.com/hotel/us/hampton-inn-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=19146502_94345683_2_1_0&highlighted_blocks=19146502_94345683_2_1_0&matching_block_id=19146502_94345683_2_1_0&sr_pri_blocks=19146502_94345683_2_1_0__97240&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Hampshire,Nashua,"Motel 6-Nashua, NH",47,208.716,https://www.booking.com/hotel/us/nashua-2-progress-avenue.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=37397720_353325712_4_0_0&highlighted_blocks=37397720_353325712_4_0_0&matching_block_id=37397720_353325712_4_0_0&sr_pri_blocks=37397720_353325712_4_0_0__57494&from=searchresults#hotelTmpl
New Hampshire,Nashua,Residence Inn by Marriott Nashua,92,488.121,https://www.booking.com/hotel/us/residence-inn-by-marriott-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=114932202_93776236_0_2_0&highlighted_blocks=114932202_93776236_0_2_0&matching_block_id=114932202_93776236_0_2_0&sr_pri_blocks=114932202_93776236_0_2_0__134460&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Hampshire,Nashua,Homewood Suites by Hilton Gateway Hills Nashua,85,489.112,https://www.booking.com/hotel/us/homewood-suites-by-hilton-gateway-hills-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=135262701_94590276_2_1_0&highlighted_blocks=135262701_94590276_2_1_0&matching_block_id=135262701_94590276_2_1_0&sr_pri_blocks=135262701_94590276_2_1_0__134733&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
New Hampshire,Nashua,"Motel 6-Nashua, NH - South",55,245.382,https://www.booking.com/hotel/us/nashua-77-spit-brook-road.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=37513007_353311909_2_0_0&highlighted_blocks=37513007_353311909_2_0_0&matching_block_id=37513007_353311909_2_0_0&sr_pri_blocks=37513007_353311909_2_0_0__67594&from=searchresults#hotelTmpl
New Hampshire,Nashua,Courtyard by Marriott Nashua,77,373.551,https://www.booking.com/hotel/us/courtyard-nashua.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6c8d94f6e1de005c&srepoch=1701897075&all_sr_blocks=26511701_274565315_0_0_0&highlighted_blocks=26511701_274565315_0_0_0&matching_block_id=26511701_274565315_0_0_0&sr_pri_blocks=26511701_274565315_0_0_0__102900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
