state,city,name,avg_score,price,reviews_url
North Dakota,Fargo,Delta Hotels by Marriott Fargo,84,286.062,https://www.booking.com/hotel/us/fargo-1635-42nd-street-south.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=33445241_274563898_0_42_0&highlighted_blocks=33445241_274563898_0_42_0&matching_block_id=33445241_274563898_0_42_0&sr_pri_blocks=33445241_274563898_0_42_0__78800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Dakota,Fargo,Homewood Suites By Hilton West Fargo/Sanford Medical Center,82,371.884,https://www.booking.com/hotel/us/homewood-suites-by-hilton-west-fargo-sanford-medical-center.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=269364201_106009477_2_1_0&highlighted_blocks=269364201_106009477_2_1_0&matching_block_id=269364201_106009477_2_1_0&sr_pri_blocks=269364201_106009477_2_1_0__102441&nad_id=235d7f14-069b-4438-98c1-61f01a57fd42_2&nad_cpc=1&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZldVRHZqMEI3NS9nY1hYM1pBMW1Qc1R4b2dkb0wwOUoxdXFMditMMnhjSjhRaWszNHJQYk1MT0pMMDVMZ2Roc1lZR0dSanpLM0pKU0RnM0VlWTZreVY5RUhlYjZKM3BzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NTdaMnEzd3NzT2lYei9qZ1hJekRORWdzWTEvL2toUm0rZUx5eTFzZnJGVnRDS3BPOXVIT1ROOWVkcnRoSll6ZXNhWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZMeThwaWVlVnBOZk1Td21ZbjR2akdlSnMxM3hwSjV1WmJOb09iWjRZc05zMWQyTURRSGdrYjJ1SjBmVHN6ZVRZZld0VnduVlNDdFhYOVlRS1d1RFRNWkNxS1ByTS9TcC9jRlhPcko2bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V3FrbWtjT0IxVUVQTTR6WW9hZHRLeXM3ZWhpYXp1Mi8xZ21EbzIyUUFlbWJmbGoyM1lOaW9GSFkyOEhQK1QwbzJQZFUrY2w5MU9ESWk2Z3o4bU94ZDlwcHJDSURuMlplMkI5QXFuQk43QThtTmF3SnllSGtjWXJVSWpyUTkzanhtMDQ5SnNkQmxLMEJBVFBmcml0SGo1eUlRNVFkVnpCcjloNVphVHJBYTZXeUZrYWZQQmRnUnUwb29vZE5Ya0NETkxtRGN4ZkptcmVJbGVYQzhjajBITlFXR3RnTGVsTDcyMmNQZVNFMXRmc3dyRTg2a3FpbmFJZ2NqZmVCMFB2aTdtVGgrUDlWenloeUlLY2RvVzhYNU9qMDJxWmVoQzl2R1IzUjB1aXlvaDJRWmg2UFRpYWJrNEkyMVhJZTZ0TCtQR3BTeWN6TXBxYmJnT1lNWnZCRmhsWTVXSzhuRFF5TlRlNC9ncTJaZ284ZlhTVTV4VjN2clV6T3FGNThEVk85bGhiMHFMSVBpY3VuYWcwV1d5Rm1iVDFHRXNjbDhvWVBRcVVwYVJlOURUNGhPVXNRWG5MYWVWcmg2Y1Zvci8vL0lBWlJvMjRRNlprbGg4QzBxV2hzaVNaQW5ocldBdld0akNzd0l2eFRWVldiblo0TUU4YjVWYXhTY1Z6UVNiRkpGVTdyUDRuVmxRTmVYNW51aVhXREovUldNM1R0UjloaloydldFaW5uc0dxZUpXYjlVRVJZdjRpSFI1anRTVWVxU1REakVETmwzLytpRkVzSTNoU1JFcFZuSkpBTEpFc2RPekF3WklIT0pvc3RSY0Q4SEs1OGRFcnJNZy9jNUw2VXhZMGVOdW05TWlvdVpwVDR5YWtWS3NEbjl4bTA2bDVFQnU3TWlnb2ZOWEhYUXhPK1E2OFFMTVVXbmxTUk8xZ09RQmJ5TW9lQ0JqdGgvb2c5dTk1ZitUNm9qeU03eXZzek5XYmp2cFAwaHNLWCtkdFI5bFp6amgxRExFRE1qUjRLZlRxbmVtL3lQZGNXaExDWUNpQkJNSmRQNS9HMDN4SVJ6ekRlSXlwMytDdjAzNVI0Z0lNMUVoYVg0QWgzSXJjYVhqcDRGQ3ovbHFuK2F2ckNObWtGVkYvbFRmRDdyTnVQUG9hZzNqbU1xMmpTcjg1OStOU1o3d2g0aS9DUUdqU2tlYTdYRERPZWhaVUF0a1VuSFhZbW1XQmJ5aWZoa2cvcEVRazJqNTBvUXBPNjZkWTZLRlgrb2tNclVOYlRzWlI5cUswcldrbW85UGg4MFdyajl2RUR4VUQrRWNjcXhiZXhZeHRWZGFMeWk3ZEZMWDJ4UEM0UUhLMWFOQ3FVTEtTcFlDZnkrY1Y5MnJNMFR4djdaV1ZMSS9uOUVWZjRUcXdCbm1pSXhzQWtRR0Vmd0E0enBnYlh1WHUzOU03cjJ1dzFrbEVUTVBrcUh4dHdreUJqUEc0Mll4NmlxWFozMHJBeWU2ODBiQzRmY2FUOUpqU0xubEhDRWxRQkNNYndKb3YweCthbmxSMHU3VGFsNmxRRmhJak1RcmN0dE90WCt1aEM3ZVA4RFFXc2NYTjdqZXBJQnFQNVhhZHQwVHVPcXVxeXJ1ays1cTlpdjBoMXpzZ0MrSWQ3Ymhwa0dlZVpOeU9kNmFEY05obit1S1VlMHNYR0s5YnZUM3BuNmZ1Z1Z0Z0ZMcExna2paV1lJNTJuRkVvTHVHZnJ6ZlBqc1A4UE9xaGFmd3FKMEJTeis2a0RTQUtXWEdCNDBaWDhsUnVaMjhLUm13bGI0TFltcXU2VU80NStGYXRpQ0xVUXVGZmVaSWoxWUJuL3pVS1dEQWJkelF4VTVTaEtjV1dLSXJvYjQwbHNCWmhzTDR6YnA0ZHBQbTB5OHJBYlo0SUtnbHNFd3d6cFBsVFVxY20vZURnb3dLOFo2RlFMZUFwS2tnUEUxa2k1SjFLNCsrQVh1RmtITzVaV2ZJMGRPZmJqeUw3QVVLSlVPMDh3NXkxTHVDWTVZdHEyUVQ3MC9uZHNNRG5kT2VHNkRZd2RHVDQ4cXM4d1VxSnRvcStzWjBGVWtjVnh2ekpxdEFWeGpWMEFmYWYwTVp6aG5SNDRLdXFZYlU3UFJLL0t3TEpObkNtMTA1a04vaEZYYXVuYysvckFESEVZanJ6SjNab3JQbTdodlF2MlFINUNyVENGUFl2cEhKV0JiRDBBN1VyQlVQK0I3QzBEZWpmUlZ1VnMvMVNaMlNzWnBtTmh4U3VQNGtSUWl3TkN5bW9KRmhXVVdwNnByRG1mWWJhKzZrbkdzWjF4WWoxWGUxYmFLQlZRbUptaEZEVkhhaG9PTm9pRktGMHAySm8xTk1HUUIwMGlyVUFCYmlFV3BCY0I0Z2ZuTERlMFNxTUdjbEhDQkUzTkZueWdLTnJ2U2tPRnAwdVROYlZFd3JwZElkemhNZkdNOGdkQmduVVlxMGMwYXg2RWJRNnNuQWlyVnlGQVUzR1JPM1VxSGpMMDZHRXMwNUJCK1FIcGVIamRCcC9KbDM0YVRSQTlXdDJqZ2FlNGR5WlhiZ0RrM29abVloQ1ZTNndkbmFDMFRSbkx0NkNrbUJwZWxKelJmaWRsaVIzaHRvV1llY25QUzlnNXlIRzZvREI0Zm9QRm1Rc0o1NUViYURzWFhlOFNYZGFpdHVVejNNbGJrZXhkRlhaRUt4TDUrdTZTbjZNNldVIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Dakota,Fargo,Best Western Plus Kelly Inn and Suites,89,266.728,https://www.booking.com/hotel/us/best-western-plus-kelly-inn-and-suites.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=73296404_377309810_2_1_0&highlighted_blocks=73296404_377309810_2_1_0&matching_block_id=73296404_377309810_2_1_0&sr_pri_blocks=73296404_377309810_2_1_0__73474&from=searchresults#hotelTmpl
North Dakota,Fargo,DoubleTree by Hilton West Fargo Sanford Medical Center Area,84,356.253,https://www.booking.com/hotel/us/cambria-hotel.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=52295211_93765152_2_34_0&highlighted_blocks=52295211_93765152_2_34_0&matching_block_id=52295211_93765152_2_34_0&sr_pri_blocks=52295211_93765152_2_34_0__98135&nad_id=235d7f14-069b-4438-98c1-61f01a57fd42_3&nad_cpc=1.08&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZldVRHZqNEI3NS9nY1hYM1pBMW1Qc1R4b2dkb0wwOUoxZXFMditMMnhjSjhRaWszNHJQYk1MT0pMMGhMZ2Roc1lZR0dSanpLM0pKU0RnM0VlWTZreWw5RUhlYjZKM3hzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NTdaMnEzd3NzT2lYei9qZ1hJekRORWdzWTEvL2toUm0rZUx5eTFzZnJGVnRDS3BPOXVIT1ROOWVkcnRoWlkzY01hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZYMitaS2RmMHBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83VC9wTUdyRmsxTlNVZW1rR25vSlVCUUkvS1c1RExzMTA3Umkrb0ZHZFdYNnZ1Qmo0S0dLNkJvOU9Fdi93YVFPclc1QjlpNmg5c1lwcGNaUXk2SDAxQUZNT1JxaEx2SFkyVnh1MFhCbW1MeDk5WW5CNUpJcEJKMnEvUVFyUHVjRVkrVnR1UGxGYU9OaHY1QmVWYnY5dkN3cXBUa01sdXVqM2JTV2ljREZPS3FMSlAzUkM5TVNiR2xRNURsSklqNnhWZEZrWHlJOU5md3o0U0lVc2cyMkd6T1d3VkNoNEVNaWpsTlZMcjQwb0x3M1dxM0V3TUMxMERjTllyTjRhZDdlQ2g3ZXhnYkRML3NsUWtRWU80Qnd5K09lRjcyM2dEMklOYWEzb1VNK0Q1NVh2S1Qvb3JzMXlHT2orMzJNaUkzc2RscnJ1UEUyQ1ZiVEZsWHE3TUtLWjFscHkwS2phZWk5QThWSnY4RThYN3htTTJ0NTRRQ3hTc0N3TFBmYkdnQlRBOUxSZEpjRXZBdU14OWRiTHNFSy9RMEZJYmZPeFR6aGV0dUlFUU1IVUFGc244VzlSVU9YYmVQVm5ZQ3NvdTIzdFdWUzE0Si9WRm8yYUJNZktQMjlmdDFiSSt1MUtvZ2F4eVl6SGNERXpqZy82TG42RC9WekNqeUlDWGM1Q2hXWkxqam55ZGFRRzJpMGxnVVUyNzBvOWFmWkpuTUdPVVlCd1ozVmZEWUxORS8rYjVVeXd1UE1pS2V4K1pQTjNaQVFWRjZ6QzVpem8zTHl5MTZRMndjQjBwYjJpWm9RMXZ4YndOSDk4OXlsdFpnbWxlK2JtL1cxSTU3WVIvVGhpbW03bXBkM05LMFBVaEEzVHBoclpVd2hhbDI5WXNKSDYwYklwbGlmUVhzclBpNjRRVVRZVytUdUI4bndBTWdhRzF2eUdFRDNKN1ZCYkI4U2luM1lXaFhscFRKMjUyTDBGTCtGYXpWNVJyU2p2TGRWSXVxdnhnVGtNUlpIQXh2RGJVQkozV1VjM0JxUklubFlYdlgwejdtOHl1ZWQ2RG9CSkhMdWQzUWsxMitTRkhvampaMjBET2tIcXMzRlo4SkM0UlNrUUNtb1JYUDRVdGFPSEwyNDhOT284OXRGRWJySFcwN3NkaW9wODVaWVh2UmdzdWZjQ282Sk93c29kZG9DTzJSN3dGZ3Nad3hMSjBWZ093TWlzdWZ0UEdRQUlOL0J5dlY3VUpRRzlGWHVwN0tBbGV4WXdHQnhqcGgvd2s3djgzTk9MeXBUNks0Q3Z5eU5PVmlQeFptVVVZU2ZVakROOVJ5UzEvRHIxWGJTZHVPcld0bmU2MzJQVmNVaFhkWmpHR0NOOWNkTUhHbmlsSUhpbUNkWWl2MnU3djF6OWZyME1Na3dWVlZJMGcyNXZiYVdqMC9SdnQ3bEtzKzZ2akFkeXJGMGhyMEdiMS9weHVFL1l6aVh6eEtidXVTN1YrbzZjSmJhNG92V2lIRVY3Q3Z1aVVYaG5FZmdGUEZOUVZsaktNM2o2TGZTSEF3UlJvdGwwdnhUOWl1d1pZb1BsTDZyeE5vc29idUVsTVJNMVQ4SzIvcjJVdTZJM3k1VmJseU5qQ0FSZ1A1RUVQdWhMT3daeHBBNG1Md2p6ZEY2cjAyK3k2V3hheUM5dXNVcm1mcVp1WTBlRVY4R2ZMMkRjQjkrT1ZiOXZ0OEZKRTl6YW1CbnF5TngwUmxoeWRjMDluenBJSlh1VHozczhtcm5mVTF5MU9UTW51cUhZSDBEcUJ4TGFxMVpsMm5ibmR3eGlmeWZheTBmMzJjTVdJL3BmSE0zdExGMFZURlN3YnlJRW9ua3ZleFY1bXN1dWQxdVJaSEJvb1BBblkrWXl0UitXaFUvQ0k0VEVIdGRQVzhqRGtkR1Bva2duRTVsVHZOcjNobEx1ODlacmsyKzBnMFR3eERQVUI2NjhvMDJmbEZNNytDS2JiTTk1aDdmR1lZVVZiUmZaRHAzdjlsNmJ4MXhKd0Fxb0V5RTdTVjc0NzZ6b1FvTE9VZnJqQU9pTVM5T3k1bTZlLzRwc0tSUU80b1FLS0YzajRFYlFwVHZORHQ5cnRLWERucUs4RWZ5bjc2UXp5NGVwVWlpU2hTbHpMZmU1YWoxSWVtK1RKTFhYVGVkeWZqMFJXaWJrWFJPVi9zNmdtM29kTGl0ZjA4YkJVTzlybXJXZ2NEN0Y4Sk9WNXNBUjMzSi93UVhhTnZmT2YwTk1LajlteVRyQ0VvT1I4UEFZMGc1VnFmTVcrZFh2bmtEUDBlaXFCeGNXTE1IR1c3aGxGYkZDaTRGRTUwN2ZVUEpaZy9tUksrZzdxY3NVR2s1T2FXcTZWZ05ITHM5K285eDhRUGV3ejk4ZG5XQVFQV0JMcVBQSVJSeG52empmVmNWUVIxUjZjdDRMMStjWGI0cXNWc3JBVE9NekhtMEkwbU5Ic0VqanhqZG12NDFmV0ZwLzN5b3JUdi9pNC9RM0QvaU1PNkMvS0JVTGF0cHVDQmdYSjJBclpyUTBWdVZuTDNESzVhQlI3VU12bVZaT1Arc1IxUEJSUXQvZytVRWZ6SXlpMXFvUm5UbC91bzlhTW0rOWJKYkwwaFhvVjZ4VVEzSFNvSU9xVFFReUxqVTBUVFdldG5PQmJnVkdZNHB1dnAwOGVSZ0F0bkNEZEJ3ZlRCa0JRZHdrOGVHWC9iM0twQm1zVEdtc00zSmc5M3grUG91T2pQbEZJdFFnUUNsOGd1TUZUaFJVcENPa2thRGNyYXNIcVlGQ2lxeExhN3Q3Ym5MbEpFaW8zUzBxbFJMT2dlMFNDQmRZdkNDU1dNWm5WMnNKLzd0b241N0hSQ3QydjVEYzFlOVVyZDJEeVRSM3VjMllvQVZhRXp2YlVXUlBEaXFrM1cxdVhvdjhmaEZ1dGRFSFJrRlVqWDRxZGlzNm11TmZaRzZVVEI0amtQVTJJb01nMGJMR1duR2ZlNWlQUUxYWTFVM3BmKzFkV1FBbzNVUFliaFdlUmozcVEifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Dakota,Fargo,Fargo Inn and Suites,70,288.24,https://www.booking.com/hotel/us/select-inn.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=36413901_333839435_2_2_0&highlighted_blocks=36413901_333839435_2_2_0&matching_block_id=36413901_333839435_2_2_0&sr_pri_blocks=36413901_333839435_2_2_0__79400&from=searchresults#hotelTmpl
North Dakota,Fargo,Radisson Blu Fargo,85,358.249,https://www.booking.com/hotel/us/hotel-fargo.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=48021909_94473234_2_0_0&highlighted_blocks=48021909_94473234_2_0_0&matching_block_id=48021909_94473234_2_0_0&sr_pri_blocks=48021909_94473234_2_0_0__98685&from=searchresults#hotelTmpl
North Dakota,Fargo,La Quinta by Wyndham Fargo-Medical Center,82,223.404,https://www.booking.com/hotel/us/la-quinta-inn-amp-suites-fargo.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=46349202_147739947_5_1_0&highlighted_blocks=46349202_147739947_5_1_0&matching_block_id=46349202_147739947_5_1_0&sr_pri_blocks=46349202_147739947_5_1_0__61540&from=searchresults#hotelTmpl
North Dakota,Fargo,Red Roof Inn Fargo - I-94/Medical Center,70,190.358,https://www.booking.com/hotel/us/red-roof-inn-fargo.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=58611504_90035827_2_2_0&highlighted_blocks=58611504_90035827_2_2_0&matching_block_id=58611504_90035827_2_2_0&sr_pri_blocks=58611504_90035827_2_2_0__52437&from=searchresults#hotelTmpl
North Dakota,Fargo,ClubHouse Hotel & Suites Fargo,87,312.89,https://www.booking.com/hotel/us/clubhouse-amp-suites.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=153878303_88131719_2_2_0&highlighted_blocks=153878303_88131719_2_2_0&matching_block_id=153878303_88131719_2_2_0&sr_pri_blocks=153878303_88131719_2_2_0__86190&from=searchresults#hotelTmpl
North Dakota,Fargo,"Candlewood Suites Fargo-North Dakota State University, an IHG Hotel",85,303.487,https://www.booking.com/hotel/us/candlewood-suites-fargo-north-dakota-state-university.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=78f379bf8e1000f5&srepoch=1701883143&all_sr_blocks=17186502_91909951_2_0_0&highlighted_blocks=17186502_91909951_2_0_0&matching_block_id=17186502_91909951_2_0_0&sr_pri_blocks=17186502_91909951_2_0_0__83600&from=searchresults#hotelTmpl
