state,city,name,avg_score,price,reviews_url
Ohio,Cincinnati,Quality Inn & Suites Cincinnati Downtown,64,172.799,https://www.booking.com/hotel/us/quality-inn-downtown-cincinnati.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=26100403_332538417_2_1_0&highlighted_blocks=26100403_332538417_2_1_0&matching_block_id=26100403_332538417_2_1_0&sr_pri_blocks=26100403_332538417_2_1_0__47600&from=searchresults#hotelTmpl
Ohio,Cincinnati,AC Hotel by Marriott Cincinnati at The Banks,87,828.992,https://www.booking.com/hotel/us/ac-by-marriott-cincinnati-at-the-banks.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=214371202_96756074_0_2_0&highlighted_blocks=214371202_96756074_0_2_0&matching_block_id=214371202_96756074_0_2_0&sr_pri_blocks=214371202_96756074_0_2_0__228358&nad_id=b4719c7c-8907-4c13-b98b-a05e1f1ce088_0&nad_cpc=1.08&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZTJNQnZ6d0I3NS9nY1hYM1pBMW1Qc1R4b2dkckowbE4xT3FMditMMnhjSjhRaWszNHJQYk5yU0lLa3BMZ2Roc1lZR0dSanpLM0pKU0RnM0NmNHlseUY5RUcrSDdJbjVzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NW5Xakt2eXRwT2xYMjNtMG5NekROUWh0STEvK1JoV20rWGJsQzQvZUxBSzd5S3JiOXVIT1ROOWVkcnRoSll3ZjhhWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZMMS81aWZmRnBOZk1Td21ZbjR2akdlSnMxM3hwSjV1WmJOb09iWjRZc090bGQyTURRSGdrYjJ1SjBmVHN6ZVRZZld0VnduVlNDdFhYOVlRcVd1RFRNWkNxS1ByTS9TcC9jRlhPck82bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V2lrbWtjT0IxVUVQTTR6WW9hZHRLeXM3ZWhpYXp1Mi8xZ21EbzIyUUFlbWJmbGoyM1lOaW9GSFkyOEhQK1QwbzJQZFUrY2w5MU9ESWk2Z3o4bU94ZDlwcHJDSURuMlplMkI5QXFuQk43QThtTmF3SnllSGtjWXJVSWpyUTkzanhtMDQ5SnNkQmxLMEJBVEplTHFzSHo1eUlRNVFkVnpCcjloNVphVHJBYTZXeUZrYWZQQmRnUnUwb29vZE5Ya0NETkxtRGN4ZkptcmVKVmVYQzhjajBITlFXR3RnTGVsTDcyMmNQZVNFMXRmc3dyRTg2a3FpbmFJZ2NqZmVCMFB2aTdtVGgrUDlWenloeUlLY2RvVzhYNU9qMDJxWmVoQzl2R1IzUjB1aXlvaDJRWmg2UFRpYWJrNEkyMVhJZTZ0TCtQR3BTeWN6TXBxYmJnT1lNWnZCRmhsWTVXSzhuRFF5TlRlNC9ncTJaZ284ZlhTVTV4VjN2cUlCWmEwZjlEUWFxRlZhemIvaWJ3Ukc2cjByT0NpUmllZlpSMWtVbU9NK2V5bnF0cWxCM1REbTE3ZGJPR3VOVXNzbTJlQUZ2YnYvNTRGYUVObjdDTE16elVCSGhLMm5zQ2VDRXlNaUNraUdvWFA0bW9YcERoZ2FkenN0YmhBYnJRanlCc1VsR25DTUpCeGkvTFZnQUJ4Qkt6a3NvRERRR3AzY0ZKQ1c5eEF5bjVDK1dFYnZtOGFxZTk2Q3BrUVFMckZ3VDA1MnJDWktyQ0hlZ1IvQXduLzZ6RW84WURoV0ZBY0NuWWxBTUlRd1krWFJ5b0pNWVowNXZBQkU1amF0N3NjODU1Z2xkWWZqVVIxNU41cmhzOUR1OWM0TnRTNnpSN3dZajVjdmgrb2lRQSt4TXpVNEtZZUJDVklZOFJtdlY2a1BSMjliWCtFdGQxY0dsWjBMQXhqM25LdC9wcncyUHVQL295K08rQ0h5d01QWXdLVVJtUjFCQWJZaUVkSkd6M3NzU2ZSWE9uTXZlcjI2bC82OTMrSmRWQlRJZkR6UVY1UlBJWXpLaXpGUVd5S0RmYzJsMitUam1ISlo0Z3RLa1E5ZlJJMHh6SWJXUHl1dnF3M242MWFuODZIckhjejBWanNxeVhiMThwcG9QdXNzaUdybUx2M3dTTG93NnFSRUk3USt6aW1lRDE3T3VPQzVRd2JGYUJaSVVvb1dtWHpGM1hQRmZqR09qdzF1dkZRMDN6TWw4MTRFcnVFT3MvTWJ2OGdicEVGQlNjQmU5NmY0K1QxbTZOV21xQmZvdzlyVEN4Y1k4MEFQdWhLSW1zbytFWUdhM1QzZENiZnp2ZkN6VjNHeUJ0R3RSTEtjcm9lUTB1OForQVRlekMwMG82ckZjc1RzNTFKSTRpYXhFSCt6T3dNQXdFL1NKbDF0M1k4SlgvanUzNm83cm55dzF5ZEVUS1AydEdRNWwyREt3N2FveFlwMnkvcVBoQmFIaXJqeW5Pdi9aTnFhNlliYU0yZFdHMVJVRGlOTm00Z24wQUxkaUJCNHVLUGExK1ZjRkJOa1owYWY5NVQ3QUxyM1VmQ0o1aTROcVlLRnhnUHFiRTNHMjFuWThST25mZnZ2ak96dHZNcnkzZm9nMXljZ0I3SlZxcGRZdW1lSVpPbTlWdVBLSnNWbzc2ZkxkQUFZRy9nTnNteXF3ZUN1MTBzcVMrc00vMExmSHR0d3R5Z1l0cXlVZWFIY09EUVQ1NzN6MHVhMzFaY0hjVGl3dGdLQkVGN1FHN2NkRzZ3RWo0MjViMExyNU9kSFpXT3lxQVRGNi94TDkzSDJERTdEYS9GYWlFc0NrL1BJUGk2WlBKS1lsVWhVei9GQ0J1VWg1dkp0MllkaWpNZXpsUDFqZkpPdm5XSWZSdWt4TUtJait3TjM5WUxxVkV6Yi9xRytsNXBEdjlPeEIrakp0N1EvYXhGazFzSlVmTk8rVnphNGtHV3RKU3JKbkliRU1UekRza1pGSlFqNnB3QnFoYVdCY1pwMTVud1A4US9pTjg4SG1aL1ZGN2ZGellYYXJlR3AreDBySmZKL3Faa2xRaEljR0ZtamJOZ09UUWpSMWpIWmZnSkNtQkhNcjkyNHFaVEtvZjBWdjZrR0lzSFFtRWM5MjRteVd6aW95b2YvNVV6SEhaUDlpOG1MOS9qdnFVV0k4allHNENEVERRR083c3lSQ1FES3pSeUEvVVZldFUvYnh6SytlUUZqVGNxakZzdlk2Y3AyT1FGQTRxMW1GMFA5SlNTM3R0UTBSVm1nOVpUYmgvRWVaS2ZaaW5VZjJ3RmVpU3YwTi95Qkgwdk96RmcrUW1pbnJQUm9ta2VhMk0zczlVbFFGVWNnaEJiYkhBSCtBRnRCZkRNL2NuTC9ZSEtqZXlWWUd6RlFtNDhzeWhTZXJ0bWtPUll0N1YwZUVneDQ4THhGbFFFVEkva3dMMUp6SXNHL0p4bnl0ZzNiK2ZQUmlMODBTMnA0U3gvakRlTzlaRVdWS053N0FGblBjZGpWajRBNnE5dzc3N3JuQjh5Z21XNTFOTlYrTlNXM1N3SG1lRkFsRUZmNWw3YVZXVWlBMWU0aVd3ckl1UGxSMGhuNmVrU1oxbEk0WkllYzJxdnQ3c1RYQ3FjUUI1UDlMUnZGM2M4aFFhT1dpMkhUb1g2TExUSE1SVkJ3UVQybktibGQ4OVZQOVQ3UyJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ohio,Cincinnati,Renaissance Cincinnati Downtown Hotel,82,716.607,https://www.booking.com/hotel/us/renaissance-cincinnati-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=103613601_246432308_0_2_0&highlighted_blocks=103613601_246432308_0_2_0&matching_block_id=103613601_246432308_0_2_0&sr_pri_blocks=103613601_246432308_0_2_0__197400&nad_id=b4719c7c-8907-4c13-b98b-a05e1f1ce088_1&nad_cpc=1.06&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZkc4QnREMEI3NS9nY1hYM1pBMW1Qc1R4b2dkb0kwbFAyZXFMditMMnhjSjhRaWszNHJQYk1iaUtMRWhMZ2Roc1lZR0dSanpLM0pKU0RnM0ZjNHl1eVY5RUhPMzVKSHhzM0JJcTJmYWNZTTIyTjhIcE9qZDU3NW5Xakt2eXRwT2xYMjNtMG5NekROUWh0STEvK1JoV20rWGJsQzQvZUxBSzd5S3JiOXVIT1ROOWVkcnRoSll4ZjhhWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZIMCtKMlpmbDVOZk1Td21ZbjR2akdlSnMxM3hwSjV1WmJOb09iWjRZc1B0bGQyTURRSGdrYjJ1SjBmVHN6ZVRZZld0VnduVlNDdFhYOVlRYVd1RFRNWkNxS1ByTS9TcC9jRlhPblA2bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V3VrbWtjT0IxVUVQTTR6WW9hZHRLeXM3ZWhpYXp1Mi8xZ21EbzIyUUFlbWJmbGoyM1lOaW9GSFkyOEhQK1QwbzJQZFUrY2w5MU9ESWk2Z3o4bU94ZDlwcHJDSURuMlplMkI5QXFuQk43QThtTmF3SnllSGtjWXJVSWpyUTkzanhtMDQ5SnNkQmxLMEJBVE9kTHFuSGo1eUlRNVFkVnpCcjloNVphVHJBYTZXeUZrYWZQQmRnUnUwb29vZE5Ya0NETkxtRGN4ZkptcmRKRmVYQzhjajBITlFXR3RnTGVsTDcyMmNQZVNFMXRmc3dyRTg2a3FpbmFJZ2NqZmVCMFB2aTdtVGgrUDlWenloeUlLY2RvVzhYNU9qMDJxWmVoQzl2R1IzUjB1aXlvaDJRWmg2UFRpYWJrNEkyMVhJZTZ0TCtQR3BTeWN6TXBxYmJnT1lNWnZCRmhsWTVXSzhuRFF5TlRlNC9ncTJaZ284ZlhTVTV4VjN2cUlCWmEwZjlEUWFxRlZhemIvaWJ3Ukc2cjByT0NpUmllZlpSMWtVbU9NK2V5bnF0cWxCM1REbTE3ZGJPR3VOVXNzbTJlQUZ2YnYvNTRGYUVObjdDTE16elVCSGhLMm5zQ2VDRXlNaUNraUdvWFA0bW9YcERSZ2FkenN0YmhBYnJRanlCc1VsR25DTUpCeGkvTFZnQUJ4Qkt6a3NvRERRR3AzY0ZKQ1dwaFEybjVEdVhranZ6TVdvTDk2Q3AwVkxMdXAxUTA1MituTk1yeXlOakVPZHduMy96RW84WURoV0ZBY0NuWWxBTUlRd1krWFJ5b0pNWVowNXZBQkU1amF0N3NjODU1Z2xkWWZqVVIxNU41cmhzOUR1OWM0TnRTNnpSN3dZajVjdmgrb2lRQSt4TXpVNEtZZUJDVklZOFJtdlY2a1BSMjliWCtFdGQxUUhrcGdOQVJ6M25LdC9wcncyUHVQL295K08rQ0h5d01QWXdLVVJtUjFCQWJZaUVkSkd6M3NzU2ZSWE9uTXZlcjI2bC82OTMrSmRWQlRJZkR6UVY1UlBJWXpLaXpGUVd5S0RmYzJsMitUam1ISlo0Z3RLa1E5ZlJJMHh6SWJXUHl1dnF3M242MU9nL3FEdUhjejBWanNxeVhiMThwcG9QdXNzaUdybUx2M3dTTG93NnFSRUk3USt6aW1lRDE3T3VPQzVRd2JGYUJaSVVvb1dtWHpGM1hQRmZqR09qdzF1dkZRMDN6TWw4MTRFcnVFT3MvTWJ2OGdicEVGQlNjQmU5NmY0K1QxbTZOV21xQmZvdzlyVEN4Y1k4MEFQdWhLSW1zbytFWUdhM1QzZENiZnp2ZkN6VjNHeUJ0R3RSTEtjcm9hZTBlTVZtbnpRd21BdHNMM0ZhY250OEVWYzVqYW5GMyt1UHd0SDJGZkFKbDFzd1pJSVErWHZ1czQ3cEhhdzNTMUVKdHY0dWlJNGhIL0F4YWVseko4eDArS1BpaGpFaDdqeGhQbmliTStOOG9MU09IMUREa2xTRDI5Vng0OHF6eFNVaGw5NnM2TFQxZXBRSEZSOGYwYVIrY0xxRnIzMVF1ZUkvQ2dNNVpya3dITGtPMHZRekVMVnR3dS9mZlhoMityN3E5dmsydm8zM0NvNlhLcE55WVJaeTJtR012eXVRK0hiTzhKaHFyK0tMVU1kQ3VFVnRUMnl5ZjZnbGtBblRlTTR5VVdUQnNOZ3RTb2VyN0dSWWIzZktEb2RwcmIrMU82RDQ1QTJTajJva0RLSUtYYkNHN2xVQTdSMXFaYXphbHF3NnVrR2JtNjBvREQxOGYwZDcybm1Ea3pGY3V4ZmtGY0xpZjNHZnlXWU9acU9na01ZMS90ZUNLTWc5ZTFuMzcxU2tKYXJqSnRDYW91d2huMU5TT2QzTWJFODhRVk4zby9qUVF2RDVzZWZnWUpjcE16akNlYU1vcWtsYmtOOHpxNDRjdDN3VkNycGlHbTNLM3JVbklUYVlDVElyMGdVUHhYcjRCaHkwS1dCS05aNDVuZ045Z2FyZXNNRjFwSGJRYkhXMnBiVG5zbTMvQmNnUGFkbm9wMG9WaHhMSGsrMFFlc05RUXJFeXpmWU1ocGEyd0tjOEl5MitJdkp1dm9IcUw0T0o4elRsazU2dzRHc1ZYbSt6WWZvN2tIZERaNjdrOEtXK2JmbnFFaUE0eW9MN3lmZVN4bUY3OHFWQkEzVncxT0kvRWhXcDBqZDFDZXZleDl6UUl5N0hjcmU3TTU4SUE4QjRMaDNGVXZnUGlpaDU4eGdYa0NndFpxSmhlb1VZcDNnZ0hZZnhsRkdnelh2THZMVEhWREV5bUlIU0d1bnNkbERsMDZQbjlYMHRFWlZHVXc2cnlyTkd3SHBDMVpiV2dFN2RVUENhMy9sZFNzZkJqbEZqSlFnd1JtWWxPK3BmdzRtN1VBUVVnZDF5NWRJbkJRcEZmUjJOMWx1TEl5bU5BN3lyUURhdzgvQ20vNHNRWFoyQmdid0d1T21hVVN2Rk04bVQwSEZiZGFZa3BzMHBkczA0b25iRk4vaGdXUnBPcGhqTGl1NVRBN3JTMncyRFJqaG5hcWJHbHFBdy84bENoS2NvK0JSa2hlNmNVbVoxMFVWVW9yYXdyUCs3TWJWQ0tNWEY1M3pldzc3OGNnblVyYUhpWCtJdVdhTGNtY0xYakhnOSszdFJzOUZIUTZpbUpRPSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ohio,Cincinnati,Graduate Cincinnati,89,383.861,https://www.booking.com/hotel/us/graduate-cincinnati.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=441660806_132070217_2_42_0&highlighted_blocks=441660806_132070217_2_42_0&matching_block_id=441660806_132070217_2_42_0&sr_pri_blocks=441660806_132070217_2_42_0__105740&from=searchresults#hotelTmpl
Ohio,Cincinnati,"Tru By Hilton Sharonville, OH",88,221.546,https://www.booking.com/hotel/us/tru-by-hilton-sharonville-oh.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=581138005_226081134_2_1_0&highlighted_blocks=581138005_226081134_2_1_0&matching_block_id=581138005_226081134_2_1_0&sr_pri_blocks=581138005_226081134_2_1_0__61028&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ohio,Cincinnati,Hyatt Regency Cincinnati,80,444.34,https://www.booking.com/hotel/us/hyatt-regency-cincinnati.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=52271512_93765122_2_2_0&highlighted_blocks=52271512_93765122_2_2_0&matching_block_id=52271512_93765122_2_2_0&sr_pri_blocks=52271512_93765122_2_2_0__122400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ohio,Cincinnati,Residence Inn by Marriott Cincinnati Downtown/The Phelps,90,689.871,https://www.booking.com/hotel/us/residence-inn-cincinnati-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=27918903_94389572_0_2_0&highlighted_blocks=27918903_94389572_0_2_0&matching_block_id=27918903_94389572_0_2_0&sr_pri_blocks=27918903_94389572_0_2_0__190035&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ohio,Cincinnati,Frontdesk I Sycamore Place Apts Downtown Cincinnati,85,429.028,https://www.booking.com/hotel/us/frontdesk-i-sycamore-place-apts-downtown-cincinnati.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=769412104_378014114_2_0_0&highlighted_blocks=769412104_378014114_2_0_0&matching_block_id=769412104_378014114_2_0_0&sr_pri_blocks=769412104_378014114_2_0_0__118182&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Ohio,Cincinnati,"Staybridge Suites - Cincinnati East - Milford, an IHG Hotel",94,366.29,https://www.booking.com/hotel/us/staybridge-suites-cincinnati-east-milford-an-ihg.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=845394325_351507494_2_1_0&highlighted_blocks=845394325_351507494_2_1_0&matching_block_id=845394325_351507494_2_1_0&sr_pri_blocks=845394325_351507494_2_1_0__100900&from=searchresults#hotelTmpl
Ohio,Cincinnati,21c Museum Hotel Cincinnati,86,667.745,https://www.booking.com/hotel/us/museumcincinnati.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=f6268939f95b0279&srepoch=1701891066&all_sr_blocks=46505306_117514800_3_0_0&highlighted_blocks=46505306_117514800_3_0_0&matching_block_id=46505306_117514800_3_0_0&sr_pri_blocks=46505306_117514800_3_0_0__183940&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
