,nationality,acommodation,stay,company,review_title,good_review,bad_review,url,hotel_id,date
0,España,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,muy buena,"mucho, el hotel estaba bien ubicado",espera en ascensores,,429.0,marzo de 2022
1,Chile,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En pareja,Fantástico,Ubicación,No hay estacionamiento,,429.0,octubre de 2023
2,México,Habitación con cama extragrande.,1 noche,En familia,Regresasré,Excelente ambiente y atención. Limpieza.,El servicio de parking,,429.0,agosto de 2023
3,México,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,5 noches,En familia,Fantástico,La ubicación,El estacionamiento muy caro,,429.0,agosto de 2023
4,España,Habitación con 2 camas grandes,3 noches,En familia,Buen hotel en perfecta localización,Localización,Falta de restauración más buena,,429.0,agosto de 2023
5,México,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,5 noches,En familia,Una estadía excepcional en San francisco.,"Limpieza en general. El tamaño de la habitacion es mas grande que el promedio, tranquilidad de la habitación. Camas muy comodas. Baños limpios. Y la ubicación del hotel es excelente.",El estacionamiento es un poco elevado de precio.,,429.0,agosto de 2023
6,México,Habitación Doble con 2 camas dobles y vistas a la bahía,3 noches,En familia,Fantástico,"El desayuno en el hotel no es de lo mejor, falta variedad",,,429.0,agosto de 2023
7,México,Habitación con balcón y vistas a la ciudad - 2 camas grandes,4 noches,En familia,Muy bien,"Al registrarme mi habitación tardo mucho en estar lista y cada vez que preguntaba me decian que ya pronto, al final un recepcionista nos atendió muy bien y nos dio un crédito y un aperitivo.",,,429.0,agosto de 2023
8,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En pareja,Calidad y servicio.,"Comodidad, excelente ubicación y servicio.",,,429.0,julio de 2023
9,México,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,3 noches,En grupo,perfecto!!!,"había muchas rutas de transporte, puedes caminar a varios lugares de comida y el servicio fue excelente",,,429.0,junio de 2023
10,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Magnifico,"La ubicación del hotel, muy lindo el hotel",Nada todo excelente,,429.0,junio de 2023
11,Colombia,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,muy buena opcion,"muy buena ubicacion, las habitaciones muy comodas.",el desayuno,,429.0,mayo de 2023
12,México,Habitación con cama extragrande y bañera adaptada - Adaptada para personas de movilidad reducida,4 noches,En pareja,Fantástico,la ubicación excelente,la cama,,429.0,febrero de 2023
13,España,Habitación con cama extragrande.,3 noches,En pareja,Buen hotel en el distrito financiero,Hotel grande y cómodo. Cama muy confortable. Buen servicio de limpieza.,"Se encuentra en el distrito financiero, junto al mar en una zona bonita y bien comunicada. Es cierto que llegada la noche no tiene actividad y no es zona de restaurantes, pero se llega bien a pie.",,429.0,octubre de 2022
14,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1 noche,En familia,Excepcional,Esta presioso muy limpio comodo un lugar espectacular,Todo estaba perfecto,,429.0,septiembre de 2022
15,España,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,Fantástico,Las camas,El servicio de Internet,,429.0,agosto de 2022
16,España,Habitación con cama extragrande.,5 noches,En pareja,Muy bien,"Habitación con vistas, gran tamaño y muy bien aislada",Estaban de obras y no nos avisaron. Restaurante muy caro y de poca calidad,,429.0,julio de 2022
17,España,Habitación con 2 camas grandes,4 noches,En familia,Perfecto,El hotel es impresionante. Muy céntrico. Las habitaciones amplias y muy cómodas. Muy satisfecha de mi estancia en este hotel,,,429.0,julio de 2022
18,España,Habitación con cama extragrande.,7 noches,En pareja,muy recomendable,"las habitaciones son especiosas y la cama enorme. las zonas comunes super modernas y equipadas. ademas te dan 15 dolares al dia para gastar en el bar o en el pequeño supermercado que tienen dentro. en la puerta tienes varias lineas de autobus y de tranvias, asi como el metro y el bart.",,,429.0,junio de 2022
19,Ecuador,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,7 noches,En familia,Fantástico,Ubicacion,,,429.0,marzo de 2022
20,Ecuador,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,7 noches,En familia,Fantástico,ubicacion,,,429.0,marzo de 2022
21,España,Habitación con 2 camas grandes,3 noches,En grupo,Fantástico,ubicación habitación limpieza Estetica,el parking muy caro,,429.0,marzo de 2022
22,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,en sueño ❤️,"todo! instalaciones ubicación, personal !",,,429.0,febrero de 2022
23,Perú,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,5 noches,En familia,lindos momentos,"el hotel está muy bien ubicado. 
la escultura interna es hermosa.",no sirven desayuno. Pero tienen un market en el que puedes comprar lo básico.,,429.0,enero de 2022
24,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,Muy bueno,Todo,,,429.0,enero de 2022
25,Estados Unidos,Habitación con cama extragrande.,1 noche,En familia,Excepcional,El hotel muy bonito y tranquilo,,,429.0,diciembre de 2021
26,Estados Unidos,Habitación con 2 camas grandes,1 noche,En familia,Relajado seguro cómodo,Todo la limpieza seguridad,,,429.0,enero de 2022
27,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,bonito,la ubicaciom,el precio me dieron una mas chica delo k abia apartado por economica i al final me cobraron igual i un cargo esrra de 74 dollars no se de que,,429.0,abril de 2021
28,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,La vista que tuve ala playa,,,429.0,mayo de 2021
29,Colombia,Habitación con 2 camas grandes,3 noches,En familia,Sitio comodo y muy centrico para quedarse,Personal de aseo muy diligente y muy bueno en su trabajo,"Personal de frontdesk demorado en atender y con muchos reparos para asignarcla habitacion, queriemdo vender UN upgrade a la habitacion no solicitado.",,429.0,julio de 2023
30,Estados Unidos,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Aceptable,el lugar es muy bonito limpio,me cobraron $200 de mas y me dijero que era un depósito pero ya pasaron 2 semanas y no me han reembolsado el deposito,,429.0,diciembre de 2022
31,España,Habitación con bañera adaptada para personas con discapacidad - 2 camas grandes,2 noches,En familia,Un excelente hotel si vas a pasar unos días a san Francisco.,"El desayuno, sin lugar a dudas. Uno de los mejores desayunos en cuanto a variedad y cantidad. La fruta, inmejorable y muy variada. Y, viajo mucho.
El lobby y las alturas internas. Muy recomendable.",Pues éramos 5 no 4. No añadieron una cama adicional y no hay habitaciones. Es más culpa de Booking que del hotel puesto que lo especifiqué muy claro en la búsqueda.,,429.0,abril de 2022
32,Colombia,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,6 noches,En familia,Bien,Ubicacion,El precio final es 35% mayor al precio reservado,,429.0,abril de 2022
33,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,En familia,Agradable,La vista al mar.,Cosas limpias pero otras muy sucias.,,429.0,febrero de 2022
34,Chile,Habitación con cama extragrande.,3 noches,En pareja,Un hotel que ofrece muchas comodidades al ofrecer el servicio SIN advertir expresamente las restricc,Personal grato y colaborador,El Servicio de Room Servise NO existio amparado en COVID19 a pesar de NUNCA exigieron presentación de Certificado de vacunación lo que considero una irresponsabilidad hacia los huéspedes,,429.0,enero de 2022
35,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1 noche,En familia,Esperienza desagradable,La vista de la habitación,Que el personal de limpieza habriera mi cuarto cuando me encontraba durmiendo con mi esposa fue una experiencia muy desagradable,,429.0,septiembre de 2021
36,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,1 noche,En familia,Fantástico,La vista al mar es fabulosa,Que el hotel no tiene parking y uno mismo debe buscar donde estacionar y si quieres que tu carro esté seguro debes pagar extra el parking,,429.0,diciembre de 2020
37,Austria,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,3 noches,En pareja,Wieder ein paar schöne Tage.,Friendly front desk staff. Effektiv luggage helpers.,Single glass window was not comfortable.Cold feelings.,,429.0,noviembre de 2023
38,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,4 noches,Persona que viaja sola,"Wonderful, fantastic stay!","Very nicely decorated, very large room with outdoor balcony (table and chairs too), quiet, comfortable bed. Fantastic bay view.","parking is expensive and humbug, but that is to be expected in San Francisco.",,429.0,noviembre de 2023
39,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En familia,Location!,Location was great. Views feom the room and room was clean and cozy.,Needs a better coffee shop in the hotel.,,429.0,noviembre de 2023
40,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Iconicly designed hotel still has the right touch.,"Great location thats right across the street from the water front and the ferry building. Walking distance to Bart station, Chinatown, North Beach and Oracle Park. Very friendly staff. Quiet room. Comfy bed. Very well equipped gym.",Nothing,,429.0,noviembre de 2023
41,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En familia,"Security excellent, comfortable and clean",Everything is perfect,,,429.0,noviembre de 2023
42,Estados Unidos,Habitación con vistas a la bahía - 1 cama extragrande,3 noches,En pareja,Fantástico,Beautiful clean and classy. We had a fantastic view of the bay bridge. Husband really liked the elevators.,The pillows should be a mix of feather and something firmer. Duvet was really thin.,,429.0,noviembre de 2023
43,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,"We loved everything about our stay: the bed, the room, the staff, the view!!",,,429.0,noviembre de 2023
44,Estados Unidos,Habitación con ducha adaptada para personas con discapacidad - 2 camas grandes,1 noche,En familia,Amazing will go back!,Location! Clean ...,Massive ... some guests were stuffy. But we had a nice time.,,429.0,noviembre de 2023
45,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,2 noches,Persona que viaja sola,Excellent stay,Everything,Nothing,,429.0,noviembre de 2023
46,Estados Unidos,Habitación con cama extragrande.,1 noche,En pareja,Applause!,"Everything, especially front desk and valet drivers.",Nothing.,,429.0,septiembre de 2023
47,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Muy bien,"Great location, clean comfortable room. Staff worked to accommodate my request for a different room.
Restaurant options were too limited. No breakfast options other than a very expensive buffet.",,,429.0,octubre de 2023
48,Estados Unidos,Habitación Doble con balcón y vistas a la bahía - 1 cama extragrande,1 noche,En pareja,Excepcional,Very nice interior.,,,429.0,octubre de 2023
49,Estados Unidos,Habitación con cama extragrande y vistas al mar,1 noche,En pareja,"Over all was amazing, but ask for sea view room.",The view is amazing,ICE machine next to the room,,429.0,octubre de 2023
50,México,Habitación con 2 camas grandes,2 noches,En familia,"Well located in SF dowtown, good service, nice building and rooms",Location and building and rooms,Valer parking,,429.0,octubre de 2023
