state,city,name,avg_score,price,reviews_url
South Carolina,Charleston,Comfort Inn Downtown Charleston,69,285.089,https://www.booking.com/hotel/us/comfort-inn-charleston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=2471104_95148540_2_1_0&highlighted_blocks=2471104_95148540_2_1_0&matching_block_id=2471104_95148540_2_1_0&sr_pri_blocks=2471104_95148540_2_1_0__78532&from=searchresults#hotelTmpl
South Carolina,Charleston,Hyatt Place Charleston - Historic District,81,783.367,https://www.booking.com/hotel/us/hyatt-place-charleston-historic-district.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=129955513_93779120_2_1_0&highlighted_blocks=129955513_93779120_2_1_0&matching_block_id=129955513_93779120_2_1_0&sr_pri_blocks=129955513_93779120_2_1_0__215790&nad_id=d2c7419e-dc55-40b5-86b0-75ae1586dcd5_4&nad_cpc=0.99&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZoZTI4THR6a0I3NS9nY1hYM1pBMW1Qc1R4b2dkckkwUkwwK3FMditMMnhjSjhRaWszNHJQYk5iR0pLRTVMZ2Roc1lZR0dSanpLM0pKU0RnM0NjNGF0elY5RUdPVDZJSHBzM0JJcTJmYWNZTTIyTjhIcE9qZDU3OHVCalBxbDZjYndYejIyMVNNekRJVWo0bzErL0U0Qm03WFp4U2cvZExaV3VIT3BiOXVIT1ROOWVkcnRoWlk0Y01hWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZIMjhwS2RlRjFOZk1Td21ZbjR2akdlSnMxM3hwSjV1WmJOb09iWjRJc0d1VmQyTURRSGdrYjJ1SjBmVHN6ZVRZZld0VnduVlNDdFhYOVlScVd1RFRNWkNxS1ByTS9TcC9jRVhPSEQ2bDVwNXhsa1lKMFFmUlNvSGxOZkZkMlBvaHZ2RDRPYmgrWWFBR0dQM2Q0T2hBWmJJNDVXMkxMT1NycnVZa2d3RmQ2SmcwZU5OQXJxRVBoQnVzTFBoTEpaak1jdnNUemVRWDZMQngrU29xNUJuQis0UFMzY2lBTUZqSmtqN1E1VFYxUHJPOUpZMUhrS09RdzJpbSs5ZjIwY0R3RVhKVC9rSTBIazVnTVR6V3lrbWtjT0IxVUVQTTR6WW9hZHRLeXM3ZWhpYXp1Mi8xZ21EbzIyUUFlbWJmbGoyM1lOaW9GSFkyOEhQK1QwbzJQZFUrY2w5MU9ESWk2Z3o4bU94ZDlwcHJDSURuMlplMkI5QXFuQk43QThtTmF3SnllSGtjWXJVSWpyUTkzanhtMDQ5SnNkQmxLMEJBVEpkTENrR2o1eUlRNVFkVnpCcjloNVphVHJBYTZXeUZrYWZQQmRnUnUwb29vZE5Ya0NETkxtRGN4ZkoyclZLRmVYQzhjajBITlFXR3RnTGVsTDcyMmNQZVNFMXRmc3dyRTg2a3FpbmFJZ2NqZmVCMFB2aTdtVGgrUDlWenloeUlLY2RvVzhYNU9qMDJxWmVoQzl2R1IzUjB1aXlvaDJRWmg2UFRpYWJrNEkyMVhJZTZ0TCtQR3BTeWN6TXBxYmJnT1lNWnZCRmhsWTVXSzhuRFF5TlRlNC9ncTJaZ284ZlhTVTV4VjN2b2ttSVlRNjlqTU5xR3RVbEpEL1J3UTQ1cHdkTUIrWHliN0xkblpPeDljOERDbVhtb29jNFJ6UGpydGJPR3VOVXNzbTJlQUZ2YnYvNTRGYUVObjdDTE16elVCSGhLMm5zQ2VDRXlNaUNraUdvWFA0bW9YcENoZ2FkenN0YmhBYnJRanlCc1VsR25DTUpCeGkvTFZnQUJ4Qkt6a3NvRERRR3AzY0ZKQ1dvazVtbXBlNVhScnZ6WlQwZmQ2Q3FCQkNMdXN2SGt0Mm9YUWFyaVdQakJDWWtIdjZ6RW84WURoV0ZBY0NuWWxBTUlRd1krWFJ5b0pNWVowNXZBQkU1amF0N3NjODU1Z2xkWWZqVVIxNU41cmhzOUR1OWM0TnRTNnpSN3dZajVjdmgrb2lRQSt4TnpVNEtZZUJDVklZOFJtdlY2a1BSMjliWCtFdGQxUUZtSmNKQngvM25LdC9wcncyUHVQL295K08rQ0h5d01QWXdLVVJtUjFCQWJZaUVkSkd6M3NzU2ZSWE9uTXZlcjI2bC82OTMrSmRWQlRJZkR6UVY1UlBJWXpLaXpGUVd5S0RmYzJsMitUam1ISlo0Z3RLa1E5ZlJJMHh6SWJXUHl1dnF3SG02VldqK0tycUhjejBWanNxeVhiMThwcG9QdXNzaUdybUx2M3dTTG93NnFSRUk3USt6aW1lRDE3T3VPQzVRd2JGYUJaSVVvb1dtWHpGM1hQRmZqR09qdzF1dkZRMDN6TWw4MTRFcnVFT3MvTWJ2OGdicEVGQlNjQmU5NmY0K1QxbTZOV21xQmZvdzlyVEN4Y1k4MEFQdWhLSW1zbytFWUdhM1QzZENiZnp2ZkMrVjNDNkJ0Q3BSTHFacDR5YzBlVVErUVRlekMwMG82ckZjc1RzNTFKSTRpYXhFSCt6T3dNQXdFL1NKbDF0M1k4SlgvanUzNm83cm55dzF5ZEVUS1AydEdRNWwyREt3N2FveFlwMnkvcVBoQmFIaXJqeW5Pdi9aTnFhNlliYU0yZFdHMVJVRGlOTm00Z24wQUxkaUJCNHVLUGExK1ZjRkJOa1owYWY5NVQ3QUxyM1VmQ0o1aTROcVlLRnhnUHFiRTNHMjFuWThST25mZnZ2ak96dHZNcnkzZm9nMXljZ0I3SlZxcGRZdW1lSVpPbTlWdVBLSnNWbzc2ZkxkQUFZRy9nTnNteXF3ZUN1MTBzcVMrc00vMExmSHR0d3R5Z1l0cXlVZWFIY09EUVQ1NzN6MHVhMzFaY0hjVGl3dGdLQkVGN1FHN2NkRzZ3RWo0MjViMExyNU9kSFpXT3lxQVRGNi94TDkzSDJERTdEYS9GYWlFc0NrL1BJUGk2WlBKS1lsVWhVei9GQ0J1VWg1dkp0MllkaWpNZXpsUDFqZkpPdm5XSWZSdWt4TUtJait3TjM5WUxxVkV6Yi9xRytsNXBEdjlPeEIrakp0N1EvYXhGazFzSlVmTk8rVnphNGtHV3RKU3JKbkliRU1UekRza1pGSlFqNnB3QnFoYVdCY1pwMTVud1A4US9pTjg4SG1aL1ZGN2ZGellYYXJlR3AreDBySmZKL3Faa2xRaEljR0ZtamJOZ09UUWpSMWpIWmZnSkNtQkhNcjkyNHFaVEtvZjBWdjZrR0lzSFFtRWM5MjRteVd6aW95b2YvNVV6SEhaUDlpOG1MOS9qdnFVV0k4allHNENEVERRR083c3lXREFMSnpSeUEvVVZldFUvYnh6SytlUUZqVGNxakZzdlk3Y2R3UGdGQTRxMW1GMFA5SlNTM3R0UTBSVm1nOVpUYmgvRWVaS2ZaaW5VZjJ3RmVpU3YwTi95Qkgwdk96RmcrUW1pbnJQUm9ta2VhMk0zczlVbFFGVWNnaEJiYkhBSCtBRnRCZkRNL2NuTC9ZSEtqZXlWWUd6RlFtNDhzeWhTZXJ0bWtPUll0N1YwZUVneDQ4THhGbFFFVEkva3dMMUp6SXNHL0p4bnl0ZzNiK2ZQUmlMODBTMnA0U3gvakRlTzlaRVdWS053N0FGblBjZGpWajRBNnE5dzc3N3JuQjh5Z21XNTFOTlYrTlNXM1N3SG1lRkFsRUZmNWw3YVZXVWlBMWU0aVd3ckl1UGxSMGhuNmVrU1oxbEk0WkllYzJxdnQ3Y2ZhQUtVVUFKUDlMUnZGM2M4aFFhT1dpMkhUb1g2TExURlZ1K0t6WHdJU3kxWDV4WXpucmE2ciJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
South Carolina,Charleston,Comfort Inn & Suites Patriots Point,84,326.252,https://www.booking.com/hotel/us/hotel-patriots-point-mount-pleasant.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=49140806_94479687_2_1_0&highlighted_blocks=49140806_94479687_2_1_0&matching_block_id=49140806_94479687_2_1_0&sr_pri_blocks=49140806_94479687_2_1_0__89871&from=searchresults#hotelTmpl
South Carolina,Charleston,"Holiday Inn Charleston-Riverview, an IHG Hotel",74,406.299,https://www.booking.com/hotel/us/holiday-inn-charleston-riverview.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=18483012_118829751_2_34_0&highlighted_blocks=18483012_118829751_2_34_0&matching_block_id=18483012_118829751_2_34_0&sr_pri_blocks=18483012_118829751_2_34_0__111921&nad_id=d2c7419e-dc55-40b5-86b0-75ae1586dcd5_0&nad_cpc=1.21&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6Ik9OQ2RLZitDMG55M0Vaanl5bm10YWtjNTNwSkF0RTNyU0sxczZzaGE2cXc4K3ZzdzFBb05Yc2lCZ29RZ2RPRm1IQTN0alE3cnUzUTRsRldUbm93T0NmZUR3czNlYjNSSTIyck43cTBpdXBJZ2JiVlhWWDZHZEM0eDRUV3Y1bHZ0bU9pODZqRVVnL1dKUjNKTFMvRjRvRmF1QXlLaHozczg0b2tIUE1uRTl2QnN1dllGQTVXa0lOekZXdHNNTFFXVExpaU5IKzZQMFh5TFpjNGIzNUtxd1Q2eHlDRlBxbzFlMjhRbzVqSWQ4WXZpZldRSHNqa0I3NS9nY1hYM1pBMW1Qc1R4b2dSb0xraEcxK3FMditMMnhjSjhRaWszNHJQWU43R0FLMGhMZ2Roc1lZR0dSanpLM0pKU0RnN0VlSXFvelY5SEd1VHpJM3hzM0JJcTJmYWNZTTIyTjhIcE9qZDU3OHVCalBxbDZjYndYejIyMVNNekRJVWo0bzErL0U0Qm03WFp4U2cvZExaV3VIT3BiOXVIT1ROOWVkcnRoSll3ZnNhWGdJYXJMMjVCVGlObUhlUTR2Z3JNaWw5OGtIL1RhSDFQM0t6RkRCOWw4SDliL3F1eks2TTEvYUE4VzFJZjhzK0tJOTU5clhDR3Y3N1ZjRWtsRlpLT0EyMTNJdG96N0Z0S2tVN3gzeXY4NFhjMjNEMGRrS0kvYXNxVUpMVlN4TUJLNkQzUUw4OGdMQjltZjZIOC81T2JmVXBEY29lMWxZN2pyemlHUGRaaXk0NTdvcHpMNS83Uy9wUUlyRmsxTlNVZW1rR25vSlVCUUkvS1c1RExzMTA3Umkrb0ZHZFRYNnZ1Qmo0S0dLNkJvOU9Fdi93YVFPclc1QjlpNmg5c1lwcGNaUXk2SDAxQUZNT1JxaEx2SFkyVnh1MFhCbW1MeDk5WW5CNUpJcEJKMnEvUVFyUHVjRVkrVnR1UGxGYU9OaHY1QmVWYnY5dkN3cXBUa01sdXVqM2JTV2ljREZPS3FMSlAzUkM5TVNiR2xRNURsSklqNnhWZEZrWHlJOU5md3o0U0lVc2cyMkd6T1d3VkNoNEVNaWpsTlZMcjQwb0x4bldxM0V3TUMxMERjTllyTjRhZDdlQ2g3ZXhnYkRML3NsUWtRWU80Qnd5K09lRjcyM2dEMklOYWEzb1VNK0Q1NVh2S1Qvb3JzMXlHT2orMzJNaUkzc2RscnJ1UEUyQ1ZiVEZsWHE3TUtLWjFscHkwS2phZWk5QThWSnY4RThYN3htTTJ0NTRRQ3hTc0NBTE9lYjJuQlRBOUxSZEpjRXZBdU14OWRiTHNFSy9RMEZJYmZPeFR6aGV0dUlFUU1IVUFGc244VzlSVU9YYmVQVm5ZQ3NvdTIzdFdWUzE0Si9WRm8yYUJNZktQMjlmdDFiSSt1MUtvZ2F4eVl6SGNERXpqZy82TG42RC9WekNqeUlDWGM1Q2hXWkxqam55ZGFRRzJpMGxnVVUyNzBvOWFmWkpuTUdPVVlCd1ozVmZEWUxORS8rYjVVeXd1UE1pS2V4K1pQTjNaQVFWRjZ6QzVpem8zTHl5MTZRMndjQjBwYjJpWm9RMXYrYWtXT3B3N3pCZ0hzV1lZeTQ3R2VFUkMyYTBXUFFyMmtZZkhTaUVhemRFUUlIZldxUFJCNmlHdmhhRlZOamlQUXNjN3p1UUl0clA1NnNkQ0djYjFXN2Nud0VWYWlhZTN2RHFWVkRzcEYwYldzbno5MDUzaUV4WkthanN2Y0VFRHBoWDhWOEl3SEhMTFBBdCs0YnMyQmc5REl6c3JxVERDQnBDYURJalY5RUEyelpmb1dWTDFtcGIwWk1lSG9rUmZZdVoxSDFaaXJpWWMveXlMMjBUS2xIM3J3a1JyWmk1QkJ4TURnWVJMS3BrNllmREF5OFJVUFpvMG94WU42R0dyK05BcDhvVS9jSnp0VFVaaFBJZnY4Tlg4NXRrTHFEU2xVS2NWeVk4a2gra2tRZ216THp0N0xKV1NIbFFGNncrNFRhNFVWbVplVXFjMWZGMERtWjBNSGdpNTE2MTNvYjR3TWVQaHB5bUEvaWZraTUzSzFyZGYwaHRKQnFNb0U5NFNrR2c2V3JVUU9uUW5hcis2bi9taTJmdGFXQW5KTjJMUUdzRlBlSm1MaGpWV1hpekRlWXlybHFYajN6OVc2UVpMbGg1WVJKMHMwYzJJTHlPcHFRL3Y1Rm1nK2I3NVdKM0NSaFFxNW5yYytKNS9KZjBoaVdDaGVybXJRcWc1dGVNQmNvSXU0U2V4RFhmRXZQZWlWUXZFWWxFY0Z0RWNpM1dhbWkrU2JDaUZrQXg0cGxnaWxHMDI4VU1lOXFJWnB2a010Y01ab2s1S1M4eFd2UG5yN3k0b3I5YWdwaHJrMzl6QUdoTUk5MUFMN0UySWt0ZytFcDZZd2lIZkV0UDAzZnU0VkhpeUNNK2tXYnVTcVkyZDB1Rjc0bkxlajNrK3A3M2VaTWo2NTFGWTlpQ2dGMktxTjB4ZndFWEFKbHh3M0pNVVh1U0szczR4cm5hNjF5MHVYdFgyL0NNcm0zWEcxS3FzMmRncHkrS0JoRnZKaDd2cGx1VHFlZGlXOW9yWkltaFdFMDlUUTNjSndJSTEyVjJheVYxeHNxdlIydVpZVzB4a2YwaWZyOVA4RWIvbVZlYVMraWxBL2Z2aXNYeXpQVjNIMTArVHJ4Ty9jL3UyM2Z6c3VzM2oydTA4MFRCaFJMSXUyb1VveFdmUUorKzdRZkRHUE1za3N2N1Ria1lNRS9rUzVDVzYxL0RoblUwaFJkY096Z21MSHROaXR5d0hzclNKZmI3UEpqUmNyYnY0M05xMTVLRU5UeVdPb0R1eEFXVENGZkJNRzhWVHNweTJjZ0crNUtnTlkyaThsQUR2OEtzRjkzbmtERXJjYitsSGpGNFJoL09IZENTZE1ZeVppUThBM2VkUVRxSXo2dWRoNVkxT3dZNno2cnBVY3BTcm1TOURScUYySXE0Mjl6OW0wNGIyQmhQYmdPYUptWjFIdTU3dEI2T1p2N01nUEZ0a29zSTJmSlB6U0h2eGhITzVlMmZVbnBxTGVDL1ZvUmtPSWdTcytBQW4wS1hZWk50NDRub0svMC9tZHNGSzJKK05SNkxCeVovZ3R0ZXc5aHc0YUw5c3BwQThXRXROQ0ZpWmN1Z0JReC9aelRhVUtnSVp5RkxEb1lMbjU0alN2ZWdRdjdZTEtzL2Rud2xpeTUraUZHKzV6WkRqNDF2TkFOaWptTitZdHIvbXBVQ1IveWNFNkNxWVV4R0U1OG1XRFJqYmpGdUo4VUJFb0U3T3dUYXRaUTkrQnBTekhNTGU0Y3hvTGs0RDlhbDFIVmI3TWo3dy81aDdSMERndThpTG51QVNXS1RxZzNZQ2xrbE1uUzcySUtEUkJsckM4RnNOUzJ1Nm5QSk9ubHZJaDgyMXUwTlpFbFlSa3p6S0d4YmlCa3g5YUFVOFJIN0paam5yZTJ3Q0RpeFNsNWdyekIraW91THZad1VtOEU1UVdRcE80SnBCaVM0ZkdMSnVQRVJnWVpXMUl3N3BvQUhnLzl6UjJ1WW1YWGc3SHhYbkd2aXJhSDZUQjlKcFYwdlpZNXVGaVpVNm90UTUwYlhJQjU3NWkzaG5kNFY0SUNXK1F3UFlkMzhyUWdEcmdhVFlDRnFXMHZoMEVrYUh1dUFSbkZleGZFbVl3R2dqWDh6QzJxRDM2TTNRQ2JJTkY4V3dVQnpROE4waFZxV2J6RHlJb1RubVJKblQvZ2p6Z01xZjZHRWplc29aIn0%3D&from=searchresults#hotelTmpl
South Carolina,Charleston,Wingate by Wyndham Charleston Southern University,83,199.517,https://www.booking.com/hotel/us/wingate-by-wyndham-charleston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=25425602_93719222_2_1_0&highlighted_blocks=25425602_93719222_2_1_0&matching_block_id=25425602_93719222_2_1_0&sr_pri_blocks=25425602_93719222_2_1_0__54960&from=searchresults#hotelTmpl
South Carolina,Charleston,The Limited Hotel,78,540.541,https://www.booking.com/hotel/us/holiday-inn-charleston-historic-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=78701415_94538390_2_34_0&highlighted_blocks=78701415_94538390_2_34_0&matching_block_id=78701415_94538390_2_34_0&sr_pri_blocks=78701415_94538390_2_34_0__148900&from=searchresults#hotelTmpl
South Carolina,Charleston,"Candlewood Suites Charleston – Mt. Pleasant, an IHG Hotel",88,237.29,https://www.booking.com/hotel/us/hotel-mcgrath-darby-mount-pleasant.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=49140705_94479679_2_0_0&highlighted_blocks=49140705_94479679_2_0_0&matching_block_id=49140705_94479679_2_0_0&sr_pri_blocks=49140705_94479679_2_0_0__65365&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
South Carolina,Charleston,Hyatt House Charleston/Mount Pleasant,90,360.656,https://www.booking.com/hotel/us/hyatt-house-mt-pleasant-midtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=454234202_138371815_2_1_0&highlighted_blocks=454234202_138371815_2_1_0&matching_block_id=454234202_138371815_2_1_0&sr_pri_blocks=454234202_138371815_2_1_0__99348&from=searchresults#hotelTmpl
South Carolina,Charleston,Quality Inn Mt. Pleasant – Charleston,72,206.005,https://www.booking.com/hotel/us/hotel-johnnie-dodds-blvd-mount-pleasant.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=49160906_94479907_2_1_0&highlighted_blocks=49160906_94479907_2_1_0&matching_block_id=49160906_94479907_2_1_0&sr_pri_blocks=49160906_94479907_2_1_0__56747&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
South Carolina,Charleston,Comfort Suites Charleston West Ashley,81,311.329,https://www.booking.com/hotel/us/comfort-suites-west-of-the-ashley.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f3a065dd658e0051&srepoch=1701872962&all_sr_blocks=27935701_274305546_2_1_0&highlighted_blocks=27935701_274305546_2_1_0&matching_block_id=27935701_274305546_2_1_0&sr_pri_blocks=27935701_274305546_2_1_0__85760&from=searchresults#hotelTmpl
