state,city,name,avg_score,price,reviews_url
Texas,Houston,Sonder The Hogg Palace,83,231.803,https://www.booking.com/hotel/us/sonder-the-hogg-palace.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=557950002_264158755_2_0_0&highlighted_blocks=557950002_264158755_2_0_0&matching_block_id=557950002_264158755_2_0_0&sr_pri_blocks=557950002_264158755_2_0_0__63933&nad_id=a88bb6a9-57d0-43e6-bb2e-aa952c413d40_7&nad_cpc=1.16&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoxemsrTVM4TnZCcTE2aUw0V1phdEFQV1lBbGNOalRxcEc0azZkY0dUUmQxaXUzeE5hVHlBU2RCeGNUUG83Yll6NTZiU3RIQ1prOVh4WVFYd0piaTI2UjBCTzMvaU4xSFJkVE1LRlNmWE9UdWZablBlQWlkVGdlc2VJc29LSm1uSDFIU3JReTVqMWVuSmViUi9IWERnTzBqQUxDc1ZPYXA4OFVxZ2d3dGtPbUdMZHBpQzMwV3BKY0ZiTWEvakhJckV1WXRUQThtdWdNU0VmemdtTUxMTmc4OS9ZVTVzeHRSbHAyODhGanJZMlNJY2dpTVY4aHZKWmE0Q1AzOFJGdVh6YnRNTTM5c3JON2l4M3UzWGp5UVhkYkZaR3JMYjZ0a3QxSTdUSW1JRXFqSDdnNis1TXZ3V3J6ZXAvTExXZ0Z4RWw1TUUxdjVkNmN4VG9Kd01iT3hBSTVjRVFETHlXZHlwVSt4SU9aeThpdUJaMWo5WEc4c2x5Y3lIRGJoQXppWldDNnFHWjlGSkFEK1lvTzdNSnByQkJQTmUyWmxIZXZ3T0ovRDFhY05yb2huWHhHcll4UFFzUmlzVDBZSWE4RlREd00vMXpJZGF1Mk8zNDRaWFBlMDY0Ty90VWF4MGtwR0I5eDliem5VVSs2c1hIeXJsZmNKa08zZnRRM0x6WnB3T0loakMrZUpzTytSL0NERDcwM1Npa0ttVHRQd0IyZmxjVDVtdENNd3R2OUY5YkovZzNkNFBBK1VpTGtWTDNmN1MrWC9raVpkNnRuY01uS2libXBsY1ptaVV1aUtSOTRYNjdlYXF1end3UjMveUJCMVNUeVIwb0xrRVk3dHkyejh3YzNYZ2dueFgxeTAxTWtySEdIbUhBWUxycEsrdG5mVlZlbTlmang1MzBlUTBGQ1ZPMlA1cVk2TWkvK01MNG1mWlFQVHNTWjh5TENVMXFFd0lkOU8yVXd2RTBGOEdONy9tQW1SV0N1OGYrRGZqNmFIQ3pJMURoZUdvdTFmOVdzUGxwVExTYS9vdlFxM2ZnMDZINWFsYldwY3Ric3lEZjM0a1lZNnh6TDJtejhoMzFGbmRIZnVSLzZGZVppSDFLSEhnTVkzT1VXbC9lMGhHb1FQK2lMdHpEL0p5OG8xQjZySVFtWEZCZjlwRUtneXZtVW5kQkxnZUhVS2JkOU1Obm1YNGhPN1BRUCsvdmZ4ZGc2NFFBKzB3aEpxNUUzay9aRVNoRkRzU0VoUFF2a2wxWk5jMzkzQnpxbmxKcE0rVklxWk00SitTdXRzaXBpN01USFFVaDJaYlhsSlp3cUZuY21QUm45eWlSbUYyZFFQWm1SOU5yczVEWllBVmRqcGRhQytwZkdBbHhUNHl6M21BRWhrc2xyUnJvVWdocHIzVWNqVUJDbGNIOVM1TjdWaUpHNVJsd3R5aVpNR3NLM2Zzck9ETXNYU1hsa3FnVGhacEZUa0JaT0pNb0haazk2bkRuNkFSOUJHd1I5YmxaeEhQMUJxbmlyMUhVZjBNUDUwd2gyU2xkTDR2UDNvM2VYQW43SmtxSEFjQ1g3bUNvNjZud04rMkZKc3FvdXk0eGxDdEtFL0NIc290dlpWR3RERTkvVThnYTdDSjlzV2tvUFZ0R3hnM0t6eTdzT1J4M0ZrVElUb0dXS1NXbk5sb0dFcmt2ZnRVd1hyVUNLdXNHa1d2aFBzR1lkeE56MGg5ZFlzMjhrZ09HeE1Ra3Y5OENtTE13ekc1K2ltcjhWS1BtT09RQXBSalBLcFBZMFIwK20wbC9KbUQ1a25zS3NGSy8zVGlHaHZ5RXZOYjM1MVhNMmJDWndlUit4eGRydUhWOGdacWpURmJocG5veTlaWCt2ODJIV1dEYWVSYWljOGJ5ZXFpT1FYYkpwYVJ5MUMya3JqV09ZNjF3aDhEZzhhemUxY2J0UVlBRkhITUptRlBMZTRBOFN3TVZnNDBCNGdFNTIveTBjd2ZOdTlrbjZPSGNCcjRUMlh0eE5aTzNyakRRN2xZV2pRZEdmR0V5NDJpQjF4R1NrQVNCQ3NqSjk1enR1U2FlRmgvWEw5Wk9rZEFkVGRYaUxlYUhsZm42NjNQRUMwVlRrSWtpdlNFZ2xZTHFRSHYwdjFrelA3eHBid1BIeUlwUXFFQU80MVV1dklXWlZRWUJRemtDU2dMNUZWQVFNZWpFODNkc1Y1OEt4ckM4cjVZa3A0Rm9NaERzUjBGYlFzRHZVYXl6R2QvUVY2dmMvYk5Wc2REdEdNSnoyREFKZTNKNmhId092OXNmWEhVUE5WSlNUUXhaVk5DRGlnZ08xbnhTZ0lXTDd5eVc2VTRnK1pRTkNyMUZXc2JyYzJseSt4VC9EZ0tkOVdrUXJkUmtkUVFjSWdydG0wNE1PR25tYklCalVBWG1hVVoyM0lmeTNkT3VJYnFjdXFzMjRiSHpaeDFKWEtEK05FdWVDcWlLcjhReTd3aThMMEw2RXZDNmZUaFY1aWhSVVdQOGZxcDBsNndBTTVMcUxHUDB5Mk8xbnhpeE5ITGNqa3FKald5WThzSXllVzN1bFNnSkw5bGxWekx2ZzV2OXZWbTEreGpaOS92enh0OVora2x1SkFqZDhXU2lRS1BDNFMyQkJZd0Z6OWlid2VuSnV2RllIMmRzb3M4OFZwSWpQeVpSRHZjUGVudDB0QVY3dXZldG5wMzZuQnBqSG41VHVQWktmSDdPcVhYTSt5M3J1c0JsZEJtNXVmZUszYnlQS0NRNHRJa015TVFuKzBRN05Dcml4L1Excm83a0cyLzBtdVRPZlhEbEVjRjNFeTdITlgxRHdZZjlPekhWYmpZVVlBbG5sZmVrSlNtTW8rVGxjbnR3ZG5vempUWVdNZUFvcmszUnlldmR1cE1mM0VVUmo3QzBlS2pFZkFDMmloV2tSY29iNE03SURSY210NmtzSlRxYWFxUXl1OEl1MjVENHYvU0ZORHVwVGE5VEJKeFp3eXhObU5IMHRwclJaK0d5OTM0UEw0K2NWbnFybmR4aHhleWdRcXM1YlJybndaakFnd2NPQzRGeTlCNWJ1eDBvdFgvTUpYQjdMV1V5cjJWMWV3S1g3dEhEZzRSZU5iODVQRkNKWWY0V2drYkh6NTdRd21pWUpCOXk2RDNpMVVvREx3ckJQSHVWeGZQZzNvM1dmSXh1MG9pU1dDT0IybGRDVXBNNTZ1dFhhTnFiQyttcGtzT25GR3NCYzdZbVhqNVVHclhQWHN6aUdzeVVPUnQrVzdkQWpkRlNTL1lqOHEwRFlwY0hLNHFlcFFxa3hEWUh1SFFPb1FGWVdFS2gzYlhuMnhhZE14UElCcjdiVDZNWXU1YW1GRmQ4clZYbjFMYXVYVE16cGo2VDNWUUx3d0R0Q3JRM3hyNDA0WEZyS3Zhdk85dG9KdkRCMVNYR1MvT1lGNzN5UWpnMjNneFIzSkdSSmpUNmtEalczd1dPVVczYzUwS05mUXB5K3pCWUlwK2F1NUdvRVE9PSJ9&from=searchresults#hotelTmpl
Texas,Houston,Joy Palace,93,232.499,https://www.booking.com/hotel/us/sheshmahal.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=976558001_370003928_0_34_0&highlighted_blocks=976558001_370003928_0_34_0&matching_block_id=976558001_370003928_0_34_0&sr_pri_blocks=976558001_370003928_0_34_0__64125&from=searchresults#hotelTmpl
Texas,Houston,Hampton Inn and Suites Houston Central,87,318.074,https://www.booking.com/hotel/us/comfort-inn-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=5767601_94277301_3_1_0&highlighted_blocks=5767601_94277301_3_1_0&matching_block_id=5767601_94277301_3_1_0&sr_pri_blocks=5767601_94277301_3_1_0__87727&nad_id=a88bb6a9-57d0-43e6-bb2e-aa952c413d40_11&nad_cpc=1.18&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpNbFhFdkwxTGM3VTh4Sjh2R0JSYkJRMjRxdW9FeFhBYi9qbHoyeWtPT1RjeHZCcTE2aUw0V1phdEFQV1lBbGNCblNxMUU1MDZkY0dUUmQxaXUzeE5hVHlBU2NSZFNSdjA3Yll6NTZiU3RIQ1prOVh4WVFYOE5ZaSs4U0VCTzJ2T0Qzbk5kVE1LRlNmWE9UdWZablBlQWlkVGdlc2VJc29LSm1uSDFIU3JReTVqMWVuSmViUi9IWERnTzBqQUxDc1ZPYXA4OFVxZ2d3dGtPbUdMZHBpQzMwV3BLWkZpQmN1dlFJcW9qWS9MczgzT3pKaUFGeUFpd0g2Wnh0TWZUVHBWd3Z3UmtnTmNkanJnNEdZQTFuZFE3bnVwWlpZN08wOTVlbzNyUTc5c3Y5c1REdkNsZ3RYRDUwZ2pLVFdaS3NhRzlya0JvTGZUZmpva2tuVVBOcmZaYm94aWxqdTl6SzY2eEhoUW9vdGt0cUpkNmZCYnVOUTBWZUJVRTR0b0JCYVNOYkQ5WjV4QVZiU2xsb0IxcWtOL0c4c2x5Y3lIRGJoQXppWldDNnFHWjlGSkFEK1lvTzdNSnBybGZNcGU5YTBMTXN3Mkc0R3RDZThYMG0yKytVTEE2TXdFVXdaRDBhcFdqRkM3dk0rdHlLTVN5MktLeTU1N0JkMUNqYkxWVVlRNDdwWDFpeE1EeWxGY2k2b2lCeWFoWllwZ2QzLzFZMjZQRnMwaldsQ2FzTjlFRS9STGNEU0t6aVRxeU9DdWpOUWx4YjFBRHJUVlJPQTF5NFJBTUtQa3VjWk9RcGtqVXdCV29mL3o1Vi9VNGFkcXRpOVFpTml5cTkwMFBpWE50eDZGNzRqM29OZi9qbWxVRXg3MklBVldmamhBZ2JRQmJvWnYwbTR0SWlYZzJuMGVyaGxwTW5MdmRHeTZUS2FuL0pMd2lNMGRTaGNiaTE0SHhkaEVLRFVLeE01M1R0OTM4cnRmODJhZGRmWGdLWXQ2ZUVraHFFMVpDcE8yQ3dySjhYTVRMdktpVm1oS0d1Tmp0V2JXZ1pIVzRNRkhqZjJvczFQOUI1cVk4WHI2SDdOYWQ4WGpvejZMOVlVTFZ2cHdQOWl6WHdvVkVOK0U5SldxNytsaWdUejlIS3JFcnZsdVZsRzFOQjIwYkpEdlZCVitVZzFydlh2K29McENZczVqOStoMTJvb2d0VUVsWi9aNVFtU0hwRG1kTUVBZUJTNHpENWNOTmxtTW1IZktWYWVhc05GQisvNDRIOEV0dWZ2b2EzZ1dKU1dKY0M1TFd3S0VoaWdBZGU0UGsyaGJqaFZSeU0rVmFyNTh1WXF2bHBvM2l4UEVGR0RJazRvMyt6cThxNm5ISHhZUnZySFdhc0F2ZFE5OTJCdTBSOVpYQkZXTUd4T0pKVmZ3MGZCRmdaOTM4azJNU2hFZ3dweExnRjEwejUzVlh5dzBNamNEbFZKbGdYVFFIc0ZvNXQyREpjaUphaHExc09IdHlBR1Mwd3YxTnhNc1VBQkFTZjhKbVVjOTA2ajY0dUVzMEdYQVg4YWRaemphb1VmVzB2MXZIZVJNQ3FVVWhqSDVkS1ltVGg0M1RXQXFnSmtxR0JNeUl1bVArN3FiMVpQK2JNWXE1L0hCeWxDeEhCUCtHcjRCcmYwQ2dUUlJ0VjhCTHMyZytxR2tvWXg1QjJoM0l3em42YmxZdFh4K0xFTWJmZVRDcU0xb0dEN1IrSVpab0RxTUJMdTRZaHp5MWVZaklZaDUyMGg5QlpNcThqQUtOa3B0OTQ0d1psN1kzMW5zcXp5ei9YcVRpTitJWHFBblNPWTdUZ1U1cWxWRXRZeWI2bUdzQ3BVUDBrV3lJbnFETjg5bjMrRkRieEtLYjNmaDYwUmQ3L3lZNjFOZjJGVVA1NTNNMDlKbTVzc1hFR0NPVk1GWGtmTUR6Y0xXQ1czdkp0ZjhoZ2oybnJUZVBaS3B3aE4zd3F2T2ozOFhSZlo4UUptNE5sRVhkZDRwNkZBdFcxWmdGb2xBMWhJRytjRFh4cE1JZDllWFFFS2dmMHowdVBkRGh1elNRdjBOUHpSdGFiV1UrNG1tQWgwTEhpaEtTUm9XSTk1VHRyaWVjR3huVExkRlAzNE5JUTgyeFpLV0duL2I2OW5qR0RVVldoWmdqL205bmhZajZRV2IzdmxreU84VnBhVzNHeW9wVnJWUUM0RThqc1lXVVZRNXFVUzE2QjFpK0NGUWNKLy9mOG1OclY1MEwxNnFsdnQxejRKTmlJQkh4UjBGYlFzQ1dVYTNkR2QvUVY2dTg3Njh0OTVtNUZjUmd4U29jYWlrd3czd1l2NWhmRW5zVVBFVlZUUVpBWE1lRWt3d1V5M0pJeTlDRHJIcUQ3UTV4OGRkTEFyNVBYc2ZnTUQ0MSt3TC9XRXZNOVhvR3E5Rm9hQmxYZHorU2pUY2taeTdoZG9FekEwUG1mMFloZzhEMXpjT3VNS3FBcTdkNnVPcVFEMndxSXRHb2VSdU5EcTZFcE5kNXV4UzhkRjJ0SCtDOE0zWVU2REFBRlNUOGZaQitrdEZUZjRMZ1BHWHB5V0sxbmgrK0tXS2R5ZzJKamxhUzk4SS9ka3ZWbXpjSk45cGZTM1d3eXVxeThXNmg3RjZVckxxM2dkOWF3RVZ3RDBXU3AzU29VS1hmNHl5QkJJRUswc0xhaGFMR3R1cFJGVGN6L01Fa0F0dDNNaUJDT1BzWkJ5NGwwbG9xbGVheGhjdTV6bHdxU25OVnE4QmRZRkhmOGorTG5YSzZsZEY1YjAvNjY3TFVrSzZOWld0cTJKRUNwSXBrcWdwdWNTVDZnN2Q0c1pLcFRDMzZncWFMSzJhdVg0WWlYbnVlSUdVQ3lJSDhOM2JZWm5WVkkwWXh5N1NtTWlTbHNlSFVZWDFwTUM5MW1qUUxKcTEzNlVyOXdQYmh0NGdWMGw5YTJ2ejNNS2pZSWdDNHlsaWpXc1FaOHNiU0RSd21zK2w2Y2pTQ08vMWlxdEl5eW96L3VLL1dZVFd4RWVZVkFKaE54aXhUbmRTNDVjL0dhT2UxODJjZmRjYmFVbjY4Z005enhmdW1UNmM2TmtteTFwZkJoZ0VXSE5vL29oaGRvQW9tdjM2SGVtMHNlMmRyNFhrck1CR0EyTlRLczQxQWVPcDdNRitWYmJ0SXlWWFErWnZaOG1HR0ZBUjV4eXk1bncxQ2VVSEhQbWF2eVBMTno1M0tiWkJmM0ppamFpaUc0UmNIRk5SdHVPdGRjZHFIQWVtWW1NTGFSejRTWmFWMUczaHBCNmpnVCtyN0c3SEhiQlZtQmUwSGtOVmVYZUVWOWJnL0k5MVVKWkxCLzAyNXdEb1JyMElKdERNWkVoK3Z4ZXE1a0I2R05CWE5ON3pIYytKUzZKaStTd2szcFU3ZzByT2ZYeThCNTNUTzAweGFuRkhwRGJSd2lLTmp0M015WlBqcWZkMWtNTXZOdzFpVkRlU1hBckh3UkQ4aTBBSUh5YSs5SVRMcGhTblV3VjZXU1cyREgxUXd4NmpybUxTWlRQZms1VjQ5Q213PSJ9&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Texas,Houston,Hyatt House Houston Galleria,74,246.955,https://www.booking.com/hotel/us/hyatt-summerfield-suites-houston.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=25602604_104861633_2_1_0&highlighted_blocks=25602604_104861633_2_1_0&matching_block_id=25602604_104861633_2_1_0&sr_pri_blocks=25602604_104861633_2_1_0__68112&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Texas,Houston,Blue Shark *B495* @ Medical Center Large 1BR King with Private Patio,94,221.72,https://www.booking.com/hotel/us/blue-shark-b495-medical-center-large-1br-king-with-private-patio.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=1114875601_384407601_2_0_0&highlighted_blocks=1114875601_384407601_2_0_0&matching_block_id=1114875601_384407601_2_0_0&sr_pri_blocks=1114875601_384407601_2_0_0__61152&from=searchresults#hotelTmpl
Texas,Houston,Aloft Houston Downtown,74,412.607,https://www.booking.com/hotel/us/aloft-houston-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=175863311_94622744_0_2_0&highlighted_blocks=175863311_94622744_0_2_0&matching_block_id=175863311_94622744_0_2_0&sr_pri_blocks=175863311_94622744_0_2_0__113800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Texas,Houston,Hyatt Place Houston Downtown,85,423.448,https://www.booking.com/hotel/us/hyatt-place-houston-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=595402007_233617479_2_1_0&highlighted_blocks=595402007_233617479_2_1_0&matching_block_id=595402007_233617479_2_1_0&sr_pri_blocks=595402007_233617479_2_1_0__116790&from=searchresults#hotelTmpl
Texas,Houston,Blue Shark *B501* @ Medical Center 1BR Modern King Apartment with Private Patio,98,252.793,https://www.booking.com/hotel/us/blue-shark-b501-medical-center-1br-modern-king-apartment-with-private-patio.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=1115362901_384455071_2_0_0&highlighted_blocks=1115362901_384455071_2_0_0&matching_block_id=1115362901_384455071_2_0_0&sr_pri_blocks=1115362901_384455071_2_0_0__69722&from=searchresults#hotelTmpl
Texas,Houston,"NRG Stadium, the Medical Center Bright and Cozy Unit",10,216.999,https://www.booking.com/hotel/us/modern-and-cozy-resort-style-nrg-stadium-tmc.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=1052145901_382122407_0_0_0&highlighted_blocks=1052145901_382122407_0_0_0&matching_block_id=1052145901_382122407_0_0_0&sr_pri_blocks=1052145901_382122407_0_0_0__59850&from=searchresults#hotelTmpl
Texas,Houston,Free Parking Free Wifi with Kitchen Washer Dryer Relux Studio Group 1,85,205.43,https://www.booking.com/hotel/us/studio-room-with-free-parking-washer-and-dryer-gym.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=5f2c017f5be600dc&srepoch=1701821574&all_sr_blocks=882586802_362154660_0_0_0&highlighted_blocks=882586802_362154660_0_0_0&matching_block_id=882586802_362154660_0_0_0&sr_pri_blocks=882586802_362154660_0_0_0__56659&from=searchresults#hotelTmpl
