state,city,name,avg_score,price,reviews_url
Utah,Salt Lake City,Little America Hotel Salt Lake City,82,359.309,https://www.booking.com/hotel/us/little-america.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=25394502_196220993_0_0_0&highlighted_blocks=25394502_196220993_0_0_0&matching_block_id=25394502_196220993_0_0_0&sr_pri_blocks=25394502_196220993_0_0_0__99100&from=searchresults#hotelTmpl
Utah,Salt Lake City,Hyatt Regency Salt Lake City,90,650.455,https://www.booking.com/hotel/us/hyatt-regency-salt-lake-city.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=829869014_348155451_2_42_0&highlighted_blocks=829869014_348155451_2_42_0&matching_block_id=829869014_348155451_2_42_0&sr_pri_blocks=829869014_348155451_2_42_0__179400&nad_id=bf13d310-6ff2-4099-a365-c8563996eca2_1&nad_cpc=0.87&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpKbUdrd0tWZmM3RUV4SjgzU0N4aUFRV0kzcTRrL1ZRSHl5RVQ2ejBDTlM4QnpDT04vajdVYWVMcElPV3RHamNoa1NLOUs3RldUTTJIU1lrVzAyZ3BYQ1RnZWN4SmRTLzBsWTh6dStMZXZEVGxxNlNkQVdXc0lZU3k2UkYxVjJQYU0wM05OUXN6R1RPUFpXdVBKaXZDZGhKTDRZb2FGdWRMYnlpT2tWVGFLbVpYc1kzZGFOQWJTVTJwU3pTeGNDTWRLYk00NVVhOHRtTTRBbGlQT3RXR3YyblZWYkVPUFAvTEROYW80YnZQSzMzS3JOVGNFMGc2eEk1VmtwWURMUlloKy9nNTVqWXdGbHJnMkY5RXlpTUVxMmZKQlpZREFrdEpFdUdEVzVJQTM3c1ROc250bG9uNzh5QlBIV2tkNnZieXE2VmhqTVBxZm1aOHNrMUx3Z0xCRHRBUzRnS3gySjZtcUR4MHRyNTgxc0lCMWVCamdJUmdITzExTzdNb01CcVNIZENwYTR3TVFmajR1K1VsbW05YkU0Sjg2SkN6VGFGNTl5SnVhdWZqWTRVNU1GZjBtTzZwSzh1TlBKSWZ6SUVUU3NoT0U0WGdJTmRiZ20zbWpYdkV4UGdjY3c1ZTRjbzJ4RlREd012VnNJTTJ5eXF5OHBwWE1jVmluZHJRQ2VSWXBwR045eHQzc25GNGkrSWFQaXExZmRZa2UzZXhMenI3ZnRsSGIwajZtSzk5RjloUFpCVFNrZ25hcU1qZXRkQVowWTFzWnNEZ1hJQVp5NXdzQ2FlODNhWktYc1EvTTJGSytMdkwzRWZReGJNVytuTU1qSUQrbDhnUVhnbk50eDZGNzRqM29OZi9qbWxVRXg3MklBVldmamhBZ2JRQmJvWnYwbTR0SWlYZzJuMGVyaGxwTW5MdmRHeTZUS2FuL0pMd2lNMGRTaGNiaTE0SHhkaEVLRFVLeE01M1R0OTM4cnRmODJhZGRmWGdLWXQ2ZUVraHFFMVpDcE8yQ3dySjhYTVRMdktpVm1oS0R2ZHpwVUxXZ1pIVzRNRkhqZjJvczFQOUI1cVk4WHI2SDdOYWQ4WGpvejZMOVlVTFZ2cHdQOWl6WHdvVkVJKzl5SkdlMjhWQ21RbmxmSUswbDhsQ0ltSHRHQ20wYU16alhWRWVlbjFTOVQvbXFKWitVdTkvbDRsNTBvb1F2VUV0UytJdE5ueUNwVTNGSUF4YUtmS0hVODhWVWptUUtJZmlJWkwyaU9nSnYrWXdNNjFOaGVlMUt4ZzZVUnpCTkhvN1h6ZWM1blJ3QWRkSGh6UmptbjA5L0pPSmN1WWc3Y0xmbzRKWDZsUDhnQVM1Yi9ialhoNUlnM1ZUZXAvNGJyMXkxdUVHc1hJaHFSWlF5OU5MQWNpSkRrc3h3RDROSldRZC9ISTZqMG4wVGdrWXVwUnpsRkJCZ3NIdFBpVlJQa056d1FZTjNTelVCL1JKdHVYaUtQMjVEeGZrMU5tTXhYU2Y3dzdBWW1KUVVTVlZmT3RRd0NvVWc1Q2JoK3daMUJtc1k5YXRGeVRYdEhyN24rd1hXZTBsWXExRjNqMzhXTnR6SmdzYktXd21vUEYrT0JzeVY3amF0dnFpaVphcUxLSjJ1clRraWdDcFdIdnVkcjRGdGNFQ3NTbGNqVk1VRittdHo1bTgrS2s1VDJ4ZlAxQ0R3WWdSOEMwcUxTNU9GUGlPNkxFd1JDYlJwWnQ0d1c3TVBLZThlbnlqa0xOS1BjUTVweEFoSFpkYXRtd2FMZ3R3cnN0b0NsYlU1MEdBK2dXZjVWcVBnTWUwWHRnM1VONGpWbHdVMGgwYy9MVzM4a0d3WHIwSDR4VE9iaUxPTXRObnc4RURaeEtxY3d2NWoxaHRtL20xazFKcWpGUnJzcG40dzhweTM4c0dGRm03VU1CS3BjOHYrY2JLVFhIdlpxT0pxM0MydnB6U05aYXR5aGQvdXVyYnk2ZFgrZmJBY0QyUUpnMTdMZW90d1UxOFNqcElYcXc5eXdkQ0lZQnIvaThBMC8rSEhDNzRTMGpkcGFaUzZzU2FaNEFRVG1nbERabm8vOUhPTWtRbVptUkNQWE4zTDRJSG51UzJYR1IvY0p0TkQxOGdXVU51aUt1S0ZtZmozK21UQUhsUlNsWnd6K2prNGhZRG9RV1hvdkVZdU9kME5iZzNNeUlKZXFsOFk1bGdqc1lHUlZRWmpPemNNQnh2cUFsQUxQT25UNUdOb1I0a054cTI0cDlFOHY1Tm9NaEh3V2tCSFg4R0tOYXk1RTkvYVhhdTJoYjFiOTlIK0I4aDF5VDBBYmpWaW5Id0FzWmdTWEhZWEowOWFXQnRDVU5pSWtCMGJ5M3BUekozWDZDR0ovd2N1dHBZR0M3UkhWY3JqTkhGcSt4cnhXQk9MOG1zRHV0Vitjd1ZRT212cjZrQmJQbi94ZDQwbFNCM21aMGdoMnBIbHpNV3BJYTJYdDdGdCthbVFkQnc0VXE2b0lWaUxDTG1YcU0xMzkwbmxiRWZyQytpOUxDQmQrQ1lRV203NmRwNUNrT0FZSzRMb0xtWHQxbWF0Z3h1aE9ueWRoVWVQaFZpdTlmTUpmSFhJcFNFd0I4dGxXWHYzbStyYnBsT3c0MFBYK2JyNHk5bFJ6bmwwSlY3RjZYU2dRcVhiL0NpWkdZVWZ3ZGJheXVqTXN1ZFBGQ3QwcU5NeUVKTXdJQ3hYTk1jVEsyTnMwaVJ0b3VpMmdjLzBrbHhpRFdGWnZzeGhjWGZiN20zVW5RejlvdDkrYTB1M3Q3S2Z3S2FLZWp3ZzJPVUN4b29rNXhVak9ERHNsK2sxckpDMUEyVHBsTFhVWUdHaUNka2lFeTZlZVhCRHhZWDZNbmlZWWpSYmJnY3hrK1N6TmlDL2kvcmllSEJvSTJJNGlUc0RQN2N1dUZyOCt1alJ1SVlDMmtSZGw2ajNhL2liTFE3bmxSYS9RdGdNOThiTkFCUW92dTQwTFNTVUs3STF1OVVsMW9yb3NyS2RQeWFuQXFkU0NaUkkzeUZDbjl5eXJwSFdZZU85OUdBQllJZWRXM0s1bXRweTBQMmlYTHMwS3dMc3hwN0Zqd2tSQmNCdzRROVpzd0F6dVdtZFBTUmdOR1Z5b1RkM1lBaVIxT2pKZ0lSRFphY3pJa3VRYjZ3VW1VekI5YWZhd1dpRkNUUi80U2lselZKQ0lBL05OMkcrK2VYbjNwcmRjWlpJNEl5VmFSNksxeEZNWE5RazR2NUFjOWFRQnUrVHBNN2hER0FCYnJobVZUTnZNYmpHUy9iVUY0cU1NZ1p3RnE1VG10RkpSdmNaenI0UUk0OE5ONFRUdkJtenhDMEt1VTR5c2h3WFFFaTkwL2o2d0JpVE5CekZOWUxJWE9JQXNZcW9XVXBubzF2ZzI3dWRZU0F1NlNhWndWcEkwUUQ3RzdObTN1b3YrSEVySkxha050dHBNZDMzMkdQZVUrU1ZFcjMvUkRFazBBSUh5YSs5SVRMcGhTblV3VjZXU1cyREgxU0JKNmQ1aW9yTlM1NjJzUS80R2g4PSJ9&from=searchresults#hotelTmpl
Utah,Salt Lake City,"Holiday Inn Express Salt Lake City Downtown, an IHG Hotel",84,480.125,https://www.booking.com/hotel/us/shilo-inn-salt-lake-city.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=50484109_95556418_2_1_0&highlighted_blocks=50484109_95556418_2_1_0&matching_block_id=50484109_95556418_2_1_0&sr_pri_blocks=50484109_95556418_2_1_0__132422&from=searchresults#hotelTmpl
Utah,Salt Lake City,evo Hotel,86,308.186,https://www.booking.com/hotel/us/evo.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=805619901_344622781_2_0_0&highlighted_blocks=805619901_344622781_2_0_0&matching_block_id=805619901_344622781_2_0_0&sr_pri_blocks=805619901_344622781_2_0_0__85000&nad_id=bf13d310-6ff2-4099-a365-c8563996eca2_10&nad_cpc=0.84&nad_track=eyJyYW5rIjoyLCJrb2RkaVRyYWNraW5nSW5mbyI6ImlRUmhFSUlCcVBobnlFbWxrZ2hSNW0rYlFKd2pVWlYzWEoxenRDWlVkYXkwdnY3R1daV1NKVXFkdTlnMzJoN3J5bElVZnFrV0FkUkJ3UDg3UEpOMkZGbDk3NlhrRk9xQVRNZDE1UkN0SnpEVzBjRjNZa1c2UjhaaExMSGdyTDJZQUdJLyswTUlMVHhCQ2I4MUtyME5VRXl1ZlVCNzBhYlQ4YnZJM0ZqbWcveFFBWHE2RERuTkFESHY5cE9mVFlWQjRtRFdOVWpKbUdrd0tWZmM3RUV4SjgzU0N4aUFRV0kzcTRrL1ZRSHl5RVQ2ekVXTFRNSnlDT04vajdVYWVMcElPV3RHamNoblNxdEE0Vk9UTTJIU1lrVzAyZ3BYQ1RnZWNCZFFUdkVrWTh6dStMZXZEVGxxNlNkQVdXc0xaQ3E5Umx4VjIvT0IxbjlNUXN6R1RPUFpXdVBKaXZDZGhKTDRZb2FGdWRMYnlpT2tWVGFLbVpYc1kzZGFOQWJTVTJwU3pTeGNDTWRLYk00NVVhOHRtTTRBbGlQT3RXR3YyblJWYTBHUFAvTEROYW80YnZQSzMzS3JOVGNFMGc2eEk1VmtwWURMUlloKy9nNTVqWXdGbHJnMkY5RXlpTUVxMmZKQlpZREFrdEpFdUdEVzVJQTM3c1ROc250bG9uNzh5QlBIV2tkNnZieXE2VmhqTVBxZm1aOHNrMUx3Z0xCRHRBUzRnS3gySjZtcUR4MHRyNTgxc0lCMWVoVHVKaGdPTzExTzdNb01CcVNIZENwYTR3TVFmajR1K1VsbW05ZkU1NTA2SkN6VGFGNTl5SnVhdWZqWTRVNU1GZjBtTzZwSzh1TlBKSVR1TGdUWnZ3Q1c3WFlIS1lENGtHZThTdUIrZEFFWHpaMjlPZG14SHlQdk0rdHpJTnV6dzc2Z3B0cUdkMU9wZXFvWkxsZ3BybkJpeDhEem4wZ2o4WlNUaXVBWmRwZ1l6KzFZekxqWHNVN0h4blg0T2NsWHVWblRBVG02ZzJydFppVzdaa2s2YVZJZW9UOEhhMWhoN0EwZmZLQmdacE9PdHgrY2gxTGhmN1dvRWJ4MlpNbWtrTWNqTmlpZzdnNWIwMk43MVBRNHJUanVOcnl3MWdCSmt1U2RHUlNXaUJFc0tnMVQ0dHEzMU13SzNUOWl5MGU5aGdnUzBhemRGU1NJTE9hc2JhODBQQkFYeTlUdXlaRHdaZzBQQWw2K040elV1OXEzOGNLL2o3SlpQU2tISXAyR0YxcC9DRk5DcExuZGtySnFYSWVEOTYzVHlVQ1h0OTd2VnFtMU9EamlQRlRvYkdzdTAvOUQ1NllyQ09IUy90eUE0eVdsbGEzMWZVSFJ0WWdNN1h1RGg0bFBQK01uZXlyNCsxT3VTandLZWVVbHBnWGN6bmRLRm4wZEtDM0FFdy9md0ZUM0hyTHRPNStldTVPK3JWbzErOGtqWGtkWjlKSkxsQy96U1h0SFh3YUhRcUhTNk85S24yUWdMdVdQUXZ6bmJBc3Nzc3NTLzFsbWN1b0ZubHJLUjNvZFJzVE95TEZyMlVrT2JZeWxnMWIvbVVWMlArUkh1WWdwZHJ2K3BkcXhncWRZU3kxbzBaSFZ0SXNFNm1MRGxmRmlya3FRekZPcFovOXFOL0Z2K1plR1RDUkUzZkJ1UytCdlZoVUpjWnp5blRBUWxFUXRzQmJ0SEZVMTZqTlB3aElDM3NUeFdaeDlVRDRYdkVjdThIakNieXdLbGFKcGNXTjVBM202a3VCTnh0VkZHQnNQY1pOaFJNbDJyU2F2cEZZNlQzWUU4NjlieVQrb1ErbTUrVVBmUHhKZi9FMGsyaWxDTm96SjM1REtEUTcrTWwvVUJjekdwV0gxdXZ5aE1LdVJNSWpzN0g1OHd5cFJFK3lTcnB4bWRGcTlSeFo0UnNFTnF6UTVwWFkrS2hBVzNBdmYxaXpuZEZNMlVRUFFDTTNDZDNPdklVa1JDYWxrTjRGekErVVpKZTRiZ1R5MmVwTEdJUnRrd1FoSGVkQ3FteGlLaVlwMDVvRmZqN2s0MEhrcTBqZWtHK0xoUGVVVHB3L0ZOSi9Pa2xOaHhRSjViVDZvM1MwQnIxUDhoSDNEMHZURDY0Vyt0MS9iMjZlTXdPcDR6UXQvNlNZcWs0U3dRQTZzdm1Zc3RaQy9zOG1ERlN2V2NSYXJOWU8xZjdPRFVXYkZyL0loa21iMCt5ZUJacTUrZ2RUd3IraXlnNXFzZDV3c0duRVlybGpaZTV4c0dBRVFpcEJHOUVVeHhOQ3lMMGo3cC9BaDZ2N3FEYXdUeFNzaU41YStzM2ZHcWtjUG5BNERMWGtpODIyTWhrUEcya0hIWEpPYnU5bXNyaStjREJqUklOZEwzWVJKRFo3a2FyM1Yxclg3L0hmR0VFNVVnNWdtNjM1bXhzYTlVV3pudjBReE9zVm9iUlRHeitSVnExUUU1VnN1dEorUVdnWnZWQ0FWRTAzR1JRNWJPdnZUNUhSd1Zva00xNmlrcjhkcThkZzFad1A3VlVCR1FzQ1dVYTJrR2Q2K1Y2dTg3NjlONVlYQlU0MDB5Q3dQZHpNbDBpZFMrSmhKRWpoVWNrdE9SQkZIWE0yZG14c1QwblpTMXQ2WjV5K0xybGhrOVpjYUN2MEpWc1RxTkQ4K3VGVzRXRjNNb3pOWHE4SitiaHhiYWlMWjJBSmJjVmZKS2NZMEdVSzJMQUFobGNDaWtvU3BJTHFBdXFkbXFmYmNWamRKU3FETEIycmJRLzZYb05GM3NBZjNJRUd0UlAvclBtWVNwbjVCR3p5dE9kZCtrZXRaZXYremNIWGoyV1NvbkI2K0tHV1MxeDNJeWhHUzlQZzFjMHZZbEJFeU9jVmZVM2FLMXEzdHVCL3VvR21BdS96NjJwNGVoMFZ6TlVtTWpEbm5CclhWOHlxY0JvQUswOC9WbUxpSDhxRmVHU3c2OXBGN1hOVnZabWtXTmYwS01TSXpydzk3ODduZ3F0cWwxUXBwR0RVYy84MWJjMmZJN2hDYXhqajk4NDRvUUY3bThPU1h3dXZUS0hsb2xkNVF5SkpxeGtRdElHcXZ4cmxnOWRIa1V6RzMxZVNGTXlUckNaQnBFRHpMYlRCYjNabTlQbkRaYWpKWUt3VndpUHZ3YkdlbnB1ejljM2hZSXlsczNHRk5NYTlxL2dhaWgvSE52cFVwMzBSUTFPYThaZVNiYWdDa2xGaXRHb2tlN2NqUUh4UThzK0o2ZG5UVWJQTjYrNHRpMjV6anFiUFJabTdpUk9nTlhORUx3aWhIbU5TbTRNcUtPN0dtK0dNY2NON0tEVGY2aE10azJPaTBUN0E4TzBXeGpjU1hsUW9UR05BaHRFb1E5Z3dncEdtSmNHeG5KSG84dDN0eWZnM2VrOGZkaFloSlNPTmxmUXJYWWJSVXhSQ09zb2pPeEdTUEpBMW45emV5c0J3Wk13YUdhQzJweXUvM3dwem5mSUJEellTU1pEaTMweHdBTDVRby9xd0pJOXFOR09tRWtzTHJUVDl2TnZCbURXczZRdTdkVXZmVUNwZmViV2cxVU9NZnpvOFpRT1VaNDY4SkpNaG9aTmlTOFZYbW1uME1xMDRmb3dVZUJ5M3VqN2UzaUVIWWZ4M1dNTHJDUXVCTzFObjBHQWN2K2hDcjJxaVlXU293NVdqOGtnWUhra200VXVWMGo2TWsrVzVsTXZxek05TWhkczNCMVdPWkc1bkVSS2I5VURBa3h4Z1VoUGZBZm1UdmhRTEMwbFhWQnlyR0cvSTB4SmVMdkk0cExIYjJNL3RpRG5oUjN6eVY2dz09In0%3D&from=searchresults#hotelTmpl
Utah,Salt Lake City,Homewood Suites by Hilton Salt Lake City Downtown,85,454.129,https://www.booking.com/hotel/us/homewood-suites-by-hilton-r-salt-lake-city-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=4481711_94266575_2_1_0&highlighted_blocks=4481711_94266575_2_1_0&matching_block_id=4481711_94266575_2_1_0&sr_pri_blocks=4481711_94266575_2_1_0__125252&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Utah,Salt Lake City,Comfort Inn Downtown Salt Lake City,65,235.045,https://www.booking.com/hotel/us/hotel-west-500-south-salt-lake-city.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=49206703_94481003_2_1_0&highlighted_blocks=49206703_94481003_2_1_0&matching_block_id=49206703_94481003_2_1_0&sr_pri_blocks=49206703_94481003_2_1_0__64827&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Utah,Salt Lake City,The Kimball at Temple Square,81,317.903,https://www.booking.com/hotel/us/the-kimball.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=53848801_114663932_0_0_0&highlighted_blocks=53848801_114663932_0_0_0&matching_block_id=53848801_114663932_0_0_0&sr_pri_blocks=53848801_114663932_0_0_0__87680&from=searchresults#hotelTmpl
Utah,Salt Lake City,Salt Lake Plaza Hotel SureStay Collection by Best Western,77,476.42,https://www.booking.com/hotel/us/salt-lake-plaza-at-temple-square.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=2898270_360642178_2_0_0&highlighted_blocks=2898270_360642178_2_0_0&matching_block_id=2898270_360642178_2_0_0&sr_pri_blocks=2898270_360642178_2_0_0__131400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Utah,Salt Lake City,Hyatt House Salt Lake City Downtown,83,439.028,https://www.booking.com/hotel/us/hyatt-house-salt-lake-city-downtown.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=156037804_106964538_2_1_0&highlighted_blocks=156037804_106964538_2_1_0&matching_block_id=156037804_106964538_2_1_0&sr_pri_blocks=156037804_106964538_2_1_0__121087&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Utah,Salt Lake City,Crystal Inn Hotel & Suites - Salt Lake City,83,362.275,https://www.booking.com/hotel/us/crystal-inn-and-suites-salt-lake-city.es.html?label=bin859jc-1DCAMo7AE4mgNIClgDaAyIAQGYAQq4ARfIAQzYAQPoAQH4AQKIAgGoAgO4AtamjqsGwAIB0gIkNjY3NWU0MzUtZDQ2Yy00MGI3LWE3M2ItYzQ5YTQ3YmJhY2M52AIE4AIB&sid=867675c0a6ac4ae450c754b639211fc5&aid=357028&ucfs=1&arphpl=1&checkin=2024-05-12&checkout=2024-05-18&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6ee6651db9f301c4&srepoch=1701786175&all_sr_blocks=35340114_196187363_2_1_0&highlighted_blocks=35340114_196187363_2_1_0&matching_block_id=35340114_196187363_2_1_0&sr_pri_blocks=35340114_196187363_2_1_0__99918&from=searchresults#hotelTmpl
