hotel_id,name,categories,address,city_id,latitude,longitude,attributes,avg_rating,num_of_reviews,url,source_id
0x890068d904b9ea51:0x49b308992d3de28e,Gypsy Rose Villa,['Apartment building'],3035 Old Bryan Dr,121.0,33.7260053,-78.8782603,,3.9,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x890068d904b9ea51:0x49b308992d3de28e?authuser=-1&hl=en&gl=us,2
0x890068b7eb24b4a7:0xccc9660578952ce4,Carolina Ridge,"['Apartment complex', 'Real estate agency']",4401 Central Pkwy,121.0,33.7269096,-78.859143,['Wheelchair accessible entrance'],4.5,17,https://www.google.com/maps/place//data=!4m2!3m1!1s0x890068b7eb24b4a7:0xccc9660578952ce4?authuser=-1&hl=en&gl=us,2
0x890068edafceac33:0x8440eff78b3364d,Lazy G Motel & Apartment,"['Apartment building', 'Indoor lodging']",405 27th Ave N,121.0,33.7065649,-78.8646268,,3.2,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x890068edafceac33:0x8440eff78b3364d?authuser=-1&hl=en&gl=us,2
0x89006a054792be3f:0xc5dda022e44e3fc2,Bijuju,"['Boutique', 'Jeweler']",3092 Howard Ave,121.0,33.6694622,-78.9392639,"['In-store shopping', 'Delivery'], ['Wheelchair accessible entrance'], ['Quick visit']",4.6,44,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89006a054792be3f:0xc5dda022e44e3fc2?authuser=-1&hl=en&gl=us,2
0x890068f8556995e9:0xcab6698039e968bb,Dolphin Motel,['Motel'],1505 S Ocean Blvd,121.0,33.6969711,-78.8749479,,3.2,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x890068f8556995e9:0xcab6698039e968bb?authuser=-1&hl=en&gl=us,2
0x89006599d7aa94e5:0x1ec95c4ac79f6ce7,Bluegreen Vacations Horizon At 77th Resort,['Hotel'],215 77th Ave N,121.0,33.744915299999995,-78.81525529999999,,4.2,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89006599d7aa94e5:0x1ec95c4ac79f6ce7?authuser=-1&hl=en&gl=us,2
0x89e8304f49267cdb:0xbd5be80762e736b2,Yorkshire Stone,"['Stone supplier', 'Cabinet store', 'Granite supplier', 'Marble contractor']",175 Marcus Blvd,2071.0,40.8147813,-73.2467013,,5.0,7,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89e8304f49267cdb:0xbd5be80762e736b2?authuser=-1&hl=en&gl=us,2
0x87471eeaf5bedc37:0x729bb77fc7511de6,Housing Resources of Western Colorado,['Apartment rental agency'],524 30 Rd #3,316.0,39.0807876,-108.4959487,['Wheelchair accessible entrance'],4.2,18,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87471eeaf5bedc37:0x729bb77fc7511de6?authuser=-1&hl=en&gl=us,2
0x87471d22c99f7499:0x42310073646cdb43,Lotus Blossom Asian Massage,"['Massage spa', 'Massage therapist']",2470 Patterson Rd #1,316.0,39.0923029,-108.59571,"['Wheelchair accessible entrance'], ['LGBTQ friendly'], ['Gender-neutral restroom', 'Restroom'], ['Identifies as women-led']",4.5,44,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87471d22c99f7499:0x42310073646cdb43?authuser=-1&hl=en&gl=us,2
0x87471cfccecd498b:0xecc18a6b63b54caf,Allure Beauty Bar,"['Hair salon', 'Beauty salon', 'Eyebrow bar', 'Facial spa', 'Hair extension technician', 'Health and beauty shop', 'Skin care clinic']",1048 Independent Ave A104,316.0,39.081342899999996,-108.58176979999999,"['Staff required to disinfect surfaces between visits'], ['Wheelchair accessible entrance'], ['Appointments recommended'], ['Checks', 'Debit cards', 'Credit cards']",4.5,76,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87471cfccecd498b:0xecc18a6b63b54caf?authuser=-1&hl=en&gl=us,2
0x87471e99a78a1171:0xd9ada9226c63dd53,Courtyard Apartments,['Apartment building'],2910 Bunting Ave,316.0,39.079597,-108.513663,['Wheelchair accessible entrance'],3.2,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87471e99a78a1171:0xd9ada9226c63dd53?authuser=-1&hl=en&gl=us,2
0x87471cf56a67afcb:0xad66e0b00a251a11,Two Rivers Inn,['Inn'],141 N 1st St,316.0,39.0679692,-108.5714752,,2.2,6,https://www.google.com/maps/place//data=!4m2!3m1!1s0x87471cf56a67afcb:0xad66e0b00a251a11?authuser=-1&hl=en&gl=us,2
0x52c82f3ba0b99601:0xe676305bab7e1520,Little Toad Lake Campground,['Resort hotel'],40335 Little Toad Rd,12126.0,46.840222,-95.555123,,4.8,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x52c82f3ba0b99601:0xe676305bab7e1520?authuser=-1&hl=en&gl=us,2
0x52c83450b9325177:0x7127354cfc3bb2e9,Frazee Forum,"['Newspaper publisher', 'Store']",112 Main Ave W,12126.0,46.7281883,-95.7013028,,5.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x52c83450b9325177:0x7127354cfc3bb2e9?authuser=-1&hl=en&gl=us,2
0x89a91a9de3d099e1:0xf8ffd6ea4bd16d86,Crown Apartments,['Apartment complex'],190 Valencia Dr,395.0,34.7587963,-77.37730479999999,['Wheelchair accessible entrance'],3.6,8,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89a91a9de3d099e1:0xf8ffd6ea4bd16d86?authuser=-1&hl=en&gl=us,2
0x89a91140f7ed2ac7:0x5ab69283407c9a59,Lauradale Apartments,['Apartment complex'],2 Aragona Blvd #2,395.0,34.805446599999996,-77.4512252,['Wheelchair accessible entrance'],2.9,66,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89a91140f7ed2ac7:0x5ab69283407c9a59?authuser=-1&hl=en&gl=us,2
0x89a90f6cb6a71d03:0x3be157bbd53c5bd9,Osprey Cove South,['Apartment complex'],1834 Wilmington Hwy #200,395.0,34.736261,-77.4689193,,2.9,56,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89a90f6cb6a71d03:0x3be157bbd53c5bd9?authuser=-1&hl=en&gl=us,2
0x89a9114eec4da4d3:0xddf317cb811411c,Boeing Co,['Aerospace company'],1 Mars Dr,395.0,34.8194466,-77.454945,['Wheelchair accessible entrance'],4.0,2,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89a9114eec4da4d3:0xddf317cb811411c?authuser=-1&hl=en&gl=us,2
0x89a91181d398ddbd:0x2370651fd567c8aa,Best Asian Massage | Appointment Only,"['Massage therapist', 'Massage spa', 'Reflexologist', 'Sports massage therapist', 'Thai massage therapist']",500 Beacham Ln,395.0,34.7640375,-77.42176409999999,,5.0,4,https://www.google.com/maps/place//data=!4m2!3m1!1s0x89a91181d398ddbd:0x2370651fd567c8aa?authuser=-1&hl=en&gl=us,2
0x80caedc8da20dd67:0xa177dd1f135bac3a,Zions Tiny Oasis,['Hotel'],1901 Kolob Terrace Rd,14260.0,37.236544599999995,-113.1520492,,5.0,5,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80caedc8da20dd67:0xa177dd1f135bac3a?authuser=-1&hl=en&gl=us,2
0x878eb5863a708a57:0xc6b8e92846a4e35d,Copper Arms Apartments,['Lodge'],1401 E 7th St,206.0,43.5501633,-96.7085556,,4.0,1,https://www.google.com/maps/place//data=!4m2!3m1!1s0x878eb5863a708a57:0xc6b8e92846a4e35d?authuser=-1&hl=en&gl=us,2
