,state_id,attraction,categories,reviews_url,region
0,AL,USS ALABAMA Battleship Memorial Park,"Museos militares, Barcos",https://www.tripadvisor.com.ar/Attraction_Review-g30709-d109107-Reviews-USS_ALABAMA_Battleship_Memorial_Park-Mobile_Alabama.html,East South Central
1,AL,Barber Vintage Motorsports Museum,"Museos especializados, Pistas de carreras de automóviles",https://www.tripadvisor.com.ar/Attraction_Review-g30375-d107359-Reviews-Barber_Vintage_Motorsports_Museum-Birmingham_Alabama.html,East South Central
2,AL,Gulf State Park,"Parques estatales, Playas",https://www.tripadvisor.com.ar/Attraction_Review-g30582-d143881-Reviews-Gulf_State_Park-Gulf_Shores_Alabama.html,East South Central
3,AL,Birmingham Civil Rights Institute,Museos de historia,https://www.tripadvisor.com.ar/Attraction_Review-g30375-d106398-Reviews-Birmingham_Civil_Rights_Institute-Birmingham_Alabama.html,East South Central
4,AL,Legacy Museum,"Museos de arte, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g30712-d13977526-Reviews-Legacy_Museum-Montgomery_Alabama.html,East South Central
5,AL,U.S. Veterans Memorial Museum,"Museos militares, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g30620-d3626681-Reviews-U_S_Veterans_Memorial_Museum-Huntsville_Alabama.html,East South Central
6,AL,Vulcan Park and Museum,"Miradores, Parques",https://www.tripadvisor.com.ar/Attraction_Review-g30375-d560502-Reviews-Vulcan_Park_and_Museum-Birmingham_Alabama.html,East South Central
7,AL,National Memorial for Peace and Justice,"Lugares históricos, Monumentos y estatuas",https://www.tripadvisor.com.ar/Attraction_Review-g30712-d13977560-Reviews-National_Memorial_for_Peace_and_Justice-Montgomery_Alabama.html,East South Central
8,AL,Huntsville Botanical Garden,Jardines,https://www.tripadvisor.com.ar/Attraction_Review-g30620-d269098-Reviews-Huntsville_Botanical_Garden-Huntsville_Alabama.html,East South Central
9,AL,FORT MORGAN HISTORIC SITE,"Lugares históricos, Campos de batalla",https://www.tripadvisor.com.ar/Attraction_Review-g1475965-d116440-Reviews-FORT_MORGAN_HISTORIC_SITE-Fort_Morgan_Alabama.html,East South Central
10,AL,Rosa Parks Library and Museum,Museos de historia,https://www.tripadvisor.com.ar/Attraction_Review-g30712-d259988-Reviews-Rosa_Parks_Library_and_Museum-Montgomery_Alabama.html,East South Central
11,AL,The Wharf,Puertos deportivos,https://www.tripadvisor.com.ar/Attraction_Review-g30753-d1847139-Reviews-The_Wharf-Orange_Beach_Alabama.html,East South Central
12,AL,Bellingrath Gardens & Home,"Áreas históricas peatonales, Jardines",https://www.tripadvisor.com.ar/Attraction_Review-g30874-d126982-Reviews-Bellingrath_Gardens_Home-Theodore_Alabama.html,East South Central
13,AL,Little River Canyon National Preserve,"Parques nacionales, Cañones",https://www.tripadvisor.com.ar/Attraction_Review-g60889-d143199-Reviews-Little_River_Canyon_National_Preserve-Fort_Payne_Alabama.html,East South Central
14,AL,Birmingham Botanical Gardens,Jardines,https://www.tripadvisor.com.ar/Attraction_Review-g30375-d560671-Reviews-Birmingham_Botanical_Gardens-Birmingham_Alabama.html,East South Central
15,AL,Noccalula Falls Park & Campground,"Parques, Cascadas",https://www.tripadvisor.com.ar/Attraction_Review-g30549-d264873-Reviews-Noccalula_Falls_Park_Campground-Gadsden_Alabama.html,East South Central
16,AL,Mobile Bay Ferry,Ferris,https://www.tripadvisor.com.ar/Attraction_Review-g30472-d2702974-Reviews-Mobile_Bay_Ferry-Dauphin_Island_Alabama.html,East South Central
