state_id,attraction,categories,reviews_url,region
AK,Mendenhall Glacier Visitor Center,"Centros de información turística, Formaciones geológicas",https://www.tripadvisor.com.ar/Attraction_Review-g31020-d105339-Reviews-Mendenhall_Glacier_Visitor_Center-Juneau_Alaska.html,West Pacific
AK,Fountainhead Antique Auto Museum,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g60826-d1465372-Reviews-Fountainhead_Antique_Auto_Museum-Fairbanks_Alaska.html,West Pacific
AK,Tracy Arm Fjord,Masas de agua,https://www.tripadvisor.com.ar/Attraction_Review-g31020-d630993-Reviews-Tracy_Arm_Fjord-Juneau_Alaska.html,West Pacific
AK,Alaska Wildlife Conservation Center,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g31000-d483930-Reviews-Alaska_Wildlife_Conservation_Center-Girdwood_Anchorage_Alaska.html,West Pacific
AK,Denali,Montañas,https://www.tripadvisor.com.ar/Attraction_Review-g143022-d145106-Reviews-Denali-Denali_National_Park_and_Preserve_Alaska.html,West Pacific
AK,Glacier Bay National Park & Preserve,"Masas de agua, Parques nacionales",https://www.tripadvisor.com.ar/Attraction_Review-g143027-d537964-Reviews-Glacier_Bay_National_Park_Preserve-Glacier_Bay_National_Park_and_Preserve_Alaska.html,West Pacific
AK,Kenai Fjords National Park,Parques nacionales,https://www.tripadvisor.com.ar/Attraction_Review-g60873-d3377126-Reviews-Kenai_Fjords_National_Park-Seward_Alaska.html,West Pacific
AK,University of Alaska Museum of the North,"Galerías de arte, Museos de historia natural",https://www.tripadvisor.com.ar/Attraction_Review-g60826-d108911-Reviews-University_of_Alaska_Museum_of_the_North-Fairbanks_Alaska.html,West Pacific
AK,Hubbard Glacier,"Monumentos y lugares de interés, Formaciones geológicas",https://www.tripadvisor.com.ar/Attraction_Review-g28923-d269072-Reviews-Hubbard_Glacier-Alaska.html,West Pacific
AK,Husky Homestead,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g143022-d1007841-Reviews-Husky_Homestead-Denali_National_Park_and_Preserve_Alaska.html,West Pacific
AK,Alaska SeaLife Center,"Áreas de naturaleza y vida silvestre, Acuarios",https://www.tripadvisor.com.ar/Attraction_Review-g60873-d523661-Reviews-Alaska_SeaLife_Center-Seward_Alaska.html,West Pacific
AK,Nugget Falls,Cascadas,https://www.tripadvisor.com.ar/Attraction_Review-g31020-d4071203-Reviews-Nugget_Falls-Juneau_Alaska.html,West Pacific
AK,Morris Thompson Cultural & Visitors Center,Centros de información turística,https://www.tripadvisor.com.ar/Attraction_Review-g60826-d1997299-Reviews-Morris_Thompson_Cultural_Visitors_Center-Fairbanks_Alaska.html,West Pacific
AK,Tony Knowles Coastal Trail,"Áreas históricas peatonales, Rutas para ciclismo",https://www.tripadvisor.com.ar/Attraction_Review-g60880-d144676-Reviews-Tony_Knowles_Coastal_Trail-Anchorage_Alaska.html,West Pacific
AK,Black Spruce Dog Sledding,"Más actividades al aire libre, Más ranchos y granjas",https://www.tripadvisor.com.ar/Attraction_Review-g60826-d4972561-Reviews-Black_Spruce_Dog_Sledding-Fairbanks_Alaska.html,West Pacific
AK,Sitka National Historic Park/Totem Park,"Parques estatales, Áreas históricas peatonales",https://www.tripadvisor.com.ar/Attraction_Review-g60966-d247666-Reviews-Sitka_National_Historic_Park_Totem_Park-Sitka_Alaska.html,West Pacific
AK,Creek Street,Áreas históricas peatonales,https://www.tripadvisor.com.ar/Attraction_Review-g31030-d106663-Reviews-Creek_Street-Ketchikan_Alaska.html,West Pacific
AK,Running Reindeer Ranch,"Granjas, Ranchos",https://www.tripadvisor.com.ar/Attraction_Review-g60826-d1965939-Reviews-Running_Reindeer_Ranch-Fairbanks_Alaska.html,West Pacific
AK,Alaska Raptor Center,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g60966-d318101-Reviews-Alaska_Raptor_Center-Sitka_Alaska.html,West Pacific
AK,Mendenhall Glacier,"Monumentos y lugares de interés, Formaciones geológicas",https://www.tripadvisor.com.ar/Attraction_Review-g31020-d14078618-Reviews-Mendenhall_Glacier-Juneau_Alaska.html,West Pacific
AK,Alyeska Aerial Tram,Tranvías,https://www.tripadvisor.com.ar/Attraction_Review-g31000-d538145-Reviews-Alyeska_Aerial_Tram-Girdwood_Anchorage_Alaska.html,West Pacific
AK,Reindeer Farm,Granjas,https://www.tripadvisor.com.ar/Attraction_Review-g31086-d560544-Reviews-Reindeer_Farm-Palmer_Alaska.html,West Pacific
AK,Alaska Native Heritage Center,"Lugares históricos, Lugares educativos",https://www.tripadvisor.com.ar/Attraction_Review-g60880-d103028-Reviews-Alaska_Native_Heritage_Center-Anchorage_Alaska.html,West Pacific
AK,Alaska Rainforest Sanctuary,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g31030-d577770-Reviews-Alaska_Rainforest_Sanctuary-Ketchikan_Alaska.html,West Pacific
AK,Resurrection Bay,Masas de agua,https://www.tripadvisor.com.ar/Attraction_Review-g60873-d103558-Reviews-Resurrection_Bay-Seward_Alaska.html,West Pacific
AK,Kroschel Films Wildlife Center,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g31005-d1734294-Reviews-Kroschel_Films_Wildlife_Center-Haines_Alaska.html,West Pacific
AK,Denali National Park,Parques estatales,https://www.tripadvisor.com.ar/Attraction_Review-g28923-d144478-Reviews-Denali_National_Park-Alaska.html,West Pacific
AK,Matanuska Glacier,Formaciones geológicas,https://www.tripadvisor.com.ar/Attraction_Review-g28923-d103478-Reviews-Matanuska_Glacier-Alaska.html,West Pacific
AK,Exit Glacier,"Áreas de naturaleza y vida silvestre, Rutas para senderismo",https://www.tripadvisor.com.ar/Attraction_Review-g143039-d145138-Reviews-Exit_Glacier-Kenai_Fjords_National_Park_Alaska.html,West Pacific
AK,Denali Visitor Center,Centros de información turística,https://www.tripadvisor.com.ar/Attraction_Review-g143022-d613605-Reviews-Denali_Visitor_Center-Denali_National_Park_and_Preserve_Alaska.html,West Pacific
AK,Homer Spit,"Rutas para ciclismo, Playas",https://www.tripadvisor.com.ar/Attraction_Review-g31009-d276051-Reviews-Homer_Spit-Homer_Alaska.html,West Pacific
