,state_id,attraction,categories,reviews_url,region
0,DE,Air Mobility Command Museum,"Museos militares, Museos especializados",https://www.tripadvisor.com.ar/Attraction_Review-g34009-d274543-Reviews-Air_Mobility_Command_Museum-Dover_Delaware.html,South Atlantic
1,DE,Cape May-Lewes Ferry,Ferris,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d1172802-Reviews-Cape_May_Lewes_Ferry-Lewes_Delaware.html,South Atlantic
2,DE,Cape Henlopen State Park,"Parques estatales, Playas",https://www.tripadvisor.com.ar/Attraction_Review-g34028-d103510-Reviews-Cape_Henlopen_State_Park-Lewes_Delaware.html,South Atlantic
3,DE,Nemours Estate,"Lugares históricos, Jardines",https://www.tripadvisor.com.ar/Attraction_Review-g34059-d258874-Reviews-Nemours_Estate-Wilmington_Delaware.html,South Atlantic
4,DE,Funland,Parques de diversión y temáticos,https://www.tripadvisor.com.ar/Attraction_Review-g34048-d268889-Reviews-Funland-Rehoboth_Beach_Delaware.html,South Atlantic
5,DE,"Winterthur Museum, Garden & Library",Museos de historia,https://www.tripadvisor.com.ar/Attraction_Review-g34060-d138300-Reviews-Winterthur_Museum_Garden_Library-Winterthur_Delaware.html,South Atlantic
6,DE,Hagley Museum And Library,Museos de historia,https://www.tripadvisor.com.ar/Attraction_Review-g34059-d107854-Reviews-Hagley_Museum_And_Library-Wilmington_Delaware.html,South Atlantic
7,DE,Rehoboth Beach Boardwalk,Muelles y paseos peatonales,https://www.tripadvisor.com.ar/Attraction_Review-g34048-d23235344-Reviews-Rehoboth_Beach_Boardwalk-Rehoboth_Beach_Delaware.html,South Atlantic
8,DE,Dogfish Head Craft Brewery,Cervecerías,https://www.tripadvisor.com.ar/Attraction_Review-g34039-d657793-Reviews-Dogfish_Head_Craft_Brewery-Milton_Delaware.html,South Atlantic
9,DE,Lewes Historical Society,"Lugares históricos, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g34028-d552705-Reviews-Lewes_Historical_Society-Lewes_Delaware.html,South Atlantic
10,DE,Hopkins Farm Creamery,Granjas,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d2415342-Reviews-Hopkins_Farm_Creamery-Lewes_Delaware.html,South Atlantic
11,DE,Air Mobility Command Museum,"Museos militares, Museos especializados",https://www.tripadvisor.com.ar/Attraction_Review-g34009-d274543-Reviews-Air_Mobility_Command_Museum-Dover_Delaware.html,South Atlantic
12,DE,Cape May-Lewes Ferry,Ferris,https://www.tripadvisor.com.ar/Attraction_Review-g34028-d1172802-Reviews-Cape_May_Lewes_Ferry-Lewes_Delaware.html,South Atlantic
13,DE,Cape Henlopen State Park,"Parques estatales, Playas",https://www.tripadvisor.com.ar/Attraction_Review-g34028-d103510-Reviews-Cape_Henlopen_State_Park-Lewes_Delaware.html,South Atlantic
14,DE,Nemours Estate,"Lugares históricos, Jardines",https://www.tripadvisor.com.ar/Attraction_Review-g34059-d258874-Reviews-Nemours_Estate-Wilmington_Delaware.html,South Atlantic
15,DE,Funland,Parques de diversión y temáticos,https://www.tripadvisor.com.ar/Attraction_Review-g34048-d268889-Reviews-Funland-Rehoboth_Beach_Delaware.html,South Atlantic
16,DE,"Winterthur Museum, Garden & Library",Museos de historia,https://www.tripadvisor.com.ar/Attraction_Review-g34060-d138300-Reviews-Winterthur_Museum_Garden_Library-Winterthur_Delaware.html,South Atlantic
17,FL,Universal's Islands of Adventure,Parques de diversión y temáticos,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d258685-Reviews-Universal_Islands_of_Adventure-Orlando_Florida.html,South Atlantic
18,FL,The Wizarding World of Harry Potter at Universal Orlando Resort,Parques de diversión y temáticos,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter_at_Universal_Orlando_Resort-Orlando_Florida.html,South Atlantic
19,FL,Hollywood Beach,Playas,https://www.tripadvisor.com.ar/Attraction_Review-g34296-d632053-Reviews-Hollywood_Beach-Hollywood_Broward_County_Florida.html,South Atlantic
20,FL,Museo de la Casa de Ernest Hemingway,Museos especializados,https://www.tripadvisor.com.ar/Attraction_Review-g34345-d130377-Reviews-The_Ernest_Hemingway_Home_and_Museum-Key_West_Florida_Keys_Florida.html,South Atlantic
21,FL,Key West Butterfly and Nature Conservatory,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g34345-d599396-Reviews-Key_West_Butterfly_and_Nature_Conservatory-Key_West_Florida_Keys_Florida.html,South Atlantic
22,FL,Clearwater Beach,Playas,https://www.tripadvisor.com.ar/Attraction_Review-g34141-d117476-Reviews-Clearwater_Beach-Clearwater_Florida.html,South Atlantic
23,FL,Disney Springs,Centros comerciales,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d130846-Reviews-Disney_Springs-Orlando_Florida.html,South Atlantic
24,FL,Stetson Mansion,Edificios con valor arquitectónico,https://www.tripadvisor.com.ar/Attraction_Review-g34178-d2355042-Reviews-Stetson_Mansion-DeLand_Florida.html,South Atlantic
25,FL,McCarthy's Wildlife,"Áreas de naturaleza y vida silvestre, Zoológicos",https://www.tripadvisor.com.ar/Attraction_Review-g34731-d1181294-Reviews-McCarthy_s_Wildlife-West_Palm_Beach_Florida.html,South Atlantic
26,FL,Lincoln Road,"Áreas históricas peatonales, Parques",https://www.tripadvisor.com.ar/Attraction_Review-g34439-d109886-Reviews-Lincoln_Road-Miami_Beach_Florida.html,South Atlantic
27,FL,Mallory Square,"Monumentos y lugares de interés, Muelles y paseos peatonales",https://www.tripadvisor.com.ar/Attraction_Review-g34345-d104133-Reviews-Mallory_Square-Key_West_Florida_Keys_Florida.html,South Atlantic
28,FL,Busch Gardens,Parques de diversión y temáticos,https://www.tripadvisor.com.ar/Attraction_Review-g34678-d107648-Reviews-Busch_Gardens-Tampa_Florida.html,South Atlantic
29,FL,Calle Duval,Monumentos y lugares de interés,https://www.tripadvisor.com.ar/Attraction_Review-g34345-d108770-Reviews-Duval_Street-Key_West_Florida_Keys_Florida.html,South Atlantic
30,FL,Ocean Drive,Monumentos y lugares de interés,https://www.tripadvisor.com.ar/Attraction_Review-g34439-d108858-Reviews-Ocean_Drive-Miami_Beach_Florida.html,South Atlantic
31,FL,St. Augustine Wild Reserve,"Áreas de naturaleza y vida silvestre, Zoológicos",https://www.tripadvisor.com.ar/Attraction_Review-g34599-d1848903-Reviews-St_Augustine_Wild_Reserve-St_Augustine_Florida.html,South Atlantic
32,FL,Lock & Load Museum,"Galerías de arte, Museos especializados",https://www.tripadvisor.com.ar/Attraction_Review-g34438-d14864466-Reviews-Lock_Load_Museum-Miami_Florida.html,South Atlantic
33,FL,Medieval Torture Museum,"Museos especializados, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g34599-d12352576-Reviews-Medieval_Torture_Museum-St_Augustine_Florida.html,South Atlantic
34,FL,Duncan McClellan Gallery,"Galerías de arte, Museos especializados",https://www.tripadvisor.com.ar/Attraction_Review-g34607-d3341237-Reviews-Duncan_McClellan_Gallery-St_Petersburg_Florida.html,South Atlantic
35,FL,The Wizard of Oz Museum,"Museos especializados, Museos de arte",https://www.tripadvisor.com.ar/Attraction_Review-g34117-d23751000-Reviews-The_Wizard_of_Oz_Museum-Cape_Canaveral_Brevard_County_Florida.html,South Atlantic
36,FL,Hatchet Hangout - Axe Throwing St Pete,Complejos deportivos,https://www.tripadvisor.com.ar/Attraction_Review-g34607-d23116259-Reviews-Hatchet_Hangout_Axe_Throwing_St_Pete-St_Petersburg_Florida.html,South Atlantic
37,FL,Happily Ever After Fireworks,"Parques de Disney y actividades, Teatro y espectáculos",https://www.tripadvisor.com.ar/Attraction_Review-g34515-d253208-Reviews-Happily_Ever_After_Fireworks-Orlando_Florida.html,South Atlantic
38,FL,Bear Creek Feline Center,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g34542-d3532463-Reviews-Bear_Creek_Feline_Center-Panama_City_Florida.html,South Atlantic
39,FL,Wonder House,"Museos especializados, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g34072-d17670767-Reviews-Wonder_House-Bartow_Florida.html,South Atlantic
40,FL,Universal's Islands of Adventure,Parques de diversión y temáticos,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d258685-Reviews-Universal_Islands_of_Adventure-Orlando_Florida.html,South Atlantic
41,FL,The Wizarding World of Harry Potter at Universal Orlando Resort,Parques de diversión y temáticos,https://www.tripadvisor.com.ar/Attraction_Review-g34515-d1968468-Reviews-The_Wizarding_World_of_Harry_Potter_at_Universal_Orlando_Resort-Orlando_Florida.html,South Atlantic
42,FL,Shy Wolf Sanctuary Education & Experience Center,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g34248-d1860709-Reviews-Shy_Wolf_Sanctuary_Education_Experience_Center-Golden_Gate_Florida.html,South Atlantic
43,FL,Equestrian Adventures of Florida,Rutas ecuestres,https://www.tripadvisor.com.ar/Attraction_Review-g34172-d3498971-Reviews-Equestrian_Adventures_of_Florida-Daytona_Beach_Florida.html,South Atlantic
44,FL,C Ponies Beach Horses,Tours a caballo,https://www.tripadvisor.com.ar/Attraction_Review-g34607-d4356688-Reviews-C_Ponies_Beach_Horses-St_Petersburg_Florida.html,South Atlantic
45,FL,Grizzly Axes,Complejos deportivos,https://www.tripadvisor.com.ar/Attraction_Review-g34550-d17806489-Reviews-Grizzly_Axes-Pensacola_Florida.html,South Atlantic
46,FL,Panther Ridge Conservation Center,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g34404-d15627735-Reviews-Panther_Ridge_Conservation_Center-Loxahatchee_Florida.html,South Atlantic
47,FL,Arcade Monsters,Centros de juego y entretenimiento,https://www.tripadvisor.com.ar/Attraction_Review-g34521-d16853981-Reviews-Arcade_Monsters-Oviedo_Florida.html,South Atlantic
48,FL,Escape Thrill,Juegos de escape,https://www.tripadvisor.com.ar/Attraction_Review-g34141-d10517017-Reviews-Escape_Thrill-Clearwater_Florida.html,South Atlantic
49,FL,Danger Charters,"Buceo y esnórquel, Tours en barco",https://www.tripadvisor.com.ar/Attraction_Review-g34345-d642768-Reviews-Danger_Charters-Key_West_Florida_Keys_Florida.html,South Atlantic
50,FL,Escapology,Juegos de escape,https://www.tripadvisor.com.ar/Attraction_Review-g34373-d12298030-Reviews-Escapology-Lakeland_Florida.html,South Atlantic
51,FL,Outerlife Studios - Escape Room St. Pete,"Juegos de escape, Centros de juego y entretenimiento",https://www.tripadvisor.com.ar/Attraction_Review-g34607-d12239610-Reviews-Outerlife_Studios_Escape_Room_St_Pete-St_Petersburg_Florida.html,South Atlantic
52,FL,The Great Magic Hall,"Tiendas de regalos, Teatros",https://www.tripadvisor.com.ar/Attraction_Review-g34352-d8353009-Reviews-The_Great_Magic_Hall-Kissimmee_Florida.html,South Atlantic
