,attraction,n_reviews,categories,state,region
0,Louisville Mega Cavern,19.940,Cavernas y cuevas,Kentucky,East South Central
1,Maker's Mark,2.858,Destilerías,Kentucky,East South Central
2,Louisville Slugger Museum & Factory,6.889,Museos especializados,Kentucky,East South Central
3,Lost River Cave,3.422,"Cavernas y cuevas, Formaciones geológicas",Kentucky,East South Central
4,Keeneland,2.927, Carreras de caballos,Kentucky,East South Central
5,Kentucky Derby Museum,3.562,Museos especializados,Kentucky,East South Central
6,Buffalo Trace Distillery,2.612,Destilerías,Kentucky,East South Central
7,Mammoth Cave,4.242,Cavernas y cuevas,Kentucky,East South Central
8,Ark Encounter,4.621,Museos especializados,Kentucky,East South Central
9,Churchill Downs,3.804,"Lugares históricos,  Carreras de caballos",Kentucky,East South Central
10,National Corvette Museum,3.070,Museos especializados,Kentucky,East South Central
11,James E. Pepper Distillery,1.162,Destilerías,Kentucky,East South Central
12,Conrad-Caldwell House Museum (Conrad's Castle),764,"Museos especializados, Lugares históricos",Kentucky,East South Central
13,Parque Ecuestre Kentucky,2.743,"Museos especializados, Parques estatales",Kentucky,East South Central
14,Crystal Onyx Cave,525,Cavernas y cuevas,Kentucky,East South Central
15,Creation Museum,2.457,Museos de historia natural,Kentucky,East South Central
16,Castle & Key Distillery,796,Destilerías,Kentucky,East South Central
17,Woodford Reserve Distillery,2.016,"Destilerías, Cervecerías",Kentucky,East South Central
18,The Big Four Bridge,1.969,Puentes,Kentucky,East South Central
19,James B. Beam Distilling Co.,1.599,Destilerías,Kentucky,East South Central
20,Willett Distilling Company,1.098,Destilerías,Kentucky,East South Central
21,Four Roses,1.169,Destilerías,Kentucky,East South Central
22,The National Quilt Museum,1.077,Museos de arte,Kentucky,East South Central
23,NCM Motorsports Park,484,Pistas de carreras de automóviles,Kentucky,East South Central
24,Muhammad Ali Center,1.316,Museos especializados,Kentucky,East South Central
25,Angel's Envy Distillery,956,Destilerías,Kentucky,East South Central
26,Stitzel-Weller Distillery,826,Destilerías,Kentucky,East South Central
27,Mill Ridge Farm,394,Granjas,Kentucky,East South Central
28,Cumberland Gap National Historical Park,608,Parques nacionales,Kentucky,East South Central
29,Cumberland Falls State Resort Park,1.392,"Parques estatales, Cascadas",Kentucky,East South Central
30,Lexington Brewing & Distilling Co.,972,Cervecerías,Kentucky,East South Central
31,Evan Williams Bourbon Experience,1.277,Destilerías,Kentucky,East South Central
32,Old Friends at Dream Chase Farm,523,Granjas,Kentucky,East South Central
33,Floodwall Murals,949,Monumentos y lugares de interés,Kentucky,East South Central
34,Claiborne Farm,552,Granjas,Kentucky,East South Central
35,Kentucky Peerless Distilling Co,468,Destilerías,Kentucky,East South Central
36,Limestone Branch Distillery,498,Destilerías,Kentucky,East South Central
37,Natural Bridge State Resort Park,810,"Parques estatales, Parques",Kentucky,East South Central
38,Lux Row Distillers,563,Destilerías,Kentucky,East South Central
39,Cave Hill Cemetery,762,Cementerios,Kentucky,East South Central
40,Swope's Cars of Yesteryear Museum,303,Museos especializados,Kentucky,East South Central
41,Hidden River Cave and American Cave Museum,527,"Áreas de naturaleza y vida silvestre, Cavernas y cuevas",Kentucky,East South Central
42,Copper & Kings American Brandy Distillery,676,Destilerías,Kentucky,East South Central
43,The Great American Dollhouse Museum,390,Museos especializados,Kentucky,East South Central
44,Diamond Caverns,470,Cavernas y cuevas,Kentucky,East South Central
45,New Riff Distillery,315,Destilerías,Kentucky,East South Central
46,Heaven Hill Bourbon Experience,1.056,Destilerías,Kentucky,East South Central
47,Godolphin,148,Granjas,Kentucky,East South Central
48,Kentucky Artisan Distillery,364,Destilerías,Kentucky,East South Central
49,Green River Distilling Co.,224,Destilerías,Kentucky,East South Central
50,Frazier History Museum,835,"Tiendas de regalos, Museos especializados",Kentucky,East South Central
51,Louisville Zoo,1.540,Zoológicos,Kentucky,East South Central
52,Abraham Lincoln Birthplace National Historical Park,705,Lugares históricos,Kentucky,East South Central
53,Boone County Distilling Company,261,Destilerías,Kentucky,East South Central
54,Bernheim Arboretum & Forest,262,Áreas de naturaleza y vida silvestre,Kentucky,East South Central
55,Old Forester Distilling,279,Destilerías,Kentucky,East South Central
56,Shaker Village of Pleasant Hill,728,"Lugares históricos, Granjas",Kentucky,East South Central
57,WinStar Farm,170,Granjas,Kentucky,East South Central
58,My Old Kentucky Home,535,"Lugares históricos, Parques estatales",Kentucky,East South Central
59,Chaney's Dairy Barn,497,Granjas,Kentucky,East South Central
60,Waverly Hills Sanatorium,486,Lugares misteriosos,Kentucky,East South Central
61,Jeptha Creed,259,Destilerías,Kentucky,East South Central
62,Onyx Cave,242,Cavernas y cuevas,Kentucky,East South Central
63,Farmington Historic Plantation,120,Lugares históricos,Kentucky,East South Central
64,Bluegrass Distillers,253,Destilerías,Kentucky,East South Central
65,Dinosaur World,612,Museos especializados,Kentucky,East South Central
66,Preservation Distillery,153,Destilerías,Kentucky,East South Central
67,Glenns Creek Distillery,147,Destilerías,Kentucky,East South Central
68,Rabbit Hole Distillery,118,Destilerías,Kentucky,East South Central
69,Coolmore America - Ashford Stud,139,"Áreas de naturaleza y vida silvestre, Granjas",Kentucky,East South Central
70,Log Still Distillery,53,Destilerías,Kentucky,East South Central
71,Harland Sanders Cafe And Museum,562,Museos de historia,Kentucky,East South Central
72,Runnymede Farm,60,Granjas,Kentucky,East South Central
73,Lane's End,48,Granjas,Kentucky,East South Central
74,Hartfield & Co.,53,Destilerías,Kentucky,East South Central
75,Malibu Jack's Lexington,657,"Centros de juego y entretenimiento, Minigolf",Kentucky,East South Central
76,Barrel House Distillery,700,"Tiendas de regalos, Destilerías",Kentucky,East South Central
77,Breakout Games - Lexington,1.059,Juegos de escape,Kentucky,East South Central
78,Sherlock's Escape Rooms,633,Juegos de escape,Kentucky,East South Central
79,Prohibition Craft Spirits Distillery,41,"Destilerías, Museos especializados",Kentucky,East South Central
80,Vicksburg National Military Park,3.161,"Campos de batalla, Parques",Mississipi,East South Central
81,Elvis Presley Birthplace & Museum,1.670,"Museos especializados, Lugares históricos",Mississipi,East South Central
82,Natchez Trace Parkway,1.775,Rutas turísticas,Mississipi,East South Central
83,U.S.S. Cairo Museum,1.531,"Barcos, Museos de historia",Mississipi,East South Central
84,Longwood,1.634,"Lugares históricos, Monumentos y lugares de interés",Mississipi,East South Central
85,Biloxi Visitors Center,1.374,Centros de información turística,Mississipi,East South Central
86,Beauvoir,1.236,"Lugares históricos, Monumentos y lugares de interés",Mississipi,East South Central
87,Stanton Hall,899,Lugares históricos,Mississipi,East South Central
88,Rosalie Mansion,782,"Museos especializados, Lugares históricos",Mississipi,East South Central
89,St. Mary Basilica,482,Iglesias y catedrales,Mississipi,East South Central
90,Melrose,539,"Lugares históricos, Parques nacionales",Mississipi,East South Central
91,Biloxi Beach,1.153,Playas,Mississipi,East South Central
92,Natchez Visitor Center,848,Centros de información turística,Mississipi,East South Central
93,Mississippi Civil Rights Museum,234,"Galerías de arte, Museos especializados",Mississipi,East South Central
94,Old Court House Museum,607,Museos de historia,Mississipi,East South Central
95,McRaven House,197,Monumentos y lugares de interés,Mississipi,East South Central
96,Hattiesburg Zoo,312,Zoológicos,Mississipi,East South Central
97,Jesse Brent Lower Mississippi River Museum and Interpretive Center,289,Museos especializados,Mississipi,East South Central
98,Lauren Rogers Museum of Art,144,Museos de arte,Mississipi,East South Central
99,The Belmont 1857,101,"Lugares históricos, Edificios con valor arquitectónico",Mississipi,East South Central
100,Maritime and Seafood Industry Museum,245,Museos especializados,Mississipi,East South Central
101,Ohr-O'Keefe Museum of Art,307,"Galerías de arte, Museos de arte",Mississipi,East South Central
102,Choctaw Hall,122,"Lugares históricos, Monumentos y lugares de interés",Mississipi,East South Central
103,Vicksburg Riverfront Murals,545,Monumentos y lugares de interés,Mississipi,East South Central
104,Natchez Brewing Company,97,Cervecerías,Mississipi,East South Central
105,Tupelo Veteran's Museum,92,"Museos militares, Museos de historia",Mississipi,East South Central
106,The Natchez Trace Parkway,140,Rutas turísticas,Mississipi,East South Central
107,Waveland's Ground Zero Hurricane Museum,64,"Galerías de arte, Museos especializados",Mississipi,East South Central
108,Vicksburg Civil War Museum,44,Museos de historia,Mississipi,East South Central
109,Liberation Escape Rooms,141,Juegos de escape,Mississipi,East South Central
110,Grand Ole Opry,14.039,Teatros,Tennessee,East South Central
111,Graceland,20.205,"Museos especializados, Monumentos y lugares de interés",Tennessee,East South Central
112,Ole Smoky,14.423,Destilerías,Tennessee,East South Central
113,Sun Studio,12.312,Lugares históricos,Tennessee,East South Central
114,Country Music Hall of Fame and Museum,15.402,Museos especializados,Tennessee,East South Central
115,Ryman Auditorium,13.757,"Monumentos y lugares de interés, Teatros",Tennessee,East South Central
116,Dollywood,18.777,"Parques de diversión y temáticos, Parques acuáticos",Tennessee,East South Central
117,Parrot Mountain & Gardens,6.020,Jardines,Tennessee,East South Central
118,Belle Meade Historic Site & Winery,7.948,Lugares históricos,Tennessee,East South Central
119,Titanic Museum Attraction,11.069,Museos especializados,Tennessee,East South Central
120,National Civil Rights Museum - Lorraine Motel,9.146,"Lugares históricos, Museos de historia",Tennessee,East South Central
121,Ole Smoky Tennessee Moonshine,7.600,Destilerías,Tennessee,East South Central
122,Ripley's Aquarium of the Smokies,15.082,Acuarios,Tennessee,East South Central
123,The Island in Pigeon Forge,12.193,Parques de diversión y temáticos,Tennessee,East South Central
124,RCA Studio B,3.938,Museos especializados,Tennessee,East South Central
125,Tennessee Aquarium,7.070,Acuarios,Tennessee,East South Central
126,Tennessee Homemade Wines,7.007,Viñedos con bodegas,Tennessee,East South Central
127,Andrew Jackson's Hermitage,5.844,"Museos especializados, Lugares históricos",Tennessee,East South Central
128,Gatlinburg SkyLift Park,7.089,"Parques de diversión y temáticos, Miradores",Tennessee,East South Central
129,Lookout Mountain,4.353,"Montañas, Miradores",Tennessee,East South Central
130,Gaylord Opryland Resort Gardens,6.136,Jardines,Tennessee,East South Central
131,The Johnny Cash Museum,7.104,"Museos especializados, Museos de historia",Tennessee,East South Central
132,Smoky Mountain Alpine Coaster,5.372,Parques de diversión y temáticos,Tennessee,East South Central
133,Lotz House Museum,3.347,"Lugares históricos, Museos de historia",Tennessee,East South Central
134,Mountain Valley Winery,2.718,Viñedos con bodegas,Tennessee,East South Central
135,Tuckaleechee Caverns,2.895,Cavernas y cuevas,Tennessee,East South Central
136,Clingmans Dome,3.132,Montañas,Tennessee,East South Central
137,Hillside Winery,2.690,Viñedos con bodegas,Tennessee,East South Central
138,Great Smoky Mountains National Park,2.567,Parques nacionales,Tennessee,East South Central
139,Raccoon Mountain Caverns,1.929,Cavernas y cuevas,Tennessee,East South Central
140,Walnut Street Bridge,2.952,Puentes,Tennessee,East South Central
141,Rockin' Raceway Arcade,2.080,Parques de diversión y temáticos,Tennessee,East South Central
142,Tennessee Shine Company - Gatlinburg,2.331,Destilerías,Tennessee,East South Central
143,Stax Museum of American Soul Music,2.188,"Museos especializados, Lugares educativos",Tennessee,East South Central
144,Market Square,2.979,Monumentos y lugares de interés,Tennessee,East South Central
145,Tennessee Valley Railroad Museum,1.740,"Museos especializados, Museos para niños",Tennessee,East South Central
146,Roaring Fork Motor Nature Trail,1.794,Rutas para senderismo,Tennessee,East South Central
147,Tennessee Cider Company,2.730,Viñedos con bodegas,Tennessee,East South Central
148,Junction 35 Spirits,1.372,Destilerías,Tennessee,East South Central
149,Smoky Mountain River Rat Tubing,1.640,Parques de diversión y temáticos,Tennessee,East South Central
150,Goats on the Roof,3.058,Centros comerciales,Tennessee,East South Central
151,Smoky Mountain Deer Farm & Exotic Petting Zoo,1.425,Zoológicos,Tennessee,East South Central
152,Tennessee Legend Distillery,1.354,Destilerías,Tennessee,East South Central
153,Memphis Rock 'n' Soul Museum,2.409,"Museos especializados, Museos de historia",Tennessee,East South Central
154,Mill Bridge Winery,1.403,Viñedos con bodegas,Tennessee,East South Central
155,Musicians Hall of Fame and Museum,1.219,Museos especializados,Tennessee,East South Central
156,Belmont Mansion,1.095,"Lugares históricos, Jardines",Tennessee,East South Central
157,Carnton,1.742,"Museos especializados, Lugares históricos",Tennessee,East South Central
158,Carter House,1.378,"Museos especializados, Lugares históricos",Tennessee,East South Central
159,Lane Motor Museum,966,Museos especializados,Tennessee,East South Central
160,Bridgestone Arena,2.044,Campos de juego y estadios,Tennessee,East South Central
161,Tennessee Legend Distillery - Winfield Dunn Parkway,880,Destilerías,Tennessee,East South Central
162,Big Top Arcade,1.504,Parques de diversión y temáticos,Tennessee,East South Central
163,Chattanooga Whiskey Experimental Distillery,1.155,Destilerías,Tennessee,East South Central
164,Adventures Unlimited,1.200,Masas de agua,Tennessee,East South Central
165,Tennessee Shine Company - Pigeon Forge,788,Destilerías,Tennessee,East South Central
166,Arcade City Pigeon Forge,1.499,Parques de diversión y temáticos,Tennessee,East South Central
167,Tennessee State Museum,988,Museos de historia,Tennessee,East South Central
168,Forbidden Caverns,1.354,Cavernas y cuevas,Tennessee,East South Central
169,Main Event Theater,754,Teatros,Tennessee,East South Central
170,Old Forge Distillery,1.403,"Destilerías, Lugares históricos",Tennessee,East South Central
171,Cheekwood,1.445,"Lugares históricos, Jardines",Tennessee,East South Central
172,Downtown Franklin,1.462,"Barrios, Áreas históricas peatonales",Tennessee,East South Central
173,Gatlinburg Scenic Overlook,1.382,"Miradores, Rutas turísticas",Tennessee,East South Central
174,Tennessee Legend Distillery,548,Destilerías,Tennessee,East South Central
