,attraction,n_reviews,categories,state,region
0,Central Park,133.985,"Monumentos y lugares de interés, Parques",New York,Mid Atlantic
1,Monumento Conmemorativo del 11 de Septiembre,96.845,"Museos especializados, Lugares históricos",New York,Mid Atlantic
2,Museo Metropolitano de Arte,55.167,"Monumentos y lugares de interés, Museos de arte",New York,Mid Atlantic
3,Empire State Building,94.729,"Monumentos y lugares de interés, Edificios con valor arquitectónico",New York,Mid Atlantic
4,High Line,62.992,"Parques, Áreas peatonales pintorescas",New York,Mid Atlantic
5,Broadway,31.658,Monumentos y lugares de interés,New York,Mid Atlantic
6,"Plataforma de Observación ""Top of the Rock""",80.123,"Miradores, Torres y observatorios",New York,Mid Atlantic
7,Puente de Brooklyn,25.981,Puentes,New York,Mid Atlantic
8,Statue of Liberty,44.015,"Monumentos y lugares de interés, Monumentos y estatuas",New York,Mid Atlantic
9,Grand Central Terminal,44.719,"Monumentos y lugares de interés, Edificios con valor arquitectónico",New York,Mid Atlantic
10,Manhattan Skyline,21.495,Monumentos y lugares de interés,New York,Mid Atlantic
11,Times Square,56.767,"Barrios, Monumentos y lugares de interés",New York,Mid Atlantic
12,Staten Island Ferry,22.991,Ferris,New York,Mid Atlantic
13,Parque Bryant,23.863,Parques,New York,Mid Atlantic
14,Rockefeller Center,25.591,"Monumentos y lugares de interés, Edificios con valor arquitectónico",New York,Mid Atlantic
15,St. Patrick's Cathedral,15.296,Iglesias y catedrales,New York,Mid Atlantic
16,New York Public Library,14.622,Museos especializados,New York,Mid Atlantic
17,One World Observatory,28.985,"Edificios con valor arquitectónico, Miradores",New York,Mid Atlantic
18,American Museum of Natural History,26.150,Museos de historia natural,New York,Mid Atlantic
19,The Museum of Modern Art (MoMA),18.337,Museos de arte,New York,Mid Atlantic
20,SUMMIT One Vanderbilt,2.451,Torres y observatorios,New York,Mid Atlantic
21,Chelsea Market,9.801,Mercados de las pulgas y al aire libre,New York,Mid Atlantic
22,Museo Taller de la Zona Cero,3.063,Museos especializados,New York,Mid Atlantic
23,Radio City Music Hall,9.292,"Monumentos y lugares de interés, Teatros",New York,Mid Atlantic
24,Intrepid Museum,9.627,Museos militares,New York,Mid Atlantic
25,Madison Square Garden,9.166,Campos de juego y estadios,New York,Mid Atlantic
26,The Met Cloisters,5.157,"Galerías de arte, Museos de arte",New York,Mid Atlantic
27,Fifth Avenue,8.581,Monumentos y lugares de interés,New York,Mid Atlantic
28,Museum of Sex,721,"Museos especializados, Museos de historia",New York,Mid Atlantic
29,Ellis Island,7.314,"Lugares históricos, Monumentos y lugares de interés",New York,Mid Atlantic
30,The Oculus,2.667,"Edificios con valor arquitectónico, Monumentos y estatuas",New York,Mid Atlantic
31,The Morgan Library & Museum,2.111,"Museos especializados, Bibliotecas",New York,Mid Atlantic
32,World Trade Center's Liberty Park,3.010,Parques,New York,Mid Atlantic
33,Greenwich Village,3.833,Barrios,New York,Mid Atlantic
34,SoHo,3.858,Barrios,New York,Mid Atlantic
35,Christmas Spectacular Starring the Radio City Rockettes,2.909,Eventos culturales,New York,Mid Atlantic
36,The Roosevelt Island Tramway,3.756,Tranvías,New York,Mid Atlantic
37,Capilla de San Pablo,3.459,"Lugares religiosos, Iglesias y catedrales",New York,Mid Atlantic
38,Madame Tussauds New York,8.239,Museos especializados,New York,Mid Atlantic
39,Whitney Museum of American Art,3.239,Museos de arte,New York,Mid Atlantic
