,attraction,n_reviews,categories,state,region
0,Mystic Seaport Museum,3.473,Museos de historia,Connecticut,New England
1,The Mark Twain House & Museum,1.708,"Lugares históricos, Museos de historia",Connecticut,New England
2,Yale University Art Gallery,983,Museos de arte,Connecticut,New England
3,Thimble Islands,345,Islas,Connecticut,New England
4,Olde Mistick Village,1.740,Lugares históricos,Connecticut,New England
5,Mystic River Bascule Bridge,804,Puentes,Connecticut,New England
6,New England Air Museum,315,"Museos especializados, Museos de historia",Connecticut,New England
7,Hammonasset Beach State Park,594,"Parques estatales, Playas",Connecticut,New England
8,Historic Downtown Mystic,705,Áreas peatonales pintorescas,Connecticut,New England
9,PEZ Visitor Center,573,Centros de información turística,Connecticut,New England
10,Lockwood-Mathews Mansion Museum,108,"Lugares históricos, Museos de historia",Connecticut,New England
11,Mission Escape Games,776,Juegos de escape,Connecticut,New England
12,Connecticut River Museum,215,"Tiendas de regalos, Museos especializados",Connecticut,New England
13,"Puzzle Theory, LLC",349,Juegos de escape,Connecticut,New England
14,Escape New Haven,265,Juegos de escape,Connecticut,New England
15,Marginal Way,5.434,Áreas históricas peatonales,Maine,New England
16,Cadillac Mountain,3.725,Montañas,Maine,New England
17,Portland Head Light,2.437,Faros,Maine,New England
18,Coastal Maine Botanical Gardens,2.021,"Áreas de naturaleza y vida silvestre, Jardines",Maine,New England
19,Acadia National Park,2.341,Parques nacionales,Maine,New England
20,Mount Desert Island,2.959,Islas,Maine,New England
21,Ogunquit Beach,2.247,Playas,Maine,New England
22,Cape Neddick Nubble Lighthouse,1.761,Faros,Maine,New England
23,Mount Battie,1.826,Montañas,Maine,New England
24,Perkins Cove,2.492,Formaciones geológicas,Maine,New England
25,Shore Path,2.017,Áreas de naturaleza y vida silvestre,Maine,New England
26,Park Loop Road,1.615,Rutas turísticas,Maine,New England
27,Pemaquid Point Lighthouse,874,Faros,Maine,New England
28,Land Bridge to Bar Island,1.390,Monumentos y lugares de interés,Maine,New England
29,Jordan Pond,1.288,Masas de agua,Maine,New England
30,Ocean Trail,987,Rutas para senderismo,Maine,New England
31,Allagash Brewing Company,1.161,Cervecerías,Maine,New England
32,Maine Maritime Museum,759,Museos especializados,Maine,New England
33,Farnsworth Art Museum,1.001,"Lugares históricos, Museos de arte",Maine,New England
34,Victoria Mansion,816,Museos de historia,Maine,New England
35,Eastern Promenade Trail,748,"Rutas para ciclismo, Rutas para senderismo",Maine,New England
36,Casco Bay Lines Ferry Terminal,700,Ferris,Maine,New England
37,Fort Williams Park,691,Parques,Maine,New England
38,Saint Ann's Church,695,Iglesias y catedrales,Maine,New England
39,West Quoddy Head Light,755,Faros,Maine,New England
40,Rockland Breakwater Light,984,Faros,Maine,New England
41,Sand Beach,928,Playas,Maine,New England
42,Penobscot Narrows Bridge and Observatory,932,"Puentes, Torres y observatorios",Maine,New England
43,Long Sands Beach,685,Playas,Maine,New England
44,Cabbage Island,506,Islas,Maine,New England
45,Portland Observatory,536,"Monumentos y lugares de interés, Torres y observatorios",Maine,New England
46,Camden Hills State Park,789,Parques estatales,Maine,New England
47,Schoodic Peninsula,529,Formaciones geológicas,Maine,New England
48,Wells Beach,956,Playas,Maine,New England
49,Champlain Mountain & Beehive Loop Trail,599,Rutas para senderismo,Maine,New England
50,Baxter State Park,436,Parques estatales,Maine,New England
51,Casco Bay,336,"Masas de agua, Playas",Maine,New England
52,Bass Harbor Head Lighthouse,718,Faros,Maine,New England
53,Rachel Carson National Wildlife Refuge,583,Áreas de naturaleza y vida silvestre,Maine,New England
54,Footbridge Beach,445,Playas,Maine,New England
55,Katahdin Cruises and Moosehead Marine Museum,270,Museos de historia,Maine,New England
56,Stephen King's House,279,"Monumentos y lugares de interés, Edificios con valor arquitectónico",Maine,New England
57,L.L. Bean Factory Store,1.255,"Tiendas de regalos, Tiendas de fábricas",Maine,New England
58,Gorham Mountain Trail,332,Rutas para senderismo,Maine,New England
59,Spring Point Ledge Lighthouse,360,Faros,Maine,New England
60,Otter Cliff,315,Formaciones geológicas,Maine,New England
61,Carousel Music Theater,283,Teatros,Maine,New England
62,Faro de Marshall Point,315,"Museos especializados, Faros",Maine,New England
63,Maine Wildlife Park,391,Áreas de naturaleza y vida silvestre,Maine,New England
64,Cadillac Mountain North Ridge Trail,195,Rutas para senderismo,Maine,New England
65,Bug Light Park,329,Parques,Maine,New England
66,Maine Beer Company,274,Cervecerías,Maine,New England
67,Cliff Walk,274,Áreas peatonales pintorescas,Maine,New England
68,Palace Playland,570,Parques de diversión y temáticos,Maine,New England
69,Glidden Point Oyster Farms,98,Granjas,Maine,New England
70,Sail Power and Steam Museum,128,Museos especializados,Maine,New England
71,Fort Western,122,"Lugares históricos, Bases e instalaciones militares",Maine,New England
72,"Wiscasset, Waterville & Farmington Railway Museum",74,"Museos especializados, Museos de historia",Maine,New England
73,Desert Of Maine,103,"Parques, Minigolf",Maine,New England
74,Acadia National Park Island Explorer Bus,1.448,"Servicios de autobús, Taxis y otros servicios de traslado",Maine,New England
75,Maine Mineral and Gem Museum,68,Museos especializados,Maine,New England
76,Bar Harbor Cellars Winery,217,Viñedos con bodegas,Maine,New England
77,Portland Discovery Land & Sea Tours,2.790,"Tours en barco, Tours en autobús",Maine,New England
