,attraction,n_reviews,categories,state,region
0,Air Mobility Command Museum,1.116,"Museos militares, Museos especializados",Delaware,South Atlantic
1,Cape May-Lewes Ferry,1.929,Ferris,Delaware,South Atlantic
2,Cape Henlopen State Park,1.460,"Parques estatales, Playas",Delaware,South Atlantic
3,Nemours Estate,741,"Lugares históricos, Jardines",Delaware,South Atlantic
4,Funland,1.823,Parques de diversión y temáticos,Delaware,South Atlantic
5,"Winterthur Museum, Garden & Library",1.052,Museos de historia,Delaware,South Atlantic
6,Hagley Museum And Library,823,Museos de historia,Delaware,South Atlantic
7,Rehoboth Beach Boardwalk,2.001,Muelles y paseos peatonales,Delaware,South Atlantic
8,Dogfish Head Craft Brewery,619,Cervecerías,Delaware,South Atlantic
9,Lewes Historical Society,94,"Lugares históricos, Museos de historia",Delaware,South Atlantic
10,Hopkins Farm Creamery,314,Granjas,Delaware,South Atlantic
11,Barn Hill Preserve Delaware,76,Zoológicos,Delaware,South Atlantic
12,Camp Adventureland,112,"Juegos de escape, Centros de juego y entretenimiento",Delaware,South Atlantic
13,Cape Water Tours,2.655,"Tours históricos, Tours en barco",Delaware,South Atlantic
14,Universal's Islands of Adventure,52.311,Parques de diversión y temáticos,Florida,South Atlantic
15,The Wizarding World of Harry Potter at Universal Orlando Resort,41.317,Parques de diversión y temáticos,Florida,South Atlantic
16,Hollywood Beach,8.031,Playas,Florida,South Atlantic
17,Museo de la Casa de Ernest Hemingway,20.926,Museos especializados,Florida,South Atlantic
18,Key West Butterfly and Nature Conservatory,13.025,Áreas de naturaleza y vida silvestre,Florida,South Atlantic
19,Clearwater Beach,12.832,Playas,Florida,South Atlantic
20,Disney Springs,13.788,Centros comerciales,Florida,South Atlantic
21,Stetson Mansion,5.681,Edificios con valor arquitectónico,Florida,South Atlantic
22,McCarthy's Wildlife,3.475,"Áreas de naturaleza y vida silvestre, Zoológicos",Florida,South Atlantic
23,Lincoln Road,17.929,"Áreas históricas peatonales, Parques",Florida,South Atlantic
24,Mallory Square,14.931,"Monumentos y lugares de interés, Muelles y paseos peatonales",Florida,South Atlantic
25,Busch Gardens,18.379,Parques de diversión y temáticos,Florida,South Atlantic
26,Calle Duval,14.477,Monumentos y lugares de interés,Florida,South Atlantic
27,Ocean Drive,12.466,Monumentos y lugares de interés,Florida,South Atlantic
28,St. Augustine Wild Reserve,2.241,"Áreas de naturaleza y vida silvestre, Zoológicos",Florida,South Atlantic
29,Lock & Load Museum,1.008,"Galerías de arte, Museos especializados",Florida,South Atlantic
30,Medieval Torture Museum,1.491,"Museos especializados, Museos de historia",Florida,South Atlantic
31,Duncan McClellan Gallery,700,"Galerías de arte, Museos especializados",Florida,South Atlantic
32,The Wizard of Oz Museum,471,"Museos especializados, Museos de arte",Florida,South Atlantic
33,Hatchet Hangout - Axe Throwing St Pete,725,Complejos deportivos,Florida,South Atlantic
34,Happily Ever After Fireworks,25.019,"Parques de Disney y actividades, Teatro y espectáculos",Florida,South Atlantic
