,state_id,attraction,reviews_url,region,new_categories
0,IL,Instituto de Arte de Chicago,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d103239-Reviews-The_Art_Institute_of_Chicago-Chicago_Illinois.html,East North Central,Cultura
1,IL,Parque Millennium,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d278811-Reviews-Millennium_Park-Chicago_Illinois.html,East North Central,Naturaleza
2,IL,Museo de Ciencia e Industria,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d131645-Reviews-Museum_of_Science_and_Industry-Chicago_Illinois.html,East North Central,Ciencia
3,IL,Cloud Gate,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d1134861-Reviews-Cloud_Gate-Chicago_Illinois.html,East North Central,Historia
4,IL,The Magnificent Mile,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d109779-Reviews-The_Magnificent_Mile-Chicago_Illinois.html,East North Central,
5,IL,Chicago Architecture Center,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d107442-Reviews-Chicago_Architecture_Center-Chicago_Illinois.html,East North Central,Ciencia
6,IL,Skydeck Chicago - Willis Tower,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d103238-Reviews-Skydeck_Chicago_Willis_Tower-Chicago_Illinois.html,East North Central,Historia
7,IL,Wrigley Field,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d104004-Reviews-Wrigley_Field-Chicago_Illinois.html,East North Central,Deportes
8,IL,Field Museum,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d103999-Reviews-Field_Museum-Chicago_Illinois.html,East North Central,Ciencia
9,IL,Biblioteca y Museo Presidencial de Abraham Lincoln,https://www.tripadvisor.com.ar/Attraction_Review-g60887-d270646-Reviews-Abraham_Lincoln_Presidential_Library_and_Museum-Springfield_Illinois.html,East North Central,Ciencia
10,IL,Blaum Bros. Distilling Co.,https://www.tripadvisor.com.ar/Attraction_Review-g36022-d4884984-Reviews-Blaum_Bros_Distilling_Co-Galena_Illinois.html,East North Central,Comida
11,IL,Lincoln Park Zoo,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d110153-Reviews-Lincoln_Park_Zoo-Chicago_Illinois.html,East North Central,
12,IL,Lincoln Home National Historic Site,https://www.tripadvisor.com.ar/Attraction_Review-g60887-d143197-Reviews-Lincoln_Home_National_Historic_Site-Springfield_Illinois.html,East North Central,Historia
13,IL,Navy Pier,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d142948-Reviews-Navy_Pier-Chicago_Illinois.html,East North Central,
14,IL,Chicago Riverwalk,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d3743225-Reviews-Chicago_Riverwalk-Chicago_Illinois.html,East North Central,
15,IL,Chicago Cultural Center,https://www.tripadvisor.com.ar/Attraction_Review-g35805-d103785-Reviews-Chicago_Cultural_Center-Chicago_Illinois.html,East North Central,Historia
