,attraction,n_reviews,categories,state,region
0,Theodore Roosevelt National Park,1.884,Parques nacionales,North Dakota,West North Central
1,Scandinavian Heritage Park,370,Parques,North Dakota,West North Central
2,Fargo-Moorhead Visitors Center,444,Centros de información turística,North Dakota,West North Central
3,South Unit,267,"Áreas históricas peatonales, Parques nacionales",North Dakota,West North Central
4,North Dakota Heritage Center & State Museum,649,"Tiendas de regalos, Museos de historia",North Dakota,West North Central
5,North Unit,185,Parques nacionales,North Dakota,West North Central
6,North Dakota State Capitol Building,312,Edificios gubernamentales,North Dakota,West North Central
7,International Peace Garden,208,Jardines,North Dakota,West North Central
8,Medora Musical,881,Teatro y espectáculos,North Dakota,West North Central
9,Mount Rushmore National Memorial,11.914,"Parques nacionales, Monumentos y estatuas",South Dakota,West North Central
10,Custer State Park,6.209,Parques estatales,South Dakota,West North Central
11,Bear Country USA,4.256,Áreas de naturaleza y vida silvestre,South Dakota,West North Central
12,Falls Park,3.428,Parques,South Dakota,West North Central
13,Wildlife Loop Road,2.768,Rutas turísticas,South Dakota,West North Central
14,Sylvan Lake,2.002,Masas de agua,South Dakota,West North Central
15,Reptile Gardens,2.334,"Áreas de naturaleza y vida silvestre, Zoológicos",South Dakota,West North Central
16,The Mammoth Site of Hot Springs,1.788,"Museos de historia natural, Museos de ciencia",South Dakota,West North Central
17,Rushmore Tramway Adventures,1.659,Parques de diversión y temáticos,South Dakota,West North Central
18,Needles Highway,968,Rutas turísticas,South Dakota,West North Central
19,Iron Mountain Road,1.728,Rutas turísticas,South Dakota,West North Central
20,Loop Road,1.988,Rutas turísticas,South Dakota,West North Central
21,Needles Eye,1.739,Formaciones geológicas,South Dakota,West North Central
22,Spearfish Canyon,832,Cañones,South Dakota,West North Central
23,Badlands National Park,960,Parques nacionales,South Dakota,West North Central
24,Badlands National Park,1.070,Parques nacionales,South Dakota,West North Central
25,Big Thunder Gold Mine,1.281,Minas,South Dakota,West North Central
26,Downtown Rapid City,2.341,Barrios,South Dakota,West North Central
27,Mount Moriah Cemetery,1.870,Cementerios,South Dakota,West North Central
28,Presidential Trail,1.466,Rutas para senderismo,South Dakota,West North Central
29,Spearfish Canyon Scenic Byway,964,Rutas turísticas,South Dakota,West North Central
30,Jewel Cave National Monument,1.433,"Parques nacionales, Cavernas y cuevas",South Dakota,West North Central
31,Black Hills National Forest,914,"Parques nacionales, Áreas de naturaleza y vida silvestre",South Dakota,West North Central
32,Akta Lakota Museum,472,Museos de historia,South Dakota,West North Central
33,Chapel in the Hills,680,"Edificios con valor arquitectónico, Iglesias y catedrales",South Dakota,West North Central
34,Adams House,515,"Lugares históricos, Museos de historia",South Dakota,West North Central
35,Minuteman Missile National Historic Site,875,"Lugares históricos, Parques nacionales",South Dakota,West North Central
36,Dignity,392,"Monumentos y lugares de interés, Monumentos y estatuas",South Dakota,West North Central
37,Rush Mountain Adventure Park,718,Parques de diversión y temáticos,South Dakota,West North Central
38,SculptureWalk,558,Rutas para senderismo,South Dakota,West North Central
39,Museum of Geology,385,Museos especializados,South Dakota,West North Central
40,Wind Cave National Park,745,"Parques nacionales, Áreas de naturaleza y vida silvestre",South Dakota,West North Central
41,The Journey Museum and Learning Center,405,Museos especializados,South Dakota,West North Central
42,Notch Trail,404,Rutas para senderismo,South Dakota,West North Central
43,Dinosaur Park,1.142,Monumentos y lugares de interés,South Dakota,West North Central
44,Cathedral Spires Hiking Trail,236,Rutas para senderismo,South Dakota,West North Central
45,Fort Hays Old West Town and Dinner Show,1.105,"Monumentos y lugares de interés, Teatros donde se puede cenar",South Dakota,West North Central
46,National Presidential Wax Museum,397,Museos especializados,South Dakota,West North Central
47,Tatanka: Story of the Bison,459,"Museos especializados, Monumentos y lugares de interés",South Dakota,West North Central
48,Laura Ingalls Wilder Historic Homes,237,"Lugares históricos, Monumentos y lugares de interés",South Dakota,West North Central
49,Saloon #10 American Whiskey Bar,1.064,"Museos especializados, Bares y boliches",South Dakota,West North Central
50,Black Hills Caverns,200,"Tiendas de regalos, Lugares históricos",South Dakota,West North Central
51,Wonderland Caves,166,Cavernas y cuevas,South Dakota,West North Central
52,The Brothel Deadwood,40,Museos especializados,South Dakota,West North Central
53,Needle Eye Tunnel,34,Monumentos y lugares de interés,South Dakota,West North Central
54,Moccasin Springs,55,"Fuentes termales y géiseres, Spas termales",South Dakota,West North Central
55,The Stables at Palmer Gulch,429,Tours a caballo,South Dakota,West North Central
56,Dahl's Chainsaw Art,60,Galerías de arte,South Dakota,West North Central
57,Escapades Escape Rooms,274,"Juegos de escape, Centros de juego y entretenimiento",South Dakota,West North Central
58,Safari Zoological Park,1.142,Zoológicos,Kansas,West North Central
59,Strataca,881,"Museos especializados, Minas",Kansas,West North Central
60,Boot Hill Museum,1.124,Museos de historia,Kansas,West North Central
61,Dwight D. Eisenhower Presidential Library and Museum,934,Museos especializados,Kansas,West North Central
62,Botanica: The Wichita Gardens,760,Jardines,Kansas,West North Central
63,Cosmosphere,695,"Museos especializados, Museos de ciencia",Kansas,West North Central
64,The Keeper of the Plains,872,Monumentos y lugares de interés,Kansas,West North Central
65,Museum of World Treasures,576,Museos especializados,Kansas,West North Central
66,Kansas State Capitol Building,586,Edificios gubernamentales,Kansas,West North Central
67,Old Cowtown Museum,482,"Lugares históricos, Museos de historia",Kansas,West North Central
68,Evel Knievel Museum,488,Museos especializados,Kansas,West North Central
69,OZ Museum,546,"Tiendas de regalos, Museos especializados",Kansas,West North Central
70,Bury the Hatchet,836,Centros de juego y entretenimiento,Kansas,West North Central
71,New Theatre & Restaurant,1.031,Teatros donde se puede cenar,Kansas,West North Central
72,Locked Manhattan,528,Juegos de escape,Kansas,West North Central
73,Mastermind Escape Games,316,Juegos de escape,Kansas,West North Central
74,Mall of America,5.974,Centros comerciales,Minnesota,West North Central
75,Minnesota's North Shore Scenic Drive,2.013,Rutas turísticas,Minnesota,West North Central
76,Minneapolis Institute of Art,2.392,Museos de arte,Minnesota,West North Central
77,Minnehaha Park,2.500,"Parques, Cascadas",Minnesota,West North Central
78,Gooseberry Falls State Park,1.647,"Parques estatales, Rutas para ciclismo",Minnesota,West North Central
79,Target Field,3.042,Complejos deportivos,Minnesota,West North Central
80,Aerial Lift Bridge,1.732,Puentes,Minnesota,West North Central
81,Cathedral of Saint Paul,1.079,Lugares religiosos,Minnesota,West North Central
82,Mill City Museum,1.570,"Museos especializados, Museos de historia",Minnesota,West North Central
83,Minneapolis Sculpture Garden,1.815,"Monumentos y lugares de interés, Jardines",Minnesota,West North Central
84,Canal Park,1.465,"Monumentos y lugares de interés, Parques",Minnesota,West North Central
85,Glensheen - The Historic Congdon Estate,1.294,"Museos especializados, Lugares históricos",Minnesota,West North Central
86,Split Rock Lighthouse,1.107,"Monumentos y lugares de interés, Faros",Minnesota,West North Central
87,Minnesota State Fair,1.243,Monumentos y lugares de interés,Minnesota,West North Central
88,Itasca State Park,552,Parques estatales,Minnesota,West North Central
89,North American Bear Center,732,"Museos especializados, Museos de ciencia",Minnesota,West North Central
90,Enger Park and Tower,913,"Monumentos y lugares de interés, Parques",Minnesota,West North Central
91,National Eagle Center,808,Áreas de naturaleza y vida silvestre,Minnesota,West North Central
92,Spam Museum and Visitor Center,712,Museos especializados,Minnesota,West North Central
93,Lakewalk,922,Áreas históricas peatonales,Minnesota,West North Central
94,International Wolf Center,736,"Museos especializados, Áreas de naturaleza y vida silvestre",Minnesota,West North Central
95,Lake Superior Maritime Visitor Center,686,"Centros de información turística, Museos especializados",Minnesota,West North Central
96,Science Museum of Minnesota,1.131,"Museos especializados, Museos de historia natural",Minnesota,West North Central
97,Paisley Park,719,"Museos especializados, Monumentos y lugares de interés",Minnesota,West North Central
98,Chilly Dogs Sled Dog Trips,262,Rutas para senderismo,Minnesota,West North Central
99,Niagara Cave,287,Cavernas y cuevas,Minnesota,West North Central
100,Commonweal Theatre Company,241,Teatros,Minnesota,West North Central
101,Mississippi Headwaters,286,Monumentos y lugares de interés,Minnesota,West North Central
102,Minnehaha Falls,484,Monumentos y lugares de interés,Minnesota,West North Central
103,Grand Portage National Monument,356,Museos especializados,Minnesota,West North Central
104,Minnesota State Capitol,400,"Lugares históricos, Monumentos y lugares de interés",Minnesota,West North Central
105,Extreme Sandbox - Minnesota,664,Centros de juego y entretenimiento,Minnesota,West North Central
106,Split Rock Lighthouse State Park,273,Parques estatales,Minnesota,West North Central
107,Vince Shute Wildlife Sanctuary,170,Áreas de naturaleza y vida silvestre,Minnesota,West North Central
108,Great Lakes Aquarium,618,"Museos especializados, Museos de historia natural",Minnesota,West North Central
109,Minnesota Transportation Museum,99,Museos especializados,Minnesota,West North Central
110,Wild State Cider,55,"Destilerías, Viñedos con bodegas",Minnesota,West North Central
111,Escapology,747,Juegos de escape,Minnesota,West North Central
112,Lake Superior Art Glass,317,"Tiendas de regalos, Galerías de arte",Minnesota,West North Central
113,Zero Hour Escape Rooms,692,Juegos de escape,Minnesota,West North Central
114,"Running Aces Casino, Hotel & Racetrack",235,"Casinos,  Carreras de caballos",Minnesota,West North Central
115,The Escape Challenge,327,Juegos de escape,Minnesota,West North Central
116,The Haygoods,8.786,Teatros,Missouri,West North Central
117,Sight & Sound Theatres,8.345,Teatros,Missouri,West North Central
118,The Gateway Arch,12.700,"Monumentos y lugares de interés, Torres y observatorios",Missouri,West North Central
119,National WWI Museum and Memorial,5.641,"Museos militares, Museos de historia",Missouri,West North Central
120,Titanic Museum,7.432,"Museos especializados, Lugares educativos",Missouri,West North Central
121,Silver Dollar City,12.189,"Parques de diversión y temáticos, Parques acuáticos",Missouri,West North Central
122,St. Louis Zoo,8.683,Zoológicos,Missouri,West North Central
123,Missouri Botanical Garden,4.483,Jardines,Missouri,West North Central
124,The Nelson-Atkins Museum of Art,3.332,Museos de arte,Missouri,West North Central
125,Busch Stadium,4.953,Campos de juego y estadios,Missouri,West North Central
126,Cathedral Basilica of Saint Louis,3.112,Iglesias y catedrales,Missouri,West North Central
127,Arabia Steamboat Museum,2.240,"Museos especializados, Museos de historia",Missouri,West North Central
128,Presleys' Country Jubilee,1.872,Teatros,Missouri,West North Central
129,Fantastic Caverns,2.094,Cavernas y cuevas,Missouri,West North Central
130,Grant’s Farm,2.380,Granjas,Missouri,West North Central
131,Forest Park,2.495,Parques,Missouri,West North Central
132,Dogwood Canyon Nature Park,1.559,"Áreas de naturaleza y vida silvestre, Parques",Missouri,West North Central
133,College of the Ozarks,3.175,"Miradores, Jardines",Missouri,West North Central
134,Missouri State Penitentiary,1.392,Lugares históricos,Missouri,West North Central
135,Pierce Arrow,2.910,Teatros,Missouri,West North Central
136,Jerry Presley's God and Country Theaters,1.735,Teatros,Missouri,West North Central
137,Harry S. Truman Presidential Library & Museum,1.510,"Museos especializados, Bibliotecas",Missouri,West North Central
138,Branson Landing,2.679,Centros comerciales,Missouri,West North Central
139,Runaway Mountain Coaster,1.986,Parques de diversión y temáticos,Missouri,West North Central
140,Union Station,2.559,Lugares históricos,Missouri,West North Central
141,Rockcliffe Mansion (Tours),906,"Lugares históricos, Edificios con valor arquitectónico",Missouri,West North Central
142,Saint Louis Art Museum,1.464,Museos de arte,Missouri,West North Central
143,Ha Ha Tonka State Park,853,Parques estatales,Missouri,West North Central
144,Shepherd of the Hills Fish Hatchery,2.017,Áreas de naturaleza y vida silvestre,Missouri,West North Central
145,Negro Leagues Baseball Museum,1.099,Museos especializados,Missouri,West North Central
146,Johnny Morris' Wonders of Wildlife National Museum and Aquarium,1.331,"Museos de historia natural, Acuarios",Missouri,West North Central
147,Hughes Brothers Theatre,1.718,Teatros,Missouri,West North Central
148,St. Charles Historic District,1.402,Áreas históricas peatonales,Missouri,West North Central
149,The Butterfly Palace,1.654,Áreas de naturaleza y vida silvestre,Missouri,West North Central
150,Branson's Promised Land Zoo,2.180,Zoológicos,Missouri,West North Central
151,The Fabulous Fox Theatre,880,Teatros,Missouri,West North Central
152,Kansas City Zoo & Aquarium,1.564,Zoológicos,Missouri,West North Central
153,Branson Landing Fountain Show,2.383,"Monumentos y lugares de interés, Fuentes",Missouri,West North Central
154,Aquarium At The Boardwalk,731,Acuarios,Missouri,West North Central
155,Bridal Cave,530,Cavernas y cuevas,Missouri,West North Central
156,Mark Twain Cave and Cameron Cave,795,Cavernas y cuevas,Missouri,West North Central
157,Meramec Caverns,910,Cavernas y cuevas,Missouri,West North Central
158,Science City at Union Station,580,Museos de ciencia,Missouri,West North Central
159,Boulevard Brewing Company,665,Cervecerías,Missouri,West North Central
160,Veterans Memorial Museum,709,"Museos especializados, Museos de historia",Missouri,West North Central
161,Gateway Arch National Park,534,"Monumentos y lugares de interés, Parques nacionales",Missouri,West North Central
162,The National Museum of Toys and Miniatures,350,Museos especializados,Missouri,West North Central
163,Bingham Waggoner Mansion & Estate,407,Lugares históricos,Missouri,West North Central
164,Stark Caverns,220,Cavernas y cuevas,Missouri,West North Central
165,Table Rock Dam,780,Represas,Missouri,West North Central
166,Table Rock State Park,488,Parques estatales,Missouri,West North Central
167,The Branson Coaster,774,Parques de diversión y temáticos,Missouri,West North Central
168,Mark Twain Boyhood Home and Museum,1.046,Lugares históricos,Missouri,West North Central
169,Ulysses S. Grant National Historical Site,561,Lugares históricos,Missouri,West North Central
170,Lone Elk Park,526,Parques,Missouri,West North Central
171,Lost Canyon Nature Trail and Cave,525,Rutas para senderismo,Missouri,West North Central
172,Branson's Famous Baldknobbers,1.481,Teatros,Missouri,West North Central
173,Hollywood Wax Museum,1.759,"Museos especializados, Centros de juego y entretenimiento",Missouri,West North Central
174,Historic Downtown Branson,935,Barrios,Missouri,West North Central
175,World Bird Sanctuary,319,Áreas de naturaleza y vida silvestre,Missouri,West North Central
176,Ozark Distillery and Brewery,278,Destilerías,Missouri,West North Central
177,Tanger Outlets Branson,933,"Tiendas de fábricas, Centros comerciales",Missouri,West North Central
178,Stone Hill Winery,723,Viñedos con bodegas,Missouri,West North Central
179,Campbell House Museum,177,"Museos especializados, Lugares históricos",Missouri,West North Central
180,The Track Family Fun Parks Track 4,1.306,Parques de diversión y temáticos,Missouri,West North Central
181,Hallmark Visitors Center,496,"Centros de información turística, Museos especializados",Missouri,West North Central
182,Pony Express Museum,448,Museos especializados,Missouri,West North Central
183,Ancient Ozarks Natural History Museum,377,"Museos de historia natural, Museos de historia",Missouri,West North Central
184,Anheuser-Busch Brewery,542,Cervecerías,Missouri,West North Central
185,Elephant Rocks State Park,366,Parques estatales,Missouri,West North Central
186,Lake Taneycomo,398,Masas de agua,Missouri,West North Central
187,The Money Museum,497,Museos especializados,Missouri,West North Central
188,Branson Ferris Wheel,765,Torres y observatorios,Missouri,West North Central
189,Smallin Civil War Cave,287,Cavernas y cuevas,Missouri,West North Central
190,The Branson Craft Mall,555,Centros comerciales,Missouri,West North Central
191,White Water,757,Parques acuáticos,Missouri,West North Central
192,Dolly Parton's Stampede Dinner Attraction,8.047,Teatros donde se puede cenar,Missouri,West North Central
193,Jefferson Barracks Telephone Museum,145,"Museos especializados, Monumentos y lugares de interés",Missouri,West North Central
194,Harry S Truman National Historic Site,546,Lugares históricos,Missouri,West North Central
195,Showboat Branson Belle,4.604,"Teatros donde se puede cenar, Teatro y espectáculos",Missouri,West North Central
196,Clay Cooper Theatre,2.812,Tiendas de regalos,Missouri,West North Central
197,Top of the Rock Ozarks Heritage Preserve,147,"Monumentos y lugares de interés, Miradores",Missouri,West North Central
198,Branson's Wild World,915,Zoológicos,Missouri,West North Central
199,TWA Museum,136,Museos especializados,Missouri,West North Central
200,Grand Country Indoor Mini Golf,371,Parques de diversión y temáticos,Missouri,West North Central
201,National Blues Museum,330,Museos especializados,Missouri,West North Central
202,Americana Theatre,129,Teatros,Missouri,West North Central
203,Lewis & Clark Boat House and Museum,189,Museos especializados,Missouri,West North Central
204,Pirate's Cove Adventure Golf,469,Centros de juego y entretenimiento,Missouri,West North Central
205,The Mansion Theatre for the Performing Arts,184,Teatros,Missouri,West North Central
206,Big Joel's Safari,107,Zoológicos,Missouri,West North Central
207,Dean Z - the Ultimate Elvis,1.476,"Conciertos, Teatros",Missouri,West North Central
208,Celebrity Car Museum,257,Museos especializados,Missouri,West North Central
209,Branson Auto & Farm Museum,380,Museos especializados,Missouri,West North Central
210,Warm Springs Ranch,941,Ranchos,Missouri,West North Central
