,state_id,attraction,categories,reviews_url,region
0,AR,Museo de Arte Americano de Crystal Bridges,Museos de arte,https://www.tripadvisor.com.ar/Attraction_Review-g31441-d877831-Reviews-Crystal_Bridges_Museum_of_American_Art-Bentonville_Arkansas.html,West South Central
1,AR,Garvan Woodland Gardens,Jardines,https://www.tripadvisor.com.ar/Attraction_Review-g60856-d573027-Reviews-Garvan_Woodland_Gardens-Hot_Springs_Arkansas.html,West South Central
2,AR,Thorncrown Chapel,Lugares religiosos,https://www.tripadvisor.com.ar/Attraction_Review-g31582-d109480-Reviews-Thorncrown_Chapel-Eureka_Springs_Arkansas.html,West South Central
3,AR,Turpentine Creek Wildlife Refuge,Áreas de naturaleza y vida silvestre,https://www.tripadvisor.com.ar/Attraction_Review-g31582-d1463578-Reviews-Turpentine_Creek_Wildlife_Refuge-Eureka_Springs_Arkansas.html,West South Central
4,AR,Fordyce Bathhouse,"Centros de información turística, Lugares históricos",https://www.tripadvisor.com.ar/Attraction_Review-g60856-d1911956-Reviews-Fordyce_Bathhouse-Hot_Springs_Arkansas.html,West South Central
5,AR,Intrigue Theater,Teatros,https://www.tripadvisor.com.ar/Attraction_Review-g31582-d2180108-Reviews-Intrigue_Theater-Eureka_Springs_Arkansas.html,West South Central
6,AR,Little Rock Central High School National Historic Site,"Lugares históricos, Museos de historia",https://www.tripadvisor.com.ar/Attraction_Review-g60766-d106709-Reviews-Little_Rock_Central_High_School_National_Historic_Site-Little_Rock_Arkansas.html,West South Central
7,AR,Christ of the Ozarks,Monumentos y estatuas,https://www.tripadvisor.com.ar/Attraction_Review-g31582-d145335-Reviews-Christ_of_the_Ozarks-Eureka_Springs_Arkansas.html,West South Central
8,AR,Bathhouse Row,"Monumentos y lugares de interés, Áreas históricas peatonales",https://www.tripadvisor.com.ar/Attraction_Review-g60856-d145118-Reviews-Bathhouse_Row-Hot_Springs_Arkansas.html,West South Central
9,AR,William J. Clinton Presidential Library,"Lugares históricos, Edificios con valor arquitectónico",https://www.tripadvisor.com.ar/Attraction_Review-g60766-d509012-Reviews-William_J_Clinton_Presidential_Library-Little_Rock_Arkansas.html,West South Central
10,AR,Petit Jean State Park,"Parques estatales, Rutas para senderismo",https://www.tripadvisor.com.ar/Attraction_Review-g31792-d145337-Reviews-Petit_Jean_State_Park-Morrilton_Arkansas.html,West South Central
11,AR,Hot Springs National Park,Parques nacionales,https://www.tripadvisor.com.ar/Attraction_Review-g60856-d3224470-Reviews-Hot_Springs_National_Park-Hot_Springs_Arkansas.html,West South Central
12,AR,Crater of Diamonds State Park,"Parques estatales, Minas",https://www.tripadvisor.com.ar/Attraction_Review-g31805-d104721-Reviews-Crater_of_Diamonds_State_Park-Murfreesboro_Arkansas.html,West South Central
13,AR,Anthony Chapel,"Edificios con valor arquitectónico, Jardines",https://www.tripadvisor.com.ar/Attraction_Review-g60856-d9707200-Reviews-Anthony_Chapel-Hot_Springs_Arkansas.html,West South Central
14,AR,Museum of Native American History,"Tiendas de regalos, Museos de arte",https://www.tripadvisor.com.ar/Attraction_Review-g31441-d2287075-Reviews-Museum_of_Native_American_History-Bentonville_Arkansas.html,West South Central
15,AR,Mid-America Science Museum,"Museos de ciencia, Museos para niños",https://www.tripadvisor.com.ar/Attraction_Review-g60856-d282177-Reviews-Mid_America_Science_Museum-Hot_Springs_Arkansas.html,West South Central
16,AR,Lake Ouachita,Masas de agua,https://www.tripadvisor.com.ar/Attraction_Review-g60856-d109330-Reviews-Lake_Ouachita-Hot_Springs_Arkansas.html,West South Central
