Unnamed: 0,region,state,attraction,n_reviews,categories
0,East North Central,Illinois,Instituto de Arte de Chicago,24.543,Museos de arte
1,East North Central,Illinois,Parque Millennium,25.133,"Monumentos y lugares de interés, Parques"
2,East North Central,Illinois,Museo de Ciencia e Industria,11.184,Museos de ciencia
3,East North Central,Illinois,Cloud Gate,18.279,"Monumentos y lugares de interés, Monumentos y estatuas"
4,East North Central,Illinois,The Magnificent Mile,15.799,"Barrios, Monumentos y lugares de interés"
5,East North Central,Illinois,Chicago Architecture Center,3.285,Museos especializados
6,East North Central,Illinois,Skydeck Chicago - Willis Tower,17.862,"Monumentos y lugares de interés, Edificios con valor arquitectónico"
7,East North Central,Illinois,Wrigley Field,9.948,Campos de juego y estadios
8,East North Central,Illinois,Field Museum,8.929,"Museos de historia natural, Museos de ciencia"
9,East North Central,Illinois,Biblioteca y Museo Presidencial de Abraham Lincoln,4.602,"Bibliotecas, Museos de historia"
10,East North Central,Illinois,Blaum Bros. Distilling Co.,2.518,Destilerías
11,East North Central,Illinois,Lincoln Park Zoo,5.975,Zoológicos
12,East North Central,Illinois,Lincoln Home National Historic Site,2.886,"Lugares históricos, Museos de historia"
13,East North Central,Illinois,Navy Pier,15.164,"Parques de diversión y temáticos, Muelles y paseos peatonales"
14,East North Central,Illinois,Chicago Riverwalk,3.096,Áreas históricas peatonales
15,East North Central,Illinois,Chicago Cultural Center,3.06,"Edificios con valor arquitectónico, Centros cívicos"
16,East North Central,Illinois,P.T. Murphy Magic Theatre,872.0,Teatros
17,East North Central,Illinois,Historic Auto Attractions,495.0,"Museos militares, Museos especializados"
18,East North Central,Illinois,Richard H. Driehaus Museum,1.47,"Museos especializados, Museos de arte"
19,East North Central,Illinois,Chicago River,2.028,Masas de agua
20,East North Central,Illinois,Buckingham Fountain,3.424,"Monumentos y lugares de interés, Fuentes"
21,East North Central,Illinois,Dana-Thomas House,1.176,Lugares históricos
22,East North Central,Illinois,Lincoln Tomb & War Memorials,1.998,Monumentos y lugares de interés
23,East North Central,Illinois,Ulysses S. Grant Home,1.407,Lugares históricos
24,East North Central,Illinois,United Center,1.505,Campos de juego y estadios
25,East North Central,Illinois,Starved Rock State Park,1.612,"Parques estatales, Rutas para senderismo"
26,East North Central,Illinois,Garfield Park Conservatory,855.0,"Lugares históricos, Jardines"
27,East North Central,Illinois,Medieval Torture Museum,591.0,Museos especializados
28,East North Central,Illinois,Route 66,1.154,"Monumentos y lugares de interés, Rutas turísticas"
29,East North Central,Illinois,Lakefront Trail,2.448,"Rutas para ciclismo, Rutas para senderismo"
30,East North Central,Illinois,The Chicago Theatre,812.0,Teatros
31,East North Central,Illinois,Anderson Japanese Gardens,863.0,Jardines
32,East North Central,Illinois,Psychic Medium Chris McBrien,322.0,"Lugares misteriosos, Centros de juego y entretenimiento"
33,East North Central,Illinois,Chicago History Museum,1.196,Museos de historia
34,East North Central,Illinois,Lincoln Park,872.0,Parques
35,East North Central,Illinois,Lincoln Park Conservatory,791.0,Jardines
36,East North Central,Illinois,The Loop,1.262,Barrios
37,East North Central,Illinois,Chicago Skyline,743.0,Monumentos y lugares de interés
38,East North Central,Illinois,Maggie Daley Park,1.343,"Parques, Parques infantiles"
39,East North Central,Illinois,American Writers Museum,430.0,Museos especializados
40,East North Central,Illinois,Crown Fountain,2.139,Fuentes
41,East North Central,Illinois,Galena Trolley Tours,618.0,Tranvías
42,East North Central,Illinois,Grant Park,931.0,Parques
43,East North Central,Illinois,University of Chicago,476.0,"Universidades y escuelas, Lugares educativos"
44,East North Central,Illinois,Old State Capitol State Historic Site,906.0,"Lugares históricos, Edificios gubernamentales"
45,East North Central,Illinois,Illinois State Capitol,692.0,Edificios gubernamentales
46,East North Central,Illinois,Historic Nauvoo,329.0,"Lugares históricos, Lugares educativos"
47,East North Central,Illinois,National Museum of Mexican Art,249.0,Museos de arte
48,East North Central,Illinois,Superman Statue,666.0,Monumentos y estatuas
49,East North Central,Illinois,IL Route 66 Association Hall of Fame & Museum,344.0,Museos especializados
50,East North Central,Illinois,Engine 18 Chicago Fire,64.0,Monumentos y lugares de interés
51,East North Central,Illinois,Accelerate Indoor Speedway,606.0,Centros de juego y entretenimiento
52,East North Central,Illinois,Root Beer Revelry,381.0,"Tiendas de regalos, Lugares históricos"
53,East North Central,Illinois,Dowling House,223.0,Lugares históricos
54,East North Central,Illinois,Aikman Wildlife Adventure,121.0,"Áreas de naturaleza y vida silvestre, Zoológicos"
55,East North Central,Illinois,Museum Of Illusions Chicago,87.0,Museos especializados
56,East North Central,Illinois,The Escape Game Chicago,2.823,"Juegos de escape, Centros de juego y entretenimiento"
57,East North Central,Illinois,The Lincoln Home Visitor Center,69.0,Museos de historia
58,East North Central,Illinois,John Hancock Center,66.0,Edificios con valor arquitectónico
59,East North Central,Illinois,Fox in a Box Chicago,1.518,Juegos de escape
60,East North Central,Illinois,Galena / Jo Daviess County Historical Society and Museum,355.0,"Tiendas de regalos, Museos de historia"
61,East North Central,Illinois,Second City,1.709,"Clubes de comedia, Teatro y espectáculos"
62,East North Central,Illinois,Mastermind Escape Games,322.0,Juegos de escape
63,East North Central,Illinois,Escapology Orland Park,836.0,Juegos de escape
64,East North Central,Illinois,Blue Chicago,575.0,Bares de blues
65,East North Central,Illinois,Healing Touch of Galena,317.0,Spas
66,East North Central,Indiana,Children's Museum of Indianapolis,3.973,Museos para niños
67,East North Central,Indiana,Indianapolis Motor Speedway Museum,2.888,"Museos especializados, Pistas de carreras de automóviles"
68,East North Central,Indiana,Indianapolis Museum of Art,1.472,"Museos especializados, Lugares históricos"
69,East North Central,Indiana,Benjamin Harrison Presidential Site,520.0,Lugares históricos
70,East North Central,Indiana,Lucas Oil Stadium,1.618,Complejos deportivos
71,East North Central,Indiana,University of Notre Dame,1.072,Universidades y escuelas
72,East North Central,Indiana,Turkey Run State Park,681.0,Parques estatales
73,East North Central,Indiana,Fort Wayne Children's Zoo,1.191,Zoológicos
74,East North Central,Indiana,Urban Vines Winery & Brewery Co.,577.0,"Viñedos con bodegas, Cervecerías"
75,East North Central,Indiana,Indiana Dunes State Park,891.0,"Parques estatales, Parques"
76,East North Central,Indiana,Central Canal,1.161,Monumentos y lugares de interés
77,East North Central,Indiana,Studebaker National Museum,614.0,"Museos especializados, Lugares educativos"
78,East North Central,Indiana,Indiana War Memorial,669.0,"Museos militares, Monumentos y estatuas"
79,East North Central,Indiana,The Eiteljorg Museum,869.0,Museos especializados
80,East North Central,Indiana,Basilica of the Sacred Heart,700.0,Iglesias y catedrales
81,East North Central,Indiana,Brown County State Park,846.0,Parques
82,East North Central,Indiana,Victory Field,1.286,Campos de juego y estadios
83,East North Central,Indiana,USS LST Ship Memorial,383.0,"Museos militares, Museos de historia"
84,East North Central,Indiana,Marengo Cave,464.0,Cavernas y cuevas
85,East North Central,Indiana,Clifty Falls State Park,667.0,Parques estatales
86,East North Central,Indiana,Indiana State Museum,530.0,Museos especializados
87,East North Central,Indiana,Monument Circle,919.0,"Monumentos y lugares de interés, Monumentos y estatuas"
88,East North Central,Indiana,Columbus Visitors Center,520.0,Centros de información turística
89,East North Central,Indiana,The Miller House and Garden,227.0,"Lugares históricos, Monumentos y lugares de interés"
90,East North Central,Indiana,Huber's Orchard & Winery,311.0,"Destilerías, Viñedos con bodegas"
91,East North Central,Indiana,Blue Gate Theatre,5.817,"Conciertos, Teatros"
92,East North Central,Indiana,Hard Truth Distilling Co.,301.0,Destilerías
93,East North Central,Indiana,Wolf Park,177.0,"Áreas de naturaleza y vida silvestre, Zoológicos"
94,East North Central,Indiana,Indiana Convention Center,513.0,Centros de convenciones
95,East North Central,Indiana,Indiana State Capitol,282.0,Edificios con valor arquitectónico
96,East North Central,Indiana,Lanthier Winery & Distillery,170.0,Viñedos con bodegas
97,East North Central,Indiana,The Escape Room USA,1.112,Juegos de escape
98,East North Central,Michigan,Saugatuck Dune Rides,3.614,Senderos para vehículos todo terreno
99,East North Central,Michigan,Museo de Henry Ford,4.731,Museos especializados
100,East North Central,Michigan,Frederik Meijer Gardens & Sculpture Park,3.054,Jardines
101,East North Central,Michigan,Detroit Institute of Arts,2.993,Museos de arte
102,East North Central,Michigan,Pictured Rocks National Lakeshore,2.2,"Masas de agua, Parques nacionales"
103,East North Central,Michigan,Motown Museum,2.141,"Museos especializados, Lugares históricos"
104,East North Central,Michigan,Arch Rock,2.807,Formaciones geológicas
105,East North Central,Michigan,Shepler's Mackinac Island Ferry,3.072,Ferris
106,East North Central,Michigan,Tahquamenon Falls State Park,1.77,"Parques estatales, Cascadas"
107,East North Central,Michigan,Greenfield Village,2.584,Barrios
108,East North Central,Michigan,Sleeping Bear Dunes National Lakeshore,1.922,"Áreas históricas peatonales, Parques nacionales"
109,East North Central,Michigan,Comerica Park,2.719,Campos de juego y estadios
110,East North Central,Michigan,Soo Locks,1.724,Monumentos y lugares de interés
111,East North Central,Michigan,Fort Mackinac,2.129,Lugares históricos
112,East North Central,Michigan,Mackinac Island State Park,1.991,Parques estatales
113,East North Central,Michigan,Mackinac Bridge,1.403,Puentes
114,East North Central,Michigan,Detroit RiverFront,1.48,Muelles y paseos peatonales
115,East North Central,Michigan,Gerald R. Ford Museum,1.148,Museos especializados
116,East North Central,Michigan,Holland State Park Beach,1.399,Playas
117,East North Central,Michigan,Oval Beach,1.094,Playas
118,East North Central,Michigan,Presque Isle Park,1.003,"Parques estatales, Áreas de naturaleza y vida silvestre"
119,East North Central,Michigan,The Ford Piquette Avenue Plant,572.0,"Museos especializados, Lugares históricos"
120,East North Central,Michigan,The Guardian Building,757.0,Edificios con valor arquitectónico
121,East North Central,Michigan,Windmill Island Gardens,1.256,"Monumentos y lugares de interés, Parques"
122,East North Central,Michigan,Mackinac Island Ferry Co.,1.567,Ferris
123,East North Central,Michigan,Lakenenland Sculpture Park,582.0,"Galerías de arte, Parques"
124,East North Central,Michigan,Colonial Michilimackinac,959.0,Parques
125,East North Central,Michigan,Kitch-Iti-Kipi (The Big Spring),603.0,Masas de agua
126,East North Central,Michigan,Quincy Mine,493.0,"Lugares históricos, Minas"
127,East North Central,Michigan,Porcupine Mountains Wilderness State Park,633.0,"Parques estatales, Rutas para senderismo"
128,East North Central,Michigan,Ludington State Park,982.0,"Parques estatales, Parques"
129,East North Central,Michigan,Ford Field,877.0,Campos de juego y estadios
130,East North Central,Michigan,Great Lakes Shipwreck Museum,974.0,Museos especializados
131,East North Central,Michigan,Gilmore Car Museum,671.0,Museos especializados
132,East North Central,Michigan,Brys Estate Vineyard & Winery,481.0,Viñedos con bodegas
133,East North Central,Michigan,Silver Beach County Park,813.0,"Playas, Parques"
134,East North Central,Michigan,Miners Castle Rock,884.0,Formaciones geológicas
135,East North Central,Michigan,S.S. Badger: Lake Michigan Carferry,1.132,"Lugares históricos, Ferris"
136,East North Central,Michigan,Frankenmuth River Place Shops,885.0,Centros comerciales
137,East North Central,Michigan,Sugarloaf Mountain,576.0,Montañas
138,East North Central,Michigan,Star Line Mackinac Island Ferry,1.698,Ferris
139,East North Central,Michigan,Pierce Stocking Scenic Drive,720.0,Rutas turísticas
140,East North Central,Michigan,Brockway Mountain Drive,631.0,Rutas turísticas
141,East North Central,Michigan,Bond Falls,418.0,Cascadas
142,East North Central,Michigan,Old Mackinac Point Lighthouse,704.0,"Faros, Museos de historia"
143,East North Central,Michigan,The Original Mackinac Island Butterfly House & Insect World,712.0,Áreas de naturaleza y vida silvestre
144,East North Central,Michigan,Munising Falls,773.0,Cascadas
145,East North Central,Michigan,Mission Point Lighthouse,923.0,"Monumentos y lugares de interés, Faros"
146,East North Central,Michigan,Castle Rock,658.0,Miradores
147,East North Central,Michigan,Whitefish Point Lighthouse,608.0,Museos de historia
148,East North Central,Michigan,Wagner Falls,522.0,Cascadas
149,East North Central,Michigan,McGulpin Point Lighthouse & Historic Site,611.0,"Lugares históricos, Faros"
150,East North Central,Michigan,Butler Street,419.0,Monumentos y lugares de interés
151,East North Central,Michigan,Museum Ship Valley Camp,426.0,"Museos especializados, Acuarios"
152,East North Central,Michigan,USS Silversides Submarine Museum,352.0,Museos especializados
153,East North Central,Michigan,Adventure Mining Company,224.0,Minas
154,East North Central,Michigan,Bronner's Christmas Wonderland,3.354,Tiendas de regalos
155,East North Central,Michigan,GM Renaissance Center,570.0,"Edificios con valor arquitectónico, Torres y observatorios"
156,East North Central,Michigan,Point Betsie Lighthouse,330.0,Faros
157,East North Central,Michigan,University of Michigan Museum of Natural History,192.0,"Museos de historia natural, Museos de ciencia"
158,East North Central,Michigan,Tahquamenon Falls,326.0,Masas de agua
159,East North Central,Michigan,Saginaw Valley Naval Ship Museum,197.0,Museos militares
160,East North Central,Michigan,Headlands International Dark Sky Park,337.0,"Parques nacionales, Parques"
161,East North Central,Michigan,Tunnel of Trees - M119,381.0,Rutas turísticas
162,East North Central,Michigan,Bell's Comstock Brewery,281.0,Cervecerías
163,East North Central,Michigan,Mount Baldhead Park,247.0,"Monumentos y lugares de interés, Parques"
164,East North Central,Michigan,Journeyman Distillery - Three Oaks,187.0,Destilerías
165,East North Central,Michigan,KJC ATV Rentals and Trails of South Haven,767.0,Alquileres de equipos
166,East North Central,Michigan,The Manistique Boardwalk and River Walk,225.0,Rutas para senderismo
167,East North Central,Michigan,Sable Falls,149.0,Cascadas
168,East North Central,Michigan,Stony Lake Stables,252.0,"Rutas ecuestres, Tours a caballo"
169,East North Central,Michigan,Decode Ann Arbor,845.0,"Juegos de escape, Búsquedas del tesoro"
170,East North Central,Michigan,Mackinac Island Carriage Tours,2.068,Taxis y otros servicios de traslado
171,East North Central,Michigan,Shepler's Mackinac Island Ferry,82.0,Ferris
172,East North Central,Ohio,Museo Nacional de la Fuerza Aérea de Estados Unidos,5.094,Museos especializados
173,East North Central,Ohio,Rock & Roll Hall of Fame,9.943,Museos especializados
174,East North Central,Ohio,Cleveland Museum of Art,3.564,Museos de arte
175,East North Central,Ohio,Cedar Point Amusement Park,9.25,"Parques de diversión y temáticos, Parques acuáticos"
176,East North Central,Ohio,West Side Market,4.453,"Lugares históricos, Mercados de las pulgas y al aire libre"
177,East North Central,Ohio,Cincinnati Zoo & Botanical Garden,3.962,"Zoológicos, Jardines"
178,East North Central,Ohio,A Christmas Story House,2.335,"Museos especializados, Monumentos y lugares de interés"
179,East North Central,Ohio,Easton Town Center,3.303,"Barrios, Monumentos y lugares de interés"
180,East North Central,Ohio,Great American Ball Park,2.941,Campos de juego y estadios
181,East North Central,Ohio,Franklin Park Conservatory and Botanical Gardens,1.676,"Galerías de arte, Lugares históricos"
182,East North Central,Ohio,Hocking Hills State Park,1.498,Parques estatales
183,East North Central,Ohio,Pro Football Hall of Fame,2.257,"Museos especializados, Clínicas y campos deportivos"
184,East North Central,Ohio,The Wilds,1.033,"Áreas de naturaleza y vida silvestre, Lugares educativos"
185,East North Central,Ohio,Cincinnati Museum Center,1.845,"Museos de historia natural, Museos de ciencia"
186,East North Central,Ohio,Toledo Zoo,1.868,Zoológicos
187,East North Central,Ohio,Progressive Field,2.419,Campos de juego y estadios
188,East North Central,Ohio,Kings Island,2.961,Parques de diversión y temáticos
189,East North Central,Ohio,Jungle Jim's International Market,1.119,Mercados de las pulgas y al aire libre
190,East North Central,Ohio,Cincinnati Art Museum,1.102,"Ballets, Museos de arte"
191,East North Central,Ohio,Carillon Historical Park,980.0,"Lugares históricos, Museos para niños"
192,East North Central,Ohio,Lake View Cemetery,1.034,Cementerios
193,East North Central,Ohio,Cleveland Metroparks Zoo,1.701,Zoológicos
