,nationality,acommodation,stay,company,review,hotel_id,is_american,date,sentiment
2,Corea del Sur,Suite Estudio con cocina y sofá cama - Cama extragrande,27,Persona que viaja sola,"what a great honor to stay here.
Thank you so much!",11042.0,0,2023-11-20,0.525
3,Taiwán,Den Room with King Bed,4,Persona que viaja sola,"Everything works and fairly new, I loved the water fountain, fresh water and always ice cold",11042.0,0,2023-11-15,0.13409090909090907
4,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4,En familia,"Weather was ideal
Loved the swimming pool.",11042.0,1,2023-11-14,0.8
5,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",6,En pareja,"I'm here for a couple weeks....So, a little tired of the same breakfast each and every day but If I was only here for a few days then I would say it was perfect.",11042.0,1,2023-11-08,0.03541666666666665
6,Estados Unidos,"Suite con 1 dormitorio, cama extragrande, sofá cama y cocina",1,En familia,"The property was nice but expensive for one night and parking $20 per car was expensive and an added cost that wasn’t necessary.
Good breakfast",11042.0,1,2023-10-26,0.059999999999999984
7,Estados Unidos,Den Room with King Bed,3,En pareja,"Location was great and perfectly clean and comfortable. Excellent breakfast. Staff was friendly, helpful and competent.",11042.0,1,2023-10-26,0.5736111111111112
8,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En pareja,Clean comfortable and close to work,11042.0,1,2023-10-24,0.38333333333333336
9,Estados Unidos,Den Room with King Bed,2,En pareja,Very Clean and quiet,11042.0,1,2023-09-14,0.23833333333333337
10,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,4,En pareja,"Comfortable, spacious and clean. Great location.",11042.0,1,2023-09-04,0.5222222222222223
11,Estados Unidos,Den Room with King Bed,4,En pareja,"Very clean, great breakfast, good price and location, great staff !",11042.0,1,2023-08-22,0.7441666666666666
12,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,Location was central to some good places in Irvine. Breakfast was gooood!!!,11042.0,1,2023-08-21,0.5
14,Estados Unidos,Habitación Doble - 2 camas dobles y sofá cama,10,En familia,The location & breakfast were so good!,11042.0,1,2023-08-17,0.875
16,Estados Unidos,Den Room with King Bed,2,En pareja,Property was very nice with cozy rooms.,11042.0,1,2023-08-15,0.29000000000000004
17,Estados Unidos,Den Room with King Bed,2,Persona que viaja sola,"The breakfast at the hotel is great! They don't provide a variety of food but are balanced, nutritional, and most importantly fresh. Appreciate their service.",11042.0,1,2023-07-31,0.6
18,Emiratos Árabes Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,Overall cleanliness and staff are very good.,11042.0,0,2023-07-25,0.45499999999999996
19,Qatar,Suite Estudio con cocina y sofá cama - Cama extragrande,2,En grupo,Very good,11042.0,0,2023-07-23,0.9099999999999999
20,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,3,En familia,The room is clean and the A/C is quite and new. Breakfast is good.,11042.0,1,2023-07-08,0.40101010101010104
21,Estados Unidos,Suite Estudio con cocina y sofá cama - Cama extragrande,1,En familia,"Super clean, comfortable, great breakfast",11042.0,1,2023-06-26,0.47500000000000003
22,Omán,Suite Estudio con cocina y sofá cama - Cama extragrande,19,En familia,Best hotel for value in Orange County,11042.0,0,2023-06-25,1.0
23,Qatar,Suite Estudio con cocina y sofá cama - Cama extragrande,5,En grupo,Very good,11042.0,0,2023-06-25,0.9099999999999999
25,Estados Unidos,Den Room with King Bed,1,En pareja,Everything was perfect. Nice n clean comfortable rooms. Highly recommended. Breakfast was very nice,11042.0,1,2023-06-15,0.5511111111111111
