hotel_id,hotel,stars,address,city_id,latitude,longitude,categories,attributes,source_id
DtxrbAIsSMs4Qshm99AFAQ,Reno Tahoe Shuttle,3.5,,87.0,39.5424616,-119.8410174,"['Hotels & Travel', ' Airport Shuttles', ' Transportation']","{'WiFi': ""u'no'""}",1
KBDlQpRaxMDTGcZwp2HLEw,Courtyard by Marriott Reno,3.0,6855 South Virginia Street,87.0,39.4643314887,-119.7849038243,"['Hotels & Travel', ' Event Planning & Services', ' Venues & Event Spaces', ' Hotels']","{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True'}",1
bEbw6ACHbfZby1V_Chx8JA,Lexie's On the River,4.5,1 S Lake St,87.0,39.5250093,-119.8106432,"['Hotels & Travel', ' Restaurants', ' Hotels', ' Event Planning & Services']","{'RestaurantsAttire': ""'casual'"", 'RestaurantsPriceRange2': '3', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}"", 'RestaurantsReservations': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsTakeOut': 'False', 'GoodForKids': 'False'}",1
OGVTvqYz4yOFLpbCfU5c3g,Desert Rose Inn,3.0,655 W 4th St,87.0,39.5287831,-119.8228991,['Hotels & Travel'],"{'WiFi': ""u'free'""}",1
zYp_JUPeWwFtghZDDApwdA,Enterprise Rent-A-Car,4.5,407 N Virginia St,87.0,39.530447,-119.815248,"['Hotels & Travel', ' Car Rental']",None,1
PxYZojjBpat4-mK1vqCDbA,Payless Car Rental Airport,2.0,2001 East Plumb Ln,87.0,39.5058565,-119.774971,"['Hotels & Travel', ' Car Rental']",None,1
wcs7paEuhfHBZGVjlFzA6g,El Monte RV Rentals,1.0,130 Woodland Ave,87.0,39.5055148,-119.8953379,"['Hotels & Travel', ' RV Rental']",None,1
TgbI5_wXWa82NBVwkvC0yQ,Courtyard by Marriott Philadelphia Plymouth Meeting,3.0,651 Fountain Road,4899.0,40.1220610426,-75.2834014577,"['Hotels & Travel', ' Event Planning & Services', ' Hotels', ' Venues & Event Spaces']","{'RestaurantsPriceRange2': '2', 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'paid'"", 'WheelchairAccessible': 'True'}",1
8ynnZAfsIHltv72hiM-rlA,DoubleTree Suites by Hilton Hotel Philadelphia West,2.5,640 Fountain Rd,4899.0,40.1202594085,-75.2822801284,"['Hotels & Travel', ' Hotels', ' Restaurants', ' Event Planning & Services']","{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'GoodForKids': 'True', 'Alcohol': ""'full_bar'"", 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'BikeParking': 'False', 'RestaurantsReservations': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False', 'RestaurantsAttire': ""'casual'"", 'Caters': 'False'}",1
Sh8EwPWS6kRs_f6jExrIOw,Woodspring Suites,1.5,101 Lee Dr,4899.0,40.1077446195,-75.2942559868,"['Hotels & Travel', ' Event Planning & Services', ' Hotels']",None,1
SBy57DuS62gcyGDEOm18Tw,Red Roof Inn Bridgeton,1.5,3470 Hollenberg Dr,3330.0,38.7587574561,-90.4387273755,"['Hotels & Travel', ' Hotels', ' Event Planning & Services']","{'RestaurantsPriceRange2': '1', 'WiFi': ""u'paid'"", 'BusinessAcceptsCreditCards': 'True'}",1
1zI0kYUdUijOBSBwIfFe1g,The Lodge Hotel & Banquet,1.0,3551 Pennridge,3330.0,38.7570255,-90.4377564,"['Hotels', ' Event Planning & Services', ' Hotels & Travel']","{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '1'}",1
oPzSiJdl9Lg1rB_7bL06qg,Four Points by Sheraton Nashville Airport,3.0,800 Royal Pkwy,10737.0,36.14481,-86.662601,"['Hotels & Travel', ' Event Planning & Services', ' Venues & Event Spaces', ' Hotels']","{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'"", 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsPriceRange2': '2'}",1
SEBtAgVuiZQtnqd__OifaA,Comfort Inn Nashville West,2.5,412 White Bridge Pl,10737.0,36.151363,-86.856776,"['Hotels & Travel', ' Event Planning & Services', ' Hotels']","{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}",1
2nNrr5KamJ3BodzqtOvMwg,Holiday Inn Express Nashville W I40/Whitebridge Rd,2.5,5612 Lenox Ave,10737.0,36.1484039504,-86.8590614945,"['Hotels & Travel', ' Event Planning & Services', ' Hotels', ' Venues & Event Spaces']","{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}",1
RJGcaGTxCxszS23fokK1jw,Big Green Tractor Tours,5.0,529 4th Ave S,10737.0,36.1549026044,-86.7735097023,"['Hotels & Travel', ' Tours']","{'WiFi': ""u'no'""}",1
5rXu7H5mjNFQjAV9MRTxyw,Wingate by Wyndham Nashville Airport,3.0,1 Century Blvd,10737.0,36.144234,-86.6860519,"['Hotels & Travel', ' Event Planning & Services', ' Hotels']","{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}",1
1M8W2HVRV7-Hi7cw7Ini4Q,"Home2 Suites by Hilton Nashville Vanderbilt, TN",3.5,1800 Division St,10737.0,36.1515852663,-86.79441154,"['Hotels & Travel', ' Event Planning & Services', ' Hotels']","{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}",1
0DQr3ECefRNE0zsFKwd1fQ,Hilton Nashville Airport Hotel,2.5,2200 Elm Hill Pike,10737.0,36.1536993531,-86.6904732742,"['Hotels & Travel', ' Hotels', ' Event Planning & Services', ' Venues & Event Spaces']","{'WiFi': ""'free'"", 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True'}",1
fvZkWsJpwBhbNmEe9ue1Mg,Clarion Hotel Nashville Downtown - Stadium,3.5,211 N 1st St,10737.0,36.174793,-86.773642,"['Hotels & Travel', ' Hotels', ' Event Planning & Services']","{'RestaurantsPriceRange2': '2', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'free'""}",1
