user_id,name,review_count,useful
qVc8ODYU5SZjKXVBgXdI7w,Walker,585,7217
j14WgRoU_-2ZE1aw1dXrJg,Daniel,4333,43091
OlJ9vcVFB1iEKcZO-MS3cQ,Joz Joz Joz,348,2063
65uUyG9yuF0rdMh0z7ajaA,Don,715,808
rppTTi-kfF8-qyiArNemag,Helen,460,700
IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325
3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2073,27350
KrIL3TIOJI-tjvU6BlcA-g,Elisabeth,141,225
0G-QF457q_0Z_jKqh6xWiA,Joi,2009,27137
bQ_qlqlZRFgfRlqveB-ILg,Rachel,585,866
ouODopBKF3AqfCkuQEnrDg,Danan,2108,4527
YMgZqBUAddmFErxLtCfK_w,Samantha,1985,6485
TDXV6AC5PYOZEyN9eeODfA,Stephanie,631,1241
HAAdELyXWv8GPCz183SbvA,Amanda,60,106
ZQWmua4kX75pcd1QB8Nk2g,Bianca,65,184
hkuwpVmoWqmmRNT6ly7eIw,LetsBeReal,22,41
Z4rItwH8eQyhqkfGi9_6qg,Solomon,502,987
v9VCObZVWhOPdm1rKt8Dvg,Jonathan,258,1605
drui1iMt-TPzJiSkQp5CtA,Felicia,212,625
oJMwdSEcl59FlX7cwaf0bA,Jenn,312,912
Bnf-KvDhT8WXrpv2WJEOQQ,Leah,240,410
gjhzKWsqCIrpEd9pevbKZw,Miriam,3199,19610
q9xZ_o95MTmBmLLPnZyBwQ,Kevin,556,457
zGYimABNU5Vk5PKHBtcPMQ,Michael,39,60
a6myQnEM2qdJMWcYqOQWlg,Judith,68,87
8TYNR25ifvwrwYcyKNx1BQ,Amy,408,1078
eTvp_hYnsrI5-ow_sQ31_g,Patt,1028,9050
1sGYXSkJHPhJ6wQtc-RbZw,Kimberly,820,5441
Qa2NoSc6DphQArihBgY9Gg,Brooke,1030,4718
B_T4fv0GlGcZLDpchBX-0g,Nicole,650,1233
kLm3B6LeboEZWX_4otpILA,Izzat,1670,794
tipQmXdg181T4NvxrXPjFg,Sabrina,183,1100
SH-GRUQlUZTco0ofRbwVdQ,Carter,197,230
FoO5vOMb3_nKGmMiDUm8lA,picunte,60,35
AsUvXYx9ZVn3IMJmAIwhYw,Tiffany,694,5244
mZHk_DPbeUTQBZOBOyoqlA,Erin,280,936
