,user_id,name,review_count,useful,cool,source_id
0,qVc8ODYU5SZjKXVBgXdI7w,Walker,585,7217,5994,0
1,j14WgRoU_-2ZE1aw1dXrJg,Daniel,4333,43091,27281,0
24,OlJ9vcVFB1iEKcZO-MS3cQ,Joz Joz Joz,348,2063,1537,0
31,65uUyG9yuF0rdMh0z7ajaA,Don,715,808,712,0
36,rppTTi-kfF8-qyiArNemag,Helen,460,700,425,0
50,IpLRJY4CP3fXtlEd8Y4GFQ,Robyn,518,1325,348,0
105,3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2073,27350,17603,0
109,KrIL3TIOJI-tjvU6BlcA-g,Elisabeth,141,225,83,0
117,0G-QF457q_0Z_jKqh6xWiA,Joi,2009,27137,20385,0
157,bQ_qlqlZRFgfRlqveB-ILg,Rachel,585,866,281,0
159,ouODopBKF3AqfCkuQEnrDg,Danan,2108,4527,2850,0
166,YMgZqBUAddmFErxLtCfK_w,Samantha,1985,6485,4159,0
198,TDXV6AC5PYOZEyN9eeODfA,Stephanie,631,1241,587,0
213,HAAdELyXWv8GPCz183SbvA,Amanda,60,106,28,0
219,ZQWmua4kX75pcd1QB8Nk2g,Bianca,65,184,56,0
233,hkuwpVmoWqmmRNT6ly7eIw,LetsBeReal,22,41,17,0
238,Z4rItwH8eQyhqkfGi9_6qg,Solomon,502,987,403,0
264,v9VCObZVWhOPdm1rKt8Dvg,Jonathan,258,1605,1169,0
267,drui1iMt-TPzJiSkQp5CtA,Felicia,212,625,262,0
274,oJMwdSEcl59FlX7cwaf0bA,Jenn,312,912,433,0
277,Bnf-KvDhT8WXrpv2WJEOQQ,Leah,240,410,216,0
284,gjhzKWsqCIrpEd9pevbKZw,Miriam,3199,19610,15687,0
314,q9xZ_o95MTmBmLLPnZyBwQ,Kevin,556,457,123,0
339,zGYimABNU5Vk5PKHBtcPMQ,Michael,39,60,8,0
358,a6myQnEM2qdJMWcYqOQWlg,Judith,68,87,37,0
359,8TYNR25ifvwrwYcyKNx1BQ,Amy,408,1078,338,0
374,eTvp_hYnsrI5-ow_sQ31_g,Patt,1028,9050,5929,0
388,1sGYXSkJHPhJ6wQtc-RbZw,Kimberly,820,5441,4264,0
391,Qa2NoSc6DphQArihBgY9Gg,Brooke,1030,4718,3366,0
395,B_T4fv0GlGcZLDpchBX-0g,Nicole,650,1233,723,0
