,Dirección,Descripción,Atributos,Latitud,Longitud,Scores
0,"3767 Greenwood Avenue, Los Ángeles, CA 90066, Estados Unidos","Bright European Loft In Venice Beach está muy bien situado en el barrio de West Los Angeles, Los Ángeles, a 3,4 km de Paseo marítimo de Venice Beach, a 6,5 km de Muelle de Santa Mónica y a 6,5 km de Pacific Park. El alojamiento está a unos 6,8 km de Third Street Promenade, a 11 km de Museo del Automóvil Petersen y a 12 km de Museo de Arte del Condado de Los Ángeles (LACMA). El hostal o pensión libre de humo dispone de wifi gratis en todo el alojamiento.

Todas las unidades de este alojamiento están equipadas con TV y cocina. Las unidades de este alojamiento tienen aire acondicionado y escritorio.

Getty Center está a 15 km del alojamiento, y LA Memorial Coliseum está a 16 km. El aeropuerto (Aeropuerto internacional de Los Ángeles) está a 8 km.",,34.0001355,-118.4435324,[]
1,"2192 Beech Knoll Road, Hollywood, Los Ángeles, CA 90046, Estados Unidos","HOLLYWOOD HILLS JETLINER VIEWS at STUDIO 1080 HOLLYWOOD ofrece zona de barbacoa y vistas a la montaña. Está en Los Ángeles, a 5,6 km de Auditorio Dolby Theatre y a 6,5 km de Edificio Capitol Records. Tiene jardín, terraza, vistas a la ciudad y wifi gratis en todo el alojamiento.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con bidet y ducha. Hay TV de pantalla plana con canales vía satélite, además de iPad.

Hollywood Bowl está a 6,9 km del alojamiento, y Universal Studios Hollywood está a 7,1 km. El aeropuerto más cercano (Aeropuerto de Hollywood Burbank) está a 12 km.","['Terraza', 'Habitaciones sin humo', 'Calefacción', 'Parking gratis', 'Jardín', 'Barbacoa', 'Aire acondicionado', 'WiFi gratis']",34.11074594,-118.375404,"[{'Personal': '9.9'}, {'Instalaciones y servicios': '9.8'}, {'Limpieza': '9.8'}, {'Confort': '9.8'}, {'Relación calidad-precio': '9.7'}, {'Ubicación': '9.9'}, {'WiFi gratis': '9.0'}]"
2,"13234 Rose Avenue, Venice Beach, Los Ángeles, CA 90066, Estados Unidos","Venice beach house with pool, music studio está en el barrio de Venice Beach, en Los Ángeles, y dispone de alojamiento con piscina privada y wifi gratis. Ofrece patio y piscina al aire libre.

Esta casa o chalet con aire acondicionado consta de 4 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y 3 baños con bañera de hidromasaje y secador de pelo. Hay toallas y ropa de cama en la casa o chalet.

Paseo marítimo de Venice Beach está a 3,5 km del alojamiento, y Muelle de Santa Mónica está a 5,1 km. El aeropuerto más cercano (Aeropuerto internacional de Los Ángeles) está a 9 km.","['Piscina al aire libre', 'Calefacción', 'Parking gratis', 'Aire acondicionado', 'WiFi gratis']",34.008026,-118.455345,"[{'Personal': '10'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '10'}, {'Confort': '10'}, {'Relación calidad-precio': '9.6'}, {'Ubicación': '9.6'}]"
3,"5801 Vesper Avenue, Los Ángeles, CA 91411, Estados Unidos","Gated private house with own parking Sherman Oaks, que cuenta con vistas al jardín, dispone de alojamiento con terraza y patio a unos 13 km de Getty Center. El alojamiento, que se encuentra a 13 km de Universal Studios Hollywood, ofrece jardín y parking privado gratis.

Esta casa o chalet con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en la casa o chalet.

Hollywood Bowl está a 16 km del alojamiento, y Auditorio Dolby Theatre está a 17 km. El aeropuerto más cercano (Aeropuerto de Hollywood Burbank) está a 10 km del alojamiento.","['Terraza', 'Habitaciones sin humo', 'Calefacción', 'Parking gratis', 'Jardín', 'Aire acondicionado', 'WiFi gratis']",34.17591895,-118.45143621,"[{'Personal': '9.7'}, {'Instalaciones y servicios': '9.7'}, {'Limpieza': '10'}, {'Confort': '9.7'}, {'Relación calidad-precio': '9.7'}, {'Ubicación': '9.7'}]"
4,"Pacific Beach, San Diego, 92109, Estados Unidos","Opal Oasis se encuentra en San Diego, en la región de California, y dispone de balcón y vistas al mar. Esta casa o chalet ofrece alojamiento con patio y wifi gratis.

Esta casa o chalet con aire acondicionado consta de 4 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 5 baños con bañera o ducha y bañera de hidromasaje. Hay toallas y ropa de cama en la casa o chalet.

Hay zona de juegos infantil en el propio alojamiento, y se puede practicar ciclismo cerca.

Cerca del alojamiento hay puntos de interés como Tourmaline Surfing Park Beach, Pacific Beach y Calumet Park Beach. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 11 km del alojamiento.","['Habitaciones sin humo', 'Parking en el alojamiento', 'Fogones', 'Cafetera', 'WiFi gratis', 'Gimnasio']",32.805956,-117.257427,[]
5,"Julian Avenue 2054, San Diego, 92113, Estados Unidos","Victorian Retreat in Barrio Logan 1mi to Downtown se encuentra en San Diego, a 2,5 km de Centro de Convenciones de San Diego y a 4,4 km de Estación de Amtrak San Diego – Santa Fe Depot, y ofrece alojamiento con aire acondicionado, patio y wifi gratis. Esta casa o chalet está a 4,7 km de Museo USS Midway y a 5,1 km de Museo Marítimo de San Diego.

La casa o chalet tiene 3 dormitorios, una cocina con nevera y lavavajillas, y 3 baños con bañera, secador de pelo y lavadora. Hay toallas y ropa de cama en la casa o chalet.

Parque Balboa está a 5,2 km del alojamiento, y Zoo de San Diego está a 5,3 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 7 km.","['Utensilios de cocina', 'Cocina', 'Parking gratis', 'Fogones', 'Lavadora', 'Parking en la calle', 'WiFi gratis', 'Horno']",32.701546,-117.1399437,[]
6,"5079 Lotus Street, Ocean Beach, San Diego, 92107, Estados Unidos","5079 Lotus Street está en el barrio de Ocean Beach, en San Diego, a menos de 1 km de Ocean Beach, a 3,3 km de Sunset Cliffs y a 4,9 km de SeaWorld de San Diego. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

Este apartamento con aire acondicionado consta de 1 dormitorio independiente, una sala de estar, una cocina totalmente equipada y 1 baño. Hay TV de pantalla plana.

Parque estatal del Centro Histórico de San Diego está a 7,3 km del alojamiento, y Universidad de San Diego está a 9 km. El aeropuerto (Aeropuerto internacional de San Diego) está a 6 km.","['Calefacción', 'Cocina', 'Balcón', 'Parking gratis', 'Baño privado', 'Lavadora', 'WiFi gratis', 'TV de pantalla plana']",32.75319668,-117.24772285,[]
7,"2617 Minorca Way, San Diego, CA 92014, Estados Unidos","Spacious, Luxury Ocean Master Suite 2 BD With Kitchenette está en San Diego, a 5,7 km de Reserva natural estatal Torrey Pines, y ofrece alojamiento con aire acondicionado y parking privado dispone de en el propio alojamiento. Esta casa o chalet está a 25 km de SeaWorld de San Diego y a 25 km de Parque estatal del Centro Histórico de San Diego.

La casa o chalet tiene 2 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales vía satélite, zona de comedor, zona de cocina totalmente equipada y patio con vistas al jardín.

La casa o chalet dispone de terraza, además de jardín.

Universidad de San Diego está a 25 km del alojamiento, y Zoo de San Diego está a 29 km. El aeropuerto más cercano (Aeropuerto McClellan-Palomar) está a 26 km.","['Terraza', 'Habitaciones sin humo', 'Parking gratis', 'Mesa de comedor', 'Barbacoa', 'Cafetera']",32.9550358,-117.2468975,[]
8,"4767 Ocean Boulevard, Pacific Beach, San Diego, CA 92109, Estados Unidos","Ocean View Luxury Condo Oceanfront and Pool se encuentra en San Diego, a solo 1 min a pie de Pacific Beach, y ofrece alojamiento frente a la playa con piscina al aire libre, jardín, terraza y wifi gratis. Este alojamiento ofrece piscina privada y parking privado gratis.

El apartamento dispone de 2 dormitorios, TV de pantalla plana, una cocina equipada, lavadora y 2 baños con bañera de hidromasaje.

El apartamento ofrece bañera de hidromasaje.

Tourmaline Surfing Park Beach está a 15 min a pie del alojamiento, y Sail Bay Beach está a 1,7 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 10 km del alojamiento.","['Piscina al aire libre', 'Habitaciones sin humo', 'Terraza', 'Habitaciones familiares', 'Adaptado personas de movilidad reducida', 'Parking gratis', 'WiFi gratis', 'Situado frente a la playa']",32.8004772,-117.2582797,"[{'Personal': '10'}, {'Instalaciones y servicios': '10'}, {'Limpieza': '9.7'}, {'Confort': '10'}, {'Relación calidad-precio': '9.7'}, {'Ubicación': '10'}]"
9,"1084 Johnson Avenue, San Diego, CA 92103, Estados Unidos","CanyonGreen w hot tub near All Things San Diego, que cuenta con vistas a la montaña, dispone de alojamiento con balcón y cafetera a unos 3,1 km de Parque Balboa. El alojamiento, que se encuentra a 2,6 km de Zoo de San Diego, ofrece terraza y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 3 dormitorios, TV de pantalla plana, zona de comedor y cocina con nevera y lavavajillas. Hay toallas y ropa de cama en la casa o chalet.

La casa o chalet ofrece bañera de hidromasaje. Hay servicio de alquiler de bicicletas y servicio de alquiler de coches en CanyonGreen w hot tub near All Things San Diego.

Parque estatal del Centro Histórico de San Diego está a 5,3 km del alojamiento, y Estación de Amtrak San Diego – Santa Fe Depot está a 5,9 km. El aeropuerto más cercano (Aeropuerto internacional de San Diego) está a 5 km del alojamiento.","['Terraza', 'Habitaciones sin humo', 'Habitaciones familiares', 'Servicio de limpieza diario', 'Parking gratis', 'Servicio de lavandería', 'WiFi gratis', '¿Se sirven desayunos?', '¿Hay piscina?', '¿Puedo aparcar aquí?']",32.7543344,-117.1539186,[]
